"","name","gene_name","db2go_c__dm_description"
"1","RAB7L_HUMAN","RAB7L1","plasma membrane"
"2","RAB3D_HUMAN","RAB3D","zymogen granule"
"3","RAB3D_HUMAN","RAB3D","transport vesicle"
"4","RAB3D_HUMAN","RAB3D","plasma membrane"
"5","RAB3D_HUMAN","RAB3D","mitochondrion"
"6","RAB3A_HUMAN","RAB3A","cytosol"
"7","RAB3A_HUMAN","RAB3A","acrosomal vesicle"
"8","RAB3A_HUMAN","RAB3A","clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane"
"9","RAB3A_HUMAN","RAB3A","plasma membrane"
"10","RAB3A_HUMAN","RAB3A","protein complex"
"11","RAB3A_HUMAN","RAB3A","clathrin-sculpted monoamine transport vesicle membrane"
"12","RAB3A_HUMAN","RAB3A","clathrin-sculpted acetylcholine transport vesicle membrane"
"13","RAB3A_HUMAN","RAB3A","clathrin-sculpted glutamate transport vesicle membrane"
"14","RAB3A_HUMAN","RAB3A","synaptic vesicle"
"15","RAB3B_HUMAN","RAB3B","synaptic vesicle"
"16","RAB3B_HUMAN","RAB3B","cytosol"
"17","RAB3B_HUMAN","RAB3B","plasma membrane"
"18","RAB3B_HUMAN","RAB3B","secretory granule"
"19","RAB4A_HUMAN","RAB4A","extracellular vesicular exosome"
"20","RAB4A_HUMAN","RAB4A","perinuclear region of cytoplasm"
"21","RAB4A_HUMAN","RAB4A","membrane"
"22","RAB4A_HUMAN","RAB4A","endosome"
"23","RAB5A_HUMAN","RAB5A","early endosome"
"24","RAB5A_HUMAN","RAB5A","melanosome"
"25","RAB5A_HUMAN","RAB5A","ruffle"
"26","RAB5A_HUMAN","RAB5A","early endosome membrane"
"27","RAB5A_HUMAN","RAB5A","actin cytoskeleton"
"28","RAB5A_HUMAN","RAB5A","plasma membrane"
"29","RAB5A_HUMAN","RAB5A","endosome membrane"
"30","RAB5A_HUMAN","RAB5A","endocytic vesicle"
"31","RAB5A_HUMAN","RAB5A","membrane raft"
"32","RAB6A_HUMAN","RAB6A","cytosol"
"33","RAB6A_HUMAN","RAB6A","trans-Golgi network"
"34","RAB6A_HUMAN","RAB6A","membrane"
"35","RAB6A_HUMAN","RAB6A","cytoplasmic vesicle"
"36","RAB6A_HUMAN","RAB6A","Golgi membrane"
"37","RAB6A_HUMAN","RAB6A","Golgi apparatus"
"38","RAB5C_HUMAN","RAB5C","endocytic vesicle"
"39","RAB5C_HUMAN","RAB5C","early endosome membrane"
"40","RAB5C_HUMAN","RAB5C","melanosome"
"41","RAB5C_HUMAN","RAB5C","plasma membrane"
"42","RAB5C_HUMAN","RAB5C","lipid particle"
"43","RAB7A_HUMAN","RAB7A","phagocytic vesicle"
"44","RAB7A_HUMAN","RAB7A","melanosome"
"45","RAB7A_HUMAN","RAB7A","phagocytic vesicle membrane"
"46","RAB7A_HUMAN","RAB7A","late endosome"
"47","RAB7A_HUMAN","RAB7A","lysosomal membrane"
"48","RAB7A_HUMAN","RAB7A","alveolar lamellar body"
"49","RAB7A_HUMAN","RAB7A","Golgi apparatus"
"50","RAB9A_HUMAN","RAB9A","late endosome"
"51","RAB9A_HUMAN","RAB9A","Golgi membrane"
"52","RAB9A_HUMAN","RAB9A","plasma membrane"
