"","name","gene_name","protein_name"
"1","RAB3A_HUMAN","RAB3A","Ras-related protein Rab-3A"
"2","RAB4A_HUMAN","RAB4A","Ras-related protein Rab-4A"
"3","RAB5A_HUMAN","RAB5A","Ras-related protein Rab-5A"
"4","RAB6A_HUMAN","RAB6A","Ras-related protein Rab-6A"
"5","RAB7A_HUMAN","RAB7A","Ras-related protein Rab-7a"
"6","RAB9A_HUMAN","RAB9A","Ras-related protein Rab-9A"
"7","RAB13_HUMAN","RAB13","Ras-related protein Rab-13"
"8","RAB8A_HUMAN","RAB8A","Ras-related protein Rab-8A"
"9","RAB2A_HUMAN","RAB2A","Ras-related protein Rab-2A"
"10","RAB14_HUMAN","RAB14","Ras-related protein Rab-14"
"11","RAB1A_HUMAN","RAB1A","Ras-related protein Rab-1A"
"12","RAB31_HUMAN","RAB31","Ras-related protein Rab-31"
"13","PIGG_HUMAN","PIGG","GPI ethanolamine phosphate transferase 2"
"14","RAB12_HUMAN","RAB12","Ras-related protein Rab-12"
"15","PIGO_HUMAN","PIGO","GPI ethanolamine phosphate transferase 3"
"16","RAB2B_HUMAN","RAB2B","Ras-related protein Rab-2B"
"17","PIGT_HUMAN","PIGT","GPI transamidase component PIG-T"
"18","RAB1B_HUMAN","RAB1B","Ras-related protein Rab-1B"
"19","RAB20_HUMAN","RAB20","Ras-related protein Rab-20"
"20","RAB21_HUMAN","RAB21","Ras-related protein Rab-21"
