"";"X";"Protein.Acs";"Protein.G";"ID";"Description";"Gene";"Global.Peptide.Count";"Global.Spectra.Count";"Global.DNSAF";"Peptide.Count.P5396";"Peptide.Count.P5455";"Spectra.Count.P5396";"Spectra.Count.P5455";"DNSAF.P5396";"DNSAF.P5455";"Unspecific.Spectra.Count";"Go.Cc";"norm.sc"
"15";15;"O43736";"O43736-1,O43736-2";"ITM2A_HUMAN";"Integral membrane protein 2A";"ITM2A";2;4;"9.46509211819243E-4";0;2;0;4;"0";"0";0;"integral component of membrane";0,000878348704435661
"42";42;"P04843";"P04843";"RPN1_HUMAN";"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1";"RPN1";3;3;"6.15153021520084E-4";0;3;0;3;"0";"0.00109833209185673";0;"integral component of membrane, oligosaccharyltransferase complex, melanosome, rough endoplasmic reticulum";0,000658761528326746
"80";80;"P11498";"P11498";"PYC_HUMAN";"Pyruvate carboxylase, mitochondrial";"PC";35;67;"0.00707913362541039";0;35;0;67;"0";"0.0126395211781894";0;"cytosol, mitochondrial matrix, mitochondrial inner membrane";0,0147123407992973
"83";83;"P12236";"P12236";"ADT3_HUMAN";"ADP/ATP translocase 3";"SLC25A6";1;2;"0.00438554561818597";0;1;0;2;"0";"0.00783022325217993";17;"integral component of membrane, mitochondrial inner membrane presequence translocase complex";0,00043917435221783
"99";99;"P15531";"P15531-1,P15531-2";"NDKA_HUMAN";"Nucleoside diphosphate kinase A";"NME1";2;3;"0.00122828251336412";0;2;0;3;"0";"0";0;"perinuclear region of cytoplasm, centrosome, ruffle membrane, nucleus, cytosol";0,000658761528326746
"169";169;"P45880";"P45880-1,P45880-2,P45880-3";"VDAC2_HUMAN";"Voltage-dependent anion-selective channel protein 2";"VDAC2";7;10;"0.00141117870016134";0;7;0;10;"0";"0";0;"mitochondrial inner membrane, mitochondrial outer membrane, mitochondrial nucleoid, pore complex";0,00219587176108915
"188";188;"P57088";"P57088";"TMM33_HUMAN";"Transmembrane protein 33";"TMEM33";1;1;"5.03910774713483E-4";0;1;0;1;"0";"8.99713333005445E-4";0;"integral component of membrane, melanosome";0,000219587176108915
"269";269;"Q8NBI5";"Q8NBI5";"S43A3_HUMAN";"Solute carrier family 43 member 3";"SLC43A3";5;7;"0.00177446380749412";0;5;0;7;"0";"0.00316823697101103";0;"integral component of membrane";0,00153711023276241
"271";271;"Q8NFZ8";"Q8NFZ8";"CADM4_HUMAN";"Cell adhesion molecule 4";"CADM4";2;2;"6.41577120382631E-4";0;2;0;2;"0";"0.00114551130542446";0;"integral component of membrane";0,00043917435221783
"285";285;"Q96IX5";"Q96IX5";"USMG5_HUMAN";"Up-regulated during skeletal muscle growth protein 5";"USMG5";1;1;"0.00214596485093501";0;1;0;1;"0";"0.0038315378146956";0;"integral component of membrane, mitochondrial proton-transporting ATP synthase complex";0,000219587176108915
"287";287;"Q96PQ1";"Q96PQ1-1";"SIG12_HUMAN";"Sialic acid-binding Ig-like lectin 12";"SIGLEC12";7;10;"0.00209186489670975";0;7;0;10;"0";"0";0;"integral component of membrane";0,00219587176108915
"288";288;"Q96RQ3";"Q96RQ3";"MCCA_HUMAN";"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial";"MCCC1";32;115;"0.0197428766286021";8;31;19;96;"0.0208661174524437";"0.0294262104168622";0;"cytosol, mitochondrial inner membrane, mitochondrial matrix";0,0252525252525253
"297";297;"Q9NV96";"Q9NV96-1,Q9NV96-2";"CC50A_HUMAN";"Cell cycle control protein 50A";"TMEM30A";3;3;"5.17171584574365E-4";0;3;0;3;"0";"0";0;"endoplasmic reticulum, integral component of membrane";0,000658761528326746
"300";300;"Q9P2B2";"Q9P2B2";"FPRP_HUMAN";"Prostaglandin F2 receptor negative regulator";"PTGFRN";17;31;"0.00438958453012644";0;17;0;31;"0";"0.00783743457431478";0;"endoplasmic reticulum membrane, integral component of membrane, Golgi apparatus";0,00680720245937637
"306";306;"Q9ULF5";"Q9ULF5";"S39AA_HUMAN";"Zinc transporter ZIP10";"SLC39A10";10;15;"0.00224667800278394";0;10;0;15;"0";"0.00401135727892319";0;"integral component of membrane";0,00329380764163373
"313";313;"Q9Y639";"Q9Y639-1,Q9Y639-2";"NPTN_HUMAN";"Neuroplastin";"NPTN";5;12;"0.00187637127669694";0;5;0;12;"0";"0";0;"presynaptic membrane, integral component of membrane";0,00263504611330698
"315";315;"Q9Y6M5";"Q9Y6M5";"ZNT1_HUMAN";"Zinc transporter 1";"SLC30A1";4;7;"0.00171846494966393";0;4;0;7;"0";"0.00306825316127498";0;"Golgi apparatus, nuclear membrane, T-tubule, integral component of membrane, endoplasmic reticulum";0,00153711023276241
