"";"X";"protein.acs";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5455.1.id.csv";"peptide.count.P5455.2.id.csv";"spectra.count.P5455.1.id.csv";"spectra.count.P5455.2.id.csv";"dNSAF.P5455.1.id.csv";"dNSAF.P5455.2.id.csv";"Go.Cc";"norm.sc"
"2";2;"O00410";"O00410-1,O00410-3";"IPO5_HUMAN";"Importin-5";"IPO5";14;22;0,00151260871812374;11;11;11;11;NA;NA;"intracellular membrane-bounded organelle, nuclear pore, nuclear membrane, Golgi apparatus, nucleus, cytoplasm";0,00538951494365507
"5";5;"O14929";"O14929-1,O14929-2";"HAT1_HUMAN";"Histone acetyltransferase type B catalytic subunit";"HAT1";1;1;0,000180009954847227;1;NA;1;NA;NA;NA;"nucleoplasm, protein complex, cytoplasm, intracellular membrane-bounded organelle, nuclear matrix, nuclear chromatin, nucleus";0,000244977951984321
"6";6;"O14980";"O14980";"XPO1_HUMAN";"Exportin-1";"XPO1";10;15;0,00211272187901928;8;7;8;7;0,00333630249420214;0,00292802689918642;"kinetochore, annulate lamellae, Cajal body, cytoplasm, nucleolus, ribonucleoprotein complex, nuclear envelope, nuclear membrane, cytosol, nucleoplasm, nucleus, intracellular membrane-bounded organelle";0,00367466927976482
"15";15;"O43736";"O43736-1,O43736-2";"ITM2A_HUMAN";"Integral membrane protein 2A";"ITM2A";2;4;0,00114713568184013;2;2;2;2;NA;NA;"integral component of membrane";0,000979911807937286
"39";39;"P04843";"P04843";"RPN1_HUMAN";"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1";"RPN1";3;3;0,000745543700965287;3;NA;3;NA;0,0022074835077989;NA;"melanosome, rough endoplasmic reticulum, endoplasmic reticulum membrane, oligosaccharyltransferase complex, integral component of membrane";0,000734933855952964
"77";77;"P11498";"P11498";"PYC_HUMAN";"Pyruvate carboxylase, mitochondrial";"PC";35;67;0,0085796595287372;30;29;34;33;0,0128913538862348;0,0125497519643397;"cytosol, mitochondrion, mitochondrial inner membrane, mitochondrial matrix";0,0164135227829495
"79";79;"P12236";"P12236";"ADT3_HUMAN";"ADP/ATP translocase 3";"SLC25A6";1;2;0,00531512615000253;1;1;1;1;0,0074940855102569;0,00826823703243412;"nucleus, mitochondrial inner membrane presequence translocase complex, mitochondrion, mitochondrial inner membrane, integral component of membrane";0,000489955903968643
"131";131;"P26196";"P26196";"DDX6_HUMAN";"Probable ATP-dependent RNA helicase DDX6";"DDX6";5;6;0,0018738924492171;3;3;3;3;0,00277420805224417;0,00278253487935107;"cytoplasm, cytosol, intracellular membrane-bounded organelle, cytoplasmic stress granule, cytoplasmic mRNA processing body, RISC complex";0,00146986771190593
"265";265;"Q8NBI5";"Q8NBI5";"S43A3_HUMAN";"Solute carrier family 43 member 3";"SLC43A3";5;7;0,00215058736279804;2;4;2;5;0,00181933807092184;0,00456199710362038;"integral component of membrane";0,00171484566389025
"283";283;"Q96PQ1";"Q96PQ1-1";"SIG12_HUMAN";"Sialic acid-binding Ig-like lectin 12";"SIGLEC12";7;10;0,00253526625482313;4;6;4;6;NA;NA;"integral component of membrane";0,00244977951984321
"284";284;"Q96RQ3";"Q96RQ3";"MCCA_HUMAN";"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial";"MCCC1";31;96;0,0199744011690341;29;27;52;44;0,0320354066391561;0,0271882442556179;"mitochondrial inner membrane, mitochondrion, cytosol, mitochondrial matrix";0,0235178833904949
"293";293;"Q9NV96";"Q9NV96-1,Q9NV96-2";"CC50A_HUMAN";"Cell cycle control protein 50A";"TMEM30A";3;3;0,000626793665492977;3;NA;3;NA;NA;NA;"endoplasmic reticulum, integral component of membrane";0,000734933855952964
"296";296;"Q9P2B2";"Q9P2B2";"FPRP_HUMAN";"Prostaglandin F2 receptor negative regulator";"PTGFRN";17;31;0,00532002116839735;11;16;12;19;0,00609757674281654;0,00968347462563699;"integral component of membrane, Golgi apparatus, endoplasmic reticulum membrane";0,00759431651151396
"302";302;"Q9ULF5";"Q9ULF5";"S39AA_HUMAN";"Zinc transporter ZIP10";"SLC39A10";10;15;0,00272289426285156;8;7;8;7;0,00429985556111972;0,00377366643685758;"integral component of membrane";0,00367466927976482
"309";309;"Q9Y639";"Q9Y639-1,Q9Y639-2";"NPTN_HUMAN";"Neuroplastin";"NPTN";5;12;0,00227409561048206;3;4;6;6;NA;NA;"presynaptic membrane, integral component of membrane";0,00293973542381186
