"";"X";"protein.acs";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5455.1.id.csv";"peptide.count.P5455.2.id.csv";"spectra.count.P5455.1.id.csv";"spectra.count.P5455.2.id.csv";"dNSAF.P5455.1.id.csv";"dNSAF.P5455.2.id.csv";"Go.Cc";"norm.sc"
"9";9;"O15427";"O15427";"MOT4_HUMAN";"Monocarboxylate transporter 4";"SLC16A3";3;4;0,00129762014762991;2;2;2;2;0,00192106450069381;0,0019268306046259;"integral component of plasma membrane, plasma membrane, actin cytoskeleton, nuclear membrane, membrane";0,000979911807937286
"10";10;"O15431";"O15431";"COPT1_HUMAN";"High affinity copper uptake protein 1";"SLC31A1";2;4;0,00317575457183108;2;2;2;2;0,00470155259380328;0,00471566437447917;"integral component of plasma membrane, plasma membrane";0,000979911807937286
"41";41;"P04920";"P04920-1,P04920-2";"B3A2_HUMAN";"Anion exchange protein 2";"SLC4A2";1;1;6,0776930766308e-05;1;NA;1;NA;NA;NA;"integral component of membrane, basolateral plasma membrane, plasma membrane, membrane";0,000244977951984321
"45";45;"P05141";"P05141";"ADT2_HUMAN";"ADP/ATP translocase 2";"SLC25A5";1;2;0,00531512615000253;1;1;1;1;0,0074940855102569;0,00826823703243412;"MMXD complex, mitochondrion, extracellular vesicular exosome, mitochondrial nucleoid, integral component of plasma membrane, mitochondrial inner membrane, nucleus";0,000489955903968643
"63";63;"P08195";"P08195-1,P08195-2,P08195-3,P08195-4";"4F2_HUMAN";"4F2 cell-surface antigen heavy chain";"SLC3A2";31;117;0,00700367302894891;29;30;57;60;NA;NA;"plasma membrane, cytoplasm, apical plasma membrane, cell junction, nucleus, melanosome, extracellular vesicular exosome, integral component of membrane";0,0286624203821656
"75";75;"P11166";"P11166";"GTR1_HUMAN";"Solute carrier family 2, facilitated glucose transporter member 1";"SLC2A1";5;10;0,00306602321467432;5;5;5;5;0,00453910057328568;0,00455272475178376;"caveola, basolateral plasma membrane, cortical actin cytoskeleton, integral component of membrane, melanosome, membrane, cell-cell junction, extracellular vesicular exosome, blood microparticle, plasma membrane, midbody, female pronucleus";0,00244977951984321
"76";76;"P11169";"P11169";"GTR3_HUMAN";"Solute carrier family 2, facilitated glucose transporter member 3";"SLC2A3";5;9;0,00273716749890683;4;5;4;5;0,0036019959388009;0,00451600922959195;"extracellular vesicular exosome, integral component of membrane, plasma membrane";0,00220480156785889
"79";79;"P12236";"P12236";"ADT3_HUMAN";"ADP/ATP translocase 3";"SLC25A6";1;2;0,00531512615000253;1;1;1;1;0,0074940855102569;0,00826823703243412;"nucleus, mitochondrial inner membrane presequence translocase complex, mitochondrion, mitochondrial inner membrane, integral component of membrane";0,000489955903968643
"146";146;"P30825";"P30825";"CTR1_HUMAN";"High affinity cationic amino acid transporter 1";"SLC7A1";3;6;0,0014389349013861;3;3;3;3;0,00213027422771691;0,00213666827778468;"integral component of plasma membrane, plasma membrane";0,00146986771190593
"162";162;"P43007";"P43007-1";"SATT_HUMAN";"Neutral amino acid transporter A";"SLC1A4";7;11;0,00311904466876267;4;7;4;7;NA;NA;"plasma membrane, neuronal cell body, intermediate filament, integral component of plasma membrane, microtubule organizing center, melanosome, integral component of membrane, extracellular vesicular exosome, centrosome, dendrite";0,00269475747182754
"176";176;"P53007";"P53007";"TXTP_HUMAN";"Tricarboxylate transport protein, mitochondrial";"SLC25A1";2;2;0,000970085801684736;2;NA;2;NA;0,00287233116663223;NA;"integral component of membrane, mitochondrial inner membrane, extracellular vesicular exosome, nucleus";0,000489955903968643
"177";177;"P53794";"P53794";"SC5A3_HUMAN";"Sodium/myo-inositol cotransporter";"SLC5A3";3;6;0,00126057110441763;3;3;3;3;0,00186621516606397;0,00187181663889494;"integral component of membrane, integral component of plasma membrane, plasma membrane";0,00146986771190593
"178";178;"P53985";"P53985";"MOT1_HUMAN";"Monocarboxylate transporter 1";"SLC16A1";2;2;0,000603393368647906;NA;2;NA;2;NA;0,00179195246230209;"mitochondrion, integral component of membrane, membrane, extracellular vesicular exosome, plasma membrane, centrosome, integral component of plasma membrane";0,000489955903968643
"182";182;"P55011";"P55011-1";"S12A2_HUMAN";"Solute carrier family 12 member 2";"SLC12A2";12;21;0,00261370889884613;8;11;9;12;NA;NA;"basolateral plasma membrane, extracellular vesicular exosome, integral component of plasma membrane, plasma membrane, membrane, apical plasma membrane";0,00514453699167075
"221";221;"Q00325";"Q00325-1,Q00325-2";"MPCP_HUMAN";"Phosphate carrier protein, mitochondrial";"SLC25A3";4;6;0,00125012438255782;3;3;3;3;NA;NA;"extracellular vesicular exosome, mitochondrion, mitochondrial inner membrane, integral component of plasma membrane";0,00146986771190593
"224";224;"Q01650";"Q01650";"LAT1_HUMAN";"Large neutral amino acids transporter small subunit 1";"SLC7A5";5;20;0,00636101286407029;5;4;11;9;0,0103366153015635;0,00852048402404838;"integral component of membrane, extracellular vesicular exosome, nucleolus, cytosol, plasma membrane, nucleus, apical plasma membrane";0,00489955903968643
"247";247;"Q15043";"Q15043-1,Q15043-2,Q15043-3";"S39AE_HUMAN";"Zinc transporter ZIP14";"SLC39A14";4;11;0,00112420851204725;4;4;5;6;NA;NA;"plasma membrane, lamellipodium, integral component of membrane, integral component of plasma membrane, Golgi apparatus, endoplasmic reticulum";0,00269475747182754
"250";250;"Q15758";"Q15758-1";"AAAT_HUMAN";"Neutral amino acid transporter B(0)";"SLC1A5";13;34;0,00948030246489316;9;13;15;19;NA;NA;"membrane, integral component of plasma membrane, extracellular vesicular exosome, plasma membrane, Golgi apparatus, melanosome";0,00832925036746693
"264";264;"Q8IWA5";"Q8IWA5-1,Q8IWA5-2,Q8IWA5-3";"CTL2_HUMAN";"Choline transporter-like protein 2";"SLC44A2";4;6;0,000427332414056591;4;2;4;2;NA;NA;"extracellular vesicular exosome, plasma membrane, lysosomal membrane, integral component of membrane";0,00146986771190593
"265";265;"Q8NBI5";"Q8NBI5";"S43A3_HUMAN";"Solute carrier family 43 member 3";"SLC43A3";5;7;0,00215058736279804;2;4;2;5;0,00181933807092184;0,00456199710362038;"integral component of membrane";0,00171484566389025
"269";269;"Q8WUX1";"Q8WUX1-1";"S38A5_HUMAN";"Sodium-coupled neutral amino acid transporter 5";"SLC38A5";6;18;0,00575269101465165;6;6;9;9;NA;NA;"integral component of membrane, plasma membrane";0,00440960313571779
"270";270;"Q92536";"Q92536";"YLAT2_HUMAN";"Y+L amino acid transporter 2";"SLC7A6";5;9;0,00281799045618958;4;5;4;5;0,00370038055279274;0,0046600705503695;"plasma membrane, integral component of plasma membrane, basolateral plasma membrane";0,00220480156785889
"285";285;"Q99808";"Q99808";"S29A1_HUMAN";"Equilibrative nucleoside transporter 1";"SLC29A1";8;18;0,00595453982218328;5;8;8;10;0,00783592098967213;0,00982430078016495;"apical plasma membrane, integral component of plasma membrane, plasma membrane, membrane, basolateral plasma membrane";0,00440960313571779
