"";"ID";"AC";"Description";"Gene";"GSC.pos";"GSC.neg";"GSC.pos.norm";"GSC.neg.norm";"ratio";"sqrt.ratio"
"1";"136429";"136429";"trypsin [Sus scrofa]";"";195;205;0,617088607594937;0,64873417721519;0,951219512195122;0,975304830396693
"2";"1433B_HUMAN";"P31946";"14-3-3 protein beta/alpha";"YWHAB";8;16;0,0253164556962025;0,0506329113924051;0,5;0,707106781186548
"3";"1433E_HUMAN";"P62258";"14-3-3 protein epsilon";"YWHAE";18;21;0,0569620253164557;0,0664556962025316;0,857142857142857;0,925820099772552
"4";"1433F_HUMAN";"Q04917";"14-3-3 protein eta";"YWHAH";3;1;0,00949367088607595;0,00316455696202532;3;1,73205080756888
"5";"1433G_HUMAN";"P61981";"14-3-3 protein gamma";"YWHAG";10;15;0,0316455696202532;0,0474683544303797;0,666666666666667;0,816496580927726
"6";"1433T_HUMAN";"P27348";"14-3-3 protein theta";"YWHAQ";19;17;0,060126582278481;0,0537974683544304;1,11764705882353;1,05718827974185
"7";"1433Z_HUMAN";"P63104";"14-3-3 protein zeta/delta";"YWHAZ";22;24;0,069620253164557;0,0759493670886076;0,916666666666667;0,957427107756338
"8";"162648";"162648";"albumin [Bos taurus]";"";23;7;0,0727848101265823;0,0221518987341772;3,28571428571429;1,81265393434993
"9";"1C17_HUMAN";"Q95604";"HLA class I histocompatibility antigen, Cw-17 alpha chain";"HLA-C";1;2;0,00316455696202532;0,00632911392405063;0,5;0,707106781186548
"10";"4F2_HUMAN";"P08195";"4F2 cell-surface antigen heavy chain";"SLC3A2";11;2;0,0348101265822785;0,00632911392405063;5,5;2,34520787991171
"11";"6PGD_HUMAN";"P52209";"6-phosphogluconate dehydrogenase, decarboxylating";"PGD";2;7;0,00632911392405063;0,0221518987341772;0,285714285714286;0,534522483824849
"12";"ABCF1_HUMAN";"Q8NE71";"ATP-binding cassette sub-family F member 1";"ABCF1";2;10;0,00632911392405063;0,0316455696202532;0,2;0,447213595499958
"13";"ACACA_HUMAN";"Q13085";"Acetyl-CoA carboxylase 1";"ACACA";819;716;2,59177215189873;2,26582278481013;1,14385474860335;1,06951145323617
"14";"ACON_HUMAN";"Q99798";"Aconitate hydratase, mitochondrial";"ACO2";2;8;0,00632911392405063;0,0253164556962025;0,25;0,5
"15";"ACTB_HUMAN, ACTG_HUMAN";"P60709";"Actin, cytoplasmic 1, Actin, cytoplasmic 2";"ACTB, ACTG1";87;71;0,275316455696203;0,224683544303797;1,22535211267606;1,10695623792274
"16";"ACTBL_HUMAN";"Q562R1";"Beta-actin-like protein 2";"ACTBL2";2;4;0,00632911392405063;0,0126582278481013;0,5;0,707106781186548
"17";"ACTC_HUMAN, ACTS_HUMAN";"P68133";"Actin, alpha cardiac muscle 1, Actin, alpha skeletal muscle";"ACTA1, ACTC1";2;4;0,00632911392405063;0,0126582278481013;0,5;0,707106781186548
"18";"ACTN1_HUMAN";"P12814";"Alpha-actinin-1";"ACTN1";1;3;0,00316455696202532;0,00949367088607595;0,333333333333333;0,577350269189626
"19";"ACTN4_HUMAN";"O43707";"Alpha-actinin-4";"ACTN4";1;3;0,00316455696202532;0,00949367088607595;0,333333333333333;0,577350269189626
"20";"ADT2_HUMAN";"P05141";"ADP/ATP translocase 2";"SLC25A5";25;22;0,0791139240506329;0,069620253164557;1,13636363636364;1,06600358177805
"21";"AIFM1_HUMAN";"O95831";"Apoptosis-inducing factor 1, mitochondrial";"AIFM1";8;9;0,0253164556962025;0,0284810126582278;0,888888888888889;0,942809041582063
"22";"ALDOA_HUMAN";"P04075";"Fructose-bisphosphate aldolase A";"ALDOA";52;59;0,164556962025316;0,186708860759494;0,88135593220339;0,938805588076355
"23";"ALDOC_HUMAN";"P09972";"Fructose-bisphosphate aldolase C";"ALDOC";8;9;0,0253164556962025;0,0284810126582278;0,888888888888889;0,942809041582063
"24";"APEX1_HUMAN";"P27695";"DNA-(apurinic or apyrimidinic site) lyase";"APEX1";2;9;0,00632911392405063;0,0284810126582278;0,222222222222222;0,471404520791032
"25";"ARF1_HUMAN, ARF3_HUMAN";"P84077";"ADP-ribosylation factor 1, ADP-ribosylation factor 3";"ARF1, ARF3";4;4;0,0126582278481013;0,0126582278481013;1;1
"26";"ARF5_HUMAN";"P84085";"ADP-ribosylation factor 5";"ARF5";3;2;0,00949367088607595;0,00632911392405063;1,5;1,22474487139159
"27";"AT1A1_HUMAN";"P05023";"Sodium/potassium-transporting ATPase subunit alpha-1";"ATP1A1";2;3;0,00632911392405063;0,00949367088607595;0,666666666666667;0,816496580927726
"28";"ATPA_HUMAN";"P25705";"ATP synthase subunit alpha, mitochondrial";"ATP5A1";30;46;0,0949367088607595;0,145569620253165;0,652173913043478;0,807572853087248
"29";"ATPB_HUMAN";"P06576";"ATP synthase subunit beta, mitochondrial";"ATP5B";19;35;0,060126582278481;0,110759493670886;0,542857142857143;0,736788397613007
"30";"ATPG_HUMAN";"P36542";"ATP synthase subunit gamma, mitochondrial";"ATP5C1";1;4;0,00316455696202532;0,0126582278481013;0,25;0,5
"31";"ATPO_HUMAN";"P48047";"ATP synthase subunit O, mitochondrial";"ATP5O";4;12;0,0126582278481013;0,0379746835443038;0,333333333333333;0,577350269189626
"32";"BAP31_HUMAN";"P51572";"B-cell receptor-associated protein 31";"BCAP31";15;19;0,0474683544303797;0,060126582278481;0,789473684210526;0,888523316638639
"33";"C1TC_HUMAN";"P11586";"C-1-tetrahydrofolate synthase, cytoplasmic";"MTHFD1";11;16;0,0348101265822785;0,0506329113924051;0,6875;0,82915619758885
"34";"CALR_HUMAN";"P27797";"Calreticulin";"CALR";3;22;0,00949367088607595;0,069620253164557;0,136363636363636;0,369274472937998
"35";"CALX_HUMAN";"P27824";"Calnexin";"CANX";19;19;0,060126582278481;0,060126582278481;1;1
"36";"CAP1_HUMAN";"Q01518";"Adenylyl cyclase-associated protein 1";"CAP1";15;17;0,0474683544303797;0,0537974683544304;0,882352941176471;0,939336436627724
"37";"CAPZB_HUMAN";"P47756";"F-actin-capping protein subunit beta";"CAPZB";4;2;0,0126582278481013;0,00632911392405063;2;1,4142135623731
"38";"CATA_HUMAN";"P04040";"Catalase";"CAT";7;4;0,0221518987341772;0,0126582278481013;1,75;1,3228756555323
"39";"CAZA1_HUMAN";"P52907";"F-actin-capping protein subunit alpha-1";"CAPZA1";4;4;0,0126582278481013;0,0126582278481013;1;1
"40";"CBR1_HUMAN, CBR3_HUMAN";"P16152";"Carbonyl reductase [NADPH] 1, Carbonyl reductase [NADPH] 3";"CBR1, CBR3";3;3;0,00949367088607595;0,00949367088607595;1;1
"41";"CH10_HUMAN";"P61604";"10 kDa heat shock protein, mitochondrial";"HSPE1";10;18;0,0316455696202532;0,0569620253164557;0,555555555555556;0,74535599249993
"42";"CH60_HUMAN";"P10809";"60 kDa heat shock protein, mitochondrial";"HSPD1";79;86;0,25;0,272151898734177;0,918604651162791;0,958438652790459
"43";"CHCH3_HUMAN";"Q9NX63";"Coiled-coil-helix-coiled-coil-helix domain-containing protein 3, mitochondrial";"CHCHD3";3;3;0,00949367088607595;0,00949367088607595;1;1
"44";"CHD4_HUMAN";"Q14839";"Chromodomain-helicase-DNA-binding protein 4";"CHD4";11;11;0,0348101265822785;0,0348101265822785;1;1
"45";"CKAP5_HUMAN";"Q14008";"Cytoskeleton-associated protein 5";"CKAP5";5;2;0,0158227848101266;0,00632911392405063;2,5;1,58113883008419
"46";"CLH1_HUMAN";"Q00610";"Clathrin heavy chain 1";"CLTC";15;30;0,0474683544303797;0,0949367088607595;0,5;0,707106781186548
"47";"CLIC1_HUMAN";"O00299";"Chloride intracellular channel protein 1";"CLIC1";8;14;0,0253164556962025;0,0443037974683544;0,571428571428571;0,755928946018454
"48";"CNBP_HUMAN";"P62633";"Cellular nucleic acid-binding protein";"CNBP";2;18;0,00632911392405063;0,0569620253164557;0,111111111111111;0,333333333333333
"49";"COF1_HUMAN";"P23528";"Cofilin-1";"CFL1";32;39;0,10126582278481;0,123417721518987;0,82051282051282;0,905821627315677
"50";"COR1A_HUMAN";"P31146";"Coronin-1A";"CORO1A";23;28;0,0727848101265823;0,0886075949367089;0,821428571428571;0,906326967174966
"51";"CORO7_HUMAN";"P57737";"Coronin-7";"CORO7";3;7;0,00949367088607595;0,0221518987341772;0,428571428571429;0,654653670707977
"52";"CPZIP_HUMAN";"Q6JBY9";"CapZ-interacting protein";"RCSD1";3;3;0,00949367088607595;0,00949367088607595;1;1
"53";"CSRP1_HUMAN";"P21291";"Cysteine and glycine-rich protein 1";"CSRP1";3;11;0,00949367088607595;0,0348101265822785;0,272727272727273;0,522232967867094
"54";"DCD_HUMAN";"P81605";"Dermcidin";"DCD";1;4;0,00316455696202532;0,0126582278481013;0,25;0,5
"55";"DDX17_HUMAN";"Q92841";"Probable ATP-dependent RNA helicase DDX17";"DDX17";7;7;0,0221518987341772;0,0221518987341772;1;1
"56";"DDX3X_HUMAN";"O00571";"ATP-dependent RNA helicase DDX3X";"DDX3X";16;15;0,0506329113924051;0,0474683544303797;1,06666666666667;1,03279555898864
"57";"DDX5_HUMAN";"P17844";"Probable ATP-dependent RNA helicase DDX5";"DDX5";13;11;0,0411392405063291;0,0348101265822785;1,18181818181818;1,08711461300922
"58";"DECR_HUMAN";"Q16698";"2,4-dienoyl-CoA reductase, mitochondrial";"DECR1";2;1;0,00632911392405063;0,00316455696202532;2;1,4142135623731
"59";"DHX15_HUMAN";"O43143";"Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15";"DHX15";1;2;0,00316455696202532;0,00632911392405063;0,5;0,707106781186548
"60";"DHX9_HUMAN";"Q08211";"ATP-dependent RNA helicase A";"DHX9";12;11;0,0379746835443038;0,0348101265822785;1,09090909090909;1,04446593573419
"61";"DPYL2_HUMAN";"Q16555";"Dihydropyrimidinase-related protein 2";"DPYSL2";24;15;0,0759493670886076;0,0474683544303797;1,6;1,26491106406735
"62";"DUT_HUMAN";"P33316";"Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial";"DUT";1;1;0,00316455696202532;0,00316455696202532;1;1
"63";"DYHC1_HUMAN";"Q14204";"Cytoplasmic dynein 1 heavy chain 1";"DYNC1H1";8;16;0,0253164556962025;0,0506329113924051;0,5;0,707106781186548
"64";"ECHA_HUMAN";"P40939";"Trifunctional enzyme subunit alpha, mitochondrial";"HADHA";6;12;0,0189873417721519;0,0379746835443038;0,5;0,707106781186548
"65";"EF1A1_HUMAN, EF1A3_HUMAN";"P68104";"Elongation factor 1-alpha 1, Putative elongation factor 1-alpha-like 3";"EEF1A1, EEF1A1P5";77;65;0,243670886075949;0,205696202531646;1,18461538461538;1,08840037881994
"66";"EF1D_HUMAN";"P29692";"Elongation factor 1-delta";"EEF1D";2;10;0,00632911392405063;0,0316455696202532;0,2;0,447213595499958
"67";"EF1G_HUMAN";"P26641";"Elongation factor 1-gamma";"EEF1G";17;21;0,0537974683544304;0,0664556962025316;0,80952380952381;0,899735410842437
"68";"EF2_HUMAN";"P13639";"Elongation factor 2";"EEF2";58;70;0,183544303797468;0,221518987341772;0,828571428571429;0,9102589898328
"69";"EFTU_HUMAN";"P49411";"Elongation factor Tu, mitochondrial";"TUFM";17;29;0,0537974683544304;0,0917721518987342;0,586206896551724;0,765641493488776
"70";"EIF3A_HUMAN";"Q14152";"Eukaryotic translation initiation factor 3 subunit A";"EIF3A";18;25;0,0569620253164557;0,0791139240506329;0,72;0,848528137423857
"71";"EIF3B_HUMAN";"P55884";"Eukaryotic translation initiation factor 3 subunit B";"EIF3B";1;1;0,00316455696202532;0,00316455696202532;1;1
"72";"EIF3C_HUMAN";"Q99613";"Eukaryotic translation initiation factor 3 subunit C";"EIF3C,EIF3CL";2;2;0,00632911392405063;0,00632911392405063;1;1
"73";"EIF3G_HUMAN";"O75821";"Eukaryotic translation initiation factor 3 subunit G";"EIF3G";2;2;0,00632911392405063;0,00632911392405063;1;1
"74";"EIF3H_HUMAN";"O15372";"Eukaryotic translation initiation factor 3 subunit H";"EIF3H";2;3;0,00632911392405063;0,00949367088607595;0,666666666666667;0,816496580927726
"75";"ENOA_HUMAN";"P06733";"Alpha-enolase";"ENO1";76;96;0,240506329113924;0,30379746835443;0,791666666666667;0,889756521002609
"76";"ENPL_HUMAN";"P14625";"Endoplasmin";"HSP90B1";16;26;0,0506329113924051;0,0822784810126582;0,615384615384615;0,784464540552736
"77";"ERP29_HUMAN";"P30040";"Endoplasmic reticulum resident protein 29";"ERP29";2;4;0,00632911392405063;0,0126582278481013;0,5;0,707106781186548
"78";"ESTD_HUMAN";"P10768";"S-formylglutathione hydrolase";"ESD";4;10;0,0126582278481013;0,0316455696202532;0,4;0,632455532033676
"79";"EZRI_HUMAN";"P15311";"Ezrin";"EZR";5;3;0,0158227848101266;0,00949367088607595;1,66666666666667;1,29099444873581
"80";"F120A_HUMAN";"Q9NZB2";"Constitutive coactivator of PPAR-gamma-like protein 1";"FAM120A";2;7;0,00632911392405063;0,0221518987341772;0,285714285714286;0,534522483824849
"81";"FA49B_HUMAN";"Q9NUQ9";"Protein FAM49B";"FAM49B";9;4;0,0284810126582278;0,0126582278481013;2,25;1,5
"82";"FABP5_HUMAN";"Q01469";"Fatty acid-binding protein, epidermal";"FABP5";13;14;0,0411392405063291;0,0443037974683544;0,928571428571428;0,963624111659432
"83";"FAS_HUMAN";"P49327";"Fatty acid synthase";"FASN";64;42;0,20253164556962;0,132911392405063;1,52380952380952;1,23442679969674
"84";"FEN1_HUMAN";"P39748";"Flap endonuclease 1";"FEN1";4;7;0,0126582278481013;0,0221518987341772;0,571428571428571;0,755928946018454
"85";"FKBP3_HUMAN";"Q00688";"Peptidyl-prolyl cis-trans isomerase FKBP3";"FKBP3";2;2;0,00632911392405063;0,00632911392405063;1;1
"86";"FKBP4_HUMAN";"Q02790";"Peptidyl-prolyl cis-trans isomerase FKBP4";"FKBP4";3;16;0,00949367088607595;0,0506329113924051;0,1875;0,433012701892219
