"";"X";"protein.acs";"X.1";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5767";"peptide.count.P5768";"spectra.count.P5767";"spectra.count.P5768";"dNSAF.P5767";"dNSAF.P5768";"Go.Cc";"norm.sc"
"16";16;"O60664";"O60664-1,O60664-3";"O60664-1,O60664-3";"PLIN3_HUMAN";"Perilipin-3";"PLIN3";2;2;0,000136370036830051;NA;2;NA;2;NA;NA;"lipid particle, endosome, Golgi apparatus, endosome membrane";0,000294247462115639
"27";27;"O95202";"O95202-1";"O95202-1";"LETM1_HUMAN";"LETM1 and EF-hand domain-containing protein 1, mitochondrial";"LETM1";1;1;8,00874099922088e-05;NA;1;NA;1;NA;NA;"mitochondrial inner membrane, integral component of membrane";0,00014712373105782
"29";29;"O95831";"O95831-1,O95831-3";"O95831-1,O95831-3";"AIFM1_HUMAN";"Apoptosis-inducing factor 1, mitochondrial";"AIFM1";5;8;0,00038619638488902;4;2;6;2;NA;NA;"perinuclear region of cytoplasm, mitochondrial inner membrane, nucleus, cytosol, mitochondrial intermembrane space";0,00117698984846256
"31";31;"P00387";"P00387-1,P00387-2,P00387-3";"P00387-1,P00387-2,P00387-3";"NB5R3_HUMAN";"NADH-cytochrome b5 reductase 3";"CYB5R3";6;12;0,000786506258926808;5;4;8;4;NA;NA;"lipid particle, mitochondrial outer membrane, mitochondrial inner membrane, endoplasmic reticulum membrane, hemoglobin complex, endoplasmic reticulum";0,00176548477269384
"43";43;"P04843";"P04843";"P04843";"RPN1_HUMAN";"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1";"RPN1";5;9;0,000877531077196344;5;NA;9;NA;0,00210156391874876;NA;"integral component of membrane, oligosaccharyltransferase complex, melanosome, rough endoplasmic reticulum";0,00132411357952038
"44";44;"P04844";"P04844-1,P04844-2";"P04844-1,P04844-2";"RPN2_HUMAN";"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2";"RPN2";1;1;4,68974611602554e-05;NA;1;NA;1;NA;NA;"rough endoplasmic reticulum, autophagic vacuole membrane, integral component of membrane, nucleus, oligosaccharyltransferase complex";0,00014712373105782
"91";91;"P11498";"P11498";"P11498";"PYC_HUMAN";"Pyruvate carboxylase, mitochondrial";"PC";35;102;0,00512464243666614;28;25;42;60;0,00505350599364091;0,00725298307186977;"cytosol, mitochondrial matrix, mitochondrial inner membrane";0,0150066205678976
"97";97;"P12956";"P12956";"P12956";"XRCC6_HUMAN";"X-ray repair cross-complementing protein 6";"XRCC6";7;11;0,00106901569101259;5;4;6;5;0,00139644148733497;0,00116913164458985;"membrane, Ku70:Ku80 complex, nonhomologous end joining complex, cytosol, nuclear telomere cap complex, nucleolus, transcription factor complex, nucleoplasm";0,00161836104163602
"112";112;"P15531";"P15531-1,P15531-2";"P15531-1,P15531-2";"NDKA_HUMAN";"Nucleoside diphosphate kinase A";"NME1";3;10;0,00194686171000797;3;2;8;2;NA;NA;"perinuclear region of cytoplasm, centrosome, ruffle membrane, nucleus, cytosol";0,0014712373105782
"136";136;"P20700";"P20700";"P20700";"LMNB1_HUMAN";"Lamin-B1";"LMNB1";6;12;0,00121197124882407;6;NA;12;NA;0,00290250124841979;NA;"lamin filament, nuclear envelope, nucleoplasm, nuclear inner membrane";0,00176548477269384
