"";"X";"protein.acs";"X.1";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5826.1.id.csv";"peptide.count.P5826.2.id.csv";"spectra.count.P5826.1.id.csv";"spectra.count.P5826.2.id.csv";"dNSAF.P5826.1.id.csv";"dNSAF.P5826.2.id.csv";"Go.Cc";"norm.sc"
"39";39;"O15427";"O15427";"O15427";"MOT4_HUMAN";"Monocarboxylate transporter 4";"SLC16A3";5;12;0,000974022200106583;4;4;6;6;0,00121039465186263;0,0012341590496693;"actin cytoskeleton, nuclear membrane, integral component of plasma membrane";0,00123329907502569
"133";133;"P05141";"P05141";"P05141";"ADT2_HUMAN";"ADP/ATP translocase 2";"SLC25A5";5;13;0,00296374036894847;4;5;7;6;0,00367247818028791;0,00385157018856527;"MMXD complex, mitochondrial nucleoid, integral component of plasma membrane, mitochondrial inner membrane";0,0013360739979445
"166";166;"P08195";"P08195-1,P08195-2,P08195-3,P08195-4";"P08195-1,P08195-2,P08195-3,P08195-4";"4F2_HUMAN";"4F2 cell-surface antigen heavy chain";"SLC3A2";23;58;0,000868696386801407;19;23;26;32;NA;NA;"apical plasma membrane, melanosome, extracellular vesicular exosome, integral component of membrane, plasma membrane";0,00596094552929085
"200";200;"P11169";"P11169,Q8TDB8-1,Q8TDB8-2";"P11169,Q8TDB8-1,Q8TDB8-2";"GTR14_HUMAN, GTR3_HUMAN";"Solute carrier family 2, facilitated glucose transporter member 14, Solute carrier family 2, facilitated glucose transporter member 3";"SLC2A14, SLC2A3";3;6;0,000147435000992696;3;3;3;3;0,000567372493060609;0,000578512054532486;"integral component of membrane, extracellular vesicular exosome, plasma membrane";0,000616649537512847
"209";209;"P12236";"P12236";"P12236";"ADT3_HUMAN";"ADP/ATP translocase 3";"SLC25A6";1;2;0,000455960056761303;1;0;2;0;0,00104927948008226;0;"integral component of membrane, mitochondrial inner membrane presequence translocase complex";0,000205549845837616
"417";417;"P43007";"P43007-1,P43007-2";"P43007-1,P43007-2";"SATT_HUMAN";"Neutral amino acid transporter A";"SLC1A4";1;1;3,5473082945611e-05;NA;1;NA;1;NA;NA;"melanosome, neuronal cell body, intermediate filament, dendrite, integral component of plasma membrane, extracellular vesicular exosome";0,000102774922918808
"487";487;"P53007";"P53007";"P53007";"TXTP_HUMAN";"Tricarboxylate transport protein, mitochondrial";"SLC25A1";1;1;0,000121361286990772;NA;1;NA;1;NA;0,000307547673149103;"mitochondrial inner membrane, integral component of membrane, extracellular vesicular exosome";0,000102774922918808
"490";490;"P53985";"P53985";"P53985";"MOT1_HUMAN";"Monocarboxylate transporter 1";"SLC16A1";2;5;0,000377433602541301;2;2;3;2;0,000562833513116124;0,000382589305397484;"integral component of plasma membrane, centrosome, mitochondrion, extracellular vesicular exosome";0,000513874614594039
"626";626;"Q00325";"Q00325-1,Q00325-2";"Q00325-1,Q00325-2";"MPCP_HUMAN";"Phosphate carrier protein, mitochondrial";"SLC25A3";8;17;0,000886239121989242;8;6;10;7;NA;NA;"mitochondrial inner membrane, extracellular vesicular exosome, integral component of plasma membrane";0,00174717368961973
"638";638;"Q01650";"Q01650";"Q01650";"LAT1_HUMAN";"Large neutral amino acids transporter small subunit 1";"SLC7A5";5;10;0,000744444975426629;5;5;5;5;0,000925104393681993;0,000943267518238372;"plasma membrane, extracellular vesicular exosome, integral component of membrane, cytosol, apical plasma membrane";0,00102774922918808
