"";"X";"protein.acs";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5772.3.id.csv";"peptide.count.P5772.4.id.csv";"spectra.count.P5772.3.id.csv";"spectra.count.P5772.4.id.csv";"dNSAF.P5772.3.id.csv";"dNSAF.P5772.4.id.csv";"Go.Cc";"norm.sc"
"1";1;"O00299";"O00299";"CLIC1_HUMAN";"Chloride intracellular channel protein 1";"CLIC1";3;6;0,00225161745124767;3;2;4;2;0,0035581632466375;0,00177670524451318;"extracellular space, cytoplasm, brush border, blood microparticle, nuclear envelope, extracellular vesicular exosome, perinuclear region of cytoplasm, mitochondrion, nucleus, chloride channel complex, plasma membrane, nuclear membrane";0,00143712574850299
"2";2;"O00483";"O00483";"NDUA4_HUMAN";"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4";"NDUFA4";1;1;0,0011165428101866;NA;1;NA;1;NA;0,00264312323412146;"mitochondrial respiratory chain complex IV, extracellular vesicular exosome, mitochondrion, mitochondrial respiratory chain complex I, mitochondrial inner membrane";0,000239520958083832
"3";3;"O00571";"O00571-1,O00571-2";"DDX3X_HUMAN";"ATP-dependent RNA helicase DDX3X";"DDX3X";7;9;0,000614773193826308;6;3;6;3;NA;NA;"nuclear speck, cytoplasmic stress granule, nucleus, cytoplasm, extracellular vesicular exosome, mitochondrial outer membrane";0,00215568862275449
"4";4;"O14818";"O14818-1,O14818-2,Q8TAA3-1,Q8TAA3-2,Q8TAA3-5";"PSA7_HUMAN, PSA7L_HUMAN";"Proteasome subunit alpha type-7, Proteasome subunit alpha type-7-like";"PSMA7, PSMA8";1;1;7,15506072983502e-05;1;NA;1;NA;NA;NA;"extracellular vesicular exosome, proteasome core complex, alpha-subunit complex, proteasome complex, nucleoplasm, nucleus, cytosol, proteasome core complex";0,000239520958083832
"6";6;"O15143";"O15143";"ARC1B_HUMAN";"Actin-related protein 2/3 complex subunit 1B";"ARPC1B";1;1;0,000243118192540631;NA;1;NA;1;NA;0,000575518768719995;"Arp2/3 protein complex, actin cytoskeleton, extracellular vesicular exosome, cytoplasm";0,000239520958083832
"7";7;"O15372";"O15372";"EIF3H_HUMAN";"Eukaryotic translation initiation factor 3 subunit H";"EIF3H";1;1;0,000256931726207712;1;NA;1;NA;0,000609032203437243;NA;"extracellular vesicular exosome, eukaryotic translation initiation factor 3 complex, eukaryotic 48S preinitiation complex, eukaryotic 43S preinitiation complex, cytosol";0,000239520958083832
"9";9;"O43175";"O43175";"SERA_HUMAN";"D-3-phosphoglycerate dehydrogenase";"PHGDH";3;6;0,00101808593949472;3;3;3;3;0,00120663791150043;0,00120502616489965;"extracellular vesicular exosome, cytosol";0,00143712574850299
"12";12;"O60814";"O60814,P57053,P58876,P62807,Q5QNW6-1,Q5QNW6-2,Q93079,Q99877,Q99879,Q99880";"H2B1C_HUMAN, H2B1D_HUMAN, H2B1H_HUMAN, H2B1K_HUMAN, H2B1L_HUMAN, H2B1M_HUMAN, H2B1N_HUMAN, H2B2F_HUMAN, H2BFS_HUMAN";"Histone H2B type 1-C/E/F/G/I, Histone H2B type 1-D, Histone H2B type 1-H, Histone H2B type 1-K, Histone H2B type 1-L, Histone H2B type 1-M, Histone H2B type 1-N, Histone H2B type 2-F, Histone H2B type F-S";"H2BFS, HIST1H2BD, HIST1H2BH, HIST1H2BI,HIST1H2BG,HIST1H2BC,HIST1H2BE,HIST1H2BF, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST2H2BF";1;2;0,000322999884375409;1;1;1;1;0,000425355824622837;0,000530984578283329;"nucleosome, nucleus, nucleoplasm, extracellular space";0,000479041916167665
"15";15;"O75874";"O75874";"IDHC_HUMAN";"Isocitrate dehydrogenase [NADP] cytoplasmic";"IDH1";1;1;0,000218454028079987;NA;1;NA;1;NA;0,000517132806675938;"cytosol, peroxisomal matrix, extracellular vesicular exosome, cytoplasm, mitochondrion, peroxisome";0,000239520958083832
"18";18;"O95716";"O95716";"RAB3D_HUMAN";"Ras-related protein Rab-3D";"RAB3D";0;0;0;0;0;0;0;NA;0;"mitochondrion, extracellular vesicular exosome, zymogen granule, transport vesicle, plasma membrane";0
"20";20;"P00338";"P00338-1,P00338-3";"LDHA_HUMAN";"L-lactate dehydrogenase A chain";"LDHA";11;22;0,00318378651089918;11;9;11;11;NA;NA;"extracellular vesicular exosome, cilium, nucleus, cytosol, mitochondrion";0,00526946107784431
"21";21;"P00387";"P00387-1,P00387-2,P00387-3";"NB5R3_HUMAN";"NADH-cytochrome b5 reductase 3";"CYB5R3";7;12;0,00120186003488524;6;6;6;6;NA;NA;"cytoplasm, mitochondrial outer membrane, endoplasmic reticulum membrane, endoplasmic reticulum, lipid particle, extracellular vesicular exosome, membrane, mitochondrion, hemoglobin complex, mitochondrial inner membrane";0,00287425149700599
"22";22;"P00558";"P00558";"PGK1_HUMAN";"Phosphoglycerate kinase 1";"PGK1";21;51;0,0110610032347263;20;19;27;24;0,013880676406397;0,0123218982425231;"cytosol, extracellular vesicular exosome";0,0122155688622754
"23";23;"P00846";"P00846";"ATP6_HUMAN";"ATP synthase subunit a";"MT-ATP6";2;2;0,000800353695797475;NA;2;NA;2;NA;0,00189462815897202;"mitochondrial inner membrane, extracellular vesicular exosome, proton-transporting ATP synthase complex, coupling factor F(o), mitochondrial proton-transporting ATP synthase complex, integral component of membrane";0,000479041916167665
"24";24;"P02533";"P02533";"K1C14_HUMAN";"Keratin, type I cytoskeletal 14";"KRT14";7;17;0,00643870315119758;6;7;9;8;0,00771512641584667;0,00751051371949193;"cytoplasm, cell periphery, nucleus, keratin filament, intermediate filament, cytosol, extracellular vesicular exosome";0,00407185628742515
"25";25;"P02538";"P02538";"K2C6A_HUMAN";"Keratin, type II cytoskeletal 6A";"KRT6A";2;4;0,00372251143706879;2;2;2;2;0,00471912738454783;0,004122759043742;"extracellular vesicular exosome, nucleus, keratin filament";0,000958083832335329
"27";27;"P04075";"P04075";"ALDOA_HUMAN";"Fructose-bisphosphate aldolase A";"ALDOA";15;30;0,00885143913913382;14;13;16;14;0,0110861970580432;0,00988121455217715;"actin cytoskeleton, platelet alpha granule lumen, extracellular vesicular exosome, I band, extracellular region, nucleus, M band, cytosol, extracellular space";0,00718562874251497
"28";28;"P04259";"P04259";"K2C6B_HUMAN";"Keratin, type II cytoskeletal 6B";"KRT6B";1;2;0,00180951570281762;1;1;1;1;0,00227851561887692;0,00201720037946151;"keratin filament, extracellular vesicular exosome";0,000479041916167665
"29";29;"P04264";"P04264";"K2C1_HUMAN";"Keratin, type II cytoskeletal 1";"KRT1";29;114;0,0189726349631566;26;26;56;58;0,0220380844877601;0,0228985337142638;"plasma membrane, extracellular vesicular exosome, membrane, keratin filament, cytoskeleton, nucleus, blood microparticle, extracellular space";0,0273053892215569
"31";31;"P04406";"P04406";"G3P_HUMAN";"Glyceraldehyde-3-phosphate dehydrogenase";"GAPDH";12;25;0,00674925131530706;11;8;13;12;0,008319198098295;0,00766900233900316;"nucleus, extracellular vesicular exosome, cytosol, ribonucleoprotein complex, cytoplasm, microtubule cytoskeleton, lipid particle, plasma membrane, perinuclear region of cytoplasm, GAIT complex";0,00598802395209581
