"";"ID";"AC";"Description";"Gene";"GSC.pos";"GSC.neg";"GSC.pos.norm";"GSC.neg.norm";"ratio";"sqrt.ratio"
"1";"136429";"136429";"trypsin [Sus scrofa]";"";195;205;0,0288760550866282;0,0263293090161829;1,09672665807067;1,04724718098005
"2";"1433B_HUMAN";"P31946";"14-3-3 protein beta/alpha";"YWHAB";8;16;0,00118465867022064;0,00205497045979964;0,57648452539612;0,75926578047224
"3";"1433E_HUMAN";"P62258";"14-3-3 protein epsilon";"YWHAE";18;21;0,00266548200799645;0,00269714872848703;0,988259186393349;0,994112260458219
"4";"1433F_HUMAN";"Q04917";"14-3-3 protein eta";"YWHAH";3;1;0,000444247001332741;0,000128435653737478;3,45890715237672;1,85981374131302
"5";"1433G_HUMAN";"P61981";"14-3-3 protein gamma";"YWHAG";10;15;0,0014808233377758;0,00192653480606216;0,768646033861494;0,876724605484238
"6";"1433T_HUMAN";"P27348";"14-3-3 protein theta";"YWHAQ";19;17;0,00281356434177403;0,00218340611353712;1,2886124685325;1,13517067815043
"7";"1433Z_HUMAN";"P63104";"14-3-3 protein zeta/delta";"YWHAZ";22;24;0,00325781134310677;0,00308245568969946;1,05688829655955;1,02805072664706
"8";"162648";"162648";"albumin [Bos taurus]";"";23;7;0,00340589367688435;0,000899049576162343;3,7883268811745;1,94636247425152
"9";"1C17_HUMAN";"Q95604";"HLA class I histocompatibility antigen, Cw-17 alpha chain";"HLA-C";1;2;0,00014808233377758;0,000256871307474955;0,57648452539612;0,75926578047224
"10";"4F2_HUMAN";"P08195";"4F2 cell-surface antigen heavy chain";"SLC3A2";11;2;0,00162890567155338;0,000256871307474955;6,34132977935732;2,51819970998277
"11";"6PGD_HUMAN";"P52209";"6-phosphogluconate dehydrogenase, decarboxylating";"PGD";2;7;0,000296164667555161;0,000899049576162343;0,329419728797783;0,57395098118026
"12";"ABCF1_HUMAN";"Q8NE71";"ATP-binding cassette sub-family F member 1";"ABCF1";2;10;0,000296164667555161;0,00128435653737478;0,230593810158448;0,480201843143535
"13";"ACACA_HUMAN";"Q13085";"Acetyl-CoA carboxylase 1";"ACACA";819;716;0,121279431363838;0,0919599280760339;1,3188291237414;1,14840285777309
"14";"ACON_HUMAN";"Q99798";"Aconitate hydratase, mitochondrial";"ACO2";2;8;0,000296164667555161;0,00102748522989982;0,28824226269806;0,536881982094818
"15";"ACTB_HUMAN, ACTG_HUMAN";"P60709";"Actin, cytoplasmic 1, Actin, cytoplasmic 2";"ACTB, ACTG1";87;71;0,0128831630386495;0,0091189314153609;1,41279306223838;1,18860971821636
"16";"ACTBL_HUMAN";"Q562R1";"Beta-actin-like protein 2";"ACTBL2";2;4;0,000296164667555161;0,00051374261494991;0,57648452539612;0,75926578047224
"17";"ACTC_HUMAN, ACTS_HUMAN";"P68133";"Actin, alpha cardiac muscle 1, Actin, alpha skeletal muscle";"ACTA1, ACTC1";2;4;0,000296164667555161;0,00051374261494991;0,57648452539612;0,75926578047224
"18";"ACTN1_HUMAN";"P12814";"Alpha-actinin-1";"ACTN1";1;3;0,00014808233377758;0,000385306961212433;0,384323016930747;0,619937913771006
"19";"ACTN4_HUMAN";"O43707";"Alpha-actinin-4";"ACTN4";1;3;0,00014808233377758;0,000385306961212433;0,384323016930747;0,619937913771006
"20";"ADT2_HUMAN";"P05141";"ADP/ATP translocase 2";"SLC25A5";25;22;0,00370205834443951;0,00282558438222451;1,310192103173;1,14463623181035
"21";"AIFM1_HUMAN";"O95831";"Apoptosis-inducing factor 1, mitochondrial";"AIFM1";8;9;0,00118465867022064;0,0011559208836373;1,02486137848199;1,01235437396299
"22";"ALDOA_HUMAN";"P04075";"Fructose-bisphosphate aldolase A";"ALDOA";52;59;0,00770028135643418;0,00757770357051117;1,01617611256265;1,00805560985625
"23";"ALDOC_HUMAN";"P09972";"Fructose-bisphosphate aldolase C";"ALDOC";8;9;0,00118465867022064;0,0011559208836373;1,02486137848199;1,01235437396299
"24";"APEX1_HUMAN";"P27695";"DNA-(apurinic or apyrimidinic site) lyase";"APEX1";2;9;0,000296164667555161;0,0011559208836373;0,256215344620498;0,506177186981494
"25";"ARF1_HUMAN, ARF3_HUMAN";"P84077";"ADP-ribosylation factor 1, ADP-ribosylation factor 3";"ARF1, ARF3";4;4;0,000592329335110321;0,00051374261494991;1,15296905079224;1,07376396418964
"26";"ARF5_HUMAN";"P84085";"ADP-ribosylation factor 5";"ARF5";3;2;0,000444247001332741;0,000256871307474955;1,72945357618836;1,31508690822636
"27";"AT1A1_HUMAN";"P05023";"Sodium/potassium-transporting ATPase subunit alpha-1";"ATP1A1";2;3;0,000296164667555161;0,000385306961212433;0,768646033861494;0,876724605484238
"28";"ATPA_HUMAN";"P25705";"ATP synthase subunit alpha, mitochondrial";"ATP5A1";30;46;0,00444247001332741;0,00590804007192397;0,7519363374732;0,867142628102898
"29";"ATPB_HUMAN";"P06576";"ATP synthase subunit beta, mitochondrial";"ATP5B";19;35;0,00281356434177403;0,00449524788081171;0,625897484715788;0,791136830589872
"30";"ATPG_HUMAN";"P36542";"ATP synthase subunit gamma, mitochondrial";"ATP5C1";1;4;0,00014808233377758;0,00051374261494991;0,28824226269806;0,536881982094818
"31";"ATPO_HUMAN";"P48047";"ATP synthase subunit O, mitochondrial";"ATP5O";4;12;0,000592329335110321;0,00154122784484973;0,384323016930747;0,619937913771006
"32";"BAP31_HUMAN";"P51572";"B-cell receptor-associated protein 31";"BCAP31";15;19;0,0022212350066637;0,00244027742101207;0,910238724309663;0,954064318748827
