"";"X";"Protein.Acs";"Protein.G";"ID";"Description";"Gene";"Global.Peptide.Count";"Global.Spectra.Count";"Global.DNSAF";"Peptide.Count.P5134";"Peptide.Count.P5136";"Spectra.Count.P5134";"Spectra.Count.P5136";"DNSAF.P5134";"DNSAF.P5136";"Unspecific.Spectra.Count";"Go.Cc";"norm.sc"
"6";6;"A2RU67";"A2RU67";"K1467_HUMAN";"Uncharacterized protein KIAA1467";"KIAA1467";2;8;"2.36115564677038E-4";2;2;2;6;"1.18655375904088E-4";"7.4085183660502E-4";0;"integral component of membrane";0,000395061728395062
"7";7;"A2VDJ0";"A2VDJ0-3";"T131L_HUMAN";"Transmembrane protein 131-like";"KIAA0922";2;2;"2.28191238702793E-5";2;0;2;0;"0";"0";0;"integral component of membrane";9,87654320987654e-05
"20";20;"A6NNC1";"A6NNC1";"P12LL_HUMAN";"Putative POM121-like protein 1-like";"";1;1;"2.81407241764265E-5";1;0;1;0;"6.17087322845673E-5";"0";3;"integral component of membrane";4,93827160493827e-05
"21";21;"A7KAX9";"A7KAX9-2";"RHG32_HUMAN";"Rho GTPase-activating protein 32";"ARHGAP32";2;3;"2.63890538864011E-5";0;2;0;3;"0";"0";0;"cell junction, postsynaptic membrane, endosome membrane, dendritic spine, cytosol, cell cortex, Golgi membrane, endoplasmic reticulum membrane, actin cytoskeleton, postsynaptic density";0,000148148148148148
"22";22;"A7MBM2";"A7MBM2";"DISP2_HUMAN";"Protein dispatched homolog 2";"DISP2";2;2;"2.62069738096213E-5";2;0;2;0;"5.26792603942487E-5";"0";0;"integral component of membrane";9,87654320987654e-05
"26";26;"O00116";"O00116";"ADAS_HUMAN";"Alkyldihydroxyacetonephosphate synthase, peroxisomal";"AGPS";3;8;"2.23197387886197E-4";3;0;8;0;"4.48654369679894E-4";"0";0;"mitochondrion, peroxisomal matrix, peroxisomal membrane";0,000395061728395062
"30";30;"O00203";"O00203-1";"AP3B1_HUMAN";"AP-3 complex subunit beta-1";"AP3B1";2;2;"3.35612160029976E-5";2;0;2;0;"0";"0";0;"lysosomal membrane, Golgi apparatus, AP-3 adaptor complex, clathrin-coated vesicle membrane";9,87654320987654e-05
"33";33;"O00264";"O00264";"PGRC1_HUMAN";"Membrane-associated progesterone receptor component 1";"PGRMC1";2;2;"1.88287027216818E-4";2;0;2;0;"3.78480224678679E-4";"0";0;"nucleolus, endoplasmic reticulum, endoplasmic reticulum membrane, integral component of membrane";9,87654320987654e-05
"36";36;"O00408";"O00408-1";"PDE2A_HUMAN";"cGMP-dependent 3',5'-cyclic phosphodiesterase";"PDE2A";2;2;"3.90180343329218E-5";0;2;0;2;"0";"0";0;"perinuclear region of cytoplasm, nucleus, axon, dendrite, cytosol, presynaptic membrane, mitochondrial matrix, Golgi apparatus, endoplasmic reticulum";9,87654320987654e-05
"46";46;"O00763";"O00763-2";"ACACB_HUMAN";"Acetyl-CoA carboxylase 2";"ACACB";1;1;"1.81381929333881E-5";1;0;1;0;"0";"0";10;"mitochondrion, endomembrane system, membrane, cytosol";4,93827160493827e-05
