"";"X";"protein.acs";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5134.1.id.csv";"peptide.count.P5134.2.id.csv";"spectra.count.P5134.1.id.csv";"spectra.count.P5134.2.id.csv";"dNSAF.P5134.1.id.csv";"dNSAF.P5134.2.id.csv";"Go.Cc";"norm.sc"
"4";4;"A1X283";"A1X283";"SPD2B_HUMAN";"SH3 and PX domain-containing protein 2B";"SH3PXD2B";2;2;6,04190516241293e-05;NA;2;NA;2;NA;0,000161710519817267;"cell junction, podosome, cytoplasm, cell projection";0,000145180023228804
"5";5;"A2A3N6";"A2A3N6";"PIPSL_HUMAN";"Putative PIP5K1A and PSMD4-like protein";"PIPSL";3;3;9,57803179169057e-05;NA;3;NA;3;NA;0,000256354321728881;"cytoplasm";0,000217770034843206
"10";10;"A6NHL2";"A6NHL2-1,A6NHL2-2";"TBAL3_HUMAN";"Tubulin alpha chain-like 3";"TUBAL3";1;2;0,000126938066435935;1;1;1;1;NA;NA;"cytoplasm, microtubule";0,000145180023228804
"11";11;"A6NHR9";"A6NHR9-2";"SMHD1_HUMAN";"Structural maintenance of chromosomes flexible hinge domain-containing protein 1";"SMCHD1";2;2;2,74522473963002e-05;2;NA;2;NA;NA;NA;"Barr body";0,000145180023228804
"12";12;"A6NJ46";"A6NJ46-1";"NKX63_HUMAN";"Homeobox protein Nkx-6.3";"NKX6-3";1;1;0,000138469826489514;0;1;0;1;NA;NA;"nucleus";7,25900116144019e-05
"13";13;"A6NJT0";"A6NJT0";"UNC4_HUMAN";"Homeobox protein unc-4 homolog";"UNCX";2;2;0,000103656791016162;NA;2;NA;2;NA;0,000277435562247703;"nucleus";0,000145180023228804
"14";14;"A6NK75";"A6NK75";"ZNF98_HUMAN";"Zinc finger protein 98";"ZNF98";3;3;0,000144340269308344;NA;3;NA;3;NA;0,000386324170157859;"nucleus";0,000217770034843206
"21";21;"O00139";"O00139-1";"KIF2A_HUMAN";"Kinesin-like protein KIF2A";"KIF2A";2;2;7,7962827237368e-05;2;NA;2;NA;NA;NA;"kinesin complex, microtubule, spindle pole, cytosol, centrosome";0,000145180023228804
"22";22;"O00148";"O00148";"DX39A_HUMAN";"ATP-dependent RNA helicase DDX39A";"DDX39A";10;23;0,00148238921391145;7;9;10;13;0,00175961081360288;0,00224254998383594;"nucleus, cytoplasm";0,00166957026713124
"28";28;"O00267";"O00267-2";"SPT5H_HUMAN";"Transcription elongation factor SPT5";"SUPT5H";2;2;5,06363900916116e-05;NA;2;NA;2;NA;NA;"nucleus, DSIF complex, nucleoplasm";0,000145180023228804
"29";29;"O00303";"O00303";"EIF3F_HUMAN";"Eukaryotic translation initiation factor 3 subunit F";"EIF3F";5;13;0,00100216082406802;4;4;5;8;0,00105231627088016;0,00165062502580986;"eukaryotic 43S preinitiation complex, cytosol, eukaryotic translation initiation factor 3 complex, eukaryotic 48S preinitiation complex";0,000943670150987224
"34";34;"O00567";"O00567";"NOP56_HUMAN";"Nucleolar protein 56";"NOP56";5;7;0,000324320111285415;2;5;2;5;0,000252981083302502;0,000620026445932367;"box C/D snoRNP complex, pre-snoRNP complex, nucleoplasm, nucleolus, small nucleolar ribonucleoprotein complex, cytoplasm";0,000508130081300813
"38";38;"O14646";"O14646-1";"CHD1_HUMAN";"Chromodomain-helicase-DNA-binding protein 1";"CHD1";3;3;5,31104663443333e-05;3;NA;3;NA;NA;NA;"nucleus, cytoplasm";0,000217770034843206
"41";41;"O14686";"O14686-3";"KMT2D_HUMAN";"Histone-lysine N-methyltransferase 2D";"KMT2D";3;3;1,49110771255866e-05;NA;3;NA;3;NA;NA;"nucleus, histone methyltransferase complex";0,000217770034843206
"42";42;"O14744";"O14744-1,O14744-2";"ANM5_HUMAN";"Protein arginine N-methyltransferase 5";"PRMT5";2;2;4,32038901331098e-05;2;NA;2;NA;NA;NA;"nucleus, cytoplasm, methylosome, cytosol";0,000145180023228804
"52";52;"O14981";"O14981";"BTAF1_HUMAN";"TATA-binding protein-associated factor 172";"BTAF1";3;6;8,93051747370176e-05;NA;3;NA;6;NA;0,000239023715879173;"nucleus";0,000435540069686411
"55";55;"O15013";"O15013-6";"ARHGA_HUMAN";"Rho guanine nucleotide exchange factor 10";"ARHGEF10";2;2;4,02058115628794e-05;NA;2;NA;2;NA;NA;"cytosol, centrosome";0,000145180023228804
"59";59;"O15090";"O15090";"ZN536_HUMAN";"Zinc finger protein 536";"ZNF536";3;3;6,35097184956713e-05;NA;3;NA;3;NA;0,000169982634869458;"nucleus";0,000217770034843206
"69";69;"O15347";"O15347";"HMGB3_HUMAN";"High mobility group protein B3";"HMGB3";1;1;0,000137604390073955;NA;1;NA;1;NA;0,000368295708883826;"nucleus, chromosome";7,25900116144019e-05
