"";"x"
"1";"A0FGR8"
"2";"A0JNW5"
"3";"A2A3N6"
"4";"A5YKK6"
"5";"A6NJ46"
"6";"A6NKT7"
"7";"A6NNC1"
"8";"A6PVS8"
"9";"A8TX70"
"10";"O00203"
"11";"O00303"
"12";"O00410"
"13";"O00763"
"14";"O14646"
"15";"O14686"
"16";"O14715"
"17";"O14795"
"18";"O14924"
"19";"O14981"
"20";"O15018"
"21";"O15090"
"22";"O15394"
"23";"O15397"
"24";"O43166"
"25";"O43184"
"26";"O43497"
"27";"O60231"
"28";"O60271"
"29";"O60313"
"30";"O60488"
"31";"O60502"
"32";"O60610"
"33";"O60814"
"34";"O60941"
"35";"O75106"
"36";"O75150"
"37";"O75179"
"38";"O75343"
"39";"O75369"
"40";"O75419"
"41";"O75531"
"42";"O75534"
"43";"O75581"
"44";"O75592"
"45";"O75643"
"46";"O75691"
"47";"O75955"
"48";"O75970"
"49";"O76013"
"50";"O76015"
"51";"O76054"
"52";"O76074"
"53";"O94762"
"54";"O94776"
"55";"O94856"
"56";"O94979"
"57";"O95180"
"58";"O95197"
"59";"O95255"
"60";"O95477"
"61";"O95573"
"62";"O95613"
"63";"O95678"
"64";"O95758"
"65";"O95864"
"66";"O96028"
"67";"P00403"
"68";"P00748"
"69";"P00813"
"70";"P01893"
"71";"P02461"
"72";"P02538"
"73";"P02751"
"74";"P02771"
"75";"P04075"
"76";"P04259"
"77";"P05107"
"78";"P05166"
"79";"P05204"
"80";"P05388"
"81";"P05546"
"82";"P05556"
"83";"P05787"
"84";"P06213"
"85";"P06493"
"86";"P06899"
"87";"P07814"
"88";"P07864"
"89";"P08621"
"90";"P08727"
"91";"P09429"
"92";"P09661"
"93";"P09874"
"94";"P0DJD1"
"95";"P10809"
"96";"P10826"
"97";"P11233"
"98";"P11388"
"99";"P11717"
"100";"P12035"
"101";"P12036"
"102";"P13611"
"103";"P13646"
"104";"P13674"
"105";"P13987"
"106";"P14136"
"107";"P15311"
"108";"P16070"
"109";"P16104"
"110";"P16144"
"111";"P16150"
"112";"P16157"
"113";"P16234"
"114";"P16284"
"115";"P16885"
"116";"P16989"
"117";"P17038"
"118";"P17081"
"119";"P17661"
"120";"P17844"
"121";"P17980"
"122";"P18583"
"123";"P19021"
"124";"P19087"
"125";"P19174"
"126";"P19338"
"127";"P20020"
"128";"P20700"
"129";"P20701"
"130";"P20810"
"131";"P20908"
"132";"P20929"
"133";"P21281"
"134";"P22059"
"135";"P22061"
"136";"P22314"
"137";"P22695"
"138";"P23246"
"139";"P23276"
"140";"P23527"
"141";"P23588"
"142";"P23634"
"143";"P24821"
"144";"P25054"
"145";"P25098"
"146";"P25205"
"147";"P27487"
"148";"P27797"
"149";"P28324"
"150";"P28331"
"151";"P28370"
"152";"P28906"
"153";"P29374"
"154";"P30450"
"155";"P30453"
"156";"P30459"
"157";"P30926"
"158";"P33527"
"159";"P33778"
"160";"P33992"
"161";"P33993"
"162";"P35251"
"163";"P35527"
"164";"P35579"
"165";"P35580"
"166";"P35613"
"167";"P35637"
"168";"P38606"
"169";"P38919"
"170";"P39880"
"171";"P41180"
"172";"P41219"
"173";"P41252"
"174";"P42704"
"175";"P43146"
"176";"P43243"
"177";"P46013"
"178";"P46100"
"179";"P48634"
"180";"P48668"
"181";"P49321"
"182";"P49368"
"183";"P49454"
"184";"P49756"
"185";"P49770"
"186";"P49792"
"187";"P51532"
"188";"P51572"
"189";"P52594"
"190";"P53350"
"191";"P53675"
"192";"P53804"
"193";"P54577"
"194";"P54762"
"195";"P54886"
"196";"P55072"
"197";"P55084"
"198";"P55209"
"199";"P55268"
"200";"P55290"
"201";"P55316"
"202";"P55809"
"203";"P57053"
"204";"P57721"
"205";"P58876"
"206";"P59044"
"207";"P61129"
"208";"P61513"
"209";"P61978"
"210";"P62308"
"211";"P62316"
"212";"P62318"
"213";"P62333"
"214";"P62750"
"215";"P62807"
"216";"P62857"
"217";"P68431"
"218";"P78412"
"219";"P78527"
"220";"P78563"
"221";"P82987"
"222";"P87889"
"223";"P98164"
"224";"P98169"
"225";"P98194"
"226";"P98198"
"227";"Q00536"
"228";"Q01518"
"229";"Q01814"
"230";"Q01968"
"231";"Q02224"
"232";"Q02505"
"233";"Q03167"
"234";"Q04671"
"235";"Q04695"
"236";"Q06187"
"237";"Q07092"
"238";"Q07157"
"239";"Q08209"
"240";"Q08211"
"241";"Q08AD1"
"242";"Q09472"
"243";"Q09666"
"244";"Q0P6D6"
"245";"Q0ZGT2"
"246";"Q10567"
"247";"Q12756"
"248";"Q12873"
"249";"Q12906"
"250";"Q12965"
"251";"Q13018"
"252";"Q13085"
"253";"Q13112"
"254";"Q13263"
"255";"Q13308"
"256";"Q13428"
"257";"Q13439"
"258";"Q13576"
"259";"Q13620"
"260";"Q13748"
"261";"Q13905"
"262";"Q14103"
"263";"Q14151"
"264";"Q14152"
"265";"Q14157"
"266";"Q14203"
"267";"Q14204"
"268";"Q14494"
"269";"Q14532"
"270";"Q14533"
"271";"Q14541"
"272";"Q14574"
"273";"Q14839"
"274";"Q14980"
"275";"Q14C86"
"276";"Q15046"
"277";"Q15149"
"278";"Q15172"
"279";"Q15262"
"280";"Q15326"
"281";"Q15375"
"282";"Q15413"
"283";"Q15424"
"284";"Q15427"
"285";"Q15561"
"286";"Q15637"
"287";"Q15878"
"288";"Q16288"
"289";"Q16666"
"290";"Q16695"
"291";"Q16720"
"292";"Q16778"
"293";"Q29RF7"
"294";"Q2M3G4"
"295";"Q2NKQ1"
"296";"Q2TAC6"
"297";"Q2VWP7"
"298";"Q38SD2"
"299";"Q3KQU3"
"300";"Q3L8U1"
"301";"Q3V6T2"
"302";"Q4ADV7"
"303";"Q4KMQ2"
"304";"Q53TQ3"
"305";"Q562F6"
"306";"Q58FF7"
"307";"Q5BJE1"
"308";"Q5H9F3"
"309";"Q5H9U9"
"310";"Q5JVG8"
"311";"Q5JWR5"
"312";"Q5JX71"
"313";"Q5M775"
"314";"Q5QNW6"
"315";"Q5SZK8"
"316";"Q5T2E6"
"317";"Q5T4S7"
"318";"Q5T655"
"319";"Q5T6X5"
"320";"Q5TBA9"
"321";"Q5THJ4"
"322";"Q5THK1"
"323";"Q5TZA2"
"324";"Q5VIR6"
"325";"Q5VST9"
"326";"Q5VU43"
"327";"Q5VWQ8"
"328";"Q5VYS8"
"329";"Q5XKE5"
"330";"Q659C4"
"331";"Q66K14"
"332";"Q68CP9"
"333";"Q6AHZ1"
"334";"Q6P1M3"
"335";"Q6P4H8"
"336";"Q6P4Q7"
