"","x"
"1","P78527-1"
"2","P35579-1"
"3","P08575-1"
"4","P08575-2"
"5","Q14152"
"6","P49327"
"7","162648.0"
"8","P13639"
"9","Q00610-1"
"10","Q00610-2"
"11","P26038"
"12","P14618-1"
"13","P14625"
"14","P52272-1"
"15","P52272-2"
"16","P10809"
"17","P08238"
"18","P02786"
"19","Q00839-1"
"20","P00558"
"21","P50990"
"22","P04075"
"23","Q7KZF4"
"24","P25705"
"25","P11142-1"
"26","P05166-1"
"27","P05166-2"
"28","P12956"
"29","Q14974"
"30","P78371-1"
"31","P78371-2"
"32","P07900-1"
"33","P07900-2"
"34","Q08211-1"
"35","P08195-1"
"36","P08195-3"
"37","P08195-4"
"38","P08195-2"
"39","P17987"
"40","P68363"
"41","P06576"
"42","P11586"
"43","P38646"
"44","Q9HCC0-1"
"45","P13010"
"46","P55072"
"47","Q71U36"
"48","P07437"
"49","P61978-1"
"50","P61978-2"
"51","P61978-3"
"52","P11021"
"53","P07814"
"54","P48643"
"55","P40926"
"56","P50991"
"57","P68371"
"58","Q6P2Q9"
"59","Q15233"
"60","Q99832-1"
"61","P68366"
"62","P19338"
"63","P49368-1"
"64","P68104"
"65","Q5VTE0"
"66","Q12906-1"
"67","P17844"
"68","P22626-1"
"69","P04350"
"70","P53396-1"
"71","P43243-1"
"72","Q92841-1"
"73","Q92841-4"
"74","Q92841-3"
"75","Q92841-2"
"76","P14866-1"
"77","Q14697-1"
"78","P39023"
"79","P07910-1"
"80","P07910-2"
"81","P04406"
"82","P61247"
"83","P62701"
"84","P08670"
"85","P40227"
"86","P24752"
"87","P63244"
"88","O75643-1"
"89","P23396"
"90","P04843"
"91","P05141"
"92","Q8N163-1"
"93","O75533"
"94","Q9UQ80"
"95","P51991-1"
"96","P09651-1"
"97","P09651-2"
"98","P09651-3"
"99","Q99613"
"100","Q15046-1"
"101","Q15046-2"
"102","P15311"
"103","P14868"
"104","O00571-1"
"105","O00571-2"
"106","O15523"
"107","P26641"
