"","x"
"1","Q99832-3"
"2","P53396-2"
"3","O60812"
"4","Q14697-2"
"5","P16152"
"6","Q6PKG0-3"
"7","Q99729-1"
"8","Q99729-4"
"9","Q13263-2"
"10","O95347-1"
"11","O95347-2"
"12","Q12906-4"
"13","Q12906-5"
"14","Q12906-2"
"15","Q12906-6"
"16","Q12906-3"
"17","P21108"
"18","Q7L014"
"19","P51991-2"
"20","Q9BUJ2-3"
"21","Q15020-1"
"22","Q32MZ4-2"
"23","Q9UBC2-1"
"24","Q9UBC2-2"
"25","Q01082-2"
"26","Q01082-3"
"27","Q08170"
"28","P29590-11"
"29","P29590-12"
"30","P29590-14"
"31","P29590-10"
"32","P29590-13"
"33","P10515"
"34","P15924-1"
"35","P15924-2"
"36","P46976-1"
"37","P46976-2"
"38","P46976-3"
"39","P42566-1"
"40","P42566-2"
"41","Q99714-2"
"42","P29803"
"43","P35606"
"44","O60763-1"
"45","O60763-2"
"46","P10412"
"47","Q02413"
"48","P62820-1"
"49","Q92928"
"50","Q9H0U4"
"51","P43686-1"
"52","P43686-2"
"53","Q13765"
"54","P43243-2"
"55","P22102-2"
"56","Q03001-3"
"57","Q15056-1"
"58","Q15056-2"
"59","Q71UM5"
"60","P06493-2"
"61","Q9H583"
"62","P60174-1"
"63","P60174-3"
"64","Q16555"
"65","Q07666-3"
"66","Q9Y295"
"67","Q86U42-1"
"68","Q86U42-2"
"69","P04233-1"
"70","O94906-1"
"71","O94906-2"
"72","P38159-2"
"73","Q63HQ2-1"
"74","Q63HQ2-2"
"75","Q63HQ2-3"
"76","Q63HQ2-5"
"77","Q63HQ2-4"
"78","O75534-1"
"79","O75534-2"
"80","P14317"
"81","P19525"
"82","Q9UKX2"
"83","P67936-2"
"84","O75947-2"
"85","Q71UI9-2"
"86","P16104"
"87","Q96QV6"
"88","Q16777"
"89","Q9BTM1-2"
"90","Q6FI13"
"91","P27816-2"
"92","P27816-4"
"93","Q13243-1"
"94","Q13243-3"
"95","Q96I25"
"96","Q9H082"
"97","P59190-1"
"98","P59190-2"
"99","P20340-1"
"100","Q14964"
"101","Q9NRW1"
"102","P20340-2"
"103","Q53EL6"
"104","P09661"
"105","A0FGR8-1"
"106","A0FGR8-6"
"107","A0FGR8-5"
"108","Q9UH65"
"109","Q9UHX1-1"
"110","Q9UHX1-5"
"111","Q9UHX1-3"
"112","P47914"
"113","O94905-2"
"114","O94905-3"
"115","P52298-1"
"116","P52701-2"
"117","Q8N6M0"
"118","Q9Y281-1"
"119","Q01628"
"120","Q01629"
"121","Q9Y2J2-2"
"122","Q9Y2J2-3"
"123","P06241-1"
"124","P06241-3"
"125","P07947"
"126","P06241-2"
"127","O15511-2"
"128","P63208-1"
"129","Q16637-1"
"130","Q16637-3"
"131","Q16637-2"
"132","Q16637-4"
