"";"X";"protein.acs";"X.1";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5824.1.id.csv";"peptide.count.P5824.2.id.csv";"spectra.count.P5824.1.id.csv";"spectra.count.P5824.2.id.csv";"dNSAF.P5824.1.id.csv";"dNSAF.P5824.2.id.csv";"Go.Cc";"norm.sc"
"1";1;"A1L0T0";"A1L0T0";"A1L0T0";"ILVBL_HUMAN";"Acetolactate synthase-like protein";"ILVBL";1;2;0,00014236523422905;1;1;1;1;0,00017793702889364;0,00017427253369439;"integral component of membrane";0,000250031253906738
"4";4;"O00116";"O00116";"O00116";"ADAS_HUMAN";"Alkyldihydroxyacetonephosphate synthase, peroxisomal";"AGPS";7;10;0,00068369930116079;5;5;5;5;0,000854530412315959;0,000836931924732937;"intracellular membrane-bounded organelle, peroxisomal membrane, peroxisomal matrix, mitochondrion, nucleolus, peroxisome";0,00125015626953369
"7";7;"O00217";"O00217";"O00217";"NDUS8_HUMAN";"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial";"NDUFS8";2;2;0,000428451562060761;2;NA;2;NA;0,00107101145010267;NA;"mitochondrial inner membrane, mitochondrion, mitochondrial respiratory chain complex I";0,000250031253906738
"10";10;"O00264";"O00264";"O00264";"PGRC1_HUMAN";"Membrane-associated progesterone receptor component 1";"PGRMC1";5;9;0,00239577944465929;3;4;4;5;0,00269125954128363;0,00322755285845728;"endoplasmic reticulum, integral component of membrane, nucleolus, endoplasmic reticulum membrane";0,00112514064258032
"11";11;"O00410";"O00410-1,O00410-2,O00410-3";"O00410-1,O00410-2,O00410-3";"IPO5_HUMAN";"Importin-5";"IPO5";2;3;4,10094931781039e-05;2;1;2;1;NA;NA;"cytoplasm, nuclear membrane, nuclear pore, nucleus, Golgi apparatus, intracellular membrane-bounded organelle";0,000375046880860108
"12";12;"O00483";"O00483";"O00483";"NDUA4_HUMAN";"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4";"NDUFA4";1;2;0,00111080034608346;1;1;1;1;0,00138834817605901;0,00135975606536857;"mitochondrial respiratory chain complex I, mitochondrion, mitochondrial respiratory chain complex IV, mitochondrial inner membrane";0,000250031253906738
"21";21;"O14980";"O14980";"O14980";"XPO1_HUMAN";"Exportin-1";"XPO1";2;2;8,40101102079924e-05;2;NA;2;NA;0,00021000224511817;NA;"intracellular membrane-bounded organelle, ribonucleoprotein complex, nucleus, cytosol, nucleoplasm, kinetochore, annulate lamellae, Cajal body, cytoplasm, nucleolus, nuclear envelope, nuclear membrane";0,000250031253906738
"22";22;"O15126";"O15126-1";"O15126-1";"SCAM1_HUMAN";"Secretory carrier-associated membrane protein 1";"SCAMP1";3;4;0,000532395432146508;2;2;2;2;NA;NA;"recycling endosome membrane, integral component of membrane, Golgi apparatus, trans-Golgi network";0,000500062507813477
"24";24;"O15173";"O15173";"O15173";"PGRC2_HUMAN";"Membrane-associated progesterone receptor component 2";"PGRMC2";2;4;0,000931095150390754;2;2;2;2;0,00117667177253432;0,00112891983389985;"integral component of membrane";0,000500062507813477
"25";25;"O15270";"O15270";"O15270";"SPTC2_HUMAN";"Serine palmitoyltransferase 2";"SPTLC2";3;5;0,000400243896942882;2;3;2;3;0,000400200008045481;0,000587937231111323;"endoplasmic reticulum membrane, serine C-palmitoyltransferase complex, mitochondrion, integral component of membrane";0,000625078134766846
"30";30;"O43169";"O43169";"O43169";"CYB5B_HUMAN";"Cytochrome b5 type B";"CYB5B";3;7;0,00215693080900452;3;2;4;3;0,0030809918427611;0,00226315564304496;"integral component of membrane, mitochondrial outer membrane";0,000875109388673584
"38";38;"O43615";"O43615";"O43615";"TIM44_HUMAN";"Mitochondrial import inner membrane translocase subunit TIM44";"TIMM44";4;7;0,000696707739191725;3;4;3;4;0,00074639072296978;0,00097469240083942;"mitochondrial inner membrane, mitochondrial matrix, mitochondrion";0,000875109388673584
"39";39;"O43736";"O43736-1,O43736-2";"O43736-1,O43736-2";"ITM2A_HUMAN";"Integral membrane protein 2A";"ITM2A";1;1;8,55274030729657e-05;NA;1;NA;1;NA;NA;"integral component of membrane";0,000125015626953369
"44";44;"O60664";"O60664-1";"O60664-1";"PLIN3_HUMAN";"Perilipin-3";"PLIN3";6;11;0,00114023399580687;5;4;6;5;NA;NA;"cytoplasm, intracellular membrane-bounded organelle, Golgi apparatus, lipid particle, endosome, endosome membrane";0,00137517189648706
"47";47;"O75306";"O75306";"O75306";"NDUS2_HUMAN";"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial";"NDUFS2";1;2;0,00019433008214419;1;1;1;1;0,000242885966006005;0,000237883890485647;"mitochondrial inner membrane, nucleus, mitochondrial respiratory chain complex I, mitochondrion";0,000250031253906738
"50";50;"O75380";"O75380";"O75380";"NDUS6_HUMAN";"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial";"NDUFS6";1;1;0,000362801725938548;NA;1;NA;1;NA;0,000888227752377859;"mitochondrial respiratory chain complex I, mitochondrial inner membrane";0,000125015626953369
"51";51;"O75381";"O75381-1,O75381-2";"O75381-1,O75381-2";"PEX14_HUMAN";"Peroxisomal membrane protein PEX14";"PEX14";2;2;0,000119330010653528;2;NA;2;NA;NA;NA;"intracellular, protein complex, intracellular membrane-bounded organelle, nucleolus, integral component of membrane, peroxisomal membrane, peroxisome, nucleus";0,000250031253906738
"53";53;"O75396";"O75396";"O75396";"SC22B_HUMAN";"Vesicle-trafficking protein SEC22b";"SEC22B";2;3;0,000627731358368092;1;2;1;2;0,000523052103538512;0,00102456038413818;"melanosome, endoplasmic reticulum membrane, endoplasmic reticulum-Golgi intermediate compartment membrane, endoplasmic reticulum-Golgi intermediate compartment, Golgi apparatus, integral component of membrane";0,000375046880860108
"54";54;"O75439";"O75439";"O75439";"MPPB_HUMAN";"Mitochondrial-processing peptidase subunit beta";"PMPCB";5;7;0,000724490563147223;4;3;4;3;0,00102810915094663;0,00076580126871678;"mitochondrial matrix, mitochondrial inner membrane";0,000875109388673584
"55";55;"O75489";"O75489";"O75489";"NDUS3_HUMAN";"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial";"NDUFS3";3;6;0,001022441227645;2;2;3;3;0,00127791138932705;0,00125159365107789;"mitochondrial inner membrane, mitochondrial respiratory chain complex I, mitochondrial membrane, mitochondrion, nucleus";0,000750093761720215
"56";56;"O75521";"O75521-1,O75521-2";"O75521-1,O75521-2";"ECI2_HUMAN";"Enoyl-CoA delta isomerase 2, mitochondrial";"ECI2";2;3;0,00017127188077302;NA;2;NA;3;NA;NA;"peroxisomal matrix, nucleus, mitochondrion, intracellular membrane-bounded organelle";0,000375046880860108
"59";59;"O75915";"O75915";"O75915";"PRAF3_HUMAN";"PRA1 family protein 3";"ARL6IP5";1;4;0,000957179021625105;1;1;2;2;0,00119634257724234;0,00117170469462611;"endoplasmic reticulum membrane, integral component of membrane, endoplasmic reticulum";0,000500062507813477
"60";60;"O75947";"O75947-1";"O75947-1";"ATP5H_HUMAN";"ATP synthase subunit d, mitochondrial";"ATP5H";13;29;0,00810332302158397;13;11;15;14;NA;NA;"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o), mitochondrial proton-transporting ATP synthase complex, mitochondrion, mitochondrial inner membrane";0,00362545318164771
"61";61;"O75964";"O75964";"O75964";"ATP5L_HUMAN";"ATP synthase subunit g, mitochondrial";"ATP5L";2;2;0,000873542019735533;NA;2;NA;2;NA;0,00213864546203601;"mitochondrion, mitochondrial proton-transporting ATP synthase complex, mitochondrial inner membrane, mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)";0,000250031253906738
"63";63;"O94826";"O94826";"O94826";"TOM70_HUMAN";"Mitochondrial import receptor subunit TOM70";"TOMM70A";4;9;0,000665932115374045;4;4;4;5;0,000739843435926185;0,000905758563280054;"integral component of membrane, mitochondrial outer membrane translocase complex, mitochondrion";0,00112514064258032
"65";65;"O95168";"O95168-1,O95168-2";"O95168-1,O95168-2";"NDUB4_HUMAN";"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4";"NDUFB4";1;1;0,000174369821768915;1;NA;1;NA;NA;NA;"nucleus, mitochondrial respiratory chain complex I, mitochondrial inner membrane, nuclear membrane, mitochondrion, integral component of membrane";0,000125015626953369
"67";67;"O95202";"O95202-1";"O95202-1";"LETM1_HUMAN";"LETM1 and EF-hand domain-containing protein 1, mitochondrial";"LETM1";7;10;0,000608760676811637;3;7;3;7;NA;NA;"mitochondrion, mitochondrial inner membrane, integral component of membrane";0,00125015626953369
"73";73;"O95831";"O95831-1,O95831-3";"O95831-1,O95831-3";"AIFM1_HUMAN";"Apoptosis-inducing factor 1, mitochondrial";"AIFM1";8;17;0,000623805903979167;7;7;8;9;NA;NA;"perinuclear region of cytoplasm, nucleus, mitochondrial intermembrane space, cytosol, mitochondrion, mitochondrial inner membrane";0,00212526565820728
"78";78;"P00387";"P00387-1,P00387-2,P00387-3";"P00387-1,P00387-2,P00387-3";"NB5R3_HUMAN";"NADH-cytochrome b5 reductase 3";"CYB5R3";7;15;0,000747299236152491;5;7;7;8;NA;NA;"cytoplasm, membrane, mitochondrial outer membrane, endoplasmic reticulum membrane, lipid particle, hemoglobin complex, mitochondrial inner membrane, mitochondrion, endoplasmic reticulum";0,00187523440430054
"82";82;"P00846";"P00846";"P00846";"ATP6_HUMAN";"ATP synthase subunit a";"MT-ATP6";2;2;0,000398118708109557;NA;2;NA;2;NA;0,00097469240083942;"mitochondrial inner membrane, mitochondrial proton-transporting ATP synthase complex, integral component of membrane, proton-transporting ATP synthase complex, coupling factor F(o)";0,000250031253906738
