"","X","protein.acs","X.1","protein.g","ID","Description","Gene","global.peptide.count","global.spectra.count","global.dNSAF","peptide.count.P5824.1.id.csv","peptide.count.P5824.2.id.csv","spectra.count.P5824.1.id.csv","spectra.count.P5824.2.id.csv","dNSAF.P5824.1.id.csv","dNSAF.P5824.2.id.csv","Go.Cc","norm.sc"
"6",6,"O00161","O00161-1","O00161-1","SNP23_HUMAN","Synaptosomal-associated protein 23","SNAP23",3,5,0.00106605246484313,2,3,2,3,NA,NA,"extracellular vesicular exosome, specific granule, neuron projection, azurophil granule, cell junction, synapse, nucleus, plasma membrane",0.000625078134766846
"15",15,"O00592","O00592-1,O00592-2","O00592-1,O00592-2","PODXL_HUMAN","Podocalyxin","PODXL",2,2,8.06226057641218e-05,2,NA,2,NA,NA,NA,"cytoplasm, filopodium, membrane raft, integral component of plasma membrane, ruffle, cell body, plasma membrane, microvillus membrane, lamellipodium, slit diaphragm, apical plasma membrane, extracellular vesicular exosome",0.000250031253906738
"29",29,"O15427","O15427","O15427","MOT4_HUMAN","Monocarboxylate transporter 4","SLC16A3",1,2,0.000193494253833892,NA,1,NA,2,NA,0.000473721467934858,"plasma membrane, nuclear membrane, membrane, actin cytoskeleton, integral component of plasma membrane",0.000250031253906738
"36",36,"O43493","O43493-1,O43493-2,O43493-3,O43493-4,O43493-5","O43493-1,O43493-2,O43493-3,O43493-4,O43493-5","TGON2_HUMAN","Trans-Golgi network integral membrane protein 2","TGOLN2",2,4,7.49790233606333e-05,2,2,2,2,NA,NA,"plasma membrane, Golgi apparatus, transport vesicle, nucleus, integral component of membrane, trans-Golgi network",0.000500062507813477
"48",48,"O75348","O75348","O75348","VATG1_HUMAN","V-type proton ATPase subunit G 1","ATP6V1G1",2,3,0.00114374781397576,1,2,1,2,0.000953018663226951,0.00186678375076025,"lysosomal membrane, cytosol, vacuolar proton-transporting V-type ATPase complex, extracellular vesicular exosome, plasma membrane",0.000375046880860108
"71",71,"O95721","O95721","O95721","SNP29_HUMAN","Synaptosomal-associated protein 29","SNAP29",3,4,0.000697479287075658,3,1,3,1,0.00130763025884628,0.000426900160057576,"SNARE complex, synapse, cell junction, cytoplasm, plasma membrane, neuron projection, centrosome",0.000500062507813477
"79",79,"P00505","P00505","P00505","AATM_HUMAN","Aspartate aminotransferase, mitochondrial","GOT2",15,38,0.00397563193633125,14,15,17,21,0.00444594288007736,0.00537894201672545,"mitochondrial inner membrane, plasma membrane, extracellular vesicular exosome, mitochondrial matrix, mitochondrion",0.00475059382422803
"81",81,"P00813","P00813","P00813","ADA_HUMAN","Adenosine deaminase","ADA",2,2,0.000247864540035151,NA,2,NA,2,NA,0.000606833285371099,"cell surface, cell junction, external side of plasma membrane, dendrite cytoplasm, lysosome, extracellular space, cytoplasmic membrane-bounded vesicle lumen, cytoplasm, neuronal cell body, cytosol, plasma membrane, membrane",0.000250031253906738
"83",83,"P01892","P01892","P01892","1A02_HUMAN","HLA class I histocompatibility antigen, A-2 alpha chain","HLA-A",1,1,0.00332783610532126,0,1,0,1,NA,0.00452631128608991,"integral component of lumenal side of endoplasmic reticulum membrane, cell surface, plasma membrane, early endosome membrane, phagocytic vesicle membrane, MHC class I protein complex, ER to Golgi transport vesicle membrane, Golgi membrane",0.000125015626953369
"84",84,"P01903","P01903","P01903","DRA_HUMAN","HLA class II histocompatibility antigen, DR alpha chain","HLA-DRA",2,8,0.00141692642571275,2,2,5,3,0.002213704768913,0.00130086899167151,"integral component of lumenal side of endoplasmic reticulum membrane, ER to Golgi transport vesicle membrane, integral component of plasma membrane, MHC class II protein complex, lysosome, Golgi membrane, late endosome membrane, extracellular vesicular exosome, clathrin-coated endocytic vesicle membrane, trans-Golgi network membrane, transport vesicle membrane, lysosomal membrane, plasma membrane, endocytic vesicle membrane",0.00100012501562695
