"";"X";"protein.acs";"X.1";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5824.1.id.csv";"peptide.count.P5824.2.id.csv";"spectra.count.P5824.1.id.csv";"spectra.count.P5824.2.id.csv";"dNSAF.P5824.1.id.csv";"dNSAF.P5824.2.id.csv";"Go.Cc";"norm.sc"
"29";29;"O15427";"O15427";"O15427";"MOT4_HUMAN";"Monocarboxylate transporter 4";"SLC16A3";1;2;0,000193494253833892;NA;1;NA;2;NA;0,000473721467934858;"plasma membrane, nuclear membrane, membrane, actin cytoskeleton, integral component of plasma membrane";0,000250031253906738
"106";106;"P05141";"P05141";"P05141";"ADT2_HUMAN";"ADP/ATP translocase 2";"SLC25A5";6;17;0,00540293916127488;6;6;8;9;0,00637335672768031;0,0069854045653448;"mitochondrion, integral component of plasma membrane, mitochondrial nucleoid, mitochondrial inner membrane, MMXD complex";0,00212526565820728
"138";138;"P08195";"P08195-1,P08195-2,P08195-3,P08195-4";"P08195-1,P08195-2,P08195-3,P08195-4";"4F2_HUMAN";"4F2 cell-surface antigen heavy chain";"SLC3A2";14;28;0,000499860155737555;11;14;12;16;NA;NA;"extracellular vesicular exosome, nucleus, cytoplasm, cell junction, plasma membrane, integral component of membrane, apical plasma membrane, melanosome";0,00350043755469434
"165";165;"P11169";"P11169,Q8TDB8-1,Q8TDB8-2";"P11169,Q8TDB8-1,Q8TDB8-2";"GTR14_HUMAN, GTR3_HUMAN";"Solute carrier family 2, facilitated glucose transporter member 14, Solute carrier family 2, facilitated glucose transporter member 3";"SLC2A14, SLC2A3";3;3;8,78660430007421e-05;3;NA;3;NA;0,000680178642706332;NA;"integral component of membrane, plasma membrane, extracellular vesicular exosome";0,000375046880860108
"176";176;"P12236";"P12236";"P12236";"ADT3_HUMAN";"ADP/ATP translocase 3";"SLC25A6";1;2;0,000635639901326456;1;1;1;1;0,000796669590960039;0,000776156062816089;"mitochondrion, mitochondrial inner membrane, mitochondrial inner membrane presequence translocase complex, integral component of membrane";0,000250031253906738
"415";415;"P53007";"P53007";"P53007";"TXTP_HUMAN";"Tricarboxylate transport protein, mitochondrial";"SLC25A1";2;4;0,000578616257445401;2;2;2;2;0,000723191011323345;0,00070829737167109;"extracellular vesicular exosome, mitochondrial inner membrane, integral component of membrane";0,000500062507813477
"522";522;"Q00325";"Q00325-1,Q00325-2";"Q00325-1,Q00325-2";"MPCP_HUMAN";"Phosphate carrier protein, mitochondrial";"SLC25A3";7;15;0,000932059682659806;7;6;8;7;NA;NA;"extracellular vesicular exosome, mitochondrion, integral component of plasma membrane, mitochondrial inner membrane";0,00187523440430054
"529";529;"Q01650";"Q01650";"Q01650";"LAT1_HUMAN";"Large neutral amino acids transporter small subunit 1";"SLC7A5";3;6;0,000532395432146508;3;3;3;3;0,000665421315152546;0,000651717404111565;"nucleus, integral component of membrane, cytosol, apical plasma membrane, nucleolus, plasma membrane, extracellular vesicular exosome";0,000750093761720215
"598";598;"Q15758";"Q15758-1";"Q15758-1";"AAAT_HUMAN";"Neutral amino acid transporter B(0)";"SLC1A5";9;17;0,00141365256613394;8;8;8;9;NA;NA;"melanosome, integral component of plasma membrane, plasma membrane, Golgi apparatus, extracellular vesicular exosome, membrane";0,00212526565820728
"699";699;"Q99808";"Q99808";"Q99808";"S29A1_HUMAN";"Equilibrative nucleoside transporter 1";"SLC29A1";1;2;0,000197313219370088;1;1;1;1;0,000246614478642062;0,000241535616874681;"apical plasma membrane, plasma membrane, membrane, integral component of plasma membrane, basolateral plasma membrane";0,000250031253906738
