"";"X";"protein.acs";"X.1";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5827.1.id.csv";"peptide.count.P5827.2.id.csv";"spectra.count.P5827.1.id.csv";"spectra.count.P5827.2.id.csv";"dNSAF.P5827.1.id.csv";"dNSAF.P5827.2.id.csv";"Go.Cc";"norm.sc"
"3";3;"B2RPK0";"B2RPK0,P09429";"B2RPK0,P09429";"HGB1A_HUMAN, HMGB1_HUMAN";"High mobility group protein B1, Putative high mobility group protein B1-like 1";"HMGB1, HMGB1P1";3;5;0,000708266833142644;2;3;2;3;0,000667177214808599;0,00101003975194276;"nucleus, chromosome";0,000856457690990065
"4";4;"O00148";"O00148";"O00148";"DX39A_HUMAN";"ATP-dependent RNA helicase DDX39A";"DDX39A";4;8;0,0011305730057846;4;4;4;4;0,0013312294777914;0,00134356575902457;"nucleus, cytoplasm";0,0013703323055841
"5";5;"O00231";"O00231-1,O00231-2";"O00231-1,O00231-2";"PSD11_HUMAN";"26S proteasome non-ATPase regulatory subunit 11";"PSMD11";5;8;0,000571984210272543;4;3;5;3;NA;NA;"nucleoplasm, proteasome accessory complex, proteasome complex, cytosol";0,0013703323055841
"7";7;"O00303";"O00303";"O00303";"EIF3F_HUMAN";"Eukaryotic translation initiation factor 3 subunit F";"EIF3F";1;1;0,000169031748413875;NA;1;NA;1;NA;0,000401752506374993;"eukaryotic 48S preinitiation complex, cytosol, eukaryotic translation initiation factor 3 complex, eukaryotic 43S preinitiation complex";0,000171291538198013
"10";10;"O00487";"O00487";"O00487";"PSDE_HUMAN";"26S proteasome non-ATPase regulatory subunit 14";"PSMD14";2;2;0,000389318285056473;NA;2;NA;2;NA;0,0009253267404895;"proteasome complex, nucleoplasm, cytosol, proteasome regulatory particle, lid subcomplex, proteasome accessory complex";0,000342583076396026
"11";11;"O00567";"O00567";"O00567";"NOP56_HUMAN";"Nucleolar protein 56";"NOP56";3;5;0,000507948940940684;3;2;3;2;0,00071772094320319;0,000482914628874992;"small nucleolar ribonucleoprotein complex, pre-snoRNP complex, nucleolus, box C/D snoRNP complex, cytoplasm";0,000856457690990065
"14";14;"O14776";"O14776-1,O14776-2";"O14776-1,O14776-2";"TCRG1_HUMAN";"Transcription elongation regulator 1";"TCERG1";1;2;5,49584100034183e-05;1;1;1;1;NA;NA;"nucleus";0,000342583076396026
"17";17;"O14979";"O14979-1";"O14979-1";"HNRDL_HUMAN";"Heterogeneous nuclear ribonucleoprotein D-like";"HNRPDL";5;8;0,0014846621902352;4;4;4;4;NA;NA;"spliceosomal complex, cytoplasm, nucleus";0,0013703323055841
"20";20;"O15371";"O15371";"O15371";"EIF3D_HUMAN";"Eukaryotic translation initiation factor 3 subunit D";"EIF3D";6;9;0,000991056583309817;5;4;5;4;0,00129661265286708;0,00104690251661221;"eukaryotic translation initiation factor 3 complex, eukaryotic 48S preinitiation complex, cytosol, eukaryotic 43S preinitiation complex";0,00154162384378212
"25";25;"O43290";"O43290-1";"O43290-1";"SNUT1_HUMAN";"U4/U6.U5 tri-snRNP-associated protein 1";"SART1";1;2;0,000150860835459383;1;1;1;1;NA;NA;"nucleus, nucleoplasm, Cajal body, catalytic step 2 spliceosome, Golgi apparatus, cytoplasm, cytosol";0,000342583076396026
"26";26;"O43390";"O43390-1";"O43390-1";"HNRPR_HUMAN";"Heterogeneous nuclear ribonucleoprotein R";"HNRNPR";7;13;0,00179698372727291;5;7;6;7;NA;NA;"cytoplasm, catalytic step 2 spliceosome, spliceosomal complex, ribonucleoprotein complex, nucleus, nucleoplasm";0,00222678999657417
