"";"X";"protein.acs";"X.1";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5827.1.id.csv";"peptide.count.P5827.2.id.csv";"spectra.count.P5827.1.id.csv";"spectra.count.P5827.2.id.csv";"dNSAF.P5827.1.id.csv";"dNSAF.P5827.2.id.csv";"Go.Cc";"norm.sc"
"2";2;"A6NCN2";"A6NCN2";"A6NCN2";"K121P_HUMAN";"Keratin-81-like protein KRT121P";"KRT121P";2;8;0,00494359109759531;2;2;4;4;0,00561269840121755;0,00607830192978359;"extracellular space, keratin filament";0,0013703323055841
"6";6;"O00232";"O00232-1,O00232-2";"O00232-1,O00232-2";"PSD12_HUMAN";"26S proteasome non-ATPase regulatory subunit 12";"PSMD12";1;2;0,000132334066192441;1;1;1;1;NA;NA;"cytosol, proteasome accessory complex, proteasome regulatory particle, nucleoplasm, extracellular vesicular exosome";0,000342583076396026
"12";12;"O00571";"O00571-1,O00571-2";"O00571-1,O00571-2";"DDX3X_HUMAN";"ATP-dependent RNA helicase DDX3X";"DDX3X";10;19;0,000895829526115725;9;10;9;10;NA;NA;"nuclear speck, cytoplasmic stress granule, mitochondrial outer membrane, extracellular vesicular exosome, nucleus, cytoplasm";0,00325453922576225
"15";15;"O14818";"O14818-1";"O14818-1";"PSA7_HUMAN";"Proteasome subunit alpha type-7";"PSMA7";4;7;0,00170326749712207;4;3;4;3;NA;NA;"proteasome core complex, proteasome complex, proteasome core complex, alpha-subunit complex, extracellular vesicular exosome, nucleoplasm, cytosol";0,00119904076738609
"16";16;"O14828";"O14828-1,O14828-2";"O14828-1,O14828-2";"SCAM3_HUMAN";"Secretory carrier-associated membrane protein 3";"SCAMP3";1;1;8,69514901783189e-05;1;NA;1;NA;NA;NA;"extracellular vesicular exosome, integral component of membrane, Golgi membrane";0,000171291538198013
"18";18;"O15143";"O15143";"O15143";"ARC1B_HUMAN";"Actin-related protein 2/3 complex subunit 1B";"ARPC1B";3;5;0,000811079760534318;2;3;2;3;0,00076402552018404;0,00115665842561187;"cytoplasm, extracellular vesicular exosome, Arp2/3 protein complex, actin cytoskeleton";0,000856457690990065
"19";19;"O15144";"O15144";"O15144";"ARPC2_HUMAN";"Actin-related protein 2/3 complex subunit 2";"ARPC2";4;9;0,0018103300255126;4;4;5;4;0,00236847911257053;0,00191234193034497;"focal adhesion, extracellular vesicular exosome, actin cytoskeleton, neuron projection, cytoplasm, cell leading edge, endosome, synapse, plasma membrane, Golgi apparatus, Arp2/3 protein complex, cytosol";0,00154162384378212
"21";21;"O15372";"O15372";"O15372";"EIF3H_HUMAN";"Eukaryotic translation initiation factor 3 subunit H";"EIF3H";6;9;0,00154289490810733;5;4;5;4;0,00201859015275897;0,0016298368724531;"eukaryotic translation initiation factor 3 complex, cytosol, extracellular vesicular exosome, eukaryotic 43S preinitiation complex, eukaryotic 48S preinitiation complex";0,00154162384378212
"22";22;"O15427";"O15427";"O15427";"MOT4_HUMAN";"Monocarboxylate transporter 4";"SLC16A3";1;1;0,000129772761685491;1;NA;1;NA;0,000305610208073616;NA;"membrane, actin cytoskeleton, integral component of plasma membrane, plasma membrane, nuclear membrane";0,000171291538198013
"23";23;"O43175";"O43175";"O43175";"SERA_HUMAN";"D-3-phosphoglycerate dehydrogenase";"PHGDH";3;3;0,00033964916050893;NA;3;NA;3;NA;0,000807273797988025;"cytosol, extracellular vesicular exosome";0,000513874614594039
"24";24;"O43242";"O43242";"O43242";"PSMD3_HUMAN";"26S proteasome non-ATPase regulatory subunit 3";"PSMD3";4;7;0,000791030597914369;4;3;4;3;0,00106448499441372;0,000805762049302654;"cytoplasm, nucleus, proteasome complex, cytosol, proteasome accessory complex, nucleoplasm, extracellular vesicular exosome";0,00119904076738609
"30";30;"O43776";"O43776";"O43776";"SYNC_HUMAN";"Asparagine--tRNA ligase, cytoplasmic";"NARS";5;10;0,00110117398145535;5;4;6;4;0,00155593518344049;0,00104690251661221;"cytoplasm, mitochondrion, extracellular vesicular exosome, cytosol";0,00171291538198013
"32";32;"O60488";"O60488-1,O60488-2";"O60488-1,O60488-2";"ACSL4_HUMAN";"Long-chain-fatty-acid--CoA ligase 4";"ACSL4";3;6;0,000254617443813305;2;3;3;3;NA;NA;"endoplasmic reticulum membrane, lipid particle, extracellular vesicular exosome, peroxisomal membrane, cytoplasm, mitochondrial outer membrane, integral component of membrane, neuronal cell body";0,00102774922918808
"38";38;"O75369";"O75369-1,O75369-2,O75369-3,O75369-4,O75369-5,O75369-6,O75369-7,O75369-8,O75369-9";"O75369-1,O75369-2,O75369-3,O75369-4,O75369-5,O75369-6,O75369-7,O75369-8,O75369-9";"FLNB_HUMAN";"Filamin-B";"FLNB";2;2;5,15367103798388e-06;NA;2;NA;2;NA;NA;"integral component of membrane, cell cortex, actin cytoskeleton, focal adhesion, extracellular vesicular exosome, plasma membrane, cytosol, cytoplasm, stress fiber, Z disc";0,000342583076396026
"39";39;"O75390";"O75390";"O75390";"CISY_HUMAN";"Citrate synthase, mitochondrial";"CS";7;10;0,00129494279364277;5;5;5;5;0,00152477196088231;0,00153890176798146;"mitochondrion, extracellular vesicular exosome, mitochondrial matrix";0,00171291538198013
"48";48;"O76009";"O76009";"O76009";"KT33A_HUMAN";"Keratin, type I cuticular Ha3-I";"KRT33A";0;0;0;0;0;0;0;0;0;"extracellular space, intermediate filament";0
"49";49;"O76011";"O76011";"O76011";"KRT34_HUMAN";"Keratin, type I cuticular Ha4";"KRT34";1;5;0,00238577427386102;1;1;2;3;0,00229002835678659;0,00335718626551888;"extracellular space, intermediate filament";0,000856457690990065
"57";57;"O95232";"O95232-1";"O95232-1";"LC7L3_HUMAN";"Luc7-like protein 3";"LUC7L3";1;2;0,000279371917517376;1;1;1;1;NA;NA;"plasma membrane, focal adhesion, nucleus, U1 snRNP, nuclear speck";0,000342583076396026
"58";58;"O95347";"O95347-1,O95347-2";"O95347-1,O95347-2";"SMC2_HUMAN";"Structural maintenance of chromosomes protein 2";"SMC2";2;2;5,04129775971205e-05;NA;2;NA;2;NA;NA;"condensin complex, cytoplasm, condensed chromosome, cytosol, extracellular vesicular exosome, nucleus, nuclear chromosome, nucleoplasm";0,000342583076396026
