"";"X";"protein.acs";"X.1";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5832.1.id.csv";"peptide.count.P5832.2.id.csv";"spectra.count.P5832.1.id.csv";"spectra.count.P5832.2.id.csv";"dNSAF.P5832.1.id.csv";"dNSAF.P5832.2.id.csv";"Go.Cc";"norm.sc"
"37";37;"O15427";"O15427";"O15427";"MOT4_HUMAN";"Monocarboxylate transporter 4";"SLC16A3";5;13;0,00148571129071434;4;5;6;7;0,00161425822681589;0,00206298745872969;"plasma membrane, nuclear membrane, membrane, actin cytoskeleton, integral component of plasma membrane";0,00197628458498024
"121";121;"P05141";"P05141";"P05141";"ADT2_HUMAN";"ADP/ATP translocase 2";"SLC25A5";2;4;0,00213997651063139;2;2;2;2;0,00335852382760352;0,00229935083487369;"mitochondrion, integral component of plasma membrane, mitochondrial nucleoid, mitochondrial inner membrane, MMXD complex";0,000608087564609304
"152";152;"P08195";"P08195-1,P08195-2,P08195-3,P08195-4";"P08195-1,P08195-2,P08195-3,P08195-4";"4F2_HUMAN";"4F2 cell-surface antigen heavy chain";"SLC3A2";28;55;0,00115986160744869;25;20;31;24;NA;NA;"extracellular vesicular exosome, nucleus, cytoplasm, cell junction, plasma membrane, integral component of membrane, apical plasma membrane, melanosome";0,00836120401337793
"184";184;"P11169";"P11169,Q8TDB8-1,Q8TDB8-2,Q8TDB8-3";"P11169,Q8TDB8-1,Q8TDB8-2,Q8TDB8-3";"GTR14_HUMAN, GTR3_HUMAN";"Solute carrier family 2, facilitated glucose transporter member 14, Solute carrier family 2, facilitated glucose transporter member 3";"SLC2A14, SLC2A3";1;2;5,16952821147985e-05;NA;1;NA;2;NA;0,000552585926445452;"integral component of membrane, plasma membrane, extracellular vesicular exosome";0,000304043782304652
"190";190;"P12235";"P12235";"P12235";"ADT1_HUMAN";"ADP/ATP translocase 1";"SLC25A4";0;0;0;0;0;0;0;NA;0;"integral component of plasma membrane, mitochondrial inner membrane, mitochondrion";0
"191";191;"P12236";"P12236";"P12236";"ADT3_HUMAN";"ADP/ATP translocase 3";"SLC25A6";2;2;0,00124831963120164;0;2;0;2;NA;0,00229935083487369;"mitochondrion, mitochondrial inner membrane, mitochondrial inner membrane presequence translocase complex, integral component of membrane";0,000304043782304652
"385";385;"P43007";"P43007-1,P43007-2";"P43007-1,P43007-2";"SATT_HUMAN";"Neutral amino acid transporter A";"SLC1A4";2;3;0,000149838580866578;2;1;2;1;NA;NA;"integral component of membrane, plasma membrane, microtubule organizing center, integral component of plasma membrane, melanosome, dendrite, centrosome, intermediate filament, neuronal cell body, extracellular vesicular exosome";0,000456065673456978
"437";437;"P53985";"P53985";"P53985";"MOT1_HUMAN";"Monocarboxylate transporter 1";"SLC16A1";5;8;0,000850284000224206;4;3;5;3;0,00125105012578231;0,000822247858550833;"mitochondrion, integral component of plasma membrane, integral component of membrane, centrosome, membrane, extracellular vesicular exosome, plasma membrane";0,00121617512921861
"562";562;"Q00325";"Q00325-2";"Q00325-2";"MPCP_HUMAN";"Phosphate carrier protein, mitochondrial";"SLC25A3";4;6;0,000880819061005738;4;2;4;2;NA;NA;"extracellular vesicular exosome, mitochondrion, integral component of plasma membrane, mitochondrial inner membrane";0,000912131346913956
"572";572;"Q01650";"Q01650";"Q01650";"LAT1_HUMAN";"Large neutral amino acids transporter small subunit 1";"SLC7A5";2;5;0,000524090236824584;2;2;2;3;0,000493510897744502;0,000810895324014628;"nucleus, integral component of membrane, cytosol, apical plasma membrane, nucleolus, plasma membrane, extracellular vesicular exosome";0,00076010945576163
"611";611;"Q13433";"Q13433-1,Q13433-2";"Q13433-1,Q13433-2";"S39A6_HUMAN";"Zinc transporter ZIP6";"SLC39A6";2;3;0,000105581622544396;2;1;2;1;NA;NA;"integral component of plasma membrane, endoplasmic reticulum, plasma membrane, lamellipodium membrane";0,000456065673456978
"632";632;"Q15043";"Q15043-1,Q15043-2,Q15043-3";"Q15043-1,Q15043-2,Q15043-3";"S39AE_HUMAN";"Zinc transporter ZIP14";"SLC39A14";3;3;0,000108013719540677;3;NA;3;NA;NA;NA;"endoplasmic reticulum, lamellipodium, integral component of plasma membrane, integral component of membrane, plasma membrane, Golgi apparatus";0,000456065673456978
"646";646;"Q15758";"Q15758-1";"Q15758-1";"AAAT_HUMAN";"Neutral amino acid transporter B(0)";"SLC1A5";4;7;0,000687614140661904;4;2;5;2;NA;NA;"melanosome, integral component of plasma membrane, plasma membrane, Golgi apparatus, extracellular vesicular exosome, membrane";0,00106415323806628
"735";735;"Q99808";"Q99808";"Q99808";"S29A1_HUMAN";"Equilibrative nucleoside transporter 1";"SLC29A1";3;4;0,00046616447380713;2;2;2;2;0,000548706195518558;0,00060105837613365;"apical plasma membrane, plasma membrane, membrane, integral component of plasma membrane, basolateral plasma membrane";0,000608087564609304
"787";787;"Q9ULF5";"Q9ULF5";"Q9ULF5";"S39AA_HUMAN";"Zinc transporter ZIP10";"SLC39A10";3;4;0,000255801444110772;3;1;3;1;0,000451642644686755;0,000164911323415731;"integral component of membrane";0,000608087564609304
"340";340;"P33527";"P33527-1,P33527-2,P33527-4,P33527-6,P33527-9";"P33527-1,P33527-2,P33527-4,P33527-6,P33527-9";"MRP1_HUMAN";"Multidrug resistance-associated protein 1";"ABCC1";2;2;1,38844546084945e-05;2;NA;2;NA;NA;NA;"membrane, extracellular vesicular exosome, plasma membrane, integral component of plasma membrane";0,000304043782304652
"472";472;"P61221";"P61221";"P61221";"ABCE1_HUMAN";"ATP-binding cassette sub-family E member 1";"ABCE1";8;10;0,000887191152153804;5;5;5;5;0,00104428224188841;0,00114391744372681;"cytoplasm, mitochondrion";0,00152021891152326
