"";"X";"protein.acs";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5833.1.id.csv";"peptide.count.P5833.2.id.csv";"spectra.count.P5833.1.id.csv";"spectra.count.P5833.2.id.csv";"dNSAF.P5833.1.id.csv";"dNSAF.P5833.2.id.csv";"Go.Cc";"norm.sc"
"22";22;"O94804";"O94804";"STK10_HUMAN";"Serine/threonine-protein kinase 10";"STK10";1;1;0,00014313947128372;NA;1;NA;1;NA;0,000345358833956288;"plasma membrane, cytoplasm, extracellular vesicular exosome";0,000465116279069767
"27";27;"P01834";"P01834";"IGKC_HUMAN";"Ig kappa chain C region";"IGKC";1;3;0,00392148136422568;1;1;2;1;0,00627589496316986;0,00315384293650648;"blood microparticle, extracellular region, plasma membrane, extracellular space";0,0013953488372093
"32";32;"P04264";"P04264";"K2C1_HUMAN";"Keratin, type II cytoskeletal 1";"KRT1";10;20;0,00444188365306001;9;8;11;9;0,00568143907380128;0,00500571122686421;"extracellular vesicular exosome, plasma membrane, blood microparticle, extracellular space, membrane, cytoskeleton, keratin filament";0,00930232558139535
"33";33;"P04406";"P04406";"G3P_HUMAN";"Glyceraldehyde-3-phosphate dehydrogenase";"GAPDH";22;64;0,0264709747014;18;22;30;34;0,0297870835565375;0,0339297013228936;"perinuclear region of cytoplasm, extracellular vesicular exosome, GAIT complex, ribonucleoprotein complex, cytosol, nucleus, microtubule cytoskeleton, lipid particle, cytoplasm, plasma membrane";0,0297674418604651
"34";34;"P04792";"P04792";"HSPB1_HUMAN";"Heat shock protein beta-1";"HSPB1";5;8;0,00540718080790793;4;4;4;4;0,00649019381557078;0,00652307026867682;"spindle, extracellular vesicular exosome, cytoskeleton, cytoplasm, nucleus, extracellular space, Z disc, proteasome complex, plasma membrane, cytosol";0,00372093023255814
"36";36;"P05109";"P05109";"S10A8_HUMAN";"Protein S100-A8";"S100A8";1;2;0,00297976361726109;1;1;1;1;0,00357658530159142;0,00359470270182459;"cytoskeleton, cytosol, extracellular vesicular exosome, extracellular space, plasma membrane, extracellular region";0,000930232558139535
"44";44;"P06576";"P06576";"ATPB_HUMAN";"ATP synthase subunit beta, mitochondrial";"ATP5B";6;12;0,00314311549798051;5;6;5;7;0,0031438793293762;0,00442372676538338;"mitochondrial nucleoid, mitochondrial membrane, mitochondrial proton-transporting ATP synthase, catalytic core, mitochondrial matrix, mitochondrial proton-transporting ATP synthase complex, extracellular vesicular exosome, cell surface, mitochondrion, plasma membrane";0,00558139534883721
"45";45;"P06702";"P06702";"S10A9_HUMAN";"Protein S100-A9";"S100A9";1;2;0,00243085979302878;1;1;1;1;0,00291774064077195;0,00293252062517269;"cytoskeleton, extracellular space, cytosol, plasma membrane, extracellular region, extracellular vesicular exosome";0,000930232558139535
"46";46;"P06733";"P06733-1";"ENOA_HUMAN";"Alpha-enolase";"ENO1";4;5;0,00159630193781844;4;1;4;1;NA;NA;"extracellular vesicular exosome, plasma membrane, cytoplasm, nucleus, phosphopyruvate hydratase complex, extracellular space, M band, cytosol";0,00232558139534884
"53";53;"P07900";"P07900-1,P07900-2";"HS90A_HUMAN";"Heat shock protein HSP 90-alpha";"HSP90AA1";1;1;0,00028393239385787;1;0;1;0;NA;NA;"cytosol, plasma membrane, mitochondrion, extracellular vesicular exosome, melanosome, nucleus, extracellular region, endocytic vesicle lumen, cytoplasm";0,000465116279069767
"57";57;"P08195";"P08195-1,P08195-2,P08195-3,P08195-4";"4F2_HUMAN";"4F2 cell-surface antigen heavy chain";"SLC3A2";2;3;0,000164951200241239;2;NA;3;NA;NA;NA;"integral component of membrane, apical plasma membrane, cytoplasm, nucleus, melanosome, cell junction, plasma membrane, extracellular vesicular exosome";0,0013953488372093
"58";58;"P08238";"P08238";"HS90B_HUMAN";"Heat shock protein HSP 90-beta";"HSP90AB1";1;1;0,000574139536751273;1;0;1;0;0,00114855812516575;NA;"brush border membrane, inclusion body, cytosol, basolateral plasma membrane, apical plasma membrane, extracellular vesicular exosome, cell surface, mitochondrion, cytoplasm, melanosome";0,000465116279069767
"59";59;"P08575";"P08575-1,P08575-2";"PTPRC_HUMAN";"Receptor-type tyrosine-protein phosphatase C";"PTPRC";2;3;0,000159385362196289;1;2;1;2;NA;NA;"external side of plasma membrane, membrane raft, plasma membrane, integral component of plasma membrane, extracellular vesicular exosome, focal adhesion";0,0013953488372093
"63";63;"P08865";"P08865";"RSSA_HUMAN";"40S ribosomal protein SA";"RPSA";4;7;0,00328784087260503;3;3;4;3;0,00451013468539664;0,00339973577562393;"plasma membrane, cytoplasm, nucleus, 90S preribosome, cytosol, cytosolic small ribosomal subunit, extracellular vesicular exosome";0,00325581395348837
"68";68;"P10809";"P10809";"CH60_HUMAN";"60 kDa heat shock protein, mitochondrial";"HSPD1";6;9;0,00217631950056504;5;3;6;3;0,00348295741411521;0,00175030026842768;"mitochondrion, coated pit, secretory granule, mitochondrial matrix, extracellular space, protein complex, mitochondrial inner membrane, plasma membrane, extracellular vesicular exosome, early endosome, cytoplasm, cell surface, coated vesicle, cytosol, lipopolysaccharide receptor complex";0,00418604651162791
