"";"X";"protein.acs";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P6157.1.id.csv";"peptide.count.P6157.2.id.csv";"spectra.count.P6157.1.id.csv";"spectra.count.P6157.2.id.csv";"dNSAF.P6157.1.id.csv";"dNSAF.P6157.2.id.csv";"Go.Cc";"norm.sc"
"2";2;"A6NKZ8";"A6NKZ8";"YI016_HUMAN";"Putative tubulin beta chain-like protein ENSP00000290377";"";1;1;0,000409103837188831;0;1;0;1;0;0,0010943997987691;"cytoplasm, microtubule";0,000193236714975845
"3";3;"A8MWD9";"A8MWD9,P62308";"RUXG_HUMAN, RUXGL_HUMAN";"Small nuclear ribonucleoprotein G, Small nuclear ribonucleoprotein G-like protein";"SNRPG";2;2;0,000924210288062218;NA;2;NA;2;NA;0,0025919995234005;"spliceosomal complex";0,000386473429951691
"5";5;"E9PAV3";"E9PAV3-1,E9PAV3-2,Q13765-1";"NACA_HUMAN, NACAM_HUMAN";"Nascent polypeptide-associated complex subunit alpha, Nascent polypeptide-associated complex subunit alpha, muscle-specific form";"NACA";1;1;1,60695451596268e-05;NA;1;NA;1;NA;NA;"cytoplasm, nucleus";0,000193236714975845
"6";6;"O00148";"O00148-1";"DX39A_HUMAN";"ATP-dependent RNA helicase DDX39A";"DDX39A";2;4;0,0013159715577092;2;2;2;2;NA;NA;"nucleus, cytoplasm";0,000772946859903382
"9";9;"O00303";"O00303";"EIF3F_HUMAN";"Eukaryotic translation initiation factor 3 subunit F";"EIF3F";3;3;0,000590251948678391;3;NA;3;NA;0,00148914797907938;NA;"eukaryotic 48S preinitiation complex, cytosol, eukaryotic translation initiation factor 3 complex, eukaryotic 43S preinitiation complex";0,000579710144927536
"17";17;"O14979";"O14979-1,O14979-2,O14979-3";"HNRDL_HUMAN";"Heterogeneous nuclear ribonucleoprotein D-like";"HNRNPDL";3;5;0,000315086185164069;2;3;2;3;NA;NA;"spliceosomal complex, cytoplasm, nucleus";0,000966183574879227
"24";24;"O15347";"O15347";"HMGB3_HUMAN";"High mobility group protein B3";"HMGB3";2;2;0,000702399818927286;NA;2;NA;2;NA;0,00196991963778438;"nucleus, chromosome";0,000386473429951691
"25";25;"O15355";"O15355";"PPM1G_HUMAN";"Protein phosphatase 1G";"PPM1G";7;8;0,0010291572438495;5;3;5;3;0,00162278946438138;0,00108237342735405;"nucleus, cytoplasm";0,00154589371980676
"26";26;"O15371";"O15371";"EIF3D_HUMAN";"Eukaryotic translation initiation factor 3 subunit D";"EIF3D";4;4;0,000512700597757143;4;NA;4;NA;0,00129349350007625;NA;"eukaryotic translation initiation factor 3 complex, eukaryotic 48S preinitiation complex, cytosol, eukaryotic 43S preinitiation complex";0,000772946859903382
"29";29;"O43143";"O43143";"DHX15_HUMAN";"Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15";"DHX15";3;4;0,000353408713925678;2;2;2;2;0,000445807822667791;0,000495577267367139;"U12-type spliceosomal complex, nucleolus, nucleus";0,000772946859903382
