"";"x"
"1";"162648"
"2";"O60814"
"3";"P01912"
"4";"P06899"
"5";"P10809"
"6";"P13612"
"7";"P13760"
"8";"P16070"
"9";"P18463"
"10";"P23284"
"11";"P23527"
"12";"P30461"
"13";"P30464"
"14";"P30479"
"15";"P30481"
"16";"P30483"
"17";"P30485"
"18";"P30486"
"19";"P30487"
"20";"P30488"
"21";"P30490"
"22";"P33778"
"23";"P40926"
"24";"P42704"
"25";"P57053"
"26";"P58876"
"27";"P61604"
"28";"P61769"
"29";"P62807"
"30";"Q04826"
"31";"Q16778"
"32";"Q5QNW6"
"33";"Q8N257"
"34";"Q93079"
"35";"Q96A08"
"36";"Q99877"
"37";"Q99879"
"38";"Q99880"
