"";"X";"protein.acs";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P6284.1.id.csv";"peptide.count.P6284.2.id.csv";"spectra.count.P6284.1.id.csv";"spectra.count.P6284.2.id.csv";"dNSAF.P6284.1.id.csv";"dNSAF.P6284.2.id.csv";"Go.Cc";"norm.sc"
"8";8;"O00410";"O00410-1,O00410-3";"IPO5_HUMAN";"Importin-5";"IPO5";3;5;0,000176680769330236;2;3;2;3;NA;NA;"cytoplasm, nuclear pore, intracellular membrane-bounded organelle, Golgi apparatus, nucleus, nuclear membrane";0,0010354110581901
"9";9;"O00429";"O00429-1,O00429-2,O00429-3,O00429-4,O00429-5,O00429-6";"DNM1L_HUMAN";"Dynamin-1-like protein";"DNM1L";1;1;1,75560510829048e-05;1;NA;1;NA;NA;NA;"mitochondrion, Golgi apparatus, mitochondrial outer membrane, intracellular membrane-bounded organelle, coated pit, cytosol, cytoplasm, perinuclear region of cytoplasm, peroxisome, cell junction, synaptic vesicle membrane, microtubule, protein complex";0,00020708221163802
"10";10;"O00483";"O00483";"NDUA4_HUMAN";"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4";"NDUFA4";2;2;0,0019142597921508;2;NA;2;NA;0,0050506800073864;NA;"mitochondrial respiratory chain complex I, mitochondrion, mitochondrial inner membrane, mitochondrial respiratory chain complex IV";0,000414164423276041
"17";17;"O14929";"O14929-1,O14929-2";"HAT1_HUMAN";"Histone acetyltransferase type B catalytic subunit";"HAT1";2;3;0,000277544826666256;1;2;1;2;NA;NA;"intracellular membrane-bounded organelle, nucleus, cytoplasm, nucleoplasm, nuclear chromatin, nuclear matrix, protein complex";0,000621246634914061
"19";19;"O14980";"O14980";"XPO1_HUMAN";"Exportin-1";"XPO1";3;6;0,000434327852000603;3;3;3;3;0,000572976303358962;0,000590183345995324;"nucleus, annulate lamellae, nucleolus, nucleoplasm, Cajal body, cytoplasm, nuclear envelope, ribonucleoprotein complex, intracellular membrane-bounded organelle, cytosol, kinetochore, nuclear membrane";0,00124249326982812
"22";22;"O15126";"O15126-1";"SCAM1_HUMAN";"Secretory carrier-associated membrane protein 1";"SCAMP1";1;1;0,000229371365627537;1;NA;1;NA;NA;NA;"trans-Golgi network, integral component of membrane, recycling endosome membrane";0,00020708221163802
"27";27;"O15173";"O15173-1,O15173-2";"PGRC2_HUMAN";"Membrane-associated progesterone receptor component 2";"PGRMC2";1;1;0,000173828523726699;NA;1;NA;1;NA;NA;"integral component of membrane";0,00020708221163802
"28";28;"O15270";"O15270";"SPTC2_HUMAN";"Serine palmitoyltransferase 2";"SPTLC2";2;3;0,000413847979975663;2;1;2;1;0,000727944983270994;0,000374902943986354;"endoplasmic reticulum membrane, mitochondrion, integral component of membrane, serine C-palmitoyltransferase complex";0,000621246634914061
"31";31;"O43169";"O43169";"CYB5B_HUMAN";"Cytochrome b5 type B";"CYB5B";3;5;0,00265505210897629;2;3;2;3;0,00280208959313903;0,00432935865452734;"integral component of membrane, mitochondrial outer membrane";0,0010354110581901
"37";37;"O43736";"O43736-1,O43736-2";"ITM2A_HUMAN";"Integral membrane protein 2A";"ITM2A";2;3;0,000442172176323807;2;1;2;1;NA;NA;"integral component of membrane";0,000621246634914061
