"";"ID";"AC";"Description";"Gene";"GSC.pos";"GSC.neg";"GSC.pos.norm";"GSC.neg.norm";"ratio";"sqrt.ratio"
"1";"136429";"136429";"trypsin [Sus scrofa]";"";16;15;0,0689655172413793;0,0646551724137931;1,06666666666667;1,03279555898864
"2";"1433B_HUMAN";"P31946";"14-3-3 protein beta/alpha";"YWHAB";1;3;0,00431034482758621;0,0129310344827586;0,333333333333333;0,577350269189626
"3";"1433E_HUMAN";"P62258";"14-3-3 protein epsilon";"YWHAE";11;4;0,0474137931034483;0,0172413793103448;2,75;1,6583123951777
"4";"1433S_HUMAN";"P31947";"14-3-3 protein sigma";"SFN";1;3;0,00431034482758621;0,0129310344827586;0,333333333333333;0,577350269189626
"5";"1433T_HUMAN";"P27348";"14-3-3 protein theta";"YWHAQ";13;1;0,0560344827586207;0,00431034482758621;13;3,60555127546399
"6";"1433Z_HUMAN";"P63104";"14-3-3 protein zeta/delta";"YWHAZ";9;8;0,0387931034482759;0,0344827586206897;1,125;1,06066017177982
"7";"162648";"162648";"albumin [Bos taurus]";"";246;173;1,06034482758621;0,745689655172414;1,42196531791907;1,19246187273182
"8";"4F2_HUMAN";"P08195";"4F2 cell-surface antigen heavy chain";"SLC3A2";58;6;0,25;0,0258620689655172;9,66666666666667;3,1091263510296
"9";"68MP_HUMAN";"P56378";"6.8 kDa mitochondrial proteolipid";"MP68";2;3;0,00862068965517241;0,0129310344827586;0,666666666666667;0,816496580927726
"10";"6PGD_HUMAN";"P52209";"6-phosphogluconate dehydrogenase, decarboxylating";"PGD";4;8;0,0172413793103448;0,0344827586206897;0,5;0,707106781186548
"11";"AAAT_HUMAN";"Q15758";"Neutral amino acid transporter B(0)";"SLC1A5";22;2;0,0948275862068965;0,00862068965517241;11;3,3166247903554
"12";"AATM_HUMAN";"P00505";"Aspartate aminotransferase, mitochondrial";"GOT2";28;2;0,120689655172414;0,00862068965517241;14;3,74165738677394
"13";"ABCE1_HUMAN";"P61221";"ATP-binding cassette sub-family E member 1";"ABCE1";15;8;0,0646551724137931;0,0344827586206897;1,875;1,36930639376292
"14";"ACACA_HUMAN";"Q13085";"Acetyl-CoA carboxylase 1";"ACACA";22;28;0,0948275862068965;0,120689655172414;0,785714285714286;0,886405260427918
