"";"AC";"ID";"Description";"Gene";"GSC.pos";"GSC.neg";"GSC.pos.norm";"GSC.neg.norm";"ratio";"sqrt.ratio"
"1";"136429";"136429";"trypsin [Sus scrofa]";"";10;4;2;0,8;2,5;1,58113883008419
"2";"O14773";"TPP1_HUMAN";"Tripeptidyl-peptidase 1";"TPP1";4;1;0,8;0,2;4;2
"3";"O15144";"ARPC2_HUMAN";"Actin-related protein 2/3 complex subunit 2";"ARPC2";3;1;0,6;0,2;3;1,73205080756888
"4";"O60814";"H2B1K_HUMAN";"Histone H2B type 1-K";"HIST1H2BK";0;8;0;1,6;0;0
"5";"P00558";"PGK1_HUMAN";"Phosphoglycerate kinase 1";"PGK1";23;1;4,6;0,2;23;4,79583152331272
"6";"P04075";"ALDOA_HUMAN";"Fructose-bisphosphate aldolase A";"ALDOA";46;12;9,2;2,4;3,83333333333333;1,95789002074512
"7";"P04264";"K2C1_HUMAN";"Keratin, type II cytoskeletal 1";"KRT1";28;1;5,6;0,2;28;5,29150262212918
"8";"P04406";"G3P_HUMAN";"Glyceraldehyde-3-phosphate dehydrogenase";"GAPDH";45;14;9;2,8;3,21428571428571;1,79284291400159
"9";"P05388";"RLA0_HUMAN";"60S acidic ribosomal protein P0";"RPLP0";14;2;2,8;0,4;7;2,64575131106459
"10";"P06576";"ATPB_HUMAN";"ATP synthase subunit beta, mitochondrial";"ATP5B";36;11;7,2;2,2;3,27272727272727;1,80906806746658
"11";"P06733";"ENOA_HUMAN";"Alpha-enolase";"ENO1";10;1;2;0,2;10;3,16227766016838
"12";"P07437";"TBB5_HUMAN";"Tubulin beta chain";"TUBB";9;4;1,8;0,8;2,25;1,5
"13";"P07910";"HNRPC_HUMAN";"Heterogeneous nuclear ribonucleoproteins C1/C2";"HNRNPC";20;3;4;0,6;6,66666666666667;2,58198889747161
"14";"P07954";"FUMH_HUMAN";"Fumarate hydratase, mitochondrial";"FH";2;1;0,4;0,2;2;1,4142135623731
"15";"P08865";"RSSA_HUMAN";"40S ribosomal protein SA";"RPSA";9;2;1,8;0,4;4,5;2,12132034355964
"16";"P09651";"ROA1_HUMAN";"Heterogeneous nuclear ribonucleoprotein A1";"HNRNPA1";32;7;6,4;1,4;4,57142857142857;2,1380899352994
