"";"P5824";"P5826";"P5828";"P5830";"P5832"
"GO:0005811";0,000124176671125137;4,15203044535223e-07;0,000489620614635097;0,0213413089743992;0,000158296912742827
"GO:0005730";1,36995762292837e-07;5,59965958619466e-22;7,48007270982825e-32;2,67496631599141e-15;2,92095537652386e-16
"GO:0005622";0,99195951600903;0,997901726840933;0,993011238176413;0,804076392393176;0,999210550627145
"GO:0030425";0,77725172633217;0,71157025692635;0,915414643095635;0,871423570954695;0,802559745847585
"GO:0005829";5,57651140386648e-23;7,59035720863623e-44;1,09935325769313e-09;3,64439104757034e-41;2,32363995788111e-40
"GO:0005886";0,611393732970513;0,290247834528516;0,243702333563897;0,301038842834006;0,312817576032606
"GO:0045178";1;0,289613246565046;0,182222745780616;1;0,251392759191412
"GO:0045177";0,0596887925097923;0,0519318214445951;0,326331601208853;0,0767430874150476;0,0246173932268355
"GO:0048471";0,00490366273917618;1,15334129773259e-06;0,0919495537850514;0,000877673214084257;0,0023565999608893
"GO:0005856";0,485865830650375;0,0429858472349803;0,322818076346189;0,0908356980120989;0,305809754003566
"GO:0030426";0,629164914818976;0,755934474267294;1;0,742471826957996;0,850322585020029
"GO:0030424";0,34255083760825;0,0446347239250968;0,229203346130846;0,0940946789287001;0,235162859942883
"GO:0043025";0,186514127128891;0,0131508536875587;0,114728365407746;0,195998006450284;0,1363982283358
"GO:0015630";0,107342126939625;0,0439964208637104;0,685682802360276;0,0169136560016635;0,120104014406374
"GO:0005634";0,996928309893742;0,970178452660818;0,995337259367144;0,427167993387566;0,926798625465745
"GO:0005737";0,999790635711193;0,849814396509997;0,990342479009507;0,640024389186522;0,967059417123588
"GO:0016021";0,999999902798269;0,999999999235686;0,999999442085389;1;0,999999999999986
"GO:0016020";0,0682512005072421;0,903890116660698;0,980531289771342;0,587340932222054;0,727912019260484
"GO:0005887";0,960452764966881;0,281623683912342;0,417013899834298;0,341035417626093;0,0133714479248369
"GO:0001750";0,686956028754585;0,75766183990221;1;0,610591121585554;1
"GO:0035869";1;1;1;1;1
"GO:0030173";1;1;0,709701268997253;1;1
"GO:0010008";0,310805354637151;0,662192466679743;0,909784219262023;0,941149953204517;0,823731656543701
"GO:0030140";0,0101474314285722;0,0171944139062461;0,0438049509249916;0,0545006478212059;0,00101992741273024
"GO:0005769";0,925161817508214;0,688543542474808;0,58546114413429;0,947148431215177;0,530608695667611
"GO:0045202";0,672067859606223;0,65352180175825;0,844455811878049;0,721623744876712;0,696536374202789
"GO:0030054";0,901167070859639;0,926078781106879;0,88579748537623;0,990443736109295;0,920210387304781
"GO:0031965";0,258506002084711;0,0155403798422008;0,442762006700943;0,0594434751986981;0,0489206988020662
"GO:0005789";2,78507469279045e-07;0,00632719465861321;0,172725385763548;0,706629250192861;0,141508248157004
"GO:0033557";1;1;1;1;1
"GO:0071339";0,301100774630671;0,146920643967517;1;0,058994275399547;0,314535932467147
"GO:0005615";0,952837948480532;0,987416480503254;0,999840863438774;0,885486387865863;0,988141043538705
"GO:0005916";1;0,0171944139062461;1;0,0545006478212059;0,0826951624271499
"GO:0031093";0,853869847194107;0,194437051158731;0,748631948116513;0,0667573506159889;0,128910942656131
"GO:0030018";0,690999674711386;0,0105048170777246;0,727759390126912;0,0081413764578622;0,0294513290259212
"GO:0043197";0,285958644100979;0,231953423296521;0,862756627158166;0,379957863925112;0,305961817748162
"GO:0031143";1;0,0265036204058697;1;0,0720742967175425;0,108177890665693
"GO:0070062";3,91965800575323e-17;6,7075431502769e-23;1,50067342109419e-14;1,46124952611524e-25;4,83933406008994e-19
"GO:0005925";0,956586008632238;0,233120400954322;0,680975706518141;0,0997851863487142;0,560642924641114
"GO:0001726";0,375423911906899;0,0342599594814824;0,388376563511103;0,0131567349829188;0,0408386399815414
"GO:0000125";1;1;1;1;1
"GO:0072686";0,0364806198582304;0,0112063752442528;0,42084444576035;0,021529348801528;0,00637122894432329
"GO:0005694";0,773055887377683;0,440415450104802;0,141943228541197;0,397345803619947;0,553142841412945
"GO:0005671";1;1;1;1;1
"GO:0000139";2,3195698140425e-06;1,46922011857162e-05;0,00242091074754226;0,000209200514405716;3,3648974731288e-09
"GO:0031901";4,76739738949217e-10;5,56595627908998e-06;1,03180100357689e-05;1,13669280910623e-09;6,67894385525949e-16
"GO:0012507";9,11025243610829e-15;9,48729518646324e-13;2,16920091858901e-10;5,5307201613661e-14;8,24813984098097e-27
"GO:0042612";1,47287104751801e-14;5,80293297220017e-11;4,25530382100577e-09;1,842695434133e-16;1,15645404125472e-25
"GO:0071556";4,77378882676298e-16;3,19326879850592e-12;1,60437503710988e-11;2,92985532276126e-16;1,62695084939176e-28
"GO:0030670";9,08504688701143e-16;3,54327782563275e-11;5,20368230027655e-09;2,91261801813791e-13;2,54357556609975e-23
"GO:0043005";0,49490387629105;0,331978934784708;0,243018582453985;0,73229361318127;0,344635034169931
"GO:0030027";0,0927922666710917;0,0253364693341029;0,243018582453985;0,0844652390734714;0,106473176089517
"GO:0005938";0,586655326437697;0,556592055844643;0,950014563370738;0,849671598805541;0,927428785292008
"GO:0043234";0,158784136090789;0,0440443905317082;0,130841541497692;0,338068546051253;0,182302812654575
"GO:0005794";0,00586784969080284;0,145822548281753;0,656707856762514;0,667839103940501;0,0374117412410927
"GO:0005802";0,136796019258172;0,250408173935894;0,722054741714579;0,156112035376912;0,488915615719584
"GO:0005815";0,637339822555323;0,10063501404104;0,418923073676158;0,126704433188526;0,246142496671591
"GO:0009986";7,88029224960641e-06;2,45089288911106e-08;9,84934094435651e-06;3,4831169968688e-07;2,53775284063698e-07
"GO:0031436";1;1;1;1;1
"GO:0070531";1;1;1;1;1
"GO:0005796";1;1;1;1;1
"GO:0043202";0,00547679554322093;0,965812820477949;0,862756627158166;1;0,942646023822171
"GO:0005583";1;1;1;1;1
"GO:0009897";0,106414262969717;2,12527555372607e-05;4,84293325796582e-06;0,000273175801710359;1,49141049649044e-06
"GO:0070971";1;1;1;1;1
"GO:0005793";1,03382323638058e-10;3,29680653774232e-05;0,0628289453943996;0,00142174428614813;0,00123453326341378
"GO:0033116";5,21689423364534e-07;2,55581953034776e-05;0,00666116764564693;0,0539081293974534;0,00414211338714566
"GO:0005801";0,686956028754585;0,75766183990221;0,565629939622676;0,610591121585554;0,698863506944039
"GO:0005788";3,24168189928236e-15;0,0161318522660945;0,0532830420328489;0,000116699672821516;0,00392550236791925
"GO:0005594";1;1;1;1;1
"GO:0034707";1;1;1;1;1
"GO:0005576";0,999921025138872;0,999999997938653;0,999986008974953;0,999990823384563;0,999998721158443
"GO:0005764";0,000295128223493236;0,201316540039446;0,980179374014767;0,636235001147231;0,474836269050591
"GO:0005770";0,595209108083212;0,513551469737256;0,179897739391187;1;0,389339816220522
"GO:0005765";1,09721656033705e-10;9,71231825574748e-05;0,000567584440245634;0,370111356031814;1,82275594266789e-05
"GO:0030133";0,531654439316443;0,639170127060386;0,725947986809157;0,768704383939741;0,84481204392281
"GO:0005654";7,91983674681784e-18;1,93102052038046e-49;7,09210224282616e-27;2,40098933581848e-42;6,26791042254534e-41
"GO:0017053";0,835182680352915;0,363471011750017;0,725947986809157;0,173539333325553;0,84481204392281
"GO:0097504";1;1;1;1;1
"GO:0005681";0,161196918525857;0,0137423666680461;0,0181160911988316;0,00158923325127011;0,00139866509063215
"GO:0005913";0,617507842645367;0,318315335515684;0,498425577503397;0,541786291086429;0,629587053838419
"GO:0000790";0,420043035589295;0,371935722243964;0,426483601116814;0,506023205429784;0,253797084377732
"GO:0032059";1;1;1;1;1
"GO:0005874";0,000367655941151915;6,02121635931445e-06;0,000505227143776658;1,58926224894231e-05;1,40832166712097e-05
"GO:0005813";0,106435227718756;0,230584210981913;0,658140910142636;0,0229087088372896;0,196404540868651
"GO:0005868";0,0101474314285722;0,109205258111263;1;0,0545006478212059;0,0826951624271499
"GO:0005667";0,922345589409629;0,94210698042585;0,558254034916144;0,675369433837182;0,631058426199184
"GO:0030529";2,71225841202357e-17;1,2400324915835e-19;8,15567877431133e-16;1,27493921542187e-20;8,6815889125855e-23
"GO:0045211";1;0,994100583340958;1;1;1
"GO:0000786";1,76727930562438e-09;0,000172370595198324;1,1641398988168e-12;0,00388003049020488;3,3440895620622e-11
"GO:0005768";0,0426477238410476;0,201297966059582;0,653576783958954;0,0844652390734714;0,344635034169931
"GO:0042470";4,25926769242339e-35;1,6387067609451e-35;4,26373908261958e-23;1,96827218876286e-30;6,98281432670971e-32
"GO:0005905";0,555279374042563;0,66272232270971;0,386002605647095;0,446055512472006;0,121833303197295
"GO:0016023";0,0867608456642917;0,180126982251418;0,938816425916189;0,375932108461761;0,556952561844055
"GO:0005865";0,147936184073066;0,177480211479197;1;0,12190867211268;0,152478767174582
"GO:0005743";1,54424204806885e-18;3,46230175587552e-09;1,36196968105968e-08;2,02855095210037e-05;3,52809433799292e-08
"GO:0031225";1;0,775205284150693;0,82244491229175;1;0,656135275459836
"GO:0043231";0,869024785352094;0,802987341650733;0,922922082669594;0,78222146279484;0,880631120846654
"GO:0005739";1,86583455004252e-13;5,63726176801427e-07;0,00146188529225488;7,94359090478736e-06;9,23513593639874e-07
"GO:0030659";0,0248239202979355;0,0694368751802107;0,587545167212151;0,0558716535895834;0,0296976807049363
"GO:0032302";1;0,0930667520337761;1;1;0,0793869990879822
"GO:0032301";0,0769232511309632;0,00227003553099092;1;1;0,0793869990879822
"GO:0000228";0,568657428910478;0,264549577372918;1;1;0,58059951032252
"GO:0042383";0,192450844867432;0,141893010904263;0,226250540084148;0,283310629524614;0,085220219138903
"GO:0016012";1;1;1;1;1
"GO:0097481";1;1;1;1;1
"GO:0060076";0,473007501884359;0,542403834205116;0,368659541912571;0,405583644793825;0,484159512812318
"GO:0017146";1;1;1;1;1
"GO:0005763";0,532676310479295;0,228644498091542;1;1;0,544397341114873
"GO:0070044";0,147936184073066;1;0,10858300918547;1;1
"GO:0005759";3,49669727276464e-46;2,01902475232491e-19;9,49647124251684e-05;2,65166543981697e-14;7,30382162651877e-13
"GO:0031252";0,242234002858952;0,0254605678970107;0,498425577503397;0,00661294147769072;0,0148855622260769
"GO:0005875";1;0,732758136702397;1;0,584402553881156;0,672858818565502
"GO:0000235";1;1;1;1;1
"GO:0000776";0,0990616661443053;0,0192409436797264;0,36565056222935;0,014004769116745;0,108202028409387
"GO:0031512";1;1;1;1;1
"GO:0031982";0,271688546631424;0,719363458139356;0,526470476623886;1;1
"GO:0005871";0,841662886540819;0,376615123874606;0,733727702712794;0,435144534072425;0,851113196837715
"GO:0005635";0,0467506026497662;0,00653695281373741;0,000614216956731533;0,0179600671886199;0,0538560597998221
"GO:0005638";0,147936184073066;0,177480211479197;0,10858300918547;0,12190867211268;0,152478767174582
"GO:0005637";0,000128594215188362;7,07294586641465e-06;0,00973077573714114;0,00241641462729395;0,00111939537944479
"GO:0001673";0,451472727481793;0,519481313143206;0,350241701754908;0,0814532739491145;0,121599577399759
"GO:0005712";1;1;1;1;1
"GO:0032390";1;1;1;1;1
"GO:0000795";0,451472727481793;0,519481313143206;0,350241701754908;1;0,121599577399759
"GO:0014069";0,898317248830135;0,494339974569143;0,295427225291313;0,375932108461761;0,556952561844055
"GO:0031011";0,102463444992745;0,141577326736419;1;0,0720742967175425;0,108177890665693
"GO:0000123";1;0,519481313143206;1;0,385933517348993;1
"GO:0005798";1;0,386472981051252;0,249788840713621;0,277516432375511;0,338774931535722
"GO:0005795";1;1;0,589923106689522;1;0,722803380802849
"GO:0030136";0,743807616357974;1;1;1;1
"GO:0042629";1;1;1;1;1
"GO:0042588";0,113139310714978;0,136303070325015;1;1;0,116687659096311
"GO:0071013";1,47970855123698e-18;2,21900644346221e-34;7,7495232640923e-29;1,11048756070239e-32;1,84166173707198e-34
"GO:0005839";1;4,03532471013778e-08;1;3,62352084023361e-11;1,10869785719327e-11
"GO:0045335";0,00425501558159512;0,0017643529544551;0,0438314151889877;0,225113448371952;0,102693995480375
"GO:0022625";3,22566493846068e-32;1,44072923254687e-48;9,27521644787099e-61;4,17155721685066e-30;1,27885988848353e-49
"GO:0005840";0,865136807399639;0,00912564138572651;0,000489620614635097;0,478060540216704;0,0509979410243872
"GO:0005787";0,113139310714978;0,136303070325015;0,0825939116271838;1;1
"GO:0001669";0,0202718581256361;0,120511991207073;0,203988419939477;0,0308099451626053;0,0712440359871363
"GO:0031902";0,0264431487581239;0,143314970115466;0,0147505255084651;0,792545288039163;0,00374758697290247
"GO:0055037";0,184463027482052;0,287982327635555;0,218775808659115;0,548140462445896;0,199347386505714
"GO:0030139";0,415346635092674;0,245023317925008;0,271560897983502;0,320561148615981;0,7746625398383
"GO:0016324";0,242709599277241;0,246932311153333;0,170470776714553;0,0940992507736869;0,0625276517320568
"GO:0055038";0,0813923390855573;0,13856296065198;0,334657637695124;0,744964305768766;0,241401721458422
"GO:0071953";1;1;1;1;1
"GO:0005578";0,996046294859532;0,995351171703778;0,996086773459259;0,998107460724674;0,996852383087138
"GO:0030315";0,301100774630671;0,146920643967517;0,552949859540461;0,597709557788905;0,686130036569145
"GO:0016529";1;0,675019760280463;1;1;1
"GO:0033017";0,242234002858952;0,104037323440352;0,147109264491743;0,541786291086429;0,2537765038581
"GO:0005929";0,3933355770262;0,543532174918328;0,672720101976169;0,260166002058568;0,231023210802027
"GO:0031201";0,000419857226113118;0,353665243686106;0,0362508122847249;1;0,284218686491864
"GO:0030667";0,429059118227477;0,495411774563809;0,0582021836774133;1;0,43964444926516
"GO:0000781";1;1;1;1;1
"GO:0030915";1;1;1;1;1
"GO:0005783";0,000266815615127128;0,0112757501584971;0,0605345563033218;0,289540313623045;0,0500218580197643
"GO:0016607";0,0436957814468661;9,65749120099647e-08;3,36390247675722e-09;5,40062430261829e-09;8,18046876404974e-10
"GO:0032983";1;1;1;1;1
"GO:0030666";0,781767661393093;0,271063140187348;0,0920359577211954;0,709484636687557;0,45914574800329
"GO:0032281";0,67415539316462;0,745514122469048;1;1;0,686130036569145
"GO:0030141";0,398954628535104;0,770749354943463;0,492012338385632;0,84856905362162;0,419123429287067
"GO:0031362";0,513576869127816;0,585023652261444;0,403946398277324;1;0,525142230286875
"GO:0034364";1;0,564233944144266;1;0,424605907531422;1
"GO:0016323";0,478578794931116;0,358603587205182;0,568780528417572;0,296838926689383;0,119353350398453
"GO:0000775";0,468959108418959;0,297380704194526;0,683510983246029;0,135206294747354;0,219745685322265
"GO:0015629";0,139982290015378;0,000315183783606636;0,00387710364431577;0,000103311962446336;0,160139241262401
"GO:0005882";0,0122505029831172;0,000562517483041096;0,00149097668788991;0,0326025371200657;0,000449950647367815
"GO:0005819";0,705186230560104;0,00430449315204475;0,263805073111645;0,00271155453874516;0,169534992296147
"GO:0016592";0,743807616357974;0,810243672883792;0,250403913817672;1;0,403156256820344
"GO:0016328";1;0,232155944162131;1;0,308696360979908;0,417425094557617
