Accession	Gene name	GO ID (C)	GO name (C)	Entry name
Q8NHV1	GIMAP7	GO:0005811	lipid particle	GIMA7_HUMAN
Q8NG66	NEK11	GO:0005730	nucleolus	NEK11_HUMAN
Q8N9B8	RASGEF1A	GO:0005622	intracellular	RGF1A_HUMAN
Q96PN6	ADCY10	GO:0030425	dendrite	ADCYA_HUMAN
Q96PN6	ADCY10	GO:0005829	cytosol	ADCYA_HUMAN
Q96PN6	ADCY10	GO:0005886	plasma membrane	ADCYA_HUMAN
Q96PN6	ADCY10	GO:0045178	basal part of cell	ADCYA_HUMAN
Q96PN6	ADCY10	GO:0045177	apical part of cell	ADCYA_HUMAN
Q96PN6	ADCY10	GO:0048471	perinuclear region of cytoplasm	ADCYA_HUMAN
Q96PN6	ADCY10	GO:0005856	cytoskeleton	ADCYA_HUMAN
Q96PN6	ADCY10	GO:0030426	growth cone	ADCYA_HUMAN
Q96PN6	ADCY10	GO:0030424	axon	ADCYA_HUMAN
Q96PN6	ADCY10	GO:0043025	neuronal cell body	ADCYA_HUMAN
Q9H7U1	CCSER2	GO:0015630	microtubule cytoskeleton	CCSE2_HUMAN
Q8NFW8	CMAS	GO:0005634	nucleus	NEUA_HUMAN
Q9ULR5	PAIP2B	GO:0005737	cytoplasm	PAI2B_HUMAN
Q8N8A6	DDX51	GO:0005730	nucleolus	DDX51_HUMAN
Q8TD23	ZNF675	GO:0005634	nucleus	ZN675_HUMAN
Q8TD23	ZNF675	GO:0048471	perinuclear region of cytoplasm	ZN675_HUMAN
Q8WW52	FAM151A	GO:0016021	integral to membrane	F151A_HUMAN
Q8WW52	FAM151A	GO:0016020	membrane	F151A_HUMAN
Q15270	NKX1-1	GO:0005634	nucleus	NKX11_HUMAN
Q9ULP9	TBC1D24	GO:0005737	cytoplasm	TBC24_HUMAN
Q8N635	MEIOB	GO:0005737	cytoplasm	MEIOB_HUMAN
Q9NQW8	CNGB3	GO:0005887	integral to plasma membrane	CNGB3_HUMAN
Q9NQW8	CNGB3	GO:0001750	photoreceptor outer segment	CNGB3_HUMAN
Q9P2K3	RCOR3	GO:0005634	nucleus	RCOR3_HUMAN
Q9NYL2	MLTK	GO:0005634	nucleus	MLTK_HUMAN
Q9NYL2	MLTK	GO:0005737	cytoplasm	MLTK_HUMAN
Q96Q45	TMEM237	GO:0035869	ciliary transition zone	TM237_HUMAN
Q96Q45	TMEM237	GO:0016021	integral to membrane	TM237_HUMAN
Q8NFT2	STEAP2	GO:0030173	integral to Golgi membrane	STEA2_HUMAN
Q8NFT2	STEAP2	GO:0010008	endosome membrane	STEA2_HUMAN
Q8NFT2	STEAP2	GO:0005829	cytosol	STEA2_HUMAN
Q8NFT2	STEAP2	GO:0030140	trans-Golgi network transport vesicle	STEA2_HUMAN
Q8NFT2	STEAP2	GO:0005769	early endosome	STEA2_HUMAN
Q8NFT2	STEAP2	GO:0005886	plasma membrane	STEA2_HUMAN
Q8NAP3	ZBTB38	GO:0005634	nucleus	ZBT38_HUMAN
