"";"accession";"name";"go_name"
"1";"O60814";"H2B1K_HUMAN";"C:nucleus"
"4";"O60814";"H2B1K_HUMAN";"C:nucleosome"
"7";"P02533";"K1C14_HUMAN";"C:cell periphery"
"8";"P02533";"K1C14_HUMAN";"C:keratin filament"
"9";"P02533";"K1C14_HUMAN";"C:cytosol"
"10";"P02533";"K1C14_HUMAN";"C:nucleus"
"19";"P04259";"K2C6B_HUMAN";"C:keratin filament"
"20";"P04264";"K2C1_HUMAN";"C:keratin filament"
"21";"P04264";"K2C1_HUMAN";"C:plasma membrane"
"23";"P04264";"K2C1_HUMAN";"C:membrane"
"30";"P04264";"K2C1_HUMAN";"C:cytoskeleton"
"32";"P04406";"G3P_HUMAN";"C:microtubule cytoskeleton"
"34";"P04406";"G3P_HUMAN";"C:plasma membrane"
"35";"P04406";"G3P_HUMAN";"C:nucleus"
"37";"P04406";"G3P_HUMAN";"C:GAIT complex"
"38";"P04406";"G3P_HUMAN";"C:lipid particle"
"42";"P04406";"G3P_HUMAN";"C:cytosol"
"44";"P04406";"G3P_HUMAN";"C:perinuclear region of cytoplasm"
"45";"P04406";"G3P_HUMAN";"C:ribonucleoprotein complex"
"48";"P04406";"G3P_HUMAN";"C:extracellular vesicular exosome"
"54";"P06733";"ENOA_HUMAN";"C:cytosol"
"57";"P06733";"ENOA_HUMAN";"C:nucleus"
"59";"P06733";"ENOA_HUMAN";"C:M band"
"60";"P06733";"ENOA_HUMAN";"C:extracellular vesicular exosome"
"67";"P06733";"ENOA_HUMAN";"C:plasma membrane"
"68";"P06733";"ENOA_HUMAN";"C:phosphopyruvate hydratase complex"
"75";"P07437";"TBB5_HUMAN";"C:plasma membrane"
"78";"P07437";"TBB5_HUMAN";"C:cytosol"
"79";"P07437";"TBB5_HUMAN";"C:nuclear envelope lumen"
"83";"P07437";"TBB5_HUMAN";"C:cell body"
"88";"P07437";"TBB5_HUMAN";"C:extracellular vesicular exosome"
"90";"P07437";"TBB5_HUMAN";"C:microtubule"
"93";"P07900";"HS90A_HUMAN";"C:brush border membrane"
"95";"P07900";"HS90A_HUMAN";"C:perinuclear region of cytoplasm"
"99";"P07900";"HS90A_HUMAN";"C:melanosome"
"102";"P07900";"HS90A_HUMAN";"C:extracellular region"
"105";"P07900";"HS90A_HUMAN";"C:plasma membrane"
"106";"P07900";"HS90A_HUMAN";"C:extracellular matrix"
"115";"P07900";"HS90A_HUMAN";"C:basolateral plasma membrane"
"116";"P07900";"HS90A_HUMAN";"C:endocytic vesicle lumen"
"122";"P07900";"HS90A_HUMAN";"C:neuronal cell body"
"124";"P07900";"HS90A_HUMAN";"C:cytosol"
"128";"P07900";"HS90A_HUMAN";"C:neuron projection"
"129";"P07900";"HS90A_HUMAN";"C:protein complex"
"133";"P07900";"HS90A_HUMAN";"C:mitochondrion"
"134";"P07900";"HS90A_HUMAN";"C:apical plasma membrane"
"135";"P07900";"HS90A_HUMAN";"C:cell surface"
"139";"P08238";"HS90B_HUMAN";"C:mitochondrion"
"140";"P08238";"HS90B_HUMAN";"C:apical plasma membrane"
"144";"P08238";"HS90B_HUMAN";"C:melanosome"
"148";"P08238";"HS90B_HUMAN";"C:cytosol"
"149";"P08238";"HS90B_HUMAN";"C:inclusion body"
"153";"P08238";"HS90B_HUMAN";"C:cell surface"
"160";"P08238";"HS90B_HUMAN";"C:basolateral plasma membrane"
"161";"P08238";"HS90B_HUMAN";"C:brush border membrane"
"173";"P08729";"K2C7_HUMAN";"C:intermediate filament"
"176";"P08729";"K2C7_HUMAN";"C:Golgi apparatus"
"177";"P08729";"K2C7_HUMAN";"C:nucleus"
"178";"P08729";"K2C7_HUMAN";"C:keratin filament"
"179";"P0C0S5";"H2AZ_HUMAN";"C:nucleosome"
"182";"P0C0S5";"H2AZ_HUMAN";"C:nucleus"
"184";"P0C0S8";"H2A1_HUMAN";"C:nucleus"
"186";"P0C0S8";"H2A1_HUMAN";"C:nucleosome"
"187";"P11142";"HSP7C_HUMAN";"C:nucleolus"
"189";"P11142";"HSP7C_HUMAN";"C:spliceosomal complex"
"191";"P11142";"HSP7C_HUMAN";"C:plasma membrane"
"192";"P11142";"HSP7C_HUMAN";"C:ribonucleoprotein complex"
