"";"protein.g";"protein.acs";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5744-3.id.csv";"peptide.count.P5744-4.id.csv";"peptide.count.P5745-3.id.csv";"peptide.count.P5745-4.id.csv";"spectra.count.P5744-3.id.csv";"spectra.count.P5744-4.id.csv";"spectra.count.P5745-3.id.csv";"spectra.count.P5745-4.id.csv";"dNSAF.P5744-3.id.csv";"dNSAF.P5744-4.id.csv";"dNSAF.P5745-3.id.csv";"dNSAF.P5745-4.id.csv"
"P04264";"P04264";"P04264";"K2C1_HUMAN";"Keratin, type II cytoskeletal 1";"KRT1";45;461;0,0847860752364144;38;40;37;36;146;157;78;80;0,125823464984007;0,128204856777081;0,0600879078988722;0,0582250686726832
"P35527";"P35527";"P35527";"K1C9_HUMAN";"Keratin, type I cytoskeletal 9";"KRT9";38;264;0,0441104129528244;30;31;30;29;77;81;49;57;0,0591820101913761;0,0613216482638303;0,0343948010676903;0,0373941696017499
"P35908";"P35908";"P35908";"K22E_HUMAN";"Keratin, type II cytoskeletal 2 epidermal";"KRT2";38;297;0,0632137778575126;36;36;29;26;91;93;59;54;0,0911587889635673;0,088340716267019;0,0518929953507597;0,0454527067755895
"P13645";"P13645";"P13645";"K1C10_HUMAN";"Keratin, type I cytoskeletal 10";"KRT10";34;434;0,0885904299642348;27;28;26;28;139;154;70;71;0,128515204349579;0,137029130489103;0,0627155941116004;0,0611586767889652
"Q86YZ3";"Q86YZ3";"Q86YZ3";"HORN_HUMAN";"Hornerin";"HRNR";29;88;0,00316772900484671;27;22;16;11;30;28;17;13;0,00497711333931118;0,00454596257522253;0,00256740937064193;0,0018501755658244
"P13647";"P13647";"P13647";"K2C5_HUMAN";"Keratin, type II cytoskeletal 5";"KRT5";22;97;0,0248767414876625;19;20;17;14;28;27;25;17;0,0323296770467689;0,031660829850107;0,0257505714179918;0,0185841733007895
"Q9NSB2";"Q9NSB2";"Q9NSB2";"KRT84_HUMAN";"Keratin, type II cuticular Hb4";"KRT84";16;33;0,00604769703583128;16;12;0;0;19;14;0;0;0,0164421277579899;0,0112847656973261;0;0
"162648";"162648";"162648";"162648";"albumin [Bos taurus]";"";15;45;0,00875362619678897;15;11;7;9;17;12;7;9;0,0151339854892682;0,0102910043587719;0,0063818248238168;0,0066822967464194
"Q02413";"Q02413";"Q02413";"DSG1_HUMAN";"Desmoglein-1";"DSG1";14;41;0,00400976183179151;10;10;7;6;12;11;9;9;0,00540887436302645;0,0048521015502256;0,00369281951197025;0,00348001783848324
"Q7Z794";"Q7Z794";"Q7Z794";"K2C1B_HUMAN";"Keratin, type II cytoskeletal 1b";"KRT77";13;28;0,00538643651716489;12;11;3;1;12;12;3;1;0,010611606661085;0,0102621748558625;0,00245063768452092;0,000775569575401966
