"";"protein.g";"protein.acs";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5744";"peptide.count.P5745";"spectra.count.P5744";"spectra.count.P5745";"dNSAF.P5744";"dNSAF.P5745"
"P35908";"P35908";"P35908";"K22E_HUMAN";"Keratin, type II cytoskeletal 2 epidermal";"KRT2";24;128;0,0921937523749802;24;16;79;49;0,0992963005313759;0,084577168440352
"P04264";"P04264";"P04264";"K2C1_HUMAN";"Keratin, type II cytoskeletal 1";"KRT1";22;167;0,116792585675571;21;16;110;57;0,139336854548967;0,0889361058745569
"P13645";"P13645";"P13645";"K1C10_HUMAN";"Keratin, type I cytoskeletal 10";"KRT10";22;225;0,158363771404603;22;21;147;78;0,179609045045383;0,133458974776527
"P35527";"P35527";"P35527";"K1C9_HUMAN";"Keratin, type I cytoskeletal 9";"KRT9";18;80;0,0435849973035221;18;11;55;25;0,0526254271719812;0,0323667618201278
"162648";"162648";"162648";"162648";"albumin [Bos taurus]";"";15;36;0,0195778831523463;13;11;22;14;0,0211095070063169;0,0179266778727491
"P13647";"P13647";"P13647";"K2C5_HUMAN";"Keratin, type II cytoskeletal 5";"KRT5";14;44;0,0352811293326797;13;9;28;16;0,041497181067682;0,0273317078956058
"P11142-1,P11142-2";"P11142-1,P11142-2";"P11142-[1,2]";"HSP7C_HUMAN";"Heat shock cognate 71 kDa protein";"HSPA8";5;7;0,00178849384060714;NA;5;NA;7;NA;NA
"P62805";"P62805";"P62805";"H4_HUMAN";"Histone H4";"HIST1H4J,HIST1H4D,HIST1H4K,HIST1H4C,HIST2H4A,HIST4H4,HIST1H4E,HIST1H4A,HIST1H4B,HIST1H4I,HIST2H4B,HIST1H4H,HIST1H4L,HIST1H4F";5;34;0,10896665385602;5;5;18;16;0,101783968910423;0,120737791608973
"P02533";"P02533";"P02533";"K1C14_HUMAN";"Keratin, type I cytoskeletal 14";"KRT14";6;13;0,0236578189777352;6;2;10;3;0,0296732862127276;0,0161046666742045
"P68104,Q05639,Q5VTE0";"P68104,Q05639,Q5VTE0";"P68104, Q5VTE0, Q05639";"EF1A1_HUMAN, EF1A2_HUMAN, EF1A3_HUMAN";"Elongation factor 1-alpha 1, Elongation factor 1-alpha 2, Putative elongation factor 1-alpha-like 3";"EEF1A1, EEF1A1P5, EEF1A2";4;6;0,0014279950821286;NA;4;NA;6;NA;0,00336229069999753
"136429";"136429";"136429";"136429";"trypsin [Sus scrofa]";"";3;197;0,281518000177299;3;3;100;97;0,252134410720865;0,326377509730857
"P06733-1";"P06733-1";"P06733-1";"ENOA_HUMAN";"Alpha-enolase";"ENO1";3;5;0,00380305141880254;NA;3;NA;5;NA;NA
"P81605-1,P81605-2";"P81605-1,P81605-2";"P81605-[1,2]";"DCD_HUMAN";"Dermcidin";"DCD";3;6;0,00900285990414711;3;NA;6;NA;NA;NA
"Q5T749";"Q5T749";"Q5T749";"KPRP_HUMAN";"Keratinocyte proline-rich protein";"KPRP";3;5;0,00285064648663265;3;NA;5;NA;0,00502962425531259;NA
"Q7Z794";"Q7Z794";"Q7Z794";"K2C1B_HUMAN";"Keratin, type II cytoskeletal 1b";"KRT77";3;6;0,00399662761610222;3;0;6;0;0,00708078588617259;0
"Q9NSB2";"Q9NSB2";"Q9NSB2";"KRT84_HUMAN";"Keratin, type II cuticular Hb4";"KRT84";3;4;0,00291091338012509;3;NA;4;NA;0,0052694964410369;NA
"O60814,P57053,P58876,P62807,Q5QNW6-1,Q5QNW6-2,Q93079,Q99877,Q99879,Q99880";"O60814,P57053,P58876,P62807,Q5QNW6-1,Q5QNW6-2,Q93079,Q99877,Q99879,Q99880";"O60814, P57053, P58876, P62807, Q5QNW6-[1,2], Q93079, Q99877, Q99879, Q99880";"H2B1C_HUMAN, H2B1D_HUMAN, H2B1H_HUMAN, H2B1K_HUMAN, H2B1L_HUMAN, H2B1M_HUMAN, H2B1N_HUMAN, H2B2F_HUMAN, H2BFS_HUMAN";"Histone H2B type 1-C/E/F/G/I, Histone H2B type 1-D, Histone H2B type 1-H, Histone H2B type 1-K, Histone H2B type 1-L, Histone H2B type 1-M, Histone H2B type 1-N, Histone H2B type 2-F, Histone H2B type F-S";"H2BFS, HIST1H2BD, HIST1H2BF,HIST1H2BE,HIST1H2BC,HIST1H2BG,HIST1H2BI, HIST1H2BH, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST2H2BF";5;13;0,00340584382617206;3;5;3;10;0,00173342407370595;0,0077108088639163
"P04406";"P04406";"P04406";"G3P_HUMAN";"Glyceraldehyde-3-phosphate dehydrogenase";"GAPDH";2;2;0,00197077530240036;2;NA;2;NA;0,00347719694785193;NA
"P05141,P12236";"P05141,P12236";"P12236, P05141";"ADT2_HUMAN, ADT3_HUMAN";"ADP/ATP translocase 2, ADP/ATP translocase 3";"SLC25A5, SLC25A6";2;2;0,00110773444010759;NA;2;NA;2;NA;0,00260821991101598
"P07900-1,P07900-2";"P07900-1,P07900-2";"P07900-[1,2]";"HS90A_HUMAN";"Heat shock protein HSP 90-alpha";"HSP90AA1";3;4;0,00236755537096765;0;3;0;4;NA;NA
"P08238";"P08238";"P08238";"HS90B_HUMAN";"Heat shock protein HSP 90-beta";"HSP90AB1";3;4;0,00478743240759204;1;2;1;3;0,00241338600317071;0,00828166432676977
"P10412,P16402,P16403";"P10412,P16402,P16403";"P16402, P16403, P10412";"H12_HUMAN, H13_HUMAN, H14_HUMAN";"Histone H1.2, Histone H1.3, Histone H1.4";"HIST1H1C, HIST1H1D, HIST1H1E";4;13;0,00657176603518651;3;4;5;8;0,00445965152193873;0,00952219949136616
"P14618-1,P14618-2";"P14618-1,P14618-2";"P14618-[1,2]";"KPYM_HUMAN";"Pyruvate kinase isozymes M1/M2";"PKM";2;2;0,000621666408949267;NA;2;NA;2;NA;NA
"P15924-1,P15924-2";"P15924-1,P15924-2";"P15924-[1,2]";"DESP_HUMAN";"Desmoplakin";"DSP";2;2;0,000114979053692811;2;NA;2;NA;NA;NA
"P19338";"P19338";"P19338";"NUCL_HUMAN";"Nucleolin";"NCL";2;2;0,000929872853949467;NA;2;NA;2;NA;0,00218943530558525
"P60709,P63261";"P60709,P63261";"P60709, P63261";"ACTB_HUMAN, ACTG_HUMAN";"Actin, cytoplasmic 1, Actin, cytoplasmic 2";"ACTB, ACTG1";7;18;0,00792251671564946;3;7;4;14;0,00310629594008106;0,0145086579583449
"Q02413";"Q02413";"Q02413";"DSG1_HUMAN";"Desmoglein-1";"DSG1";2;2;0,000629370568450068;2;NA;2;NA;0,00111044897762669;NA
"Q8N1N4-1";"Q8N1N4-1";"Q8N1N4-1";"K2C78_HUMAN";"Keratin, type II cytoskeletal 78";"KRT78";3;4;0,00262836530714866;3;NA;4;NA;NA;NA
"125116";"125116";"125116";"125116";"K2M2_SHEEP Keratin, type II microfibrillar, component 7C";"";1;1;0,00136821253173399;1;NA;1;NA;0,00243028965556985;NA
"P07437";"P07437";"P07437";"TBB5_HUMAN";"Tubulin beta chain";"TUBB";2;5;0,00637268075583129;NA;2;NA;5;NA;0,015004817248702
"P08729";"P08729";"P08729";"K2C7_HUMAN";"Keratin, type II cytoskeletal 7";"KRT7";1;1;0,000755033670001594;1;NA;1;NA;0,00137487599992374;NA
"P68371";"P68371";"P68371";"TBB4B_HUMAN";"Tubulin beta-4B chain";"TUBB4B";1;2;0,00254334404996772;NA;1;NA;2;NA;0,00598843942330218
"P68431,P84243,Q16695,Q71DI3";"P68431,P84243,Q16695,Q71DI3";"Q71DI3, P68431, P84243, Q16695";"H31_HUMAN, H31T_HUMAN, H32_HUMAN, H33_HUMAN";"Histone H3.1, Histone H3.1t, Histone H3.2, Histone H3.3";"H3F3A,H3F3B, HIST1H3C,HIST1H3G,HIST1H3I,HIST1H3F,HIST1H3H,HIST1H3D,HIST1H3E,HIST1H3J,HIST1H3B,HIST1H3A, HIST2H3A,HIST2H3C,HIST2H3D, HIST3H3";4;13;0,00788853533267792;3;3;5;8;0,0053532214040919;0,0114301401982759
"P78385,P78386";"P78385,P78386";"P78385, P78386";"KRT83_HUMAN, KRT85_HUMAN";"Keratin, type II cuticular Hb3, Keratin, type II cuticular Hb5";"KRT83, KRT85";1;1;0,000671792353081387;1;NA;1;NA;0,0011932722208848;NA
"Q00839-1,Q00839-2";"Q00839-1,Q00839-2";"Q00839-[1,2]";"HNRPU_HUMAN";"Heterogeneous nuclear ribonucleoprotein U";"HNRNPU";1;1;0,000200063553425491;NA;1;NA;1;NA;NA
"Q04695";"Q04695";"Q04695";"K1C17_HUMAN";"Keratin, type I cytoskeletal 17";"KRT17";1;1;0,00165689867659987;1;0;1;0;0,00280927729884747;0
"Q15323";"Q15323";"Q15323";"K1H1_HUMAN";"Keratin, type I cuticular Ha1";"KRT31";6;9;0,0076024460573947;6;0;9;0;0,0132797370768666;NA
"Q5D862";"Q5D862";"Q5D862";"FILA2_HUMAN";"Filaggrin-2";"FLG2";1;1;0,000138061423317466;1;NA;1;NA;0,00024359284348189;NA
"Q7RTS7,Q86Y46-1";"Q7RTS7,Q86Y46-1";"Q7RTS7, Q86Y46-1";"K2C73_HUMAN, K2C74_HUMAN";"Keratin, type II cytoskeletal 73, Keratin, type II cytoskeletal 74";"KRT73, KRT74";1;1;0,000329242031779338;0;1;0;1;0;0,00151380444168035
"P48668";"P48668";"P48668";"K2C6C_HUMAN";"Keratin, type II cytoskeletal 6C";"KRT6C";1;2;0,00760257564461823;1;0;2;0;0,013529501170406;0
"P04259";"P04259";"P04259";"K2C6B_HUMAN";"Keratin, type II cytoskeletal 6B";"KRT6B";0;0;0;0;0;0;0;0;0
"Q01546";"Q01546";"Q01546";"K22O_HUMAN";"Keratin, type II cytoskeletal 2 oral";"KRT76";0;0;0;0;0;0;0;0;0
"P12035";"P12035";"P12035";"K2C3_HUMAN";"Keratin, type II cytoskeletal 3";"KRT3";0;0;0;0;0;0;0;0;0
"P68363";"P68363";"P68363";"TBA1B_HUMAN";"Tubulin alpha-1B chain";"TUBA1B";6;16;0,0117110372736873;5;6;7;9;0,00903994106730906;0,0155105228411194
"Q5XKE5";"Q5XKE5";"Q5XKE5";"K2C79_HUMAN";"Keratin, type II cytoskeletal 79";"KRT79";0;0;0;0;0;0;0;0;0
"P13646-1,P13646-3";"P13646-1,P13646-3";"P13646-[1,3]";"K1C13_HUMAN";"Keratin, type I cytoskeletal 13";"KRT13";0;0;0;0;0;0;0;NA;NA
"P0C0S8,P20671,Q16777,Q6FI13,Q96KK5,Q99878,Q9BTM1-1";"P0C0S8,P20671,Q16777,Q6FI13,Q96KK5,Q99878,Q9BTM1-1";"P0C0S8, P20671, Q16777, Q6FI13, Q96KK5, Q99878, Q9BTM1-1";"H2A1_HUMAN, H2A1D_HUMAN, H2A1H_HUMAN, H2A1J_HUMAN, H2A2A_HUMAN, H2A2C_HUMAN, H2AJ_HUMAN";"Histone H2A type 1, Histone H2A type 1-D, Histone H2A type 1-H, Histone H2A type 1-J, Histone H2A type 2-A, Histone H2A type 2-C, Histone H2A.J";"H2AFJ, HIST1H2AD, HIST1H2AH, HIST1H2AJ, HIST1H2AM,HIST1H2AL,HIST1H2AG,HIST1H2AI,HIST1H2AK, HIST2H2AA3,HIST2H2AA4, HIST2H2AC";2;3;0,00482011525841505;0;2;0;3;NA;0,0108313483375662
"P0C0S5,Q71UI9-1,Q71UI9-2";"P0C0S5,Q71UI9-1,Q71UI9-2";"P0C0S5, Q71UI9-[1,2]";"H2AV_HUMAN, H2AZ_HUMAN";"Histone H2A.V, Histone H2A.Z";"H2AFV, H2AFZ";1;2;0,00756490311390139;0;1;0;2;NA;0,0437202862584054
