"";"X";"Protein.Acs";"Protein.G";"ID";"Description";"Gene";"Global.Peptide.Count";"Global.Spectra.Count";"Global.DNSAF";"Peptide.Count.P5571";"Spectra.Count.P5571";"DNSAF.P5571";"Unspecific.Spectra.Count";"Go.Cc";"matched_mask";"norm.sc"
"13";13;"O95831";"O95831-1,O95831-3";"AIFM1_HUMAN";"Apoptosis-inducing factor 1, mitochondrial";"AIFM1";3;5;"6.73323546201899E-4";3;5;"0";0;"perinuclear region of cytoplasm, mitochondrial inner membrane, nucleus, cytosol, mitochondrial intermembrane space";FALSE;0,0024390243902439
"49";49;"P0C7P4";"P0C7P4,P47985";"UCRIL_HUMAN, UCRI_HUMAN";"Cytochrome b-c1 complex subunit Rieske, mitochondrial, Putative cytochrome b-c1 complex subunit Rieske-like protein 1";"UQCRFS1, UQCRFS1P1";6;9;"0.0026676667895123";6;9;"0.00331154244183302";0;"mitochondrion, membrane";FALSE;0,00439024390243902
"51";51;"P10606";"P10606";"COX5B_HUMAN";"Cytochrome c oxidase subunit 5B, mitochondrial";"COX5B";4;8;"0.0102386935521678";4;8;"0.012709933781919";0;"mitochondrial inner membrane";FALSE;0,00390243902439024
"56";56;"P12236";"P12236";"ADT3_HUMAN";"ADP/ATP translocase 3";"SLC25A6";4;6;"0.0033241396012491";4;6;"0.00412646340067336";0;"integral component of membrane, mitochondrial inner membrane presequence translocase complex";FALSE;0,00292682926829268
"57";57;"P12270";"P12270";"TPR_HUMAN";"Nucleoprotein TPR";"TPR";6;9;"6.28815235615044E-4";6;9;"7.80587871392718E-4";0;"extrinsic component of membrane, mitotic spindle, nuclear inclusion body, kinetochore, nucleoplasm, nuclear pore nuclear basket, nuclear membrane, nuclear periphery, cytoplasmic dynein complex";FALSE;0,00439024390243902
"78";78;"P20674";"P20674";"COX5A_HUMAN";"Cytochrome c oxidase subunit 5A, mitochondrial";"COX5A";5;9;"0.00990593601172233";5;9;"0.0122968609340066";0;"mitochondrial inner membrane";FALSE;0,00439024390243902
"79";79;"P20700";"P20700";"LMNB1_HUMAN";"Lamin-B1";"LMNB1";25;47;"0.0132417233376266";25;47;"0.016437783387324";0;"lamin filament, nuclear envelope, nucleoplasm, nuclear inner membrane";FALSE;0,0229268292682927
"83";83;"P22695";"P22695";"QCR2_HUMAN";"Cytochrome b-c1 complex subunit 2, mitochondrial";"UQCRC2";9;14;"0.00510239529669289";9;14;"0.00633392395423446";0;"mitochondrial respiratory chain complex III, mitochondrial inner membrane";FALSE;0,00682926829268293
"102";102;"P29590";"P29590-1,P29590-2,P29590-3,P29590-4,P29590-5,P29590-8,P29590-9";"PML_HUMAN";"Protein PML";"PML";8;13;"3.4763299900764E-4";8;13;"0";0;"nuclear matrix, nuclear membrane, nucleus, early endosome membrane, nucleolus, cytosol, PML body, cytoplasm, extrinsic component of endoplasmic reticulum membrane";FALSE;0,00634146341463415
"129";129;"P42166";"P42166-1";"LAP2A_HUMAN";"Lamina-associated polypeptide 2, isoform alpha";"TMPO";6;9;"0.00214105245210137";6;9;"0";0;"nuclear inner membrane, chromatin, nuclear envelope";FALSE;0,00439024390243902
"130";130;"P42765";"P42765";"THIM_HUMAN";"3-ketoacyl-CoA thiolase, mitochondrial";"ACAA2";3;3;"0.00124759899391969";3;3;"0.00154872303954743";0;"mitochondrial inner membrane, mitochondrion";FALSE;0,00146341463414634
"134";134;"P48735";"P48735";"IDHP_HUMAN";"Isocitrate dehydrogenase [NADP], mitochondrial";"IDH2";2;4;"0.00146105250910359";2;4;"0.00181369630295083";0;"mitochondrial matrix, mitochondrial inner membrane";FALSE;0,00195121951219512
"141";141;"P49790";"P49790";"NU153_HUMAN";"Nuclear pore complex protein Nup153";"NUP153";11;17;"0.00190283516609356";11;17;"0.00236210887997867";0;"nuclear pore nuclear basket, nuclear membrane, nuclear inclusion body, nucleolus, nucleoplasm, cytoplasm, nuclear periphery";FALSE;0,00829268292682927
