"";"X";"Protein.Acs";"Protein.G";"ID";"Description";"Gene";"Global.Peptide.Count";"Global.Spectra.Count";"Global.DNSAF";"Peptide.Count.P5571";"Spectra.Count.P5571";"DNSAF.P5571";"Unspecific.Spectra.Count";"Go.Cc";"matched_mask"
"16";16;"P01892";"P01892,P10316";"1A02_HUMAN, 1A69_HUMAN";"HLA class I histocompatibility antigen, A-2 alpha chain, HLA class I histocompatibility antigen, A-69 alpha chain";"HLA-A";2;2;"7.53876408806875E-4";2;2;"9.35834165449515E-4";2;"cell surface, early endosome membrane, integral component of lumenal side of endoplasmic reticulum membrane, ER to Golgi transport vesicle membrane, Golgi membrane, phagocytic vesicle membrane, MHC class I protein complex";FALSE
"21";21;"P04264";"P04264";"K2C1_HUMAN";"Keratin, type II cytoskeletal 1";"KRT1";11;21;"0.00564002567955205";11;21;"0.00700131833716733";1;"extracellular vesicular exosome, keratin filament, plasma membrane, cytoskeleton, membrane, blood microparticle";FALSE
"22";22;"P04406";"P04406";"G3P_HUMAN";"Glyceraldehyde-3-phosphate dehydrogenase";"GAPDH";5;8;"0.00394266109919297";5;8;"0.00489427300855985";0;"perinuclear region of cytoplasm, extracellular vesicular exosome, lipid particle, nucleus, GAIT complex, cytosol, ribonucleoprotein complex, microtubule cytoskeleton, plasma membrane";FALSE
"29";29;"P06576";"P06576";"ATPB_HUMAN";"ATP synthase subunit beta, mitochondrial";"ATP5B";5;8;"0.00249677026130368";5;8;"0.00309939784095945";0;"mitochondrial nucleoid, cell surface, mitochondrial proton-transporting ATP synthase, catalytic core, extracellular vesicular exosome, plasma membrane";FALSE
"30";30;"P06733";"P06733-1";"ENOA_HUMAN";"Alpha-enolase";"ENO1";10;15;"0.00570618433854973";10;15;"0";0;"M band, cytosol, phosphopyruvate hydratase complex, plasma membrane, nucleus, extracellular vesicular exosome, extracellular space";FALSE
"34";34;"P07237";"P07237";"PDIA1_HUMAN";"Protein disulfide-isomerase";"P4HB";3;5;"0.00162498950323529";3;5;"0.00201720159678586";0;"procollagen-proline 4-dioxygenase complex, plasma membrane, melanosome, endoplasmic reticulum-Golgi intermediate compartment, endoplasmic reticulum lumen, extracellular vesicular exosome";FALSE
"35";35;"P07437";"P07437";"TBB5_HUMAN";"Tubulin beta chain";"TUBB";1;2;"0.00337847238495035";1;2;"0.00419391009975773";21;"extracellular vesicular exosome, cytosol, cell body, plasma membrane, microtubule, nuclear envelope lumen";FALSE
"36";36;"P07900";"P07900-1,P07900-2";"HS90A_HUMAN";"Heat shock protein HSP 90-alpha";"HSP90AA1";9;14;"0.00260618617148409";9;14;"0";19;"extracellular vesicular exosome, mitochondrion, apical plasma membrane, basolateral plasma membrane, neuron projection, cell surface, extracellular matrix, perinuclear region of cytoplasm, neuronal cell body, brush border membrane, cytosol, protein complex, endocytic vesicle lumen, melanosome, plasma membrane";FALSE
"40";40;"P08238";"P08238";"HS90B_HUMAN";"Heat shock protein HSP 90-beta";"HSP90AB1";9;15;"0.00590951372318246";9;15;"0.00733585078235769";21;"basolateral plasma membrane, extracellular vesicular exosome, brush border membrane, apical plasma membrane, mitochondrion, melanosome, cell surface, cytosol, inclusion body";FALSE
"44";44;"P09429";"P09429";"HMGB1_HUMAN";"High mobility group protein B1";"HMGB1";2;4;"0.00375418763579486";2;4;"0.0046603090533703";2;"nucleoplasm, condensed chromosome, cell surface, extracellular space";FALSE
"50";50;"P0CG47";"P0CG47,P0CG48,P62979,P62987";"RL40_HUMAN, RS27A_HUMAN, UBB_HUMAN, UBC_HUMAN";"Polyubiquitin-B, Polyubiquitin-C, Ubiquitin-40S ribosomal protein S27a, Ubiquitin-60S ribosomal protein L40";"RPS27A, UBA52, UBB, UBC";5;20;"0.00275624262986153";5;20;"0.00342149719922277";0;"cytosol, nucleoplasm, endocytic vesicle membrane, endosome membrane, plasma membrane";FALSE
"52";52;"P10809";"P10809";"CH60_HUMAN";"60 kDa heat shock protein, mitochondrial";"HSPD1";16;36;"0.0103727078656778";16;36;"0.0128762941717347";0;"coated vesicle, mitochondrial matrix, extracellular vesicular exosome, mitochondrial inner membrane, cell surface, early endosome, plasma membrane, secretory granule, lipopolysaccharide receptor complex, coated pit, extracellular space, cytosol";FALSE
"53";53;"P11021";"P11021";"GRP78_HUMAN";"78 kDa glucose-regulated protein";"HSPA5";19;34;"0.00907794175085742";19;34;"0.0112690196206807";5;"extracellular vesicular exosome, cell surface, endoplasmic reticulum lumen, midbody, integral component of endoplasmic reticulum membrane, melanosome, endoplasmic reticulum-Golgi intermediate compartment, endoplasmic reticulum chaperone complex, nucleus";FALSE
"54";54;"P11142";"P11142-1";"HSP7C_HUMAN";"Heat shock cognate 71 kDa protein";"HSPA8";18;49;"0.0163038792254384";18;49;"0";19;"clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane, nucleolus, ribonucleoprotein complex, extracellular vesicular exosome, Prp19 complex, cytosol, melanosome, spliceosomal complex, plasma membrane, blood microparticle";FALSE
"61";61;"P13647";"P13647";"K2C5_HUMAN";"Keratin, type II cytoskeletal 5";"KRT5";1;1;"3.03884150622268E-4";1;1;"3.77230494506398E-4";2;"keratin filament, cytosol, plasma membrane, extracellular vesicular exosome, mitochondrion";FALSE
"62";62;"P13796";"P13796";"PLSL_HUMAN";"Plastin-2";"LCP1";7;9;"0.00236984115112974";7;9;"0.00294183275933173";0;"extracellular vesicular exosome, actin filament, actin filament bundle, ruffle membrane, phagocytic cup, plasma membrane, filopodium, focal adhesion, cytosol, ruffle, extracellular space";FALSE
"63";63;"P14317";"P14317";"HCLS1_HUMAN";"Hematopoietic lineage cell-specific protein";"HCLS1";2;2;"6.79419479541998E-4";2;2;"8.43406099726106E-4";0;"plasma membrane, transcription factor complex, mitochondrion, cytoplasm, nucleus";FALSE
"64";64;"P14618";"P14618-1,P14618-2";"KPYM_HUMAN";"Pyruvate kinase isozymes M1/M2";"PKM";16;31;"0.00481927207098858";16;31;"0";0;"cytosol, mitochondrion, plasma membrane, nucleus, extracellular vesicular exosome, cilium";FALSE
"65";65;"P14625";"P14625";"ENPL_HUMAN";"Endoplasmin";"HSP90B1";7;11;"0.00243560070537606";7;11;"0.00302346422683689";2;"cytosol, melanosome, midbody, extracellular vesicular exosome, perinuclear region of cytoplasm, endoplasmic reticulum membrane, endocytic vesicle lumen, endoplasmic reticulum lumen, plasma membrane";FALSE
"69";69;"P15311";"P15311";"EZRI_HUMAN";"Ezrin";"EZR";4;5;"0.0016296655755527";4;5;"0.00202300629923261";8;"cortical cytoskeleton, astrocyte projection, Schwann cell microvillus, nucleolus, cytosol, actin filament, uropod, microvillus, T-tubule, cell body, microspike, extracellular vesicular exosome, extrinsic component of membrane, ruffle membrane, ruffle, filopodium, microvillus membrane, apical plasma membrane, membrane raft, basolateral plasma membrane, cell tip, apical part of cell";FALSE
"80";80;"P21333";"P21333-1,P21333-2";"FLNA_HUMAN";"Filamin-A";"FLNA";4;5;"1.55930235671237E-4";4;5;"0";0;"cytosol, plasma membrane, dendritic shaft, nucleus, cortical cytoskeleton, actin filament, perinuclear region of cytoplasm, apical dendrite, extracellular vesicular exosome, trans-Golgi network, Myb complex, actin cytoskeleton, neuronal cell body";FALSE
"81";81;"P21796";"P21796";"VDAC1_HUMAN";"Voltage-dependent anion-selective channel protein 1";"VDAC1";7;11;"0.00641727303468467";7;11;"0.00796616432709499";0;"mitochondrial outer membrane, mitochondrial inner membrane, pore complex, extracellular vesicular exosome, mitochondrial nucleoid, plasma membrane";FALSE
"92";92;"P25705";"P25705";"ATPA_HUMAN";"ATP synthase subunit alpha, mitochondrial";"ATP5A1";13;21;"0.00626957975425464";13;21;"0.00778282337595356";0;"mitochondrial matrix, plasma membrane, mitochondrial proton-transporting ATP synthase complex, proton-transporting ATP synthase complex, catalytic core F(1), extracellular vesicular exosome";FALSE
"93";93;"P26038";"P26038";"MOES_HUMAN";"Moesin";"MSN";23;46;"0.0152267817173652";23;46;"0.0189019611099183";8;"apical plasma membrane, apical part of cell, basolateral plasma membrane, filopodium, microvillus membrane, extracellular vesicular exosome, cytoskeleton, cytoplasm, nucleolus, uropod, extrinsic component of membrane, plasma membrane, microvillus, blood microparticle";FALSE
"98";98;"P27797";"P27797";"CALR_HUMAN";"Calreticulin";"CALR";2;2;"7.91841407811537E-4";2;2;"9.82962504716756E-4";0;"endocytic vesicle lumen, acrosomal vesicle, nucleus, cytosol, extracellular space, endoplasmic reticulum lumen, perinuclear region of cytoplasm, Golgi apparatus, external side of plasma membrane, sarcoplasmic reticulum lumen, proteinaceous extracellular matrix, polysome, MHC class I peptide loading complex, extracellular vesicular exosome, cell surface, integral component of lumenal side of endoplasmic reticulum membrane";FALSE
"99";99;"P27816";"P27816-1,P27816-6";"MAP4_HUMAN";"Microtubule-associated protein 4";"MAP4";2;3;"6.01923195156739E-4";2;3;"0";9;"microtubule associated complex, microtubule, mitotic spindle, cytoplasm, plasma membrane";FALSE
"100";100;"P27816";"P27816-5";"MAP4_HUMAN";"Microtubule-associated protein 4";"MAP4";1;2;"8.02564260208985E-4";1;2;"0";9;"microtubule associated complex, microtubule, mitotic spindle, cytoplasm, plasma membrane";FALSE
"105";105;"P30101";"P30101";"PDIA3_HUMAN";"Protein disulfide-isomerase A3";"PDIA3";11;15;"0.00490392871867442";11;15;"0.00608755491782506";0;"endoplasmic reticulum lumen, cell surface, melanosome, extracellular vesicular exosome";FALSE
