"";"X";"Protein.Acs";"Protein.G";"ID";"Description";"Gene";"Global.Peptide.Count";"Global.Spectra.Count";"Global.DNSAF";"Peptide.Count.P5572";"Spectra.Count.P5572";"DNSAF.P5572";"Unspecific.Spectra.Count";"Go.Cc";"norm.sc"
"3";3;"O00170";"O00170";"AIP_HUMAN";"AH receptor-interacting protein";"AIP";2;2;"4.718733718685E-4";2;2;"5.97495668570287E-4";0;"membrane, cytosol, nucleus";0,000449943757030371
"7";7;"O14548";"O14548";"COX7R_HUMAN";"Cytochrome c oxidase subunit 7A-related protein, mitochondrial";"COX7A2L";1;1;"6.82974617178092E-4";1;1;"8.64796362404362E-4";0;"mitochondrial respiratory chain, mitochondrial inner membrane";0,000224971878515186
"22";22;"O60610";"O60610-1,O60610-2,O60610-3";"DIAP1_HUMAN";"Protein diaphanous homolog 1";"DIAPH1";5;6;"1.2241997855079E-4";5;6;"0";0;"mitotic spindle, cytoplasm, ruffle membrane, neuron projection";0,00134983127109111
"23";23;"O60664";"O60664-1,O60664-3";"PLIN3_HUMAN";"Perilipin-3";"PLIN3";5;8;"7.17595450306935E-4";5;8;"0";0;"lipid particle, endosome, Golgi apparatus, endosome membrane";0,00179977502812148
"36";36;"O94979";"O94979-1,O94979-2,O94979-3,O94979-4,O94979-6,O94979-7,O94979-8,O94979-9";"SC31A_HUMAN";"Protein transport protein Sec31A";"SEC31A";1;1;"7.97736745474411E-6";1;1;"0";0;"endoplasmic reticulum membrane, Golgi membrane, cytosol, COPII vesicle coat, perinuclear region of cytoplasm";0,000224971878515186
"42";42;"O95831";"O95831-1,O95831-3";"AIFM1_HUMAN";"Apoptosis-inducing factor 1, mitochondrial";"AIFM1";10;10;"6.35066120377671E-4";10;10;"0";0;"perinuclear region of cytoplasm, mitochondrial inner membrane, nucleus, cytosol, mitochondrial intermembrane space";0,00224971878515186
"58";58;"P04843";"P04843";"RPN1_HUMAN";"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1";"RPN1";3;3;"3.84806126976783E-4";3;3;"4.87249350811025E-4";0;"integral component of membrane, oligosaccharyltransferase complex, melanosome, rough endoplasmic reticulum";0,000674915635545557
"94";94;"P10606";"P10606";"COX5B_HUMAN";"Cytochrome c oxidase subunit 5B, mitochondrial";"COX5B";6;7;"0.00422491274812494";6;7;"0.00534967052092001";0;"mitochondrial inner membrane";0,0015748031496063
"103";103;"P12270";"P12270";"TPR_HUMAN";"Nucleoprotein TPR";"TPR";8;8;"2.63594096854177E-4";8;8;"3.33768210966051E-4";0;"extrinsic component of membrane, mitotic spindle, nuclear inclusion body, kinetochore, nucleoplasm, nuclear pore nuclear basket, nuclear membrane, nuclear periphery, cytoplasmic dynein complex";0,00179977502812148
"105";105;"P12956";"P12956";"XRCC6_HUMAN";"X-ray repair cross-complementing protein 6";"XRCC6";4;4;"5.11389861138276E-4";4;4;"6.47532251652527E-4";0;"membrane, Ku70:Ku80 complex, nonhomologous end joining complex, cytosol, nuclear telomere cap complex, nucleolus, transcription factor complex, nucleoplasm";0,000899887514060742
"129";129;"P18754";"P18754-1,P18754-2";"RCC1_HUMAN";"Regulator of chromosome condensation";"RCC1";5;11;"0.00101716172202058";5;11;"0";0;"condensed nuclear chromosome, nucleoplasm, cytoplasm, nuclear chromatin, nuclear membrane";0,00247469066366704
"133";133;"P20674";"P20674";"COX5A_HUMAN";"Cytochrome c oxidase subunit 5A, mitochondrial";"COX5A";6;10;"0.0051906070905535";6;10;"0.00657245235427315";0;"mitochondrial inner membrane";0,00224971878515186
"134";134;"P20700";"P20700";"LMNB1_HUMAN";"Lamin-B1";"LMNB1";24;43;"0.00614133923256435";24;43;"0.00777628874489775";6;"lamin filament, nuclear envelope, nucleoplasm, nuclear inner membrane";0,00967379077615298
"144";144;"P22570";"P22570-1,P22570-2";"ADRO_HUMAN";"NADPH:adrenodoxin oxidoreductase, mitochondrial";"FDXR";4;4;"3.17145036082698E-4";4;4;"0";0;"mitochondrial inner membrane, mitochondrial matrix";0,000899887514060742
"146";146;"P22695";"P22695";"QCR2_HUMAN";"Cytochrome b-c1 complex subunit 2, mitochondrial";"UQCRC2";16;31;"0.00532810661613107";16;31;"0.00674655705239959";0;"mitochondrial respiratory chain complex III, mitochondrial inner membrane";0,00697412823397075
"170";170;"P28331";"P28331-1,P28331-2,P28331-3,P28331-4";"NDUS1_HUMAN";"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial";"NDUFS1";4;4;"1.07096432404818E-4";4;4;"0";0;"mitochondrial intermembrane space, mitochondrial respiratory chain complex I";0,000899887514060742
"172";172;"P29590";"P29590-1,P29590-2,P29590-3,P29590-4,P29590-5,P29590-8,P29590-9";"PML_HUMAN";"Protein PML";"PML";12;17;"2.14383674779906E-4";12;17;"0";0;"nuclear matrix, nuclear membrane, nucleus, early endosome membrane, nucleolus, cytosol, PML body, cytoplasm, extrinsic component of endoplasmic reticulum membrane";0,00382452193475816
"180";180;"P30405";"P30405";"PPIF_HUMAN";"Peptidyl-prolyl cis-trans isomerase F, mitochondrial";"PPIF";1;1;"4.08837987598732E-4";1;1;"5.17678981905573E-4";2;"membrane, mitochondrial matrix, mitochondrial inner membrane";0,000224971878515186
"217";217;"P39656";"P39656";"OST48_HUMAN";"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit";"DDOST";2;2;"3.41487308589046E-4";2;2;"4.32398181202181E-4";0;"integral component of membrane, oligosaccharyltransferase complex";0,000449943757030371
"220";220;"P40939";"P40939";"ECHA_HUMAN";"Trifunctional enzyme subunit alpha, mitochondrial";"HADHA";9;14;"0.00142860745611564";9;14;"0.00180893184062564";0;"nucleolus, mitochondrial nucleoid, mitochondrial inner membrane, mitochondrial fatty acid beta-oxidation multienzyme complex";0,0031496062992126
"222";222;"P42126";"P42126-1,P42126-2";"ECI1_HUMAN";"Enoyl-CoA delta isomerase 1, mitochondrial";"ECI1";2;2;"2.57811610457955E-4";2;2;"0";0;"mitochondrial inner membrane, mitochondrial matrix";0,000449943757030371
"223";223;"P42166";"P42166-1";"LAP2A_HUMAN";"Lamina-associated polypeptide 2, isoform alpha";"TMPO";4;5;"0.00105956196613124";4;5;"0";8;"nuclear inner membrane, chromatin, nuclear envelope";0,00112485939257593
"224";224;"P42167";"P42167-1";"LAP2B_HUMAN";"Lamina-associated polypeptide 2, isoforms beta/gamma";"TMPO";4;4;"0.00129574626342745";4;4;"0";8;"nuclear inner membrane, nuclear envelope, integral component of membrane";0,000899887514060742
"226";226;"P42704";"P42704";"LPPRC_HUMAN";"Leucine-rich PPR motif-containing protein, mitochondrial";"LRPPRC";4;4;"2.23412069894699E-4";4;4;"2.82888910513909E-4";0;"perinuclear region of cytoplasm, nucleoplasm, microtubule, condensed nuclear chromosome, nuclear inner membrane, nuclear outer membrane, ribonucleoprotein complex, mitochondrial nucleoid";0,000899887514060742
"227";227;"P42765";"P42765";"THIM_HUMAN";"3-ketoacyl-CoA thiolase, mitochondrial";"ACAA2";1;1;"1.96118655814364E-4";1;1;"2.48329434040547E-4";0;"mitochondrial inner membrane, mitochondrion";0,000224971878515186
"230";230;"P43243";"P43243-1";"MATR3_HUMAN";"Matrin-3";"MATR3";6;13;"0.00119500399369295";6;13;"0";0;"nuclear inner membrane, nuclear matrix";0,00292463442069741
"232";232;"P45880";"P45880-1,P45880-2,P45880-3";"VDAC2_HUMAN";"Voltage-dependent anion-selective channel protein 2";"VDAC2";2;2;"1.76551261583452E-4";2;2;"0";0;"mitochondrial inner membrane, mitochondrial outer membrane, mitochondrial nucleoid, pore complex";0,000449943757030371
"234";234;"P46060";"P46060";"RAGP1_HUMAN";"Ran GTPase-activating protein 1";"RANGAP1";4;4;"5.30556091027615E-4";4;4;"6.71800922072213E-4";0;"cytosol, condensed chromosome kinetochore, nuclear pore, spindle pole, perinuclear region of cytoplasm, nuclear membrane";0,000899887514060742
