"";"X";"Protein.Acs";"Protein.G";"ID";"Description";"Gene";"Global.Peptide.Count";"Global.Spectra.Count";"Global.DNSAF";"Peptide.Count.P5572";"Spectra.Count.P5572";"DNSAF.P5572";"Unspecific.Spectra.Count";"Go.Cc";"norm.sc"
"1";1;"O00148";"O00148";"DX39A_HUMAN";"ATP-dependent RNA helicase DDX39A";"DDX39A";8;10;"0.00182339827537008";8;10;"0.00230882401203975";0;"nucleus, cytoplasm";0,00224971878515186
"10";10;"O14974";"O14974-1";"MYPT1_HUMAN";"Protein phosphatase 1 regulatory subunit 12A";"PPP1R12A";6;7;"5.29139557774871E-4";6;7;"0";0;"PTW/PP1 phosphatase complex, kinetochore, nucleoplasm, contractile fiber, centrosome";0,0015748031496063
"13";13;"O43143";"O43143";"DHX15_HUMAN";"Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15";"DHX15";4;7;"6.85551879884424E-4";4;7;"8.68059744904001E-4";0;"nucleolus, U12-type spliceosomal complex";0,0015748031496063
"15";15;"O43390";"O43390-1,O43390-2";"HNRPR_HUMAN";"Heterogeneous nuclear ribonucleoprotein R";"HNRNPR";5;8;"6.36706752116961E-4";5;8;"0";5;"nucleoplasm, cytoplasm, catalytic step 2 spliceosome";0,00179977502812148
"16";16;"O43399";"O43399-1,O43399-2,O43399-3,O43399-4,O43399-5";"TPD54_HUMAN";"Tumor protein D54";"TPD52L2";2;3;"2.2677409618923E-4";2;3;"0";0;"perinuclear region of cytoplasm";0,000674915635545557
"17";17;"O43684";"O43684-1,O43684-2";"BUB3_HUMAN";"Mitotic checkpoint protein BUB3";"BUB3";6;8;"9.49501297052469E-4";6;8;"0";0;"nucleus, condensed chromosome kinetochore, cytosol, kinetochore";0,00179977502812148
"19";19;"O43837";"O43837-1";"IDH3B_HUMAN";"Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial";"IDH3B";2;2;"4.04462890173E-4";2;2;"0";0;"mitochondrial matrix";0,000449943757030371
"20";20;"O60234";"O60234";"GMFG_HUMAN";"Glia maturation factor gamma";"GMFG";2;2;"0.00109660713180708";2;2;"0.00138854627202954";0;"intracellular";0,000449943757030371
"21";21;"O60506";"O60506-1,O60506-2,O60506-3,O60506-4";"HNRPQ_HUMAN";"Heterogeneous nuclear ribonucleoprotein Q";"SYNCRIP";6;9;"3.63896304856574E-4";6;9;"0";5;"catalytic step 2 spliceosome, CRD-mediated mRNA stability complex, nucleoplasm, GAIT complex, histone pre-mRNA 3'end processing complex, endoplasmic reticulum";0,00202474690663667
"24";24;"O60828";"O60828-1,O60828-2,O60828-3,O60828-6";"PQBP1_HUMAN";"Polyglutamine-binding protein 1";"PQBP1";1;1;"7.3451987130474E-5";1;1;"0";0;"nucleus, neuronal ribonucleoprotein granule, cytoplasm, cytoplasmic stress granule";0,000224971878515186
"25";25;"O60869";"O60869-1";"EDF1_HUMAN";"Endothelial differentiation-related factor 1";"EDF1";5;10;"0.00526075042961503";5;10;"0";0;"nucleus, cytoplasm, nucleolus";0,00224971878515186
"29";29;"O75380";"O75380";"NDUS6_HUMAN";"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial";"NDUFS6";2;2;"0.00125579203803714";2;2;"0.00159010944054996";0;"mitochondrial respiratory chain complex I";0,000449943757030371
"30";30;"O75489";"O75489";"NDUS3_HUMAN";"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial";"NDUFS3";4;5;"0.00147460428708906";4;5;"0.00186717396428215";0;"mitochondrial respiratory chain complex I";0,00112485939257593
"31";31;"O75534";"O75534-1,O75534-2";"CSDE1_HUMAN";"Cold shock domain-containing protein E1";"CSDE1";2;2;"9.75678024540131E-5";2;2;"0";0;"CRD-mediated mRNA stability complex";0,000449943757030371
"32";32;"O75937";"O75937";"DNJC8_HUMAN";"DnaJ homolog subfamily C member 8";"DNAJC8";5;5;"0.0015387175169625";5;5;"0.00194835544099007";0;"nucleoplasm";0,00112485939257593
