"";"X";"Protein.Acs";"Protein.G";"ID";"Description";"Gene";"Global.Peptide.Count";"Global.Spectra.Count";"Global.DNSAF";"Peptide.Count.P5572";"Spectra.Count.P5572";"DNSAF.P5572";"Unspecific.Spectra.Count";"Go.Cc"
"4";4;"O00299";"O00299";"CLIC1_HUMAN";"Chloride intracellular channel protein 1";"CLIC1";3;5;"0.00161533415681125";3;5;"0.00204536898991903";0;"brush border, mitochondrion, nuclear envelope, perinuclear region of cytoplasm, plasma membrane, blood microparticle, nuclear membrane, extracellular vesicular exosome, chloride channel complex"
"5";5;"O00422";"O00422";"SAP18_HUMAN";"Histone deacetylase complex subunit SAP18";"SAP18";4;5;"0.0025444152404674";4;5;"0.00322179036974174";0;"histone deacetylase complex, ASAP complex, nuclear speck, cytoplasm, plasma membrane"
"27";27;"O75348";"O75348";"VATG1_HUMAN";"V-type proton ATPase subunit G 1";"ATP6V1G1";2;2;"0.0013196458704797";2;2;"0.0016709624629508";0;"vacuolar proton-transporting V-type ATPase complex, lysosomal membrane, plasma membrane, extracellular vesicular exosome, cytosol"
"28";28;"O75369";"O75369-1,O75369-2,O75369-7,O75369-8,O75369-9";"FLNB_HUMAN";"Filamin-B";"FLNB";5;6;"3.59073511260426E-5";5;6;"0";0;"extracellular vesicular exosome, cell cortex, cytosol, plasma membrane, focal adhesion, actin cytoskeleton, integral component of membrane, Z disc, stress fiber"
"35";35;"O94804";"O94804";"STK10_HUMAN";"Serine/threonine-protein kinase 10";"STK10";4;4;"3.21731844455795E-4";4;4;"4.07383410388832E-4";0;"extracellular vesicular exosome, cytoplasm, plasma membrane"
"40";40;"O95721";"O95721";"SNP29_HUMAN";"Synaptosomal-associated protein 29";"SNAP29";3;3;"9.05338446026773E-4";3;3;"0.00114635796876857";0;"SNARE complex, nucleus, synapse, plasma membrane, cell junction, neuron projection"
"48";48;"P01892";"P01892";"1A02_HUMAN";"HLA class I histocompatibility antigen, A-2 alpha chain";"HLA-A";2;4;"0.0026308556486367";2;4;"0.00333124297408365";10;"cell surface, early endosome membrane, integral component of lumenal side of endoplasmic reticulum membrane, ER to Golgi transport vesicle membrane, Golgi membrane, phagocytic vesicle membrane, MHC class I protein complex"
"50";50;"P02786";"P02786";"TFR1_HUMAN";"Transferrin receptor protein 1";"TFRC";2;2;"2.04892385153428E-4";2;2;"2.59438908721309E-4";0;"extracellular vesicular exosome, blood microparticle, integral component of plasma membrane, endosome, external side of plasma membrane, coated pit, perinuclear region of cytoplasm, cytoplasmic membrane-bounded vesicle, melanosome"
"53";53;"P04264";"P04264";"K2C1_HUMAN";"Keratin, type II cytoskeletal 1";"KRT1";7;10;"0.00153139029069125";7;10;"0.00193907755793773";3;"extracellular vesicular exosome, keratin filament, plasma membrane, cytoskeleton, membrane, blood microparticle"
"54";54;"P04350";"P04350";"TBB4A_HUMAN";"Tubulin beta-4A chain";"TUBB4A";1;2;"0.00160939994624519";1;2;"0.00203785497170782";46;"internode region of axon, plasma membrane, neuronal cell body, cilium, myelin sheath, cytosol, microtubule"
