"";"protein.acs";"X";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5744.3.id.csv";"peptide.count.P5744.4.id.csv";"spectra.count.P5744.3.id.csv";"spectra.count.P5744.4.id.csv";"dNSAF.P5744.3.id.csv";"dNSAF.P5744.4.id.csv";"Go.Cc"
"1";"O43790";"O43790";"O43790";"KRT86_HUMAN";"Keratin, type II cuticular Hb6";"KRT86";5;9;0,0105293929421371;5;4;5;4;0,0119874902872335;0,0104216385041729;"extracellular space, keratin filament"
"2";"O60814";"O60814,P58876,P62807,Q5QNW6-1,Q5QNW6-2,Q93079,Q99877,Q99879,Q99880";"O60814,P58876,P62807,Q5QNW6-1,Q5QNW6-2,Q93079,Q99877,Q99879,Q99880";"H2B1C_HUMAN, H2B1D_HUMAN, H2B1H_HUMAN, H2B1K_HUMAN, H2B1L_HUMAN, H2B1M_HUMAN, H2B1N_HUMAN, H2B2F_HUMAN";"Histone H2B type 1-C/E/F/G/I, Histone H2B type 1-D, Histone H2B type 1-H, Histone H2B type 1-K, Histone H2B type 1-L, Histone H2B type 1-M, Histone H2B type 1-N, Histone H2B type 2-F";"HIST1H2BD, HIST1H2BF,HIST1H2BE,HIST1H2BC,HIST1H2BG,HIST1H2BI, HIST1H2BH, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST2H2BF";7;20;0,00394667863950386;6;6;11;9;0,00600564133753206;0,00481245215627232;"nucleus, nucleosome"
"3";"O76009";"O76009";"O76009";"KT33A_HUMAN";"Keratin, type I cuticular Ha3-I";"KRT33A";0;0;0;0;0;0;0;0;NA;"intermediate filament, extracellular space"
"4";"O76011";"O76011";"O76011";"KRT34_HUMAN";"Keratin, type I cuticular Ha4";"KRT34";2;2;0,00424219470816805;2;0;2;0;0,00609124756783428;NA;"extracellular space, intermediate filament"
"5";"O76013";"O76013-1,O76013-2";"O76013-1,O76013-2";"KRT36_HUMAN";"Keratin, type I cuticular Ha6";"KRT36";6;12;0,00370788686512455;6;6;6;6;NA;NA;"intermediate filament"
"6";"O95678";"O95678";"O95678";"K2C75_HUMAN";"Keratin, type II cytoskeletal 75";"KRT75";1;1;0,00173297696940229;0;1;0;1;0;0,00368443747737395;"keratin filament"
"7";"P00338";"P00338-1,P00338-3,P00338-4";"P00338-1,P00338-3,P00338-4";"LDHA_HUMAN";"L-lactate dehydrogenase A chain";"LDHA";2;2;0,000449350760762789;2;NA;2;NA;NA;NA;"extracellular vesicular exosome, cilium, mitochondrion, cytosol"
"8";"P00558";"P00558";"P00558";"PGK1_HUMAN";"Phosphoglycerate kinase 1";"PGK1";2;2;0,00107326944297299;2;NA;2;NA;0,00230955991266766;NA;"extracellular vesicular exosome, cytosol"
"9";"P01040";"P01040";"P01040";"CYTA_HUMAN";"Cystatin-A";"CSTA";2;4;0,00913374199428037;2;2;2;2;0,00982741309777973;0,00962490431254463;"cornified envelope, cytoplasm, nucleus"
"10";"P02452";"P02452";"P02452";"CO1A1_HUMAN";"Collagen alpha-1(I) chain";"COL1A1";5;16;0,00244564676349584;5;5;9;7;0,0029603068142902;0,00225501514972869;"extracellular space, collagen type I, endoplasmic reticulum lumen"
