"";"X";"protein.acs";"X.1";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5745.3.id.csv";"peptide.count.P5745.4.id.csv";"spectra.count.P5745.3.id.csv";"spectra.count.P5745.4.id.csv";"dNSAF.P5745.3.id.csv";"dNSAF.P5745.4.id.csv";"Go.Cc";"norm.sc"
"4";4;"O43169";"O43169";"O43169";"CYB5B_HUMAN";"Cytochrome b5 type B";"CYB5B";1;2;0,00266279684922605;1;1;1;1;0,00295657236446963;0,00278865016882562;"mitochondrial outer membrane, integral component of membrane";0,00124843945068664
"19";19;"P04843";"P04843";"P04843";"RPN1_HUMAN";"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1";"RPN1";5;8;0,00256190009876115;4;4;4;4;0,00284454408706798;0,0026829846764319;"integral component of membrane, oligosaccharyltransferase complex, melanosome, rough endoplasmic reticulum";0,00499375780274657
"53";53;"P12956";"P12956";"P12956";"XRCC6_HUMAN";"X-ray repair cross-complementing protein 6";"XRCC6";1;1;0,000319185829217573;NA;1;NA;1;NA;0,000668543390227488;"membrane, Ku70:Ku80 complex, nonhomologous end joining complex, cytosol, nuclear telomere cap complex, nucleolus, transcription factor complex, nucleoplasm";0,000624219725343321
"77";77;"P20674";"P20674";"P20674";"COX5A_HUMAN";"Cytochrome c oxidase subunit 5A, mitochondrial";"COX5A";2;2;0,00259178893324669;NA;2;NA;2;NA;0,00542857232864721;"mitochondrial inner membrane";0,00124843945068664
"78";78;"P20700";"P20700";"P20700";"LMNB1_HUMAN";"Lamin-B1";"LMNB1";8;9;0,00298542240604354;5;4;5;4;0,00368310209225739;0,00277913259145761;"lamin filament, nuclear envelope, nucleoplasm, nuclear inner membrane";0,00561797752808989
"82";82;"P22695";"P22695";"P22695";"QCR2_HUMAN";"Cytochrome b-c1 complex subunit 2, mitochondrial";"UQCRC2";2;4;0,0017164165120839;2;2;2;2;0,00190578174486784;0,00179754050617457;"mitochondrial respiratory chain complex III, mitochondrial inner membrane";0,00249687890137328
"96";96;"P27824";"P27824";"P27824";"CALX_HUMAN";"Calnexin";"CANX";7;11;0,00361186802352791;5;6;5;6;0,00364577335483587;0,0041264485606271;"melanosome, endoplasmic reticulum lumen, dendritic spine, protein complex, neuronal cell body, ribosome, dendrite cytoplasm, integral component of lumenal side of endoplasmic reticulum membrane, axon";0,00686641697877653
"114";114;"P42166";"P42166-1,P42167-1,P42167-2";"P42166-1,P42167-1,P42167-2";"LAP2A_HUMAN, LAP2B_HUMAN";"Lamina-associated polypeptide 2, isoform alpha, Lamina-associated polypeptide 2, isoforms beta/gamma";"TMPO";4;4;0,000485353732817733;2;2;2;2;NA;NA;"nuclear inner membrane, chromatin, nuclear envelope";0,00249687890137328
"118";118;"P48735";"P48735";"P48735";"IDHP_HUMAN";"Isocitrate dehydrogenase [NADP], mitochondrial";"IDH2";3;3;0,00129016042031085;NA;3;NA;3;NA;0,00270227604855226;"mitochondrial matrix, mitochondrial inner membrane";0,00187265917602996
"122";122;"P49755";"P49755";"P49755";"TMEDA_HUMAN";"Transmembrane emp24 domain-containing protein 10";"TMED10";2;2;0,00177519789948404;NA;2;NA;2;NA;0,00371820022510083;"trans-Golgi network transport vesicle, endoplasmic reticulum-Golgi intermediate compartment membrane, gamma-secretase complex, integral component of membrane, cis-Golgi network, COPI-coated vesicle, endoplasmic reticulum, Golgi membrane, transport vesicle membrane, zymogen granule membrane, melanosome, endoplasmic reticulum membrane, endoplasmic reticulum-Golgi intermediate compartment";0,00124843945068664
"153";153;"P63241";"P63241-1,P63241-2";"P63241-1,P63241-2";"IF5A1_HUMAN";"Eukaryotic translation initiation factor 5A-1";"EIF5A";3;3;0,00189335230513151;NA;3;NA;3;NA;NA;"annulate lamellae, nuclear pore, endoplasmic reticulum membrane, cytosol";0,00187265917602996
"194";194;"Q8NF91";"Q8NF91-1,Q8NF91-4,Q8NF91-7";"Q8NF91-1,Q8NF91-4,Q8NF91-7";"SYNE1_HUMAN";"Nesprin-1";"SYNE1";2;2;1,47310954487137e-05;NA;2;NA;2;NA;NA;"Golgi apparatus, SUN-KASH complex, integral component of membrane, nuclear membrane, postsynaptic membrane, sarcomere, cytoskeleton, nuclear outer membrane";0,00124843945068664
"198";198;"Q99623";"Q99623";"Q99623";"PHB2_HUMAN";"Prohibitin-2";"PHB2";4;5;0,00325057140457361;2;3;2;3;0,00288735495125463;0,00408504606670776;"protein complex, mitochondrial inner membrane, nuclear matrix";0,0031210986267166
