"";"X";"protein.acs";"X.1";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5745.3.id.csv";"peptide.count.P5745.4.id.csv";"spectra.count.P5745.3.id.csv";"spectra.count.P5745.4.id.csv";"dNSAF.P5745.3.id.csv";"dNSAF.P5745.4.id.csv";"Go.Cc";"norm.sc"
"1";1;"A5A3E0";"A5A3E0,Q6S8J3-1";"A5A3E0,Q6S8J3-1";"POTEE_HUMAN, POTEF_HUMAN";"POTE ankyrin domain family member E, POTE ankyrin domain family member F";"POTEE, POTEF";1;1;0,000171429107937489;1;0;1;0;0,000709872042459204;0;"blood microparticle, cell cortex";0,000624219725343321
"2";2;"O00148";"O00148,Q13838-1,Q13838-2";"O00148,Q13838-1,Q13838-2";"DX39A_HUMAN, DX39B_HUMAN";"ATP-dependent RNA helicase DDX39A, Spliceosome RNA helicase DDX39B";"DDX39A, DDX39B";2;2;0,000303015074035077;NA;2;NA;2;NA;0,00190699262130464;"nucleus, cytoplasm";0,00124843945068664
"5";5;"O43390";"O43390-1,O43390-2";"O43390-1,O43390-2";"HNRPR_HUMAN";"Heterogeneous nuclear ribonucleoprotein R";"HNRNPR";1;2;0,000511806661383628;1;1;1;1;NA;NA;"nucleoplasm, cytoplasm, catalytic step 2 spliceosome";0,00124843945068664
"6";6;"O60506";"O60506-1,O60506-2,O60506-3,O60506-4";"O60506-1,O60506-2,O60506-3,O60506-4";"HNRPQ_HUMAN";"Heterogeneous nuclear ribonucleoprotein Q";"SYNCRIP";1;1;0,000130005464147607;0;1;0;1;NA;NA;"catalytic step 2 spliceosome, CRD-mediated mRNA stability complex, nucleoplasm, GAIT complex, histone pre-mRNA 3'end processing complex, endoplasmic reticulum";0,000624219725343321
"7";7;"O95678";"O95678";"O95678";"K2C75_HUMAN";"Keratin, type II cytoskeletal 75";"KRT75";0;0;0;0;0;0;0;NA;0;"keratin filament";0
"24";24;"P05455";"P05455";"P05455";"LA_HUMAN";"Lupus La protein";"SSB";1;1;0,00047643178919976;1;NA;1;NA;0,00105798913042296;NA;"ribonucleoprotein complex, nucleus";0,000624219725343321
"29";29;"P06748";"P06748-1,P06748-2";"P06748-1,P06748-2";"NPM_HUMAN";"Nucleophosmin";"NPM1";4;6;0,0019835119387092;4;2;4;2;NA;NA;"spindle pole centrosome, ribonucleoprotein complex, cytosol, nucleolus, nucleoplasm";0,00374531835205993
"41";41;"P08729";"P08729";"P08729";"K2C7_HUMAN";"Keratin, type II cytoskeletal 7";"KRT7";2;3;0,00130986822612125;0;2;0;3;0;0,0027034997584213;"nucleus, Golgi apparatus, intermediate filament, keratin filament";0,00187265917602996
"46";46;"P09874";"P09874";"P09874";"PARP1_HUMAN";"Poly [ADP-ribose] polymerase 1";"PARP1";1;1;0,00019170036488511;1;NA;1;NA;0,000425699768454208;NA;"nuclear envelope, transcription factor complex, nucleoplasm, nucleolus";0,000624219725343321
"47";47;"P0C0S5";"P0C0S5,Q71UI9-1";"P0C0S5,Q71UI9-1";"H2AV_HUMAN, H2AZ_HUMAN";"Histone H2A.V, Histone H2A.Z";"H2AFV, H2AFZ";2;3;0,00393462275910142;2;1;2;1;0,0112411345107439;0,0057254473778701;"nucleosome, nucleus";0,00187265917602996
"48";48;"P10412";"P10412";"P10412";"H14_HUMAN";"Histone H1.4";"HIST1H1E";1;2;0,00739665791451682;1;1;1;1;0,00985524121489878;0,00619700037516804;"nucleosome, nucleus";0,00124843945068664
"52";52;"P12035";"P12035";"P12035";"K2C3_HUMAN";"Keratin, type II cytoskeletal 3";"KRT3";0;0;0;0;0;0;0;0;0;"keratin filament";0
"54";54;"P13010";"P13010";"P13010";"XRCC5_HUMAN";"X-ray repair cross-complementing protein 5";"XRCC5";2;2;0,000531104289599732;NA;2;NA;2;NA;0,00111241236242771;"nonhomologous end joining complex, Ku70:Ku80 complex, nuclear telomere cap complex, cytosol, nucleoplasm";0,00124843945068664
"59";59;"P14406";"P14406";"P14406";"CX7A2_HUMAN";"Cytochrome c oxidase subunit 7A2, mitochondrial";"COX7A2";1;1;0,00234197795172894;1;NA;1;NA;0,00520071765316345;NA;"mitochondrial respiratory chain";0,000624219725343321
"66";66;"P16402";"P16402";"P16402";"H13_HUMAN";"Histone H1.3";"HIST1H1D";1;1;0,00366485991692123;1;0;1;0;0,00976605351159653;0;"nucleosome, nuclear chromatin";0,000624219725343321
"67";67;"P16403";"P16403";"P16403";"H12_HUMAN";"Histone H1.2";"HIST1H1C";2;3;0,0114075217132337;1;2;1;2;0,0101328536434875;0,0127431275320357;"nucleus, nucleosome";0,00187265917602996
"71";71;"P18859";"P18859";"P18859";"ATP5J_HUMAN";"ATP synthase-coupling factor 6, mitochondrial";"ATP5J";2;5;0,00899926712932879;2;2;2;3;0,00799369565208457;0,0113095256846817;"mitochondrial proton-transporting ATP synthase complex, mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)";0,0031210986267166
"73";73;"P19013";"P19013";"P19013";"K2C4_HUMAN";"Keratin, type II cytoskeletal 4";"KRT4";0;0;NA;0;0;0;0;NA;0;"keratin filament, intermediate filament";0
"81";81;"P22626";"P22626-1,P22626-2";"P22626-1,P22626-2";"ROA2_HUMAN";"Heterogeneous nuclear ribonucleoproteins A2/B1";"HNRNPA2B1";7;14;0,00420506574284166;6;7;6;8;NA;NA;"nucleoplasm, cytoplasm, nucleolus, catalytic step 2 spliceosome";0,00873907615480649
"83";83;"P23246";"P23246-1";"P23246-1";"SFPQ_HUMAN";"Splicing factor, proline- and glutamine-rich";"SFPQ";3;4;0,00109976899571995;2;2;2;2;NA;NA;"paraspeckles, nuclear matrix, cytoplasm";0,00249687890137328
"85";85;"P23527";"P23527,P33778,Q16778";"P23527,P33778,Q16778";"H2B1B_HUMAN, H2B1O_HUMAN, H2B2E_HUMAN";"Histone H2B type 1-B, Histone H2B type 1-O, Histone H2B type 2-E";"HIST1H2BB, HIST1H2BO, HIST2H2BE";1;1;0,00479960913564202;1;0;1;0;0,00799369565208457;0;"nucleosome, nucleus";0,000624219725343321
"87";87;"P24539";"P24539";"P24539";"AT5F1_HUMAN";"ATP synthase subunit b, mitochondrial";"ATP5F1";1;1;0,000759313164037117;1;NA;1;NA;0,00168617017661159;NA;"mitochondrial matrix, mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)";0,000624219725343321
"88";88;"P25205";"P25205";"P25205";"MCM3_HUMAN";"DNA replication licensing factor MCM3";"MCM3";2;3;0,00072172340344122;2;1;2;1;0,00106846427032813;0,000503889758228392;"nucleoplasm, perinuclear region of cytoplasm, centrosome, alpha DNA polymerase:primase complex, MCM complex";0,00187265917602996
"91";91;"P26373";"P26373";"P26373";"RL13_HUMAN";"60S ribosomal protein L13";"RPL13";3;3;0,00276375597147159;3;NA;3;NA;0,00613733978975213;NA;"cytosolic large ribosomal subunit";0,00187265917602996
"94";94;"P27635";"P27635,Q96L21";"P27635,Q96L21";"RL10_HUMAN, RL10L_HUMAN";"60S ribosomal protein L10, 60S ribosomal protein L10-like";"RPL10, RPL10L";2;2;0,000908337242960289;2;NA;2;NA;0,00201710077202134;NA;"endoplasmic reticulum, cytosolic large ribosomal subunit";0,00124843945068664
"98";98;"P29692";"P29692-1,P29692-2,P29692-3";"P29692-1,P29692-2,P29692-3";"EF1D_HUMAN";"Elongation factor 1-delta";"EEF1D";2;3;0,000691758612076519;1;2;1;2;NA;NA;"nucleus, eukaryotic translation elongation factor 1 complex, cytosol";0,00187265917602996
"99";99;"P30049";"P30049";"P30049";"ATPD_HUMAN";"ATP synthase subunit delta, mitochondrial";"ATP5D";1;1;0,0011570486309137;1;NA;1;NA;0,00256940217388432;NA;"mitochondrial proton-transporting ATP synthase complex, catalytic core F(1), mitochondrial matrix";0,000624219725343321
"102";102;"P31930";"P31930";"P31930";"QCR1_HUMAN";"Cytochrome b-c1 complex subunit 1, mitochondrial";"UQCRC1";3;3;0,00121490106245939;NA;3;NA;3;NA;0,00254464327905338;"mitochondrial respiratory chain complex III, mitochondrial respiratory chain";0,00187265917602996
"103";103;"P31943";"P31943,P55795";"P31943,P55795";"HNRH1_HUMAN, HNRH2_HUMAN";"Heterogeneous nuclear ribonucleoprotein H, Heterogeneous nuclear ribonucleoprotein H2";"HNRNPH1, HNRNPH2";3;5;0,0010823172048636;2;3;2;3;0,00096137987797899;0,00136016567254524;"cytoplasm, catalytic step 2 spliceosome, nucleoplasm, actin cytoskeleton";0,0031210986267166
"105";105;"P34931";"P34931";"P34931";"HS71L_HUMAN";"Heat shock 70 kDa protein 1-like";"HSPA1L";0;0;NA;0;0;0;0;NA;NA;"mitochondrial matrix, zona pellucida receptor complex, blood microparticle, cell body";0
"113";113;"P39687";"P39687";"P39687";"AN32A_HUMAN";"Acidic leucine-rich nuclear phosphoprotein 32 family member A";"ANP32A";2;2;0,00156131863448596;NA;2;NA;2;NA;0,00327022429436579;"perinuclear region of cytoplasm, nucleoplasm, endoplasmic reticulum";0,00124843945068664
"115";115;"P46776";"P46776";"P46776";"RL27A_HUMAN";"60S ribosomal protein L27a";"RPL27A";2;2;0,0026268131080203;2;NA;2;NA;0,00583323736773739;NA;"cytosolic large ribosomal subunit";0,00124843945068664
"116";116;"P46778";"P46778";"P46778";"RL21_HUMAN";"60S ribosomal protein L21";"RPL21";2;2;0,00242980212491877;2;NA;2;NA;0,00539574456515708;NA;"cytosolic large ribosomal subunit";0,00124843945068664
