"";"X";"protein.acs";"X.1";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5745.3.id.csv";"peptide.count.P5745.4.id.csv";"spectra.count.P5745.3.id.csv";"spectra.count.P5745.4.id.csv";"dNSAF.P5745.3.id.csv";"dNSAF.P5745.4.id.csv";"Go.Cc";"norm.sc"
"3";3;"O00571";"O00571-1,O00571-2,O15523";"O00571-1,O00571-2,O15523";"DDX3X_HUMAN, DDX3Y_HUMAN, O15523";"ATP-dependent RNA helicase DDX3X, ATP-dependent RNA helicase DDX3Y, ATP-dependent RNA helicase DDX3Y [Homo sapiens] ";"DDX3X, DDX3Y";2;2;0,000244939730334554;NA;2;NA;2;NA;0,00154220804791114;"mitochondrial outer membrane, cytoplasmic stress granule, extracellular vesicular exosome, nucleus, nuclear speck";0,00124843945068664
"8";8;"P00338";"P00338-1,P00338-3,P00338-4";"P00338-1,P00338-3,P00338-4";"LDHA_HUMAN";"L-lactate dehydrogenase A chain";"LDHA";2;4;0,000936791180691575;2;2;2;2;NA;NA;"extracellular vesicular exosome, cilium, mitochondrion, cytosol";0,00249687890137328
"9";9;"P00558";"P00558";"P00558";"PGK1_HUMAN";"Phosphoglycerate kinase 1";"PGK1";9;12;0,00559378906456121;5;6;5;7;0,00517577416322022;0,00683453350728965;"extracellular vesicular exosome, cytosol";0,00749063670411985
"10";10;"P01892";"P01892,P10316";"P01892,P10316";"1A02_HUMAN, 1A69_HUMAN";"HLA class I histocompatibility antigen, A-2 alpha chain, HLA class I histocompatibility antigen, A-69 alpha chain";"HLA-A";0;0;0;0;0;0;0;NA;0;"cell surface, early endosome membrane, integral component of lumenal side of endoplasmic reticulum membrane, ER to Golgi transport vesicle membrane, Golgi membrane, phagocytic vesicle membrane, MHC class I protein complex";0
"11";11;"P02533";"P02533";"P02533";"K1C14_HUMAN";"Keratin, type I cytoskeletal 14";"KRT14";8;16;0,0123580483128376;8;6;9;7;0,013811308923161;0,0130499442179045;"keratin filament, cell periphery, cytosol, extracellular vesicular exosome, nucleus";0,00998751560549313
"12";12;"P02538";"P02538,P48668";"P02538,P48668";"K2C6A_HUMAN, K2C6C_HUMAN";"Keratin, type II cytoskeletal 6A, Keratin, type II cytoskeletal 6C";"KRT6A, KRT6C";1;1;0,000779681721161497;0;1;0;1;NA;0,00130740986664198;"extracellular vesicular exosome, keratin filament, intermediate filament";0,000624219725343321
"13";13;"P04040";"P04040";"P04040";"CATA_HUMAN";"Catalase";"CAT";3;4;0,0014754016697799;2;2;2;2;0,00163817671807426;0,00154513443889389;"endoplasmic reticulum, peroxisomal matrix, Golgi apparatus, lysosome, cytosol, peroxisomal membrane, mitochondrial intermembrane space, plasma membrane";0,00249687890137328
"14";14;"P04075";"P04075";"P04075";"ALDOA_HUMAN";"Fructose-bisphosphate aldolase A";"ALDOA";4;6;0,00320413467022256;3;3;3;3;0,00355763377922445;0,00335557355479566;"extracellular space, extracellular vesicular exosome, I band, actin cytoskeleton, cytosol, platelet alpha granule lumen";0,00374531835205993
"15";15;"P04259";"P04259";"P04259";"K2C6B_HUMAN";"Keratin, type II cytoskeletal 6B";"KRT6B";0;0;0;0;0;0;0;0;0;"keratin filament, extracellular vesicular exosome";0
"16";16;"P04264";"P04264";"P04264";"K2C1_HUMAN";"Keratin, type II cytoskeletal 1";"KRT1";41;158;0,0550383154390339;37;36;78;80;0,060261146714702;0,0584443391849929;"extracellular vesicular exosome, keratin filament, plasma membrane, cytoskeleton, membrane, blood microparticle";0,0986267166042447
