"";"X";"protein.acs";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5746.3.id.csv";"peptide.count.P5746.4.id.csv";"spectra.count.P5746.3.id.csv";"spectra.count.P5746.4.id.csv";"dNSAF.P5746.3.id.csv";"dNSAF.P5746.4.id.csv";"Go.Cc";"norm.sc"
"1";1;"A0AVT1";"A0AVT1-1,A0AVT1-2";"UBA6_HUMAN";"Ubiquitin-like modifier-activating enzyme 6";"UBA6";2;2;2,73636434229069e-05;NA;2;NA;2;NA;NA;"cytosol, cytoplasm";0,000151434845157871
"3";3;"A8MWD9";"A8MWD9,P62308";"RUXG_HUMAN, RUXGL_HUMAN";"Small nuclear ribonucleoprotein G, Small nuclear ribonucleoprotein G-like protein";"SNRPG";3;7;0,00132569651425188;3;3;3;4;0,00147047943833077;0,0019989787996064;"spliceosomal complex";0,000530021958052548
"5";5;"O00148";"O00148";"DX39A_HUMAN";"ATP-dependent RNA helicase DDX39A";"DDX39A";5;11;0,00157039191911222;5;5;6;5;0,00209379742038667;0,00203308650077065;"nucleus, cytoplasm";0,000832891648368289
"6";6;"O00151";"O00151";"PDLI1_HUMAN";"PDZ and LIM domain protein 1";"PDLIM1";7;11;0,000962468333403886;5;6;5;6;0,00113228406598924;0,00138531053589745;"cytoplasm, transcription factor complex, cytoskeleton";0,000832891648368289
"11";11;"O00233";"O00233-1,O00233-2";"PSMD9_HUMAN";"26S proteasome non-ATPase regulatory subunit 9";"PSMD9";2;3;0,00019363152162039;1;2;1;2;NA;NA;"nucleoplasm, nucleus, cytosol, proteasome regulatory particle";0,000227152267736806
"13";13;"O00303";"O00303";"EIF3F_HUMAN";"Eukaryotic translation initiation factor 3 subunit F";"EIF3F";7;12;0,000967615222887329;7;5;7;5;0,00146086846160965;0,00106388227430033;"eukaryotic 43S preinitiation complex, cytosol, eukaryotic translation initiation factor 3 complex, eukaryotic 48S preinitiation complex";0,000908609070947225
"15";15;"O00418";"O00418";"EF2K_HUMAN";"Eukaryotic elongation factor 2 kinase";"EEF2K";2;4;0,000158822360722196;2;2;2;2;0,000205529080116117;0,000209548122441499;"cytoplasm, cytosol";0,000302869690315742
"16";16;"O00425";"O00425-1";"IF2B3_HUMAN";"Insulin-like growth factor 2 mRNA-binding protein 3";"IGF2BP3";1;1;6,96047910764374e-05;0;1;0;1;NA;NA;"nucleus, cytosol, cytoplasm";7,57174225789354e-05
"18";18;"O00541";"O00541-1,O00541-2";"PESC_HUMAN";"Pescadillo homolog";"PES1";3;5;0,000122391806466403;2;3;2;3;NA;NA;"cytoplasm, nucleolus, condensed chromosome, PeBoW complex, nucleoplasm, preribosome, large subunit precursor";0,000378587112894677
"19";19;"O00567";"O00567";"NOP56_HUMAN";"Nucleolar protein 56";"NOP56";4;8;0,000387697681897617;4;3;4;4;0,00050171240095685;0,000511523194512076;"box C/D snoRNP complex, pre-snoRNP complex, nucleoplasm, nucleolus, small nucleolar ribonucleoprotein complex, cytoplasm";0,000605739380631483
"22";22;"O00625";"O00625";"PIR_HUMAN";"Pirin";"PIR";3;5;0,000496319877256863;2;3;2;3;0,000513822700290291;0,00078580545915562;"nucleus, cytoplasm";0,000378587112894677
"25";25;"O14579";"O14579-1,O14579-2";"COPE_HUMAN";"Coatomer subunit epsilon";"COPE";4;4;0,000186925668057779;2;2;2;2;NA;NA;"COPI vesicle coat, cytosol, nucleus, Golgi apparatus";0,000302869690315742
"27";27;"O14744";"O14744-1,O14744-2";"ANM5_HUMAN";"Protein arginine N-methyltransferase 5";"PRMT5";3;5;0,000112977052122834;3;2;3;2;NA;NA;"nucleus, cytoplasm, methylosome, cytosol";0,000378587112894677
"32";32;"O14933";"O14933-1,O14933-2";"UB2L6_HUMAN";"Ubiquitin/ISG15-conjugating enzyme E2 L6";"UBE2L6";1;1;9,4073702225157e-05;1;NA;1;NA;NA;NA;"cytosol";7,57174225789354e-05
"36";36;"O15042";"O15042-1,O15042-2";"SR140_HUMAN";"U2 snRNP-associated SURP motif-containing protein";"U2SURP";3;4;5,59505400989272e-05;2;2;2;2;NA;NA;"nucleus";0,000302869690315742
"38";38;"O15069";"O15069";"NACAD_HUMAN";"NAC-alpha domain-containing protein 1";"NACAD";1;1;1,84292912169642e-05;NA;1;NA;1;NA;4,86307262388241e-05;"nucleus, cytoplasm";7,57174225789354e-05
"39";39;"O15116";"O15116";"LSM1_HUMAN";"U6 snRNA-associated Sm-like protein LSm1";"LSM1";2;4;0,000865760988899189;1;2;2;2;0,00112036528634725;0,00114227359977509;"cytoplasm, nucleus, cytosol, ribonucleoprotein complex";0,000302869690315742
