"";"X";"protein.acs";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5746.3.id.csv";"peptide.count.P5746.4.id.csv";"spectra.count.P5746.3.id.csv";"spectra.count.P5746.4.id.csv";"dNSAF.P5746.3.id.csv";"dNSAF.P5746.4.id.csv";"Go.Cc";"norm.sc"
"4";4;"B0I1T2";"B0I1T2-1";"MYO1G_HUMAN";"Unconventional myosin-Ig";"MYO1G";3;5;0,000141387784287318;2;3;2;3;NA;NA;"plasma membrane, myosin complex, extracellular vesicular exosome";0,000378587112894677
"12";12;"O00299";"O00299";"CLIC1_HUMAN";"Chloride intracellular channel protein 1";"CLIC1";11;25;0,00298615693785249;11;11;13;12;0,00401890369314191;0,00378230013535485;"extracellular space, cytoplasm, brush border, blood microparticle, nuclear envelope, extracellular vesicular exosome, perinuclear region of cytoplasm, mitochondrion, nucleus, chloride channel complex, plasma membrane, nuclear membrane";0,00189293556447339
"24";24;"O14578";"O14578-4";"CTRO_HUMAN";"Citron Rho-interacting kinase";"CIT";2;2;2,84031108839645e-05;2;NA;2;NA;NA;NA;"Golgi cisterna, ruffle, plasma membrane, vacuole, actin cytoskeleton, neuronal cell body";0,000151434845157871
"41";41;"O15144";"O15144";"ARPC2_HUMAN";"Actin-related protein 2/3 complex subunit 2";"ARPC2";8;17;0,00163123799658422;7;7;9;8;0,00223512874626277;0,00202563185026782;"cytosol, actin cytoskeleton, Arp2/3 protein complex, plasma membrane, Golgi apparatus, endosome, neuron projection, cytoplasm, focal adhesion, cell leading edge, extracellular vesicular exosome, synapse";0,0012871961838419
"56";56;"O43491";"O43491-1,O43491-2";"E41L2_HUMAN";"Band 4.1-like protein 2";"EPB41L2";3;5;7,16083404997464e-05;3;2;3;2;NA;NA;"plasma membrane, extrinsic component of membrane, spectrin, extracellular vesicular exosome";0,000378587112894677
"59";59;"O43663";"O43663-1,O43663-3";"PRC1_HUMAN";"Protein regulator of cytokinesis 1";"PRC1";2;2;4,64299240014484e-05;2;NA;2;NA;NA;NA;"spindle microtubule, plasma membrane, nucleus, spindle pole, cytoplasm, microtubule cytoskeleton, spindle";0,000151434845157871
"79";79;"O60711";"O60711-1,O60711-2";"LPXN_HUMAN";"Leupaxin";"LPXN";3;4;0,000149153123735223;3;1;3;1;NA;NA;"nucleus, perinuclear region of cytoplasm, podosome, cytoplasm, cell projection, focal adhesion, plasma membrane";0,000302869690315742
"91";91;"O75348";"O75348";"VATG1_HUMAN";"V-type proton ATPase subunit G 1";"ATP6V1G1";2;2;0,000487907675947424;2;NA;2;NA;0,00126278460240834;NA;"plasma membrane, lysosomal membrane, vacuolar proton-transporting V-type ATPase complex, cytosol, extracellular vesicular exosome";0,000151434845157871
"94";94;"O75369";"O75369-1,O75369-2,O75369-8,O75369-9";"FLNB_HUMAN";"Filamin-B";"FLNB";29;39;0,000115400139243818;18;20;19;20;NA;NA;"stress fiber, Z disc, plasma membrane, cytosol, actin cytoskeleton, integral component of membrane, focal adhesion, extracellular vesicular exosome, cytoplasm, cell cortex";0,00295297948057848
"101";101;"O75534";"O75534-1,O75534-2";"CSDE1_HUMAN";"Cold shock domain-containing protein E1";"CSDE1";5;8;0,000144293498149865;4;4;4;4;NA;NA;"Golgi apparatus, cytoplasm, CRD-mediated mRNA stability complex, plasma membrane";0,000605739380631483
"105";105;"O75695";"O75695";"XRP2_HUMAN";"Protein XRP2";"RP2";1;1;8,2247293945423e-05;NA;1;NA;1;NA;0,000217031983957267;"plasma membrane, cytoplasmic vesicle, extracellular vesicular exosome, cytoplasm, ciliary basal body";7,57174225789354e-05
"123";123;"O95232";"O95232-1";"LC7L3_HUMAN";"Luc7-like protein 3";"LUC7L3";3;5;0,000333177695380764;3;2;3;2;NA;NA;"nucleus, plasma membrane, U1 snRNP, nuclear speck, focal adhesion";0,000378587112894677
"133";133;"O95782";"O95782-1,O95782-2";"AP2A1_HUMAN";"AP-2 complex subunit alpha-1";"AP2A1";2;2;2,94642301749212e-05;NA;2;NA;2;NA;NA;"cytosol, clathrin coat of trans-Golgi network vesicle, AP-2 adaptor complex, clathrin-coated endocytic vesicle membrane, plasma membrane, basolateral plasma membrane, endocytic vesicle membrane, apical plasma membrane";0,000151434845157871
"143";143;"P00505";"P00505";"AATM_HUMAN";"Aspartate aminotransferase, mitochondrial";"GOT2";6;11;0,000736400189976461;3;6;3;8;0,000519797382851806;0,00141323152344267;"mitochondrial matrix, mitochondrial inner membrane, extracellular vesicular exosome, mitochondrion, plasma membrane";0,000832891648368289
