"";"X";"protein.acs";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5834.1.id.csv";"peptide.count.P5834.2.id.csv";"spectra.count.P5834.1.id.csv";"spectra.count.P5834.2.id.csv";"dNSAF.P5834.1.id.csv";"dNSAF.P5834.2.id.csv";"Go.Cc";"norm.sc"
"2";2;"A1L0T0";"A1L0T0";"ILVBL_HUMAN";"Acetolactate synthase-like protein";"ILVBL";11;23;0,000680690494444932;9;11;11;12;0,00065185913535565;0,000709700908939268;"integral component of membrane, membrane";0,00109040914047314
"3";3;"A2RRP1";"A2RRP1-1";"NBAS_HUMAN";"Neuroblastoma-amplified sequence";"NBAS";15;25;0,000197218378087212;13;11;13;12;0,000205347749552625;0,00018917375556711;"cytoplasm, membrane";0,00118522732660124
"7";7;"A8MV81";"A8MV81,Q9Y241-1,Q9Y241-2";"HIG1A_HUMAN, HIG1C_HUMAN";"HIG1 domain family member 1A, mitochondrial, HIG1 domain family member 1C";"HIGD1A, HIGD1C";1;1;6,60925476247038e-05;NA;1;NA;1;NA;0,000132076258671854;"integral component of membrane";4,74090930640497e-05
"9";9;"B7ZAQ6";"B7ZAQ6-1,B7ZAQ6-2,B7ZAQ6-3,P0CG08";"GPHRA_HUMAN, GPHRB_HUMAN";"Golgi pH regulator A, Golgi pH regulator B";"GPR89A, GPR89B";2;7;7,19391960684276e-05;2;2;4;3;8,23126820269273e-05;6,16113975892332e-05;"integral component of membrane, Golgi-associated vesicle membrane, Golgi cisterna membrane";0,000331863651448348
"11";11;"O00116";"O00116";"ADAS_HUMAN";"Alkyldihydroxyacetonephosphate synthase, peroxisomal";"AGPS";16;40;0,00113703288618791;16;16;20;20;0,0011383668790958;0,0011360966931348;"peroxisomal membrane, peroxisomal matrix, mitochondrion, intracellular membrane-bounded organelle, peroxisome, nucleolus, membrane";0,00189636372256199
"12";12;"O00148";"O00148";"DX39A_HUMAN";"ATP-dependent RNA helicase DDX39A";"DDX39A";9;16;0,000700859615092877;9;4;11;5;0,000964812584413984;0,000437676594896192;"cytoplasm, membrane, nucleus";0,000758545489024795
"15";15;"O00165";"O00165-1,O00165-3";"HAX1_HUMAN";"HCLS1-associated protein X-1";"HAX1";7;13;0,000435760721704812;6;6;7;6;0,000469831348128608;0,000401909475313277;"endoplasmic reticulum, sarcoplasmic reticulum, actin cytoskeleton, cytoplasmic membrane-bounded vesicle, lamellipodium, nuclear envelope, mitochondrion, transcription factor complex, nuclear membrane";0,000616318209832646
"18";18;"O00217";"O00217";"NDUS8_HUMAN";"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial";"NDUFS8";6;13;0,00115787848910136;6;6;6;7;0,00107006486635005;0,00124591937347116;"mitochondrial respiratory chain complex I, mitochondrion, mitochondrial inner membrane";0,000616318209832646
"22";22;"O00410";"O00410-1,O00410-3";"IPO5_HUMAN";"Importin-5";"IPO5";35;81;0,000690537588514624;34;29;42;39;0,000716953214920046;0,000664414615752624;"cytoplasm, membrane, Golgi apparatus, nuclear membrane, intracellular membrane-bounded organelle, nucleus, nuclear pore";0,00384013653818802
"23";23;"O00461";"O00461";"GOLI4_HUMAN";"Golgi integral membrane protein 4";"GOLIM4";3;4;0,000107495350447076;1;3;1;3;5,38107332216263e-05;0,000161110263810926;"endosome membrane, nucleus, cis-Golgi network, membrane, Golgi cisterna membrane, integral component of membrane, Golgi apparatus, endocytic vesicle, Golgi lumen";0,000189636372256199
"29";29;"O00767";"O00767";"ACOD_HUMAN";"Acyl-CoA desaturase";"SCD";3;7;0,000364705673661666;2;3;3;4;0,000312971618291799;0,000416463300324622;"membrane, endoplasmic reticulum membrane, endoplasmic reticulum, integral component of membrane";0,000331863651448348
"30";30;"O14521";"O14521";"DHSD_HUMAN";"Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial";"SDHD";2;4;0,000470545684975878;2;2;2;2;0,00047109773990254;0,00047015825414006;"mitochondrial envelope, mitochondrion, integral component of membrane, mitochondrial inner membrane, mitochondrial respiratory chain complex II";0,000189636372256199
"31";31;"O14524";"O14524-1";"T194A_HUMAN";"Transmembrane protein 194A";"TMEM194A";3;6;0,000252759337537718;3;3;3;3;0,000253055880555756;0,000252551224352262;"integral component of membrane";0,000284454558384298
"32";32;"O14548";"O14548";"COX7R_HUMAN";"Cytochrome c oxidase subunit 7A-related protein, mitochondrial";"COX7A2L";5;8;0,00131257480545903;5;3;5;3;0,00164264343518649;0,000983620558003547;"mitochondrial inner membrane, mitochondrial respiratory chain";0,000379272744512397
