"";"X";"protein.acs";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5836.1.id.csv";"peptide.count.P5836.2.id.csv";"spectra.count.P5836.1.id.csv";"spectra.count.P5836.2.id.csv";"dNSAF.P5836.1.id.csv";"dNSAF.P5836.2.id.csv";"Go.Cc";"norm.sc"
"1";1;"A0FGR8";"A0FGR8-1,A0FGR8-2,A0FGR8-4,A0FGR8-5,A0FGR8-6";"ESYT2_HUMAN";"Extended synaptotagmin-2";"ESYT2";1;4;1,54963443474392e-05;1;1;2;2;1,53859368455565e-05;1,56191354714042e-05;"integral component of plasma membrane, membrane, extrinsic component of cytoplasmic side of plasma membrane, organelle membrane contact site, intrinsic component of endoplasmic reticulum membrane";0,000176017601760176
"3";3;"A6NIZ1";"A6NIZ1,P61224";"RAP1B_HUMAN, RP1BL_HUMAN";"Ras-related protein Rap-1b, Ras-related protein Rap-1b-like protein";"RAP1B";5;8;0,00038782970499977;5;3;5;3;0,000481333146561058;0,000293177114860664;"cytosol, plasma membrane";0,000352035203520352
"5";5;"B0I1T2";"B0I1T2-1,B0I1T2-3,B0I1T2-4";"MYO1G_HUMAN";"Unconventional myosin-Ig";"MYO1G";3;7;4,08910167026608e-05;2;2;4;3;4,63996327267766e-05;3,53271703564912e-05;"plasma membrane, myosin complex, extracellular vesicular exosome, membrane";0,000308030803080308
"8";8;"O00139";"O00139-1,O00139-2,O00139-3,O00139-4";"KIF2A_HUMAN";"Kinesin-like protein KIF2A";"KIF2A";2;2;1,26346787747801e-05;2;NA;2;NA;2,50893198207464e-05;NA;"kinesin complex, cytosol, spindle pole, membrane, centrosome, microtubule";8,8008800880088e-05
"9";9;"O00148";"O00148";"DX39A_HUMAN";"ATP-dependent RNA helicase DDX39A";"DDX39A";5;9;0,000689374112634252;4;5;4;5;0,000587137993513644;0,000803943206175292;"cytoplasm, membrane, nucleus";0,000396039603960396
"12";12;"O00170";"O00170";"AIP_HUMAN";"AH receptor-interacting protein";"AIP";3;6;0,000324366662363444;3;3;3;3;0,000322055632608126;0,000326936903844619;"cytosol, cytoplasm, membrane, nucleus";0,000264026402640264
"13";13;"O00203";"O00203-1,Q13367-1";"AP3B1_HUMAN, AP3B2_HUMAN";"AP-3 complex subunit beta-1, AP-3 complex subunit beta-2";"AP3B1, AP3B2";1;1;8,19860589613485e-06;NA;1;NA;1;NA;1,652714127891e-05;"Golgi apparatus, lysosomal membrane, membrane, AP-3 adaptor complex, clathrin-coated vesicle membrane";4,4004400440044e-05
"14";14;"O00217";"O00217";"NDUS8_HUMAN";"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial";"NDUFS8";3;6;0,000509719040856841;2;3;2;4;0,000337391615113275;0,00068501065567444;"mitochondrial respiratory chain complex I, mitochondrion, mitochondrial inner membrane";0,000264026402640264
"15";15;"O00231";"O00231-1,O00231-2";"PSD11_HUMAN";"26S proteasome non-ATPase regulatory subunit 11";"PSMD11";12;23;0,000486165672855162;9;11;11;12;0,000461714828739138;0,000511323119756987;"cytosol, extracellular vesicular exosome, proteasome complex, proteasome accessory complex, membrane, nucleoplasm, nucleus";0,00101210121012101
"16";16;"O00232";"O00232-1";"PSD12_HUMAN";"26S proteasome non-ATPase regulatory subunit 12";"PSMD12";9;15;0,000586847579933863;5;8;6;9;0,00046613315245913;0,000709797225452133;"proteasome accessory complex, membrane, nucleoplasm, cytosol, extracellular vesicular exosome, proteasome regulatory particle";0,00066006600660066
"18";18;"O00299";"O00299";"CLIC1_HUMAN";"Chloride intracellular channel protein 1";"CLIC1";11;30;0,00235535958147729;9;11;14;16;0,0021951454460482;0,00252023284107055;"brush border, blood microparticle, plasma membrane, cytoplasm, chloride channel complex, nuclear envelope, mitochondrion, vesicle, nucleus, extracellular vesicular exosome, perinuclear region of cytoplasm, extracellular space, nuclear membrane, membrane";0,00132013201320132
"19";19;"O00303";"O00303";"EIF3F_HUMAN";"Eukaryotic translation initiation factor 3 subunit F";"EIF3F";9;21;0,00104942155470526;7;9;10;11;0,000992328279744927;0,00110810547241453;"eukaryotic translation initiation factor 3 complex, eukaryotic 43S preinitiation complex, eukaryotic 48S preinitiation complex, membrane, cytosol";0,000924092409240924
"20";20;"O00410";"O00410-1,O00410-3";"IPO5_HUMAN";"Importin-5";"IPO5";15;29;0,000235808945519459;12;14;14;15;0,000226055457710353;0,000245873241268743;"cytoplasm, membrane, Golgi apparatus, nuclear membrane, intracellular membrane-bounded organelle, nucleus, nuclear pore";0,00127612761276128
"23";23;"O00429";"O00429-1,O00429-3,O00429-6";"DNM1L_HUMAN";"Dynamin-1-like protein";"DNM1L";7;11;8,8877640729114e-05;6;4;7;4;0,000112311067530914;6,51504699690364e-05;"synaptic vesicle membrane, mitochondrion, membrane, microtubule, cytosol, cytoplasm, cell junction, mitochondrial outer membrane, protein complex, Golgi apparatus, coated pit, perinuclear region of cytoplasm, peroxisome, intracellular membrane-bounded organelle";0,000484048404840484
"26";26;"O00541";"O00541-1,O00541-2";"PESC_HUMAN";"Pescadillo homolog";"PES1";1;1;1,51702095493107e-05;NA;1;NA;1;NA;3,05808328426089e-05;"PeBoW complex, cytoplasm, nucleolus, membrane, nucleoplasm, condensed chromosome, preribosome, large subunit precursor";4,4004400440044e-05
"27";27;"O00571";"O00571-1,O00571-2";"DDX3X_HUMAN";"ATP-dependent RNA helicase DDX3X";"DDX3X";15;24;0,000331179153324887;13;11;13;11;0,00035592883446398;0,000306256416158073;"cytoplasm, mitochondrial outer membrane, extracellular vesicular exosome, nucleus, cytoplasmic stress granule, nuclear speck";0,00105610561056106
"32";32;"O14561";"O14561";"ACPM_HUMAN";"Acyl carrier protein, mitochondrial";"NDUFAB1";3;6;0,000686160247307286;2;3;2;4;0,000454181020344794;0,000922129728792515;"mitochondrial matrix, mitochondrial membrane, mitochondrial inner membrane, mitochondrial respiratory chain complex I";0,000264026402640264
"34";34;"O14641";"O14641,Q92997";"DVL2_HUMAN, DVL3_HUMAN";"Segment polarity protein dishevelled homolog DVL-2, Segment polarity protein dishevelled homolog DVL-3";"DVL2, DVL3";1;2;2,45732319972306e-05;1;1;1;1;2,43981539854641e-05;2,4767947260956e-05;"cytosol, clathrin-coated endocytic vesicle, cytoplasmic vesicle, apical part of cell, cell cortex, cytoplasm, clathrin-coated vesicle, nucleus, plasma membrane";8,8008800880088e-05
"41";41;"O14828";"O14828-1,O14828-2";"SCAM3_HUMAN";"Secretory carrier-associated membrane protein 3";"SCAMP3";1;1;2,57062916858637e-05;1;NA;1;NA;5,10462818254955e-05;NA;"integral component of membrane, Golgi membrane, extracellular vesicular exosome";4,4004400440044e-05
"42";42;"O14929";"O14929-1";"HAT1_HUMAN";"Histone acetyltransferase type B catalytic subunit";"HAT1";6;14;0,000596091479760983;6;5;7;7;0,000591844479971974;0,000600814835227581;"intracellular membrane-bounded organelle, cytoplasm, nucleoplasm, nucleus, protein complex, nuclear matrix, nuclear chromatin";0,000616061606160616
"47";47;"O14980";"O14980";"XPO1_HUMAN";"Exportin-1";"XPO1";6;11;0,000183232334948538;6;4;7;4;0,000231543265273816;0,000134315814838125;"intracellular membrane-bounded organelle, nucleolus, membrane, cytoplasm, nucleus, nucleoplasm, ribonucleoprotein complex, cytosol, nuclear envelope, nuclear membrane, Cajal body, annulate lamellae, kinetochore";0,000484048404840484
"52";52;"O15144";"O15144";"ARPC2_HUMAN";"Actin-related protein 2/3 complex subunit 2";"ARPC2";12;27;0,00160561497869905;11;12;13;14;0,0015351318487654;0,00167827610640238;"cell leading edge, synapse, extracellular vesicular exosome, Arp2/3 protein complex, focal adhesion, actin cytoskeleton, Golgi apparatus, neuron projection, endosome, plasma membrane, cytosol, cytoplasm";0,00118811881188119
"53";53;"O15145";"O15145";"ARPC3_HUMAN";"Actin-related protein 2/3 complex subunit 3";"ARPC3";5;13;0,00130293350331383;5;5;6;7;0,00119413886247957;0,00141427761775481;"extracellular vesicular exosome, membrane, cytosol, Arp2/3 protein complex, actin cytoskeleton, lamellipodium";0,000572057205720572
"56";56;"O15294";"O15294-1,O15294-2,O15294-3";"OGT1_HUMAN";"UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit";"OGT";2;3;1,70556084416725e-05;2;NA;3;NA;3,38681831614664e-05;NA;"mitochondrion, cytoplasm, nucleus, cytosol, microtubule organizing center, histone acetyltransferase complex, MLL5-L complex, plasma membrane, nucleoplasm";0,000132013201320132
"60";60;"O15371";"O15371";"EIF3D_HUMAN";"Eukaryotic translation initiation factor 3 subunit D";"EIF3D";6;15;0,000488325723448616;6;5;8;7;0,00051716962900575;0,000459382145913059;"eukaryotic 43S preinitiation complex, eukaryotic translation initiation factor 3 complex, cytosol, eukaryotic 48S preinitiation complex, membrane";0,00066006600660066
"61";61;"O15372";"O15372";"EIF3H_HUMAN";"Eukaryotic translation initiation factor 3 subunit H";"EIF3H";6;13;0,000658869782925746;6;4;8;5;0,000805139081520316;0,000510838912257217;"cytosol, eukaryotic 48S preinitiation complex, extracellular vesicular exosome, eukaryotic 43S preinitiation complex, eukaryotic translation initiation factor 3 complex, membrane";0,000572057205720572
"66";66;"O43181";"O43181";"NDUS4_HUMAN";"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial";"NDUFS4";1;1;0,000101943808171368;NA;1;NA;1;NA;0,000205503196702332;"mitochondrial respiratory chain complex I, mitochondrial inner membrane, mitochondrion";4,4004400440044e-05
"67";67;"O43242";"O43242";"PSMD3_HUMAN";"26S proteasome non-ATPase regulatory subunit 3";"PSMD3";10;20;0,000668171027340428;7;10;8;12;0,000530728383324253;0,000808158638717036;"cytoplasm, proteasome accessory complex, cytosol, extracellular vesicular exosome, proteasome complex, nucleus, membrane, nucleoplasm";0,00088008800880088
"69";69;"O43264";"O43264";"ZW10_HUMAN";"Centromere/kinetochore protein zw10 homolog";"ZW10";1;2;4,58027379460576e-05;1;NA;2;NA;9,09528102359278e-05;NA;"spindle pole, cytosol, kinetochore microtubule, nucleus, kinetochore, cytoplasm, endoplasmic reticulum, endoplasmic reticulum membrane, membrane, condensed chromosome kinetochore";8,8008800880088e-05
"79";79;"O43491";"O43491-1,O43491-2";"E41L2_HUMAN";"Band 4.1-like protein 2";"EPB41L2";3;5;7,98813422238333e-05;2;2;2;3;5,2874805353573e-05;0,000107352416187785;"spectrin, plasma membrane, extracellular vesicular exosome, extrinsic component of membrane";0,00022002200220022
"82";82;"O43615";"O43615";"TIM44_HUMAN";"Mitochondrial import inner membrane translocase subunit TIM44";"TIMM44";6;10;0,000394693947566138;5;5;5;5;0,000391881853837322;0,000397821453793231;"mitochondrion, mitochondrial matrix, mitochondrial inner membrane";0,00044004400440044
"83";83;"O43665";"O43665-1,O43665-2,O43665-3";"RGS10_HUMAN";"Regulator of G-protein signaling 10";"RGS10";1;2;6,87482328708649e-05;1;NA;2;NA;0,00013651683848514;NA;"cytoplasm, plasma membrane, axon terminus, neuronal cell body, nucleus, dendritic spine";8,8008800880088e-05
"85";85;"O43678";"O43678";"NDUA2_HUMAN";"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2";"NDUFA2";2;2;0,000360407402626049;NA;2;NA;2;NA;0,000726526452988042;"mitochondrial respiratory chain complex I, mitochondrial membrane, mitochondrial inner membrane";8,8008800880088e-05
"90";90;"O43747";"O43747-1,O43747-2";"AP1G1_HUMAN";"AP-1 complex subunit gamma-1";"AP1G1";5;8;8,68134619464206e-05;5;3;5;3;0,000107743672709531;6,56260208447228e-05;"cytosol, cytoplasm, cytoplasmic vesicle membrane, perinuclear region of cytoplasm, clathrin-coated vesicle membrane, membrane, Golgi apparatus, lysosomal membrane, intracellular membrane-bounded organelle, recycling endosome, clathrin-coated vesicle, Golgi membrane, AP-type membrane coat adaptor complex, trans-Golgi network membrane, clathrin adaptor complex";0,000352035203520352
"95";95;"O43813";"O43813";"LANC1_HUMAN";"LanC-like protein 1";"LANCL1";1;2;8,94243931327791e-05;1;1;1;1;8,87872671350724e-05;9,01329810097947e-05;"cytoplasm, nucleus, integral component of plasma membrane, extracellular vesicular exosome";8,8008800880088e-05
"96";96;"O43823";"O43823";"AKAP8_HUMAN";"A-kinase anchor protein 8";"AKAP8";2;6;0,000154683523959446;2;2;3;3;0,000153581443295783;0,000155909217151336;"female pronucleus, condensed chromosome, membrane, mitochondrion, nucleus, Golgi apparatus, nuclear matrix";0,000264026402640264
"98";98;"O43852";"O43852-1,O43852-2,O43852-3,O43852-4";"CALU_HUMAN";"Calumenin";"CALU";4;10;0,000141588622460234;3;4;4;6;0,000112463871704425;0,00017125266391861;"sarcoplasmic reticulum lumen, Golgi apparatus, extracellular region, membrane, endoplasmic reticulum, melanosome";0,00044004400440044
"100";100;"O43920";"O43920";"NDUS5_HUMAN";"NADH dehydrogenase [ubiquinone] iron-sulfur protein 5";"NDUFS5";1;2;0,000336606913773385;1;1;1;1;0,000334208675348056;0,000339274145499133;"mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrion, mitochondrial respiratory chain complex I";8,8008800880088e-05
"104";104;"O60313";"O60313-1,O60313-2";"OPA1_HUMAN";"Dynamin-like 120 kDa protein, mitochondrial";"OPA1";3;4;3,71670133958113e-05;1;3;1;3;1,84511039515072e-05;5,61922803482939e-05;"mitochondrion, dendrite, mitochondrial intermembrane space, integral component of membrane, mitochondrial outer membrane, membrane, mitochondrial inner membrane, mitochondrial crista";0,000176017601760176
"106";106;"O60343";"O60343-1,O60343-2,O60343-3";"TBCD4_HUMAN";"TBC1 domain family member 4";"TBC1D4";1;2;9,16290006676396e-06;1;1;1;1;9,09761674034255e-06;9,23550575832257e-06;"cytoplasm, cytoplasmic vesicle membrane, extracellular vesicular exosome";8,8008800880088e-05
"107";107;"O60488";"O60488-1,O60488-2";"ACSL4_HUMAN";"Long-chain-fatty-acid--CoA ligase 4";"ACSL4";3;6;7,52749638396178e-05;2;3;2;4;4,98257659449985e-05;0,00010116191117555;"endoplasmic reticulum membrane, lipid particle, membrane, neuronal cell body, mitochondrial outer membrane, cytoplasm, peroxisomal membrane, integral component of membrane, extracellular vesicular exosome";0,000264026402640264
"108";108;"O60493";"O60493-1";"SNX3_HUMAN";"Sorting nexin-3";"SNX3";1;2;0,000550622420678686;1;1;1;1;0,000437359501072764;0,000665982581905705;"intracellular membrane-bounded organelle, cytoplasm, endosome membrane, extracellular vesicular exosome, cytosol, early endosome";8,8008800880088e-05
"109";109;"O60506";"O60506-1";"HNRPQ_HUMAN";"Heterogeneous nuclear ribonucleoprotein Q";"SYNCRIP";12;29;0,000991171676040939;11;11;15;14;0,000986230756958573;0,00099672898775101;"ribonucleoprotein complex, catalytic step 2 spliceosome, CRD-mediated mRNA stability complex, membrane, histone pre-mRNA 3'end processing complex, nucleoplasm, nucleus, endoplasmic reticulum, GAIT complex";0,00127612761276128
