"";"X";"protein.acs";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5837.1.id.csv";"peptide.count.P5837.2.id.csv";"spectra.count.P5837.1.id.csv";"spectra.count.P5837.2.id.csv";"dNSAF.P5837.1.id.csv";"dNSAF.P5837.2.id.csv";"Go.Cc";"norm.sc"
"45";45;"O14745";"O14745";"NHRF1_HUMAN";"Na(+)/H(+) exchange regulatory cofactor NHE-RF1";"SLC9A3R1";3;7;0,00034963209033382;3;2;5;2;0,000503653013225786;0,000198207307497678;"microvillus membrane, filopodium, sperm midpiece, plasma membrane, actin cytoskeleton, ruffle, intracellular membrane-bounded organelle, apical plasma membrane, membrane, microvillus, vesicle, brush border membrane, extracellular vesicular exosome, cell periphery, membrane raft, centrosome, endomembrane system, cytoplasm";0,000311915159076731
"243";243;"P05141";"P05141";"ADT2_HUMAN";"ADP/ATP translocase 2";"SLC25A5";5;16;0,00182869252014073;5;5;10;6;0,00209020609881745;0,00150012336016867;"mitochondrial nucleoid, mitochondrion, extracellular vesicular exosome, integral component of plasma membrane, mitochondrial inner membrane, MMXD complex, nucleus, membrane";0,000712948935032528
"284";284;"P08195";"P08195-1,P08195-2,P08195-3,P08195-4";"4F2_HUMAN";"4F2 cell-surface antigen heavy chain";"SLC3A2";4;6;4,25742477345263e-05;3;3;3;3;4,29304235082932e-05;4,22370333834337e-05;"integral component of membrane, apical plasma membrane, melanosome, extracellular vesicular exosome, plasma membrane, cytoplasm, cell junction, membrane, nucleus";0,000267355850637198
"339";339;"P12236";"P12236";"ADT3_HUMAN";"ADP/ATP translocase 3";"SLC25A6";3;5;0,000571466412543978;1;3;1;4;0,000209020609881745;0,00100008224011244;"nucleus, integral component of membrane, mitochondrial inner membrane, mitochondrion, mitochondrial inner membrane presequence translocase complex";0,000222796542197665
"752";752;"P53007";"P53007";"TXTP_HUMAN";"Tricarboxylate transport protein, mitochondrial";"SLC25A1";2;4;0,000229983074578792;2;2;2;2;0,000231907110912966;0,000228161466508581;"mitochondrial inner membrane, nucleus, integral component of membrane, extracellular vesicular exosome";0,000178237233758132
"946";946;"Q00325";"Q00325-1,Q00325-2";"MPCP_HUMAN";"Phosphate carrier protein, mitochondrial";"SLC25A3";5;11;0,000271675448250707;5;4;6;5;0,000298852671936185;0,000245021464379035;"integral component of plasma membrane, extracellular vesicular exosome, mitochondrial inner membrane, membrane, mitochondrion";0,000490152392834863
"1147";1147;"Q15758";"Q15758-1";"AAAT_HUMAN";"Neutral amino acid transporter B(0)";"SLC1A5";4;6;0,000198312577247701;3;3;3;3;0,00019997165848595;0,000196741819087344;"integral component of plasma membrane, extracellular vesicular exosome, plasma membrane, membrane, Golgi apparatus, melanosome";0,000267355850637198
"1429";1429;"Q9BWU0";"Q9BWU0";"NADAP_HUMAN";"Kanadaptin";"SLC4A1AP";1;1;2,24637990559059e-05;NA;1;NA;1;NA;4,45717437714627e-05;"nucleus, cytoplasm";4,4559308439533e-05
"1512";1512;"Q9NY26";"Q9NY26";"S39A1_HUMAN";"Zinc transporter ZIP1";"SLC39A1";1;1;5,51888396558675e-05;NA;1;NA;1;NA;0,000109503419882976;"endoplasmic reticulum membrane, plasma membrane, integral component of membrane, membrane";4,4559308439533e-05
"820";820;"P61221";"P61221";"ABCE1_HUMAN";"ATP-binding cassette sub-family E member 1";"ABCE1";10;23;0,000686589704700375;10;9;12;11;0,000722435173561929;0,00065153620778452;"membrane, cytoplasm, mitochondrion";0,00102486409410926
"1275";1275;"Q8NE71";"Q8NE71-1,Q8NE71-2";"ABCF1_HUMAN";"ATP-binding cassette sub-family F member 1";"ABCF1";6;10;0,000105805822772196;4;6;4;6;8,53527946673758e-05;0,000125961330326927;"ribosome, polysomal ribosome, nuclear envelope, membrane, cytoplasm, nucleoplasm";0,00044559308439533
