"";"X";"protein.acs";"X.1";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5838.1.id.csv";"peptide.count.P5838.2.id.csv";"peptide.count.P5839.1.id.csv";"peptide.count.P5839.2.id.csv";"spectra.count.P5838.1.id.csv";"spectra.count.P5838.2.id.csv";"spectra.count.P5839.1.id.csv";"spectra.count.P5839.2.id.csv";"dNSAF.P5838.1.id.csv";"dNSAF.P5838.2.id.csv";"dNSAF.P5839.1.id.csv";"dNSAF.P5839.2.id.csv";"Go.Cc";"norm.sc"
"3";3;"A1L0T0";"A1L0T0";"A1L0T0";"ILVBL_HUMAN";"Acetolactate synthase-like protein";"ILVBL";1;4;5,5430763455466e-05;1;1;1;1;1;1;1;1;7,56318193302173e-05;7,63961426340792e-05;6,96719657456423e-05;6,96081262101683e-05;"integral component of membrane";9,25797342961626e-05
"9";9;"O00116";"O00116";"O00116";"ADAS_HUMAN";"Alkyldihydroxyacetonephosphate synthase, peroxisomal";"AGPS";4;8;0,000106480980254877;1;2;3;2;1;2;3;2;7,26433279889017e-05;0,000146754900135982;0,000200756910416015;0,000133715306276068;"intracellular membrane-bounded organelle, peroxisomal membrane, peroxisomal matrix, mitochondrion, nucleolus, peroxisome";0,000185159468592325
"15";15;"O00170";"O00170";"O00170";"AIP_HUMAN";"AH receptor-interacting protein";"AIP";2;4;0,000106158310617741;NA;NA;2;2;NA;NA;2;2;NA;NA;0,000266864741522703;0,000266620216756524;"cytoplasm, cytosol, nucleus, membrane";9,25797342961626e-05
"18";18;"O00203";"O00203-1,Q13367-1";"O00203-1,Q13367-1";"AP3B1_HUMAN, AP3B2_HUMAN";"AP-3 complex subunit beta-1, AP-3 complex subunit beta-2";"AP3B1, AP3B2";1;1;4,02484403766711e-06;1;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;"Golgi apparatus, lysosomal membrane, AP-3 adaptor complex, clathrin-coated vesicle membrane";2,31449335740406e-05
"19";19;"O00217";"O00217";"O00217";"NDUS8_HUMAN";"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial";"NDUFS8";5;19;0,000792395961396709;4;4;4;5;5;4;5;5;0,00113807880515946;0,000919664040852153;0,00104839719883919;0,0010474365658292;"mitochondrial inner membrane, mitochondrion, mitochondrial respiratory chain complex I";0,000439753737906772
"23";23;"O00264";"O00264";"O00264";"PGRC1_HUMAN";"Membrane-associated progesterone receptor component 1";"PGRMC1";5;14;0,000754540607775328;3;3;3;5;3;3;3;5;0,000919217496474948;0,000742805571457508;0,000812911058792233;0,00145029678345581;"endoplasmic reticulum, integral component of membrane, nucleolus, endoplasmic reticulum membrane";0,000324029070036569
"27";27;"O00410";"O00410-1,O00410-3";"O00410-1,O00410-3";"IPO5_HUMAN";"Importin-5";"IPO5";25;82;0,000327329522027811;15;17;17;20;16;20;21;25;NA;NA;NA;NA;"cytoplasm, nuclear membrane, nuclear pore, nucleus, Golgi apparatus, intracellular membrane-bounded organelle";0,00189788455307133
"30";30;"O00429";"O00429-1,O00429-2,O00429-3,O00429-4,O00429-5,O00429-6";"O00429-1,O00429-2,O00429-3,O00429-4,O00429-5,O00429-6";"DNM1L_HUMAN";"Dynamin-1-like protein";"DNM1L";9;18;3,5698616681917e-05;5;5;3;4;5;5;3;5;NA;NA;NA;NA;"cell junction, mitochondrion, cytosol, coated pit, perinuclear region of cytoplasm, intracellular membrane-bounded organelle, protein complex, peroxisome, microtubule, mitochondrial outer membrane, Golgi apparatus, synaptic vesicle membrane, cytoplasm";0,000416608804332732
"31";31;"O00461";"O00461";"O00461";"GOLI4_HUMAN";"Golgi integral membrane protein 4";"GOLIM4";3;7;8,80839430772204e-05;3;NA;2;2;3;NA;2;2;0,000206031507830592;NA;0,000126530696411626;0,000126414757944903;"Golgi cisterna membrane, Golgi lumen, integral component of membrane, cis-Golgi network, nucleus, endosome membrane, endocytic vesicle, Golgi apparatus";0,000162014535018284
"32";32;"O00483";"O00483";"O00483";"NDUA4_HUMAN";"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4";"NDUFA4";4;16;0,00172998728414096;3;3;4;4;4;3;5;4;0,00236045974403444;0,0017882356349903;0,00271806681180531;0,00217246102542353;"mitochondrial respiratory chain complex I, mitochondrion, mitochondrial respiratory chain complex IV, mitochondrial inner membrane";0,00037031893718465
"41";41;"O00767";"O00767";"O00767";"ACOD_HUMAN";"Acyl-CoA desaturase";"SCD";2;3;7,31871361501139e-05;1;NA;NA;2;1;NA;NA;2;0,000133145709795814;NA;NA;0,000245082650500426;"endoplasmic reticulum membrane, endoplasmic reticulum, integral component of membrane";6,94348007221219e-05
"44";44;"O14548";"O14548";"O14548";"COX7R_HUMAN";"Cytochrome c oxidase subunit 7A-related protein, mitochondrial";"COX7A2L";1;3;0,000230475279630622;1;NA;1;1;1;NA;1;1;0,000419292191374538;NA;0,000386251599572333;0,0003858976821476;"mitochondrial respiratory chain, mitochondrial inner membrane";6,94348007221219e-05
"45";45;"O14561";"O14561";"O14561";"ACPM_HUMAN";"Acyl carrier protein, mitochondrial";"NDUFAB1";4;11;0,000617555556958974;1;2;3;4;2;2;3;4;0,000612811664316632;0,000619004642881257;0,000846782352908576;0,00112800860935452;"mitochondrial membrane, mitochondrial inner membrane, mitochondrial matrix, mitochondrial respiratory chain complex I";0,000254594269314447
"47";47;"O14617";"O14617-1,O14617-2,O14617-3,O14617-4,O14617-5";"O14617-1,O14617-2,O14617-3,O14617-4,O14617-5";"AP3D1_HUMAN";"AP-3 complex subunit delta-1";"AP3D1";1;1;1,51917790563116e-06;NA;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;"endosome membrane, terminal bouton, lysosomal membrane, membrane coat, Golgi apparatus, Golgi membrane";2,31449335740406e-05
"60";60;"O14929";"O14929-1";"O14929-1";"HAT1_HUMAN";"Histone acetyltransferase type B catalytic subunit";"HAT1";8;17;0,000355338975277761;5;3;4;5;5;3;4;5;NA;NA;NA;NA;"nucleus, nucleoplasm, intracellular membrane-bounded organelle, cytoplasm, nuclear matrix";0,000393463870758691
"62";62;"O14949";"O14949";"O14949";"QCR8_HUMAN";"Cytochrome b-c1 complex subunit 8";"UQCRQ";3;6;0,000640833704338802;NA;NA;2;3;NA;NA;2;4;NA;NA;0,00107396786222551;0,00214596759828421;"respiratory chain, mitochondrion, mitochondrial inner membrane";0,000138869601444244
"68";68;"O14980";"O14980";"O14980";"XPO1_HUMAN";"Exportin-1";"XPO1";23;76;0,000621487028546439;16;18;17;20;17;18;18;23;0,00075871920343964;0,000811468271340135;0,000740045081533545;0,00094474670643418;"intracellular membrane-bounded organelle, ribonucleoprotein complex, nucleus, cytosol, nucleoplasm, kinetochore, annulate lamellae, Cajal body, cytoplasm, nucleolus, nuclear envelope, nuclear membrane";0,00175901495162709
"72";72;"O15126";"O15126-1";"O15126-1";"SCAM1_HUMAN";"Secretory carrier-associated membrane protein 1";"SCAMP1";1;4;0,000103645687881226;1;1;1;1;1;1;1;1;NA;NA;NA;NA;"recycling endosome membrane, integral component of membrane, Golgi apparatus, trans-Golgi network";9,25797342961626e-05
"77";77;"O15173";"O15173";"O15173";"PGRC2_HUMAN";"Membrane-associated progesterone receptor component 2";"PGRMC2";2;6;0,000282771464156673;1;1;2;2;1;1;2;2;0,000267933350990456;0,000216512834729767;0,000473894339206234;0,000507278695558536;"integral component of membrane";0,000138869601444244
"79";79;"O15260";"O15260-1,O15260-2";"O15260-1,O15260-2";"SURF4_HUMAN";"Surfeit locus protein 4";"SURF4";4;14;0,000227904923352213;2;2;4;4;3;3;4;4;NA;NA;NA;NA;"Golgi membrane, endoplasmic reticulum-Golgi intermediate compartment, endoplasmic reticulum membrane, endoplasmic reticulum-Golgi intermediate compartment membrane, integral component of membrane";0,000324029070036569
"81";81;"O15269";"O15269-1";"O15269-1";"SPTC1_HUMAN";"Serine palmitoyltransferase 1";"SPTLC1";3;7;0,000129611890870498;1;NA;2;3;1;NA;3;3;NA;NA;NA;NA;"integral component of membrane, endoplasmic reticulum membrane, serine C-palmitoyltransferase complex, SPOTS complex";0,000162014535018284
"82";82;"O15270";"O15270";"O15270";"SPTC2_HUMAN";"Serine palmitoyltransferase 2";"SPTLC2";1;1;1,55837377686186e-05;1;NA;NA;NA;1;NA;NA;NA;8,50521526987497e-05;NA;NA;NA;"endoplasmic reticulum membrane, serine C-palmitoyltransferase complex, mitochondrion, integral component of membrane";2,31449335740406e-05
"93";93;"O43169";"O43169";"O43169";"CYB5B_HUMAN";"Cytochrome b5 type B";"CYB5B";3;12;0,000719840599394271;2;3;2;1;3;4;3;2;0,000982177598973232;0,00132280444232159;0,000904781144203684;0,000602634736504471;"integral component of membrane, mitochondrial outer membrane";0,000277739202888488
"95";95;"O43181";"O43181";"O43181";"NDUS4_HUMAN";"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial";"NDUFS4";2;4;0,000200184242879169;2;1;1;NA;2;1;1;NA;0,000546277826476541;0,000275899212255646;0,000251615327721405;NA;"mitochondrial inner membrane, mitochondrial respiratory chain complex I, mitochondrion";9,25797342961626e-05
"97";97;"O43264";"O43264";"O43264";"ZW10_HUMAN";"Centromere/kinetochore protein zw10 homolog";"ZW10";2;4;4,49707862693896e-05;1;NA;1;2;1;NA;1;2;6,13598328840787e-05;NA;5,65246243276585e-05;0,00011294566306759;"condensed chromosome kinetochore, endoplasmic reticulum membrane, nucleus, kinetochore, kinetochore microtubule, spindle pole, cytoplasm, cytosol, endoplasmic reticulum";9,25797342961626e-05
