"";"X";"protein.acs";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5838.1.id.csv";"peptide.count.P5838.2.id.csv";"spectra.count.P5838.1.id.csv";"spectra.count.P5838.2.id.csv";"dNSAF.P5838.1.id.csv";"dNSAF.P5838.2.id.csv";"Go.Cc";"norm.sc"
"1";1;"A0AVT1";"A0AVT1-1,A0AVT1-2";"UBA6_HUMAN";"Ubiquitin-like modifier-activating enzyme 6";"UBA6";1;1;8,74874973447185e-06;1;NA;1;NA;1,74808057789216e-05;NA;"cytoplasm, cytosol";4,7614512903533e-05
"4";4;"A6NHL2";"A6NHL2-1,A6NHL2-2";"TBAL3_HUMAN";"Tubulin alpha chain-like 3";"TUBAL3";1;2;0,000132070812135094;1;1;1;1;0,000164931010577808;0,000110163029483606;"microtubule, cytoplasm";9,5229025807066e-05
"6";6;"A8MWD9";"A8MWD9,P62308";"RUXG_HUMAN, RUXGL_HUMAN";"Small nuclear ribonucleoprotein G, Small nuclear ribonucleoprotein G-like protein";"SNRPG";3;5;0,00060550557372792;3;2;3;2;0,000725913461029957;0,00048486228108245;"spliceosomal complex";0,000238072564517665
"8";8;"O00115";"O00115";"DNS2A_HUMAN";"Deoxyribonuclease-2-alpha";"DNASE2";1;1;5,11315817814688e-05;NA;1;NA;1;NA;0,000102359814895184;"extracellular vesicular exosome, intracellular, lysosome";4,7614512903533e-05
"11";11;"O00151";"O00151";"PDLI1_HUMAN";"PDZ and LIM domain protein 1";"PDLIM1";6;10;0,000559494511894492;4;5;5;5;0,000558960719739379;0,000560023303377906;"transcription factor complex, cytoskeleton, cytoplasm";0,00047614512903533
"12";12;"O00154";"O00154-1,O00154-4,O00154-6";"BACH_HUMAN";"Cytosolic acyl coenzyme A thioester hydrolase";"ACOT7";7;18;0,000290642675389402;6;7;8;10;0,000258102563921762;0,000323241520721634;"nucleus, mitochondrion, extracellular vesicular exosome, cytoplasm, cytosol, cell body, neuron projection";0,000857061232263594
"14";14;"O00182";"O00182-1,O00182-2";"LEG9_HUMAN";"Galectin-9";"LGALS9";1;1;2,59258724525757e-05;1;NA;1;NA;5,18022751533115e-05;NA;"cytoplasm, extracellular vesicular exosome";4,7614512903533e-05
"19";19;"O00233";"O00233-1,O00233-2";"PSMD9_HUMAN";"26S proteasome non-ATPase regulatory subunit 9";"PSMD9";1;2;8,2544257584434e-05;1;1;1;1;8,24655052889039e-05;8,26222721127045e-05;"cytosol, nucleus, nucleoplasm, proteasome regulatory particle";9,5229025807066e-05
"24";24;"O00418";"O00418";"EF2K_HUMAN";"Eukaryotic elongation factor 2 kinase";"EEF2K";1;2;5,07789501829759e-05;1;1;1;1;5,0730503943243e-05;5,08269425686431e-05;"cytosol, cytoplasm";9,5229025807066e-05
"28";28;"O00487";"O00487";"PSDE_HUMAN";"26S proteasome non-ATPase regulatory subunit 14";"PSMD14";5;11;0,000653164722111666;4;5;5;6;0,000593219602562115;0,00071321677475354;"proteasome complex, proteasome accessory complex, extracellular vesicular exosome, cytosol, nucleoplasm, nucleus, proteasome regulatory particle, lid subcomplex";0,000523759641938863
"29";29;"O00507";"O00507-1,O00507-2";"USP9Y_HUMAN";"Probable ubiquitin carboxyl-terminal hydrolase FAF-Y";"USP9Y";1;1;1,26077872885814e-05;0;1;0;1;NA;1,80281474375079e-05;"cytoplasm";4,7614512903533e-05
"31";31;"O00584";"O00584-1";"RNT2_HUMAN";"Ribonuclease T2";"RNASET2";2;4;0,000287615147520762;2;2;2;2;0,000287340744991025;0,000287886979392705;"extracellular vesicular exosome, lysosomal lumen, extracellular space, lysosome, endoplasmic reticulum lumen, extracellular region";0,000190458051614132
"32";32;"O00625";"O00625";"PIR_HUMAN";"Pirin";"PIR";2;3;0,00019042106318616;1;2;1;2;0,000126826259858107;0,000254134712843215;"cytoplasm, nucleus";0,000142843538710599
"33";33;"O00629";"O00629";"IMA3_HUMAN";"Importin subunit alpha-3";"KPNA4";3;5;0,000176654217287224;3;2;3;2;0,000211782813966513;0,000141456941889698;"extracellular vesicular exosome, cytosol, nucleoplasm";0,000238072564517665
"34";34;"O00764";"O00764-1,O00764-2";"PDXK_HUMAN";"Pyridoxal kinase";"PDXK";1;2;5,89979789786179e-05;1;1;1;1;5,89416912802102e-05;5,90537393626061e-05;"cytosol, extracellular vesicular exosome, cytoplasm, nucleus";9,5229025807066e-05
"38";38;"O14579";"O14579-1,O14579-2";"COPE_HUMAN";"Coatomer subunit epsilon";"COPE";3;6;0,000179292559493462;3;1;4;2;0,000238828671161371;0,00011964134208528;"nucleus, Golgi apparatus, COPI vesicle coat, cytosol";0,000285687077421198
"39";39;"O14628";"O14628-1,O14628-4,O14628-5,O14628-6,O14628-7";"ZN195_HUMAN";"Zinc finger protein 195";"ZNF195";2;3;1,75586989901387e-05;2;1;2;1;2,33892625493489e-05;1,17168627542977e-05;"nucleus";0,000142843538710599
"41";41;"O14686";"O14686-1,O14686-3";"KMT2D_HUMAN";"Histone-lysine N-methyltransferase 2D";"KMT2D";2;2;3,32443009595968e-06;2;NA;2;NA;6,64251677060703e-06;NA;"nucleus, histone methyltransferase complex";9,5229025807066e-05
"42";42;"O14737";"O14737";"PDCD5_HUMAN";"Programmed cell death protein 5";"PDCD5";5;9;0,00132533059977567;4;5;4;5;0,00117694769148324;0,00147398133449065;"cytoplasm, nucleus, extracellular vesicular exosome";0,000428530616131797
"43";43;"O14744";"O14744-1,O14744-2";"ANM5_HUMAN";"Protein arginine N-methyltransferase 5";"PRMT5";5;10;0,000144484846478248;5;5;5;5;0,000144346999053576;0,000144621402520668;"cytosol, cytoplasm, methylosome, nucleus";0,00047614512903533
"44";44;"O14773";"O14773-1,O14773-2";"TPP1_HUMAN";"Tripeptidyl-peptidase 1";"TPP1";2;4;6,53902999691964e-05;2;2;2;2;6,53279136036433e-05;6,54521018867961e-05;"lysosome, lysosomal lumen, extracellular vesicular exosome, mitochondrion, melanosome";0,000190458051614132
"45";45;"O14776";"O14776-1,O14776-2";"TCRG1_HUMAN";"Transcription elongation regulator 1";"TCERG1";5;5;4,19111326077613e-05;2;3;2;3;3,34969174488626e-05;5,0340892571402e-05;"nucleus";0,000238072564517665
"46";46;"O14787";"O14787-1,O14787-2";"TNPO2_HUMAN";"Transportin-2";"TNPO2";1;1;1,46578829760541e-05;0;1;0;1;0;2,82430927386377e-05;"cytoplasm, nucleus";4,7614512903533e-05
"47";47;"O14818";"O14818-1";"PSA7_HUMAN";"Proteasome subunit alpha type-7";"PSMA7";8;25;0,00185558159690814;7;8;13;12;0,00192796370832687;0,00178304193688385;"cytosol, proteasome core complex, alpha-subunit complex, proteasome complex, proteasome core complex, nucleoplasm, nucleus, extracellular vesicular exosome";0,00119036282258832
"50";50;"O14933";"O14933-1,O14933-2";"UB2L6_HUMAN";"Ubiquitin/ISG15-conjugating enzyme E2 L6";"UBE2L6";1;2;0,000120309604191691;1;1;1;1;0,000120194821434154;0,000120423311641393;"cytosol";9,5229025807066e-05
"51";51;"O14950";"O14950,P19105";"ML12A_HUMAN, ML12B_HUMAN";"Myosin regulatory light chain 12A, Myosin regulatory light chain 12B";"MYL12A, MYL12B";7;16;0,000858652801927873;7;7;8;8;0,000857833594375537;0,00085946433497997;"stress fiber, cytosol, Z disc, apical part of cell, myosin II complex, extracellular vesicular exosome";0,000761832206456528
"52";52;"O14974";"O14974-1,O14974-2,O14974-3,O14974-4";"MYPT1_HUMAN";"Protein phosphatase 1 regulatory subunit 12A";"PPP1R12A";4;7;3,12746568177916e-05;3;4;3;4;2,67812733195518e-05;3,57762459827827e-05;"nucleoplasm, cytoplasm, centrosome, kinetochore, actin cytoskeleton, contractile fiber, PTW/PP1 phosphatase complex";0,000333301590324731
"53";53;"O14979";"O14979-1,O14979-2,O14979-3";"HNRDL_HUMAN";"Heterogeneous nuclear ribonucleoprotein D-like";"HNRNPDL";6;16;0,000272701769501167;6;6;8;8;0,000269395664372169;0,000275803790319259;"cytoplasm, nucleus, extracellular vesicular exosome, spliceosomal complex";0,000761832206456528
"55";55;"O15042";"O15042-1,O15042-2";"SR140_HUMAN";"U2 snRNP-associated SURP motif-containing protein";"U2SURP";3;3;2,6832900060246e-05;NA;3;NA;3;NA;5,37165209362481e-05;"nucleus";0,000142843538710599
"56";56;"O15067";"O15067";"PUR4_HUMAN";"Phosphoribosylformylglycinamidine synthase";"PFAS";19;37;0,000509022921770676;17;17;18;19;0,000494793031733423;0,000523274390047129;"cytosol, extracellular vesicular exosome";0,00176173697743072
"57";57;"O15116";"O15116";"LSM1_HUMAN";"U6 snRNA-associated Sm-like protein LSm1";"LSM1";4;8;0,00110721019195963;3;3;4;4;0,00110615384537898;0,00110825664247417;"ribonucleoprotein complex, cytosol, nucleus, cytoplasm";0,000380916103228264
"60";60;"O15143";"O15143";"ARC1B_HUMAN";"Actin-related protein 2/3 complex subunit 1B";"ARPC1B";9;17;0,000841196990598358;9;7;9;8;0,000889829403843173;0,000792463083059489;"actin cytoskeleton, cytoplasm, Arp2/3 protein complex, extracellular vesicular exosome";0,000809446719360061
"64";64;"O15212";"O15212";"PFD6_HUMAN";"Prefoldin subunit 6";"PFDN6";3;3;0,000428078359100669;NA;3;NA;3;NA;0,000856965892145726;"prefoldin complex";0,000142843538710599
"66";66;"O15264";"O15264";"MK13_HUMAN";"Mitogen-activated protein kinase 13";"MAPK13";1;1;7,06036088160556e-05;1;0;1;0;0,000134354759301739;NA;"cytosol";4,7614512903533e-05
"69";69;"O15305";"O15305";"PMM2_HUMAN";"Phosphomannomutase 2";"PMM2";1;2;0,000149653410092104;1;1;1;1;0,000149510631540045;0,000149794851066123;"cytosol, extracellular vesicular exosome, neuronal cell body";9,5229025807066e-05
"70";70;"O15347";"O15347";"HMGB3_HUMAN";"High mobility group protein B3";"HMGB3";5;11;0,00101240531927308;5;4;6;5;0,00110338846076553;0,000921238334056656;"chromosome, nucleus";0,000523759641938863
"71";71;"O15355";"O15355";"PPM1G_HUMAN";"Protein phosphatase 1G";"PPM1G";6;10;0,000337131308449245;4;5;4;6;0,000269447731566675;0,000404939927057871;"nucleus, cytoplasm";0,00047614512903533
"74";74;"O15382";"O15382-1,O15382-2";"BCAT2_HUMAN";"Branched-chain-amino-acid aminotransferase, mitochondrial";"BCAT2";3;6;0,000140872725316292;3;2;4;2;0,000187651098769649;9,40039116384342e-05;"mitochondrion, mitochondrial matrix";0,000285687077421198
"76";76;"O15511";"O15511-1";"ARPC5_HUMAN";"Actin-related protein 2/3 complex subunit 5";"ARPC5";4;7;0,000853321762180804;4;2;4;3;0,000974294446592083;0,00073210993434966;"actin cytoskeleton, cytoplasm, cytosol, cell projection, Arp2/3 protein complex, extracellular vesicular exosome";0,000333301590324731
"77";77;"O43143";"O43143";"DHX15_HUMAN";"Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15";"DHX15";14;25;0,00057884809563927;12;11;13;12;0,000601427672534673;0,000556219371505905;"U12-type spliceosomal complex, nucleolus, nucleus";0,00119036282258832
"79";79;"O43175";"O43175";"SERA_HUMAN";"D-3-phosphoglycerate dehydrogenase";"PHGDH";11;23;0,000794314253565782;9;11;10;13;0,000690049068646363;0,000898769106396737;"cytosol, extracellular vesicular exosome";0,00109513379678126
