"";"X";"protein.acs";"X.1";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5838.1.id.csv";"peptide.count.P5838.2.id.csv";"peptide.count.P5839.1.id.csv";"peptide.count.P5839.2.id.csv";"spectra.count.P5838.1.id.csv";"spectra.count.P5838.2.id.csv";"spectra.count.P5839.1.id.csv";"spectra.count.P5839.2.id.csv";"dNSAF.P5838.1.id.csv";"dNSAF.P5838.2.id.csv";"dNSAF.P5839.1.id.csv";"dNSAF.P5839.2.id.csv";"Go.Cc";"norm.sc"
"1";1;"A0AVT1";"A0AVT1-1,A0AVT1-2";"A0AVT1-1,A0AVT1-2";"UBA6_HUMAN";"Ubiquitin-like modifier-activating enzyme 6";"UBA6";1;1;4,16257634313861e-06;1;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;"cytoplasm";2,31449335740406e-05
"4";4;"A6NHL2";"A6NHL2-1,A6NHL2-2";"A6NHL2-1,A6NHL2-2";"TBAL3_HUMAN";"Tubulin alpha chain-like 3";"TUBAL3";1;2;6,10926002807627e-05;1;1;0;0;1;1;0;0;NA;NA;NA;NA;"cytoplasm, microtubule";4,62898671480813e-05
"6";6;"A8MWD9";"A8MWD9,P62308";"A8MWD9,P62308";"RUXG_HUMAN, RUXGL_HUMAN";"Small nuclear ribonucleoprotein G, Small nuclear ribonucleoprotein G-like protein";"SNRPG";3;11;0,00063380701898421;3;2;3;3;3;2;3;3;0,00094340743059271;0,000635294238746553;0,000869066099037749;0,0008682697848321;"spliceosomal complex";0,000254594269314447
"8";8;"O00115";"O00115";"O00115";"DNS2A_HUMAN";"Deoxyribonuclease-2-alpha";"DNASE2";1;3;7,29838385496969e-05;NA;1;1;1;NA;1;1;1;NA;0,000134117672624272;0,000122313006531239;0,000122200932680073;"lysosome";6,94348007221219e-05
"10";10;"O00139";"O00139-1,O00139-2,O00139-3,O00139-4";"O00139-1,O00139-2,O00139-3,O00139-4";"KIF2A_HUMAN";"Kinesin-like protein KIF2A";"KIF2A";2;2;6,20259251130569e-06;NA;NA;NA;2;NA;NA;NA;2;NA;NA;NA;NA;"kinesin complex, cytosol, microtubule, centrosome, spindle pole";4,62898671480813e-05
"11";11;"O00148";"O00148";"O00148";"DX39A_HUMAN";"ATP-dependent RNA helicase DDX39A";"DDX39A";4;14;0,000499640179973007;3;4;3;3;3;5;3;3;0,000545718115588757;0,000956775326233325;0,000549978858407444;0,000592402647887006;"nucleus, cytoplasm";0,000324029070036569
"12";12;"O00151";"O00151";"O00151";"PDLI1_HUMAN";"PDZ and LIM domain protein 1";"PDLIM1";9;21;0,000559025146338104;4;5;4;6;5;5;4;7;0,000726433279889017;0,000733774500679909;0,000535351761109373;0,000936007143932476;"transcription factor complex, cytoplasm, cytoskeleton";0,000486043605054854
"16";16;"O00178";"O00178";"O00178";"GTPB1_HUMAN";"GTP-binding protein 1";"GTPBP1";2;4;5,23650859549395e-05;NA;NA;2;2;NA;NA;2;2;NA;NA;0,000131637316446176;0,000131516698848509;"cytosol, cytoplasmic exosome (RNase complex)";9,25797342961626e-05
"20";20;"O00231";"O00231-1,O00231-2";"O00231-1,O00231-2";"PSD11_HUMAN";"26S proteasome non-ATPase regulatory subunit 11";"PSMD11";11;35;0,000363189717901335;6;7;11;8;6;7;14;8;NA;NA;NA;NA;"proteasome complex, proteasome accessory complex, nucleoplasm, cytosol";0,000810072675091422
"22";22;"O00233";"O00233-1,O00233-2";"O00233-1,O00233-2";"PSMD9_HUMAN";"26S proteasome non-ATPase regulatory subunit 9";"PSMD9";2;6;0,000117821443398614;1;1;2;2;1;1;2;2;NA;NA;NA;NA;"proteasome regulatory particle, nucleus, nucleoplasm, cytosol";0,000138869601444244
"25";25;"O00303";"O00303";"O00303";"EIF3F_HUMAN";"Eukaryotic translation initiation factor 3 subunit F";"EIF3F";10;45;0,00110395722176012;6;7;9;8;8;10;13;14;0,00107113299309126;0,00135244711890023;0,00160343100998935;0,00172518963783633;"eukaryotic translation initiation factor 3 complex, eukaryotic 48S preinitiation complex, eukaryotic 43S preinitiation complex, cytosol";0,00104152201083183
"28";28;"O00418";"O00418";"O00418";"EF2K_HUMAN";"Eukaryotic elongation factor 2 kinase";"EEF2K";1;2;2,41601672440376e-05;1;1;NA;NA;1;1;NA;NA;6,59300825057894e-05;6,6596361578949e-05;NA;NA;"cytosol, cytoplasm";4,62898671480813e-05
"29";29;"O00422";"O00422";"O00422";"SAP18_HUMAN";"Histone deacetylase complex subunit SAP18";"SAP18";2;3;0,000171726678940463;NA;NA;NA;2;NA;NA;NA;3;NA;NA;NA;0,000862594818918164;"ASAP complex, cytoplasm, nucleus, histone deacetylase complex, nuclear speck";6,94348007221219e-05
"33";33;"O00487";"O00487";"O00487";"PSDE_HUMAN";"26S proteasome non-ATPase regulatory subunit 14";"PSMD14";5;21;0,000593287977887859;4;5;3;4;5;6;4;6;0,000770956609946731;0,00093449733183364;0,000568163643241883;0,000851464563190188;"proteasome accessory complex, nucleoplasm, proteasome complex, proteasome regulatory particle, lid subcomplex, cytosol";0,000486043605054854
"34";34;"O00505";"O00505";"O00505";"IMA3_HUMAN";"Importin subunit alpha-3";"KPNA3";3;3;5,04302915122666e-05;NA;NA;3;NA;NA;NA;3;NA;NA;NA;0,000253547115266291;NA;"cytosol, nucleoplasm, nuclear pore";6,94348007221219e-05
"35";35;"O00507";"O00507-1,O00507-2";"O00507-1,O00507-2";"USP9Y_HUMAN";"Probable ubiquitin carboxyl-terminal hydrolase FAF-Y";"USP9Y";1;1;8,56953094516989e-06;0;1;0;NA;0;1;0;NA;NA;NA;NA;NA;"cytoplasm";2,31449335740406e-05
"38";38;"O00625";"O00625";"O00625";"PIR_HUMAN";"Pirin";"PIR";3;10;0,00030200209055047;1;2;3;3;1;2;3;4;0,000164825206264474;0,000332981807894745;0,000455510507081855;0,000606790838135536;"nucleus, cytoplasm";0,000231449335740406
"39";39;"O00629";"O00629";"O00629";"IMA4_HUMAN";"Importin subunit alpha-4";"KPNA4";3;11;0,000184911068878311;3;2;2;2;3;2;3;3;0,000275235949040484;0,000185344960248515;0,000253547115266291;0,000253314793271553;"cytosol, nucleoplasm";0,000254594269314447
"42";42;"O14497";"O14497-1,O14497-2,O14497-3";"O14497-1,O14497-2,O14497-3";"ARI1A_HUMAN";"AT-rich interactive domain-containing protein 1A";"ARID1A";1;1;1,27761642975399e-06;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;NA;"npBAF complex, nucleus, SWI/SNF complex, nBAF complex, nuclear chromatin";2,31449335740406e-05
"43";43;"O14508";"O14508";"O14508";"SOCS2_HUMAN";"Suppressor of cytokine signaling 2";"SOCS2";1;1;4,42326294240587e-05;NA;NA;NA;1;NA;NA;NA;1;NA;NA;NA;0,00022218351396377;"cytosol, cytoplasm";2,31449335740406e-05
"46";46;"O14579";"O14579-1,O14579-2";"O14579-1,O14579-2";"COPE_HUMAN";"Coatomer subunit epsilon";"COPE";4;11;0,00015639393974935;3;1;2;3;4;2;2;3;NA;NA;NA;NA;"nucleus, cytosol, COPI vesicle coat, Golgi apparatus";0,000254594269314447
"48";48;"O14628";"O14628-1,O14628-4,O14628-5,O14628-6,O14628-7";"O14628-1,O14628-4,O14628-5,O14628-6,O14628-7";"ZN195_HUMAN";"Zinc finger protein 195";"ZNF195";2;4;1,11390278231652e-05;2;1;NA;1;2;1;NA;1;NA;NA;NA;NA;"nucleus";9,25797342961626e-05
"50";50;"O14686";"O14686-1,O14686-3";"O14686-1,O14686-3";"MLL2_HUMAN";"Histone-lysine N-methyltransferase MLL2";"MLL2";2;2;1,58173390391252e-06;2;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;"nucleus, histone methyltransferase complex";4,62898671480813e-05
"52";52;"O14744";"O14744-1,O14744-2";"O14744-1,O14744-2";"ANM5_HUMAN";"Protein arginine N-methyltransferase 5";"PRMT5";7;20;0,000137489177801627;5;5;5;5;5;5;5;5;NA;NA;NA;NA;"cytosol, nucleus, cytoplasm, methylosome";0,000462898671480813
"55";55;"O14776";"O14776-1,O14776-2";"O14776-1,O14776-2";"TCRG1_HUMAN";"Transcription elongation regulator 1";"TCERG1";7;14;5,58346305844676e-05;2;3;6;2;2;3;7;2;NA;NA;NA;NA;"nucleus";0,000324029070036569
"56";56;"O14787";"O14787-1,O14787-2";"O14787-1,O14787-2";"TNPO2_HUMAN";"Transportin-2";"TNPO2";1;1;6,91597132299246e-06;0;1;0;0;0;1;0;0;NA;NA;NA;NA;"nucleus, cytoplasm";2,31449335740406e-05
"61";61;"O14933";"O14933-1,O14933-2";"O14933-1,O14933-2";"UB2L6_HUMAN";"Ubiquitin/ISG15-conjugating enzyme E2 L6";"UBE2L6";1;2;5,72422263134878e-05;1;1;NA;NA;1;1;NA;NA;NA;NA;NA;NA;"cytosol";4,62898671480813e-05
"65";65;"O14974";"O14974-1,O14974-3,O14974-4";"O14974-1,O14974-3,O14974-4";"MYPT1_HUMAN";"Protein phosphatase 1 regulatory subunit 12A";"PPP1R12A";5;15;4,25148574075904e-05;3;4;4;4;3;4;4;4;NA;NA;NA;NA;"kinetochore, cytoplasm, contractile fiber, actin cytoskeleton, centrosome, nucleoplasm, PTW/PP1 phosphatase complex";0,00034717400361061
"67";67;"O14979";"O14979-1,O14979-2,O14979-3";"O14979-1,O14979-2,O14979-3";"HNRDL_HUMAN";"Heterogeneous nuclear ribonucleoprotein D-like";"HNRPDL";6;20;0,000184059898661402;6;6;3;1;8;8;3;1;NA;NA;NA;NA;"nucleus, spliceosomal complex, cytoplasm";0,000462898671480813
