"";"Protein.Acs";"X.1";"X";"Protein.G";"ID";"Description";"Gene";"Global.Peptide.Count";"Global.Spectra.Count";"Global.DNSAF";"Peptide.Count.P5572";"Spectra.Count.P5572";"DNSAF.P5572";"Unspecific.Spectra.Count";"Go.Cc";"norm.sc";"Go.Mf"
"1";"O00154";2;2;"O00154-1,O00154-2,O00154-3,O00154-4,O00154-6";"BACH_HUMAN";"Cytosolic acyl coenzyme A thioester hydrolase";"ACOT7";4;6;"2.45870862184113E-4";4;6;"0";0;"cell body, cytosol, neuron projection, mitochondrion, extracellular vesicular exosome";0,00134983127109111;"palmitoyl-CoA hydrolase activity, fatty-acyl-CoA binding, protein homodimerization activity, long-chain fatty acyl-CoA binding, protein binding"
"2";"O00299";4;4;"O00299";"CLIC1_HUMAN";"Chloride intracellular channel protein 1";"CLIC1";3;5;"0.00161533415681125";3;5;"0.00204536898991903";0;"brush border, mitochondrion, nuclear envelope, perinuclear region of cytoplasm, plasma membrane, blood microparticle, nuclear membrane, extracellular vesicular exosome, chloride channel complex";0,00112485939257593;"protein binding, voltage-gated chloride channel activity, chloride channel activity"
"3";"O00422";5;5;"O00422";"SAP18_HUMAN";"Histone deacetylase complex subunit SAP18";"SAP18";4;5;"0.0025444152404674";4;5;"0.00322179036974174";0;"histone deacetylase complex, ASAP complex, nuclear speck, cytoplasm, plasma membrane";0,00112485939257593;"poly(A) RNA binding, protein binding, transcription corepressor activity"
"4";"O00571";6;6;"O00571-1,O00571-2";"DDX3X_HUMAN";"ATP-dependent RNA helicase DDX3X";"DDX3X";14;20;"0.00123592211434655";14;20;"0";3;"mitochondrial outer membrane, cytoplasmic stress granule, extracellular vesicular exosome, nucleus, nuclear speck";0,00449943757030371;"ATP-dependent DNA helicase activity, ribosomal small subunit binding, DNA binding, poly(A) RNA binding, mRNA 5'-UTR binding, ATP-dependent RNA helicase activity, protein binding, transcription factor binding, ATPase activity, RNA binding, poly(A) binding, eukaryotic initiation factor 4E binding, RNA stem-loop binding, translation initiation factor binding, ATP binding"
"5";"O14737";8;8;"O14737";"PDCD5_HUMAN";"Programmed cell death protein 5";"PDCD5";5;5;"0.0031143642543321";5;5;"0.00394347141256389";0;"cytoplasm, nucleus, extracellular vesicular exosome";0,00112485939257593;"DNA binding"
"6";"O14818";9;9;"O14818-1,O14818-2";"PSA7_HUMAN";"Proteasome subunit alpha type-7";"PSMA7";2;4;"6.27896019018568E-4";2;4;"0";0;"extracellular vesicular exosome, cytosol, proteasome core complex, nucleoplasm, proteasome core complex, alpha-subunit complex";0,000899887514060742;"protein binding, threonine-type endopeptidase activity, identical protein binding"
"7";"O15143";11;11;"O15143";"ARC1B_HUMAN";"Actin-related protein 2/3 complex subunit 1B";"ARPC1B";2;2;"4.18597346012379E-4";2;2;"5.30036480183319E-4";0;"Arp2/3 protein complex, cytoplasm, extracellular vesicular exosome";0,000449943757030371;"structural constituent of cytoskeleton"
"8";"O15372";12;12;"O15372";"EIF3H_HUMAN";"Eukaryotic translation initiation factor 3 subunit H";"EIF3H";2;2;"4.42381286126719E-4";2;2;"5.60152189284644E-4";0;"cytosol, eukaryotic 48S preinitiation complex, eukaryotic 43S preinitiation complex, extracellular vesicular exosome, eukaryotic translation initiation factor 3 complex";0,000449943757030371;"poly(A) RNA binding, protein binding, translation initiation factor activity"
"9";"O43175";14;14;"O43175";"SERA_HUMAN";"D-3-phosphoglycerate dehydrogenase";"PHGDH";5;9;"0.00131469410361111";5;9;"0.00166469243494723";0;"extracellular vesicular exosome, cytosol";0,00202474690663667;"electron carrier activity, phosphoglycerate dehydrogenase activity, NAD binding"
"10";"O43707";18;18;"O43707";"ACTN4_HUMAN";"Alpha-actinin-4";"ACTN4";7;8;"8.35663051534409E-4";7;8;"0.0010581335660008";2;"platelet alpha granule lumen, protein complex, nucleus, neuron projection, Z disc, extracellular vesicular exosome, cell-cell junction, stress fiber, cortical cytoskeleton, ribonucleoprotein complex, perinuclear region of cytoplasm, pseudopodium";0,00179977502812148;"poly(A) RNA binding, nucleoside binding, protein homodimerization activity, actin filament binding, calcium ion binding, integrin binding, protein binding, actin binding"
"11";"O75348";27;27;"O75348";"VATG1_HUMAN";"V-type proton ATPase subunit G 1";"ATP6V1G1";2;2;"0.0013196458704797";2;2;"0.0016709624629508";0;"vacuolar proton-transporting V-type ATPase complex, lysosomal membrane, plasma membrane, extracellular vesicular exosome, cytosol";0,000449943757030371;"ATPase binding, hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances"
"12";"O75369";28;28;"O75369-1,O75369-2,O75369-7,O75369-8,O75369-9";"FLNB_HUMAN";"Filamin-B";"FLNB";5;6;"3.59073511260426E-5";5;6;"0";0;"extracellular vesicular exosome, cell cortex, cytosol, plasma membrane, focal adhesion, actin cytoskeleton, integral component of membrane, Z disc, stress fiber";0,00134983127109111;"identical protein binding, protein binding, poly(A) RNA binding, actin binding"
"13";"O94804";35;35;"O94804";"STK10_HUMAN";"Serine/threonine-protein kinase 10";"STK10";4;4;"3.21731844455795E-4";4;4;"4.07383410388832E-4";0;"extracellular vesicular exosome, cytoplasm, plasma membrane";0,000899887514060742;"identical protein binding, receptor signaling protein serine/threonine kinase activity, protein serine/threonine kinase activity, ATP binding, polo kinase kinase activity, protein homodimerization activity, protein binding"
"14";"O95336";38;38;"O95336";"6PGL_HUMAN";"6-phosphogluconolactonase";"PGLS";1;1;"3.01779482008924E-4";1;1;"3.82119322922858E-4";0;"cytosol, extracellular vesicular exosome";0,000224971878515186;"6-phosphogluconolactonase activity, monosaccharide binding"
"15";"O95347";39;39;"O95347-1,O95347-2";"SMC2_HUMAN";"Structural maintenance of chromosomes protein 2";"SMC2";7;8;"2.60180806544035E-4";7;8;"0";0;"extracellular vesicular exosome, cytosol, condensin complex, nuclear chromosome";0,00179977502812148;"protein binding, ATP binding, protein heterodimerization activity"
"16";"O95721";40;40;"O95721";"SNP29_HUMAN";"Synaptosomal-associated protein 29";"SNAP29";3;3;"9.05338446026773E-4";3;3;"0.00114635796876857";0;"SNARE complex, nucleus, synapse, plasma membrane, cell junction, neuron projection";0,000674915635545557;"SNAP receptor activity"
"17";"P00338";45;45;"P00338-1,P00338-3";"LDHA_HUMAN";"L-lactate dehydrogenase A chain";"LDHA";5;8;"0.00104229058043243";5;8;"0";2;"extracellular vesicular exosome, cilium, mitochondrion, cytosol";0,00179977502812148;"protein binding, L-lactate dehydrogenase activity"
"18";"P00558";47;47;"P00558";"PGK1_HUMAN";"Phosphoglycerate kinase 1";"PGK1";21;46;"0.00858877432249859";21;46;"0.0108752808739772";0;"extracellular vesicular exosome, cytosol";0,0103487064116985;"protein binding, phosphoglycerate kinase activity, ATP binding"
"19";"P01892";48;48;"P01892";"1A02_HUMAN";"HLA class I histocompatibility antigen, A-2 alpha chain";"HLA-A";2;4;"0.0026308556486367";2;4;"0.00333124297408365";10;"cell surface, early endosome membrane, integral component of lumenal side of endoplasmic reticulum membrane, ER to Golgi transport vesicle membrane, Golgi membrane, phagocytic vesicle membrane, MHC class I protein complex";0,000899887514060742;"T cell receptor binding, receptor binding, protein binding, peptide antigen binding, poly(A) RNA binding, beta-2-microglobulin binding, TAP binding"
"20";"P02786";50;50;"P02786";"TFR1_HUMAN";"Transferrin receptor protein 1";"TFRC";2;2;"2.04892385153428E-4";2;2;"2.59438908721309E-4";0;"extracellular vesicular exosome, blood microparticle, integral component of plasma membrane, endosome, external side of plasma membrane, coated pit, perinuclear region of cytoplasm, cytoplasmic membrane-bounded vesicle, melanosome";0,000449943757030371;"identical protein binding, transferrin receptor activity, poly(A) RNA binding, double-stranded RNA binding, peptidase activity, protein binding"
"21";"P04075";51;51;"P04075";"ALDOA_HUMAN";"Fructose-bisphosphate aldolase A";"ALDOA";10;17;"0.00380943299031988";10;17;"0.00482358159438414";1;"extracellular space, extracellular vesicular exosome, I band, actin cytoskeleton, cytosol, platelet alpha granule lumen";0,00382452193475816;"actin binding, protein binding, tubulin binding, fructose-bisphosphate aldolase activity, identical protein binding, fructose binding, poly(A) RNA binding, cytoskeletal protein binding"
"22";"P04259";52;52;"P04259";"K2C6B_HUMAN";"Keratin, type II cytoskeletal 6B";"KRT6B";0;0;"0";0;0;"0";2;"keratin filament, extracellular vesicular exosome";0;"structural constituent of cytoskeleton"
"23";"P04264";53;53;"P04264";"K2C1_HUMAN";"Keratin, type II cytoskeletal 1";"KRT1";7;10;"0.00153139029069125";7;10;"0.00193907755793773";3;"extracellular vesicular exosome, keratin filament, plasma membrane, cytoskeleton, membrane, blood microparticle";0,00224971878515186;"protein binding, structural molecule activity, receptor activity, carbohydrate binding"
"24";"P04350";54;54;"P04350";"TBB4A_HUMAN";"Tubulin beta-4A chain";"TUBB4A";1;2;"0.00160939994624519";1;2;"0.00203785497170782";46;"internode region of axon, plasma membrane, neuronal cell body, cilium, myelin sheath, cytosol, microtubule";0,000449943757030371;"GTPase activity, protein binding, structural constituent of cytoskeleton, GTP binding"
"25";"P04406";55;55;"P04406";"G3P_HUMAN";"Glyceraldehyde-3-phosphate dehydrogenase";"GAPDH";10;18;"0.00418347437149088";10;18;"0.00529720040493657";0;"perinuclear region of cytoplasm, extracellular vesicular exosome, lipid particle, nucleus, GAIT complex, cytosol, ribonucleoprotein complex, microtubule cytoskeleton, plasma membrane";0,00404949381327334;"glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity, NAD binding, peptidyl-cysteine S-nitrosylase activity, identical protein binding, protein binding, microtubule binding, NADP binding"
"26";"P04439";56;56;"P04439,P13746-1,P13746-2,P16188";"1A03_HUMAN, 1A11_HUMAN, 1A30_HUMAN";"HLA class I histocompatibility antigen, A-11 alpha chain, HLA class I histocompatibility antigen, A-3 alpha chain, HLA class I histocompatibility antigen, A-30 alpha chain";"HLA-A";0;0;"0";0;0;"0";8;"MHC class I protein complex, integral component of lumenal side of endoplasmic reticulum membrane, phagocytic vesicle membrane, early endosome membrane, integral component of plasma membrane, ER to Golgi transport vesicle membrane, Golgi membrane";0;"TAP binding, receptor binding, beta-2-microglobulin binding, peptide antigen binding"
"27";"P04792";57;57;"P04792";"HSPB1_HUMAN";"Heat shock protein beta-1";"HSPB1";7;9;"0.00341820466938889";7;9;"0.00432820033086281";0;"spindle, Z disc, extracellular vesicular exosome, cytoskeleton, proteasome complex, cytosol, nucleus, plasma membrane, extracellular space";0,00202474690663667;"poly(A) RNA binding, protein kinase C binding, ubiquitin binding, identical protein binding, protein kinase C inhibitor activity, protein binding, protein kinase binding"
"28";"P04908";59;59;"P04908,Q7L7L0,Q93077";"H2A1B_HUMAN, H2A1C_HUMAN, H2A3_HUMAN";"Histone H2A type 1-B/E, Histone H2A type 1-C, Histone H2A type 3";"HIST1H2AB,HIST1H2AE, HIST1H2AC, HIST3H2A";1;3;"0.00253936082304128";1;3;"0.00321539036351275";37;"nucleus, nucleosome, extracellular vesicular exosome";0,000674915635545557;"DNA binding"
"29";"P05141";61;61;"P05141";"ADT2_HUMAN";"ADP/ATP translocase 2";"SLC25A5";9;14;"0.00365781036582629";9;14;"0.00463159394093075";0;"MMXD complex, mitochondrial nucleoid, integral component of plasma membrane, mitochondrial inner membrane";0,0031496062992126;"protein binding, poly(A) RNA binding, adenine transmembrane transporter activity"
