"";"accession";"name";"go_name"
"1";"P31946";"1433B_HUMAN";"C:melanosome, P:MAPK cascade, C:perinuclear region of cytoplasm, P:epidermal growth factor receptor signaling pathway, P:fibroblast growth factor receptor signaling pathway, P:positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway, P:insulin receptor signaling pathway, P:innate immune response, C:extracellular vesicular exosome, P:negative regulation of protein dephosphorylation, C:cytosol, C:cytoplasmic vesicle membrane, P:gene expression, P:cytoplasmic sequestering of protein, C:transcriptional repressor complex, P:mRNA metabolic process, P:neurotrophin TRK receptor signaling pathway, P:Fc-epsilon receptor signaling pathway, P:hippo signaling, P:Ras protein signal transduction, P:negative regulation of transcription, DNA-templated, F:transcription corepressor activity, P:protein heterooligomerization, P:activation of MAPKK activity, P:axon guidance, P:intrinsic apoptotic signaling pathway, P:protein targeting"
"2";"P62258";"1433E_HUMAN";"C:mitochondrion, P:hippocampus development, F:potassium channel regulator activity, P:regulation of potassium ion transmembrane transporter activity, P:regulation of membrane repolarization, P:negative regulation of peptidyl-serine dephosphorylation, P:intrinsic apoptotic signaling pathway, P:membrane repolarization during cardiac muscle cell action potential, P:protein targeting, P:substantia nigra development, P:neuron migration, C:cytosol, P:regulation of cysteine-type endopeptidase activity involved in apoptotic process, P:neurotrophin TRK receptor signaling pathway, P:viral process, F:MHC class II protein complex binding, C:extracellular vesicular exosome, C:kinesin complex, P:regulation of heart rate by hormone, C:cytoplasmic vesicle membrane, P:hippo signaling, C:melanosome, P:regulation of heart rate by cardiac conduction, P:G2/M transition of mitotic cell cycle, P:cerebral cortex development, P:positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway"
"3";"P61981";"1433G_HUMAN";"C:extracellular vesicular exosome, P:intrinsic apoptotic signaling pathway, F:protein kinase C inhibitor activity, P:regulation of synaptic plasticity, C:cytosol, P:G2/M transition of mitotic cell cycle, P:positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway, P:regulation of neuron differentiation, P:cellular response to insulin stimulus, P:protein targeting, C:cytoplasmic vesicle membrane"
"4";"P31947";"1433S_HUMAN";"P:positive regulation of cell growth, C:extracellular space, P:keratinocyte proliferation, C:cytoplasmic vesicle membrane, C:cytosol, F:protein kinase C inhibitor activity, C:nucleus, P:negative regulation of cysteine-type endopeptidase activity involved in apoptotic process, P:positive regulation of protein export from nucleus, P:intrinsic apoptotic signaling pathway in response to DNA damage, C:extracellular vesicular exosome, P:keratinocyte differentiation, P:release of cytochrome c from mitochondria, P:negative regulation of cell proliferation, P:positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway, P:regulation of cyclin-dependent protein serine/threonine kinase activity"
"5";"P27348";"1433T_HUMAN";"C:cytosol, P:positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway, P:small GTPase mediated signal transduction, C:protein complex, C:extracellular vesicular exosome, P:intrinsic apoptotic signaling pathway, C:cytoplasmic vesicle membrane, P:protein targeting, P:substantia nigra development, P:negative regulation of transcription, DNA-templated"
"6";"P63104";"1433Z_HUMAN";"C:cytosol, C:blood microparticle, P:platelet activation, C:protein complex, C:mast cell granule, C:perinuclear region of cytoplasm, C:postsynaptic density, P:positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway, C:melanosome, C:nucleoplasm, C:mitochondrion, P:histamine secretion by mast cell, P:intrinsic apoptotic signaling pathway, P:mRNA metabolic process, P:gene expression, C:cell leading edge, C:extracellular vesicular exosome, P:negative regulation of apoptotic process, P:protein targeting to mitochondrion, C:cytoplasmic vesicle membrane"
"7";"P01892";"1A02_HUMAN";"P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, C:cell surface, C:early endosome membrane, F:TAP binding, P:interferon-gamma-mediated signaling pathway, P:positive regulation of memory T cell activation, C:integral component of lumenal side of endoplasmic reticulum membrane, P:viral process, P:positive regulation of interferon-gamma production, F:peptide antigen binding, P:regulation of defense response to virus by virus, C:ER to Golgi transport vesicle membrane, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, P:positive regulation of T cell mediated cytotoxicity, C:Golgi membrane, P:antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent, C:phagocytic vesicle membrane, P:type I interferon signaling pathway, C:MHC class I protein complex"
"8";"P04439";"1A03_HUMAN";"C:MHC class I protein complex, P:viral process, P:positive regulation of T cell mediated cytotoxicity, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, C:integral component of lumenal side of endoplasmic reticulum membrane, C:phagocytic vesicle membrane, C:early endosome membrane, F:peptide antigen binding, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, P:interferon-gamma-mediated signaling pathway, C:integral component of plasma membrane, C:ER to Golgi transport vesicle membrane, F:receptor binding, F:TAP binding, P:type I interferon signaling pathway, P:regulation of immune response, C:Golgi membrane"
"9";"P05534";"1A24_HUMAN";"C:plasma membrane, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, C:ER to Golgi transport vesicle membrane, P:positive regulation of T cell mediated cytotoxicity, C:Golgi membrane, P:regulation of immune response, C:MHC class I protein complex, C:integral component of lumenal side of endoplasmic reticulum membrane, C:extracellular vesicular exosome, P:type I interferon signaling pathway, C:early endosome membrane, F:TAP binding, C:phagocytic vesicle membrane, P:viral process, F:peptide antigen binding, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, P:interferon-gamma-mediated signaling pathway"
"10";"P16188";"1A30_HUMAN";"P:positive regulation of T cell mediated cytotoxicity, C:extracellular vesicular exosome, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, P:regulation of immune response, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, C:integral component of lumenal side of endoplasmic reticulum membrane, C:phagocytic vesicle membrane, P:interferon-gamma-mediated signaling pathway, C:early endosome membrane, C:Golgi membrane, P:viral process, C:integral component of plasma membrane, F:TAP binding, F:peptide antigen binding, C:ER to Golgi transport vesicle membrane, C:MHC class I protein complex, P:type I interferon signaling pathway"
