"protein.g"	"protein.acs"	"ID"	"Description"	"Gene"	"global.peptide.count"	"global.spectra.count"	"global.dNSAF"	"peptide.count.P5571"	"spectra.count.P5571"	"dNSAF.P5571"	"unspecific.spectra.count"	"go.bp"	"go.cc"	"go.f"
"P20700"	"P20700"	"LMNB1_HUMAN"	"Lamin-B1"	"LMNB1"	25	47	0.0132417233376266	25	47	0.016437783387324	0	"cellular component disassembly involved in execution phase of apoptosis"	"lamin filament;nucleoplasm;nuclear envelope;nuclear inner membrane"	"structural molecule activity"
"P26038"	"P26038"	"MOES_HUMAN"	"Moesin"	"MSN"	23	46	0.0152267817173652	23	46	0.0189019611099183	8	"leukocyte migration;membrane to membrane docking;leukocyte cell-cell adhesion;regulation of lymphocyte migration"	"apical part of cell;extracellular vesicular exosome;cytoplasm;filopodium;microvillus;basolateral plasma membrane;microvillus membrane;nucleolus;extrinsic to membrane;plasma membrane;cytoskeleton;apical plasma membrane;uropod"	"structural constituent of cytoskeleton"
"P11021"	"P11021"	"GRP78_HUMAN"	"78 kDa glucose-regulated protein"	"HSPA5"	19	34	0.00907794175085742	19	34	0.0112690196206807	5	"negative regulation of transforming growth factor beta receptor signaling pathway;ER overload response;platelet activation;cellular response to glucose starvation;ER-associated protein catabolic process;cellular response to interleukin-4;cerebellum structural organization;negative regulation of apoptotic process;regulation of protein folding in endoplasmic reticulum;positive regulation of protein ubiquitination;cerebellar Purkinje cell layer development;activation of signaling protein activity involved in unfolded protein response;platelet degranulation"	"melanosome;endoplasmic reticulum lumen;cell surface;endoplasmic reticulum-Golgi intermediate compartment;endoplasmic reticulum chaperone complex;midbody;integral to endoplasmic reticulum membrane;nucleus"	"unfolded protein binding;ribosome binding;ATPase activity;misfolded protein binding;ATP binding;calcium ion binding;chaperone binding;protein binding"
"P52272-1,P52272-2"	"P52272-[1,2]"	"HNRPM_HUMAN"	"Heterogeneous nuclear ribonucleoprotein M"	"HNRNPM"	19	35	0.00395785114623609	19	35	0	0	"alternative mRNA splicing"	"catalytic step 2 spliceosome;integral to plasma membrane;nuclear matrix;paraspeckles"	"nucleotide binding;RNA binding"
"P10809"	"P10809"	"CH60_HUMAN"	"60 kDa heat shock protein, mitochondrial"	"HSPD1"	16	36	0.0103727078656778	16	36	0.0128762941717347	0	"positive regulation of T cell mediated immune response to tumor cell;positive regulation of interferon-alpha production;positive regulation of interleukin-6 production;positive regulation of T cell activation;protein maturation;modulation by virus of host morphology or physiology;protein refolding;MyD88-dependent toll-like receptor signaling pathway;protein stabilization;T cell activation;isotype switching to IgG isotypes;positive regulation of interleukin-12 production;positive regulation of macrophage activation;B cell proliferation;positive regulation of apoptotic process;chaperone-mediated protein complex assembly;response to unfolded protein;activation of cysteine-type endopeptidase activity involved in apoptotic process;positive regulation of interleukin-10 production;'de novo' protein folding;positive regulation of interferon-gamma production;B cell cytokine production;negative regulation of apoptotic process"	"secretory granule;cell surface;coated vesicle;extracellular space;mitochondrial matrix;mitochondrial inner membrane;coated pit;early endosome;lipopolysaccharide receptor complex;plasma membrane;cytosol"	"lipopolysaccharide binding;ATP binding;DNA replication origin binding;ATPase activity;single-stranded DNA binding;unfolded protein binding"
"Q99623"	"Q99623"	"PHB2_HUMAN"	"Prohibitin-2"	"PHB2"	14	30	0.0165651103874955	14	30	0.0205633125986733	0	"regulation of branching involved in mammary gland duct morphogenesis;negative regulation of transcription;negative regulation of intracellular estrogen receptor signaling pathway;negative regulation of mammary gland epithelial cell proliferation;transcription;mammary gland alveolus development;mammary gland branching involved in thelarche"	"mitochondrial inner membrane;nucleus"	"estrogen receptor binding"
"P08670"	"P08670"	"VIME_HUMAN"	"Vimentin"	"VIM"	16	28	0.0102507778471328	16	28	0.012724934776726	1	"astrocyte development;modulation by virus of host morphology or physiology;intermediate filament organization;muscle filament sliding;Bergmann glial cell differentiation;cellular component disassembly involved in execution phase of apoptosis;negative regulation of neuron projection development;lens fiber cell development"	"cell leading edge;cell projection;extracellular vesicular exosome;cytosol;peroxisome;intermediate filament"	"structural constituent of eye lens;structural constituent of cytoskeleton"
"P19338"	"P19338"	"NUCL_HUMAN"	"Nucleolin"	"NCL"	13	20	0.0046506741839072	13	20	0.00577317414742095	0	"angiogenesis"	"nucleoplasm;nucleolus;cell cortex;ribonucleoprotein complex"	"telomeric DNA binding;RNA binding;nucleotide binding"
"P25705"	"P25705"	"ATPA_HUMAN"	"ATP synthase subunit alpha, mitochondrial"	"ATP5A1"	13	21	0.00626957975425464	13	21	0.00778282337595356	0	"lipid metabolic process;respiratory electron transport chain;ATP hydrolysis coupled proton transport;mitochondrial ATP synthesis coupled proton transport;negative regulation of endothelial cell proliferation;embryo development"	"mitochondrial proton-transporting ATP synthase complex;mitochondrial matrix;plasma membrane;proton-transporting ATP synthase complex"	"proton-transporting ATP synthase activity;MHC class I protein binding;proton-transporting ATPase activity;ATP binding"
"P35232"	"P35232"	"PHB_HUMAN"	"Prohibitin"	"PHB"	12	25	0.0151745343316825	12	25	0.0188371031464562	0	"cellular response to interleukin-6;negative regulation of transcription by competitive promoter binding;positive regulation of transcription;negative regulation of cell growth;DNA biosynthetic process;histone deacetylation;progesterone receptor signaling pathway;negative regulation of androgen receptor signaling pathway;regulation of apoptotic process;negative regulation of glucocorticoid receptor signaling pathway;DNA replication;negative regulation of cell proliferation;negative regulation of transcription from RNA polymerase II promoter"	"integral to plasma membrane;mitochondrial inner membrane;nucleoplasm"	"sequence-specific DNA binding RNA polymerase II transcription factor activity;transcription regulatory region DNA binding"
