"";"AC";"db2goCC";"Florian.GoCC"
"1";"O00182";"extracellular region, cytoplasm";"extracellular region;cytoplasm"
"2";"O00571";"mitochondrial outer membrane, cytoplasmic stress granule, extracellular vesicular exosome, nucleus, nuclear speck";"cytoplasmic stress granule;nuclear speck;nucleus;mitochondrial outer membrane"
"3";"O14974";"PTW/PP1 phosphatase complex, kinetochore, nucleoplasm, contractile fiber, centrosome";"nucleoplasm;contractile fiber;PTW/PP1 phosphatase complex;kinetochore;centrosome"
"4";"O43175";"extracellular vesicular exosome, cytosol";"cytosol"
"5";"O43390";"nucleoplasm, cytoplasm, catalytic step 2 spliceosome";"nucleoplasm;cytoplasm;catalytic step 2 spliceosome"
"6";"O60506";"catalytic step 2 spliceosome, CRD-mediated mRNA stability complex, nucleoplasm, GAIT complex, histone pre-mRNA 3'end processing complex, endoplasmic reticulum";"nucleoplasm;catalytic step 2 spliceosome;histone pre-mRNA 3'end processing complex;CRD-mediated mRNA stability complex;endoplasmic reticulum"
"7";"O60814";"nucleus, nucleosome";"nucleus;nucleosome"
"8";"O60869";"nucleus, cytoplasm, nucleolus";"cytoplasm;nucleolus;nucleus"
"11";"O75947";"mitochondrial proton-transporting ATP synthase complex, mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)";"mitochondrial proton-transporting ATP synthase complex;mitochondrial proton-transporting ATP synthase complex"
"13";"O95831";"perinuclear region of cytoplasm, mitochondrial inner membrane, nucleus, cytosol, mitochondrial intermembrane space";"mitochondrial intermembrane space;mitochondrial inner membrane;perinuclear region of cytoplasm;cytosol;nucleus"
"14";"P00367";"mitochondrial matrix";"mitochondrial matrix;mitochondrion"
"15";"P00558";"extracellular vesicular exosome, cytosol";"cytosol"
"16";"P01892";"cell surface, early endosome membrane, integral component of lumenal side of endoplasmic reticulum membrane, ER to Golgi transport vesicle membrane, Golgi membrane, phagocytic vesicle membrane, MHC class I protein complex";"Golgi membrane;early endosome membrane;plasma membrane;phagocytic vesicle membrane;integral to lumenal side of endoplasmic reticulum membrane;ER to Golgi transport vesicle membrane;MHC class I protein complex"
"17";"P02533";"keratin filament, cell periphery, cytosol, extracellular vesicular exosome, nucleus";"cell periphery;nucleus;cytosol;keratin filament"
"18";"P02545";"nuclear envelope, nucleoplasm, cytosol, lamin filament, nuclear speck, perinuclear region of cytoplasm";"cytosol;lamin filament;perinuclear region of cytoplasm;nucleoplasm;nuclear envelope"
"19";"P04075";"extracellular space, extracellular vesicular exosome, I band, actin cytoskeleton, cytosol, platelet alpha granule lumen";"extracellular vesicular exosome;actin cytoskeleton;platelet alpha granule lumen;I band;cytosol"
"20";"P04259";"keratin filament, extracellular vesicular exosome";"keratin filament"
"21";"P04264";"extracellular vesicular exosome, keratin filament, plasma membrane, cytoskeleton, membrane, blood microparticle";"cytoskeleton;plasma membrane;membrane;keratin filament"
"22";"P04406";"perinuclear region of cytoplasm, extracellular vesicular exosome, lipid particle, nucleus, GAIT complex, cytosol, ribonucleoprotein complex, microtubule cytoskeleton, plasma membrane";"cytosol;extracellular vesicular exosome;ribonucleoprotein complex;perinuclear region of cytoplasm;lipid particle;nucleus;plasma membrane;microtubule cytoskeleton"
"23";"P04908";"nucleus, nucleosome, extracellular vesicular exosome";"nucleosome;nucleus"
"24";"P05114";"chromatin, nucleus, cytoplasm";"cytoplasm;nucleus;chromatin"
"25";"P05204";"cytoplasm, nucleus, chromatin";"chromatin;cytoplasm;nucleus"
"26";"P05387";"extracellular vesicular exosome, cytosolic large ribosomal subunit";"cytosolic large ribosomal subunit"
"27";"P05787";"intermediate filament, nucleoplasm, keratin filament, Z disc, cytoplasm, nuclear matrix, sarcolemma, extracellular vesicular exosome, costamere, dystrophin-associated glycoprotein complex";"Z disc;intermediate filament;nucleoplasm;costamere;cytoplasm;sarcolemma;dystrophin-associated glycoprotein complex;keratin filament;nuclear matrix"
"28";"P06454";"cytoplasm, nucleus";"cytoplasm;nucleus"
"29";"P06576";"mitochondrial nucleoid, cell surface, mitochondrial proton-transporting ATP synthase, catalytic core, extracellular vesicular exosome, plasma membrane";"cell surface;mitochondrial proton-transporting ATP synthase;plasma membrane;mitochondrial nucleoid"
"30";"P06733";"M band, cytosol, phosphopyruvate hydratase complex, plasma membrane, nucleus, extracellular vesicular exosome, extracellular space";"nucleus;cytosol;extracellular vesicular exosome;M band;phosphopyruvate hydratase complex;plasma membrane"
"31";"P06748";"spindle pole centrosome, ribonucleoprotein complex, cytosol, nucleolus, nucleoplasm";"nucleoplasm;ribonucleoprotein complex;cytosol;spindle pole centrosome;nucleolus"
"32";"P06753";"cytosol, stress fiber, extracellular vesicular exosome, muscle thin filament tropomyosin";"cortical cytoskeleton;muscle thin filament tropomyosin;filamentous actin;podosome;cleavage furrow;cytosol;growth cone;stress fiber"
"33";"P07195";"extracellular vesicular exosome, cytosol, mitochondrion";"mitochondrion;cytosol"
"34";"P07237";"procollagen-proline 4-dioxygenase complex, plasma membrane, melanosome, endoplasmic reticulum-Golgi intermediate compartment, endoplasmic reticulum lumen, extracellular vesicular exosome";"endoplasmic reticulum lumen;plasma membrane;cell surface;extracellular region;melanosome;endoplasmic reticulum-Golgi intermediate compartment"
"35";"P07437";"extracellular vesicular exosome, cytosol, cell body, plasma membrane, microtubule, nuclear envelope lumen";"nuclear envelope lumen;microtubule;extracellular vesicular exosome;cell body;plasma membrane;cytosol"
"36";"P07900";"extracellular vesicular exosome, mitochondrion, apical plasma membrane, basolateral plasma membrane, neuron projection, cell surface, extracellular matrix, perinuclear region of cytoplasm, neuronal cell body, brush border membrane, cytosol, protein complex, endocytic vesicle lumen, melanosome, plasma membrane";"apical plasma membrane;melanosome;extracellular region;brush border membrane;endocytic vesicle lumen;plasma membrane;basolateral plasma membrane;cell surface;neuron projection;protein complex;neuronal cell body;perinuclear region of cytoplasm;extracellular matrix;cytosol"
"37";"P07910";"catalytic step 2 spliceosome, nucleoplasm, extracellular vesicular exosome";"nucleoplasm;pronucleus;catalytic step 2 spliceosome"
"38";"P07954";"tricarboxylic acid cycle enzyme complex, extracellular vesicular exosome, mitochondrial matrix";"tricarboxylic acid cycle enzyme complex;mitochondrial matrix"
"39";"P08107";"blood microparticle, mitochondrion, ribonucleoprotein complex, perinuclear region of cytoplasm, endoplasmic reticulum, extracellular vesicular exosome, aggresome, cytosol, nuclear speck";"nuclear speck;endoplasmic reticulum;cytosol;mitochondrion;aggresome;ribonucleoprotein complex;perinuclear region of cytoplasm"
"40";"P08238";"basolateral plasma membrane, extracellular vesicular exosome, brush border membrane, apical plasma membrane, mitochondrion, melanosome, cell surface, cytosol, inclusion body";"mitochondrion;melanosome;cytosol;apical plasma membrane;brush border membrane;basolateral plasma membrane;cell surface;inclusion body"
"41";"P08579";"nucleoplasm, catalytic step 2 spliceosome, U2 snRNP";"U2 snRNP;catalytic step 2 spliceosome;nucleoplasm"
"42";"P08670";"cell projection, peroxisome, cytosol, extracellular vesicular exosome, intermediate filament, cell leading edge";"cell leading edge;cell projection;extracellular vesicular exosome;cytosol;peroxisome;intermediate filament"
"43";"P08779";"intermediate filament, extracellular vesicular exosome";"intermediate filament"
"44";"P09429";"nucleoplasm, condensed chromosome, cell surface, extracellular space";"condensed chromosome;cell surface;nucleoplasm;extracellular space"
"45";"P09651";"extracellular vesicular exosome, intermediate filament cytoskeleton, nucleolus, catalytic step 2 spliceosome, cytoplasm, nucleoplasm";"nucleoplasm;cytoplasm;nucleolus;intermediate filament cytoskeleton;catalytic step 2 spliceosome"
"46";"P09661";"catalytic step 2 spliceosome, U2 snRNP, nucleoplasm";"catalytic step 2 spliceosome;U2 snRNP;nucleoplasm"
"47";"P0C0S5";"nucleosome, nucleus";"nucleosome;nucleus"
"48";"P0C0S8";"extracellular vesicular exosome, nucleosome, nucleus";"nucleus;nucleosome"
"49";"P0C7P4";"mitochondrion, membrane";"membrane;mitochondrion;mitochondrial respiratory chain complex III;integral to membrane"
"50";"P0CG47";"cytosol, nucleoplasm, endocytic vesicle membrane, endosome membrane, plasma membrane";"endosome membrane;cytosol;endocytic vesicle membrane;nucleoplasm;plasma membrane;cytosolic small ribosomal subunit;cytosolic large ribosomal subunit;ribosome"
