"protein.g"	"protein.acs"	"ID"	"Description"	"Gene"	"global.peptide.count"	"global.spectra.count"	"global.dNSAF"	"peptide.count.P5572"	"spectra.count.P5572"	"dNSAF.P5572"	"unspecific.spectra.count"	"go.bp"	"go.cc"	"go.f"
"P26038"	"P26038"	"MOES_HUMAN"	"Moesin"	"MSN"	38	105	0.0178046237910813	38	105	0.0225445770622106	29	"leukocyte migration;membrane to membrane docking;leukocyte cell-cell adhesion;regulation of lymphocyte migration"	"apical part of cell;extracellular vesicular exosome;cytoplasm;filopodium;microvillus;basolateral plasma membrane;microvillus membrane;nucleolus;extrinsic to membrane;plasma membrane;cytoskeleton;apical plasma membrane;uropod"	"structural constituent of cytoskeleton"
"P52272-1,P52272-2"	"P52272-[1,2]"	"HNRPM_HUMAN"	"Heterogeneous nuclear ribonucleoprotein M"	"HNRNPM"	36	68	0.00362631454271546	36	68	0	0	"alternative mRNA splicing"	"catalytic step 2 spliceosome;integral to plasma membrane;nuclear matrix;paraspeckles"	"nucleotide binding;RNA binding"
"P25705"	"P25705"	"ATPA_HUMAN"	"ATP synthase subunit alpha, mitochondrial"	"ATP5A1"	33	78	0.0109819354357099	33	78	0.0139055501889685	0	"lipid metabolic process;respiratory electron transport chain;ATP hydrolysis coupled proton transport;mitochondrial ATP synthesis coupled proton transport;negative regulation of endothelial cell proliferation;embryo development"	"mitochondrial proton-transporting ATP synthase complex;mitochondrial matrix;plasma membrane;proton-transporting ATP synthase complex"	"proton-transporting ATP synthase activity;MHC class I protein binding;proton-transporting ATPase activity;ATP binding"
"P10809"	"P10809"	"CH60_HUMAN"	"60 kDa heat shock protein, mitochondrial"	"HSPD1"	27	51	0.00692986810518923	27	51	0.00877474005413431	0	"positive regulation of T cell mediated immune response to tumor cell;positive regulation of interferon-alpha production;positive regulation of interleukin-6 production;positive regulation of T cell activation;protein maturation;modulation by virus of host morphology or physiology;protein refolding;MyD88-dependent toll-like receptor signaling pathway;protein stabilization;T cell activation;isotype switching to IgG isotypes;positive regulation of interleukin-12 production;positive regulation of macrophage activation;B cell proliferation;positive regulation of apoptotic process;chaperone-mediated protein complex assembly;response to unfolded protein;activation of cysteine-type endopeptidase activity involved in apoptotic process;positive regulation of interleukin-10 production;'de novo' protein folding;positive regulation of interferon-gamma production;B cell cytokine production;negative regulation of apoptotic process"	"secretory granule;cell surface;coated vesicle;extracellular space;mitochondrial matrix;mitochondrial inner membrane;coated pit;early endosome;lipopolysaccharide receptor complex;plasma membrane;cytosol"	"lipopolysaccharide binding;ATP binding;DNA replication origin binding;ATPase activity;single-stranded DNA binding;unfolded protein binding"
"Q9Y490"	"Q9Y490"	"TLN1_HUMAN"	"Talin-1"	"TLN1"	31	45	0.00137885076195341	31	45	0.00174592890166642	0	"cortical actin cytoskeleton organization;axon guidance;cellular protein metabolic process;cell-substrate junction assembly;muscle contraction;cell-cell junction assembly;platelet activation;platelet degranulation;cell adhesion;cytoskeletal anchoring at plasma membrane;activation of signaling protein activity involved in unfolded protein response"	"cell surface;cell-cell junction;ruffle membrane;focal adhesion;plasma membrane;actin cytoskeleton;cytosol;ruffle;extracellular vesicular exosome;intracellular membrane-bounded organelle;centrosome"	"structural constituent of cytoskeleton"
"P11021"	"P11021"	"GRP78_HUMAN"	"78 kDa glucose-regulated protein"	"HSPA5"	26	53	0.00658420514787931	26	53	0.0083370545815253	6	"negative regulation of transforming growth factor beta receptor signaling pathway;ER overload response;platelet activation;cellular response to glucose starvation;ER-associated protein catabolic process;cellular response to interleukin-4;cerebellum structural organization;negative regulation of apoptotic process;regulation of protein folding in endoplasmic reticulum;positive regulation of protein ubiquitination;cerebellar Purkinje cell layer development;activation of signaling protein activity involved in unfolded protein response;platelet degranulation"	"melanosome;endoplasmic reticulum lumen;cell surface;endoplasmic reticulum-Golgi intermediate compartment;endoplasmic reticulum chaperone complex;midbody;integral to endoplasmic reticulum membrane;nucleus"	"unfolded protein binding;ribosome binding;ATPase activity;misfolded protein binding;ATP binding;calcium ion binding;chaperone binding;protein binding"
"P08670"	"P08670"	"VIME_HUMAN"	"Vimentin"	"VIM"	28	46	0.00768566285940325	28	46	0.0097317427563272	0	"astrocyte development;modulation by virus of host morphology or physiology;intermediate filament organization;muscle filament sliding;Bergmann glial cell differentiation;cellular component disassembly involved in execution phase of apoptosis;negative regulation of neuron projection development;lens fiber cell development"	"cell leading edge;cell projection;extracellular vesicular exosome;cytosol;peroxisome;intermediate filament"	"structural constituent of eye lens;structural constituent of cytoskeleton"
"P20700"	"P20700"	"LMNB1_HUMAN"	"Lamin-B1"	"LMNB1"	24	43	0.00614133923256435	24	43	0.00777628874489775	6	"cellular component disassembly involved in execution phase of apoptosis"	"lamin filament;nucleoplasm;nuclear envelope;nuclear inner membrane"	"structural molecule activity"
"P49327"	"P49327"	"FAS_HUMAN"	"Fatty acid synthase"	"FASN"	23	34	0.00105424516773488	23	34	0.00133490669083206	0	"long-chain fatty-acyl-CoA biosynthetic process;fatty acid biosynthetic process;triglyceride biosynthetic process;energy reserve metabolic process;positive regulation of cellular metabolic process;pantothenate metabolic process;acetyl-CoA metabolic process;cellular response to interleukin-4;fatty acid metabolic process"	"melanosome;plasma membrane;mitochondrion;Golgi apparatus;glycogen granule;cytosol"	"enoyl-[acyl-carrier-protein] reductase (NADPH;enoyl-[acyl-carrier-protein] reductase (NADPH;drug binding;NADPH binding;oleoyl-[acyl-carrier-protein] hydrolase activity;3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity;[acyl-carrier-protein] S-malonyltransferase activity;palmitoyl-[acyl-carrier-protein] hydrolase activity;[acyl-carrier-protein] S-acetyltransferase activity;3-hydroxyoctanoyl-[acyl-carrier-protein] dehydratase activity;myristoyl-[acyl-carrier-protein] hydrolase activity;3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase activity;zinc ion binding;fatty acid synthase activity;3-oxoacyl-[acyl-carrier-protein] synthase activity"
"Q03252"	"Q03252"	"LMNB2_HUMAN"	"Lamin-B2"	"LMNB2"	23	34	0.0047426373205276	23	34	0.00600522391292026	6	""	"intermediate filament;nuclear lamina;nuclear inner membrane"	"structural molecule activity"
"P06576"	"P06576"	"ATPB_HUMAN"	"ATP synthase subunit beta, mitochondrial"	"ATP5B"	20	50	0.00735908377677717	20	50	0.00931822167430031	0	"mitochondrial ATP synthesis coupled proton transport;regulation of intracellular pH;ATP hydrolysis coupled proton transport;respiratory electron transport chain;angiogenesis;negative regulation of cell adhesion involved in substrate-bound cell migration;lipid metabolic process"	"cell surface;mitochondrial proton-transporting ATP synthase;plasma membrane;mitochondrial nucleoid"	"proton-transporting ATP synthase activity;proton-transporting ATPase activity;ATP binding;MHC class I protein binding"
"Q99623"	"Q99623"	"PHB2_HUMAN"	"Prohibitin-2"	"PHB2"	20	40	0.0104159339609769	20	40	0.0131888676005481	0	"regulation of branching involved in mammary gland duct morphogenesis;negative regulation of transcription;negative regulation of intracellular estrogen receptor signaling pathway;negative regulation of mammary gland epithelial cell proliferation;transcription;mammary gland alveolus development;mammary gland branching involved in thelarche"	"mitochondrial inner membrane;nucleus"	"estrogen receptor binding"
"P13639"	"P13639"	"EF2_HUMAN"	"Elongation factor 2"	"EEF2"	18	33	0.00299458101378086	18	33	0.00379179943515759	0	"translational elongation"	"cytosol;ribonucleoprotein complex;polysome"	"GTP binding;translation elongation factor activity;GTPase activity"
"P00558"	"P00558"	"PGK1_HUMAN"	"Phosphoglycerate kinase 1"	"PGK1"	21	46	0.00858877432249859	21	46	0.0108752808739772	0	"glycolysis;small molecule metabolic process;gluconeogenesis"	"cytosol"	"ATP binding;phosphoglycerate kinase activity"
"P30101"	"P30101"	"PDIA3_HUMAN"	"Protein disulfide-isomerase A3"	"PDIA3"	17	24	0.0037002347576223	17	24	0.00468531256938284	0	"post-translational protein modification;protein import into nucleus;cell redox homeostasis;protein N-linked glycosylation via asparagine;glycerol ether metabolic process;antigen processing and presentation of exogenous peptide antigen via MHC class I;positive regulation of apoptotic process;signal transduction;protein retention in ER lumen"	"melanosome;cell surface;endoplasmic reticulum lumen"	"electron carrier activity;protein disulfide oxidoreductase activity;protein disulfide isomerase activity;phospholipase C activity;cysteine-type endopeptidase activity"
"P31930"	"P31930"	"QCR1_HUMAN"	"Cytochrome b-c1 complex subunit 1, mitochondrial"	"UQCRC1"	17	31	0.0050284006189737	17	31	0.00636706321820212	0	"aerobic respiration;mitochondrial electron transport;response to activity;respiratory electron transport chain;response to alkaloid;oxidative phosphorylation;small molecule metabolic process"	"mitochondrial respiratory chain complex III;mitochondrial respiratory chain"	"ubiquinol-cytochrome-c reductase activity;metal ion binding"
