"";"X";"protein.acs";"X.1";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5834.1.id.csv";"peptide.count.P5834.2.id.csv";"peptide.count.P5835.1.id.csv";"peptide.count.P5835.2.id.csv";"spectra.count.P5834.1.id.csv";"spectra.count.P5834.2.id.csv";"spectra.count.P5835.1.id.csv";"spectra.count.P5835.2.id.csv";"dNSAF.P5834.1.id.csv";"dNSAF.P5834.2.id.csv";"dNSAF.P5835.1.id.csv";"dNSAF.P5835.2.id.csv";"Go.Cc"
"2";2;"A0PJW6";"A0PJW6";"A0PJW6";"TM223_HUMAN";"Transmembrane protein 223";"TMEM223";2;2;9,51082993396478e-05;NA;NA;NA;2;NA;NA;NA;2;NA;NA;NA;0,000536549083945799;"integral component of membrane, mitochondrion"
"3";3;"A1L0T0";"A1L0T0";"A1L0T0";"ILVBL_HUMAN";"Acetolactate synthase-like protein";"ILVBL";16;39;0,000592771504903279;9;11;8;6;11;12;9;7;0,000886482301433151;0,000958464002505958;0,000783404362754376;0,000600221839160886;"integral component of membrane"
"5";5;"A5PLL7";"A5PLL7";"A5PLL7";"TM189_HUMAN";"Transmembrane protein 189";"TMEM189";1;1;3,55775490122386e-05;NA;NA;NA;1;NA;NA;NA;1;NA;NA;NA;0,000200709101772317;"integral component of membrane, endoplasmic reticulum membrane"
"8";8;"A8MV81";"A8MV81,Q9Y241-1,Q9Y241-2";"A8MV81,Q9Y241-1,Q9Y241-2";"HIG1A_HUMAN, HIG1C_HUMAN";"HIG1 domain family member 1A, mitochondrial, HIG1 domain family member 1C";"HIGD1A, HIGD1C";1;1;3,39432446406517e-05;NA;1;NA;NA;NA;1;NA;NA;NA;0,000520403135381242;NA;NA;"integral component of membrane"
"10";10;"B7ZAQ6";"B7ZAQ6-1,B7ZAQ6-2,B7ZAQ6-3,P0CG08";"B7ZAQ6-1,B7ZAQ6-2,B7ZAQ6-3,P0CG08";"GPHRA_HUMAN, GPHRB_HUMAN";"Golgi pH regulator A, Golgi pH regulator B";"GPR89A, GPR89B";4;17;8,97257966847117e-05;2;2;4;4;4;3;5;5;0,00044775769391069;0,000332829258013058;0,000604531815947211;0,00059551052174204;"Golgi-associated vesicle membrane, integral component of membrane, Golgi cisterna membrane"
"12";12;"O00116";"O00116";"O00116";"ADAS_HUMAN";"Alkyldihydroxyacetonephosphate synthase, peroxisomal";"AGPS";21;76;0,00110950046463699;16;16;14;15;20;20;18;18;0,0015480984097976;0,00153431927452828;0,00150489835033667;0,0014824410860387;"peroxisomal matrix, intracellular membrane-bounded organelle, peroxisomal membrane, peroxisome, nucleolus, mitochondrion"
"16";16;"O00165";"O00165-1";"O00165-1";"HAX1_HUMAN";"HCLS1-associated protein X-1";"HAX1";10;31;0,00106732647036716;6;6;10;8;7;6;10;8;NA;NA;NA;NA;"cytoplasmic membrane-bounded vesicle, endoplasmic reticulum, sarcoplasmic reticulum, nuclear membrane, lamellipodium, actin cytoskeleton, nuclear envelope, mitochondrion, transcription factor complex"
"20";20;"O00217";"O00217";"O00217";"NDUS8_HUMAN";"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial";"NDUFS8";6;23;0,00105207894936191;6;6;5;5;6;7;5;5;0,00145521250520974;0,00168263680439935;0,00130981893455229;0,00129027279710775;"mitochondrion, mitochondrial inner membrane, mitochondrial respiratory chain complex I"
"21";21;"O00264";"O00264";"O00264";"PGRC1_HUMAN";"Membrane-associated progesterone receptor component 1";"PGRMC1";10;59;0,00314026132873011;10;9;8;9;16;16;13;14;0,00452732779398587;0,00468211980354601;0,00386051896499622;0,00407593868214552;"endoplasmic reticulum, endoplasmic reticulum membrane, nucleolus, integral component of membrane"
"24";24;"O00410";"O00410-1,O00410-3";"O00410-1,O00410-3";"IPO5_HUMAN";"Importin-5";"IPO5";36;133;0,000582310749785546;34;29;21;20;42;39;24;28;NA;NA;NA;NA;"nucleus, intracellular membrane-bounded organelle, Golgi apparatus, cytoplasm, nuclear pore, nuclear membrane"
