"";"X";"protein.acs";"X.1";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5836.1.id.csv";"peptide.count.P5836.2.id.csv";"peptide.count.P5837.1.id.csv";"peptide.count.P5837.2.id.csv";"spectra.count.P5836.1.id.csv";"spectra.count.P5836.2.id.csv";"spectra.count.P5837.1.id.csv";"spectra.count.P5837.2.id.csv";"dNSAF.P5836.1.id.csv";"dNSAF.P5836.2.id.csv";"dNSAF.P5837.1.id.csv";"dNSAF.P5837.2.id.csv";"Go.Cc"
"1";1;"A0FGR8";"A0FGR8-1,A0FGR8-2,A0FGR8-4,A0FGR8-5,A0FGR8-6";"A0FGR8-1,A0FGR8-2,A0FGR8-4,A0FGR8-5,A0FGR8-6";"ESYT2_HUMAN";"Extended synaptotagmin-2";"ESYT2";1;8;1,54383811777261e-05;1;1;1;1;2;2;2;2;NA;NA;NA;NA;"integral component of plasma membrane"
"2";2;"A5YKK6";"A5YKK6-1,A5YKK6-2,A5YKK6-3";"A5YKK6-1,A5YKK6-2,A5YKK6-3";"CNOT1_HUMAN";"CCR4-NOT transcription complex subunit 1";"CNOT1";3;3;3,740201248076e-06;NA;NA;NA;3;NA;NA;NA;3;NA;NA;NA;NA;"extracellular space, nucleus, CCR4-NOT complex, cytosol, cytoplasmic mRNA processing body, peroxisomal membrane"
"5";5;"A6NIZ1";"A6NIZ1,P61224";"A6NIZ1,P61224";"RAP1B_HUMAN, RP1BL_HUMAN";"Ras-related protein Rap-1b, Ras-related protein Rap-1b-like protein";"RAP1B";5;13;0,000313932978670032;5;3;3;2;5;3;3;2;0,000636951086773292;0,000386278488225105;0,000389768892999117;0,000254489792716943;"plasma membrane, cytosol"
"8";8;"B0I1T2";"B0I1T2-1";"B0I1T2-1";"MYO1G_HUMAN";"Unconventional myosin-Ig";"MYO1G";4;12;0,000104755027490317;2;2;2;2;4;3;2;3;NA;NA;NA;NA;"myosin complex, extracellular vesicular exosome, plasma membrane"
"15";15;"O00170";"O00170";"O00170";"AIP_HUMAN";"AH receptor-interacting protein";"AIP";4;10;0,000269294489861472;3;3;3;1;3;3;3;1;0,000426178181695584;0,000430759041414663;0,000434651371586894;0,000141897338969447;"nucleus, membrane, cytoplasm, cytosol"
"17";17;"O00203";"O00203-1";"O00203-1";"AP3B1_HUMAN";"AP-3 complex subunit beta-1";"AP3B1";2;3;2,43694282415775e-05;NA;1;NA;2;NA;1;NA;2;NA;NA;NA;NA;"Golgi apparatus, AP-3 adaptor complex, clathrin-coated vesicle membrane, lysosomal membrane"
"18";18;"O00217";"O00217";"O00217";"NDUS8_HUMAN";"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial";"NDUFS8";3;9;0,000380859349946939;2;3;1;2;2;4;1;2;0,000446472380823945;0,000902542753440246;0,000227674527974087;0,000445963065332548;"mitochondrion, mitochondrial inner membrane, mitochondrial respiratory chain complex I"
"22";22;"O00299";"O00299";"O00299";"CLIC1_HUMAN";"Chloride intracellular channel protein 1";"CLIC1";11;58;0,0022066078827416;9;11;10;11;14;16;14;14;0,00290484934909521;0,00332055840131543;0,00277744029976687;0,00272018965161347;"chloride channel complex, nuclear envelope, blood microparticle, extracellular vesicular exosome, brush border, nuclear membrane, perinuclear region of cytoplasm, nucleus, extracellular space, cytoplasm, plasma membrane, mitochondrion"
"24";24;"O00410";"O00410-1,O00410-3";"O00410-1,O00410-3";"IPO5_HUMAN";"Importin-5";"IPO5";22;63;0,000255179236290793;12;14;15;16;14;15;17;17;NA;NA;NA;NA;"nucleus, intracellular membrane-bounded organelle, Golgi apparatus, cytoplasm, nuclear pore, nuclear membrane"
"27";27;"O00429";"O00429-1,O00429-3,O00429-6";"O00429-1,O00429-3,O00429-6";"DNM1L_HUMAN";"Dynamin-1-like protein";"DNM1L";9;23;9,25699808898811e-05;6;4;5;6;7;4;5;7;NA;NA;NA;NA;"cytosol, cell junction, microtubule, intracellular membrane-bounded organelle, peroxisome, synaptic vesicle membrane, perinuclear region of cytoplasm, mitochondrial outer membrane, Golgi apparatus, mitochondrion, coated pit, protein complex, cytoplasm"
