"";"protein.g";"protein.acs";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5134-1.id.csv";"peptide.count.P5134-2.id.csv";"spectra.count.P5134-1.id.csv";"spectra.count.P5134-2.id.csv";"dNSAF.P5134-1.id.csv";"dNSAF.P5134-2.id.csv"
"P08575-1,P08575-2";"P08575-1,P08575-2";"P08575-[1,2]";"PTPRC_HUMAN";"Receptor-type tyrosine-protein phosphatase C";"PTPRC";47;232;0,00244817626511944;45;45;117;115;NA;NA
"P49327";"P49327";"P49327";"FAS_HUMAN";"Fatty acid synthase";"FASN";33;68;0,000745288612109033;27;28;34;34;0,00101736478661436;0,000997375874317012
"162648";"162648";"162648";"162648";"albumin [Bos taurus]";"";35;91;0,00412586474356832;32;31;48;43;0,00594151288889698;0,00521802816540511
"P52272-1,P52272-2";"P52272-1,P52272-2";"P52272-[1,2]";"HNRPM_HUMAN";"Heterogeneous nuclear ribonucleoprotein M";"HNRNPM";32;75;0,00141374373363652;28;29;37;38;NA;NA
"Q14152";"Q14152";"Q14152";"EIF3A_HUMAN";"Eukaryotic translation initiation factor 3 subunit A";"EIF3A";32;61;0,00123115751669797;25;23;33;28;0,00184011844405939;0,00149237045567976
"P13639";"P13639";"P13639";"EF2_HUMAN";"Elongation factor 2";"EEF2";30;79;0,00253397361674648;27;25;43;36;0,00376552612454109;0,00309059336126288
"P05107";"P05107";"P05107";"ITB2_HUMAN";"Integrin beta-2";"ITGB2";27;79;0,00282724234482247;26;26;42;37;0,00410362292992901;0,00354406793984436
"Q7KZF4";"Q7KZF4";"Q7KZF4";"SND1_HUMAN";"Staphylococcal nuclease domain-containing protein 1";"SND1";26;59;0,00178432066249743;24;22;29;30;0,00239442425327961;0,00242832335527797
"P10809";"P10809";"P10809";"CH60_HUMAN";"60 kDa heat shock protein, mitochondrial";"HSPD1";25;100;0,00480294555231953;22;23;48;52;0,00629406339190309;0,00668459925373785
"P50990";"P50990";"P50990";"TCPQ_HUMAN";"T-complex protein 1 subunit theta";"CCT8";25;57;0,00286257307818081;23;21;33;24;0,0045245759077515;0,00322594781504081
"O15031";"O15031";"O15031";"PLXB2_HUMAN";"Plexin-B2";"PLXNB2";23;49;0,000733690436738169;17;21;22;27;0,000899335363600951;0,00108204397604606
"P08195-1,P08195-2,P08195-3,P08195-4";"P08195-1,P08195-2,P08195-3,P08195-4";"P08195-[1-4]";"4F2_HUMAN";"4F2 cell-surface antigen heavy chain";"SLC3A2";23;84;0,00091736260049303;21;22;39;45;NA;NA
"P13612";"P13612";"P13612";"ITA4_HUMAN";"Integrin alpha-4";"ITGA4";23;58;0,00154671601245918;19;21;30;28;0,00218416807386172;0,00199850384665642
"P26038";"P26038";"P26038";"MOES_HUMAN";"Moesin";"MSN";23;103;0,00580211423036387;19;22;47;56;0,00744025902717969;0,00824872404912449
"P55072";"P55072";"P55072";"TERA_HUMAN";"Transitional endoplasmic reticulum ATPase";"VCP";23;48;0,00163896047730765;14;21;19;29;0,0017711814554293;0,00265026688774962
"Q08211-1";"Q08211-1";"Q08211-1";"DHX9_HUMAN";"ATP-dependent RNA helicase A";"DHX9";24;52;0,00112683909981821;23;18;28;24;NA;NA
"P05166-1,P05166-2";"P05166-1,P05166-2";"P05166-[1,2]";"PCCB_HUMAN";"Propionyl-CoA carboxylase beta chain, mitochondrial";"PCCB";22;63;0,0016083630008644;21;19;33;30;NA;NA
"P12956";"P12956";"P12956";"XRCC6_HUMAN";"X-ray repair cross-complementing protein 6";"XRCC6";22;49;0,00221432351843145;17;17;27;22;0,00333112529885511;0,00266092137781418
"P14625";"P14625";"P14625";"ENPL_HUMAN";"Endoplasmin";"HSP90B1";27;55;0,00193271295231322;22;23;28;27;0,00268541152672752;0,00254021372158593
"P35527";"P35527";"P35527";"K1C9_HUMAN";"Keratin, type I cytoskeletal 9";"KRT9";22;110;0,00485922404755538;22;22;54;56;0,00651253710113247;0,00662104645184406
"Q00610-1,Q00610-2";"Q00610-1,Q00610-2";"Q00610-[1,2]";"CLH1_HUMAN";"Clathrin heavy chain 1";"CLTC";22;55;0,000570739339819702;18;21;23;32;NA;NA
"Q14974";"Q14974";"Q14974";"IMB1_HUMAN";"Importin subunit beta-1";"KPNB1";22;72;0,00226198997381843;22;21;39;33;0,00334506836517452;0,00277483068337129
"P02786";"P02786";"P02786";"TFR1_HUMAN";"Transferrin receptor protein 1";"TFRC";21;63;0,00228133594069977;21;18;36;27;0,00355904439825046;0,00261683793154297
"P06576";"P06576";"P06576";"ATPB_HUMAN";"ATP synthase subunit beta, mitochondrial";"ATP5B";21;86;0,00447409359030627;20;21;42;44;0,00596538002479283;0,00612665829523189
"P07814";"P07814";"P07814";"SYEP_HUMAN";"Bifunctional glutamate/proline--tRNA ligase";"EPRS";21;44;0,000800872111541534;17;17;21;23;0,00104354696862282;0,00112047636300635
"P11586";"P11586";"P11586";"C1TC_HUMAN";"C-1-tetrahydrofolate synthase, cytoplasmic";"MTHFD1";21;41;0,00120679785947212;18;16;24;17;0,00192860872917672;0,00133925712321391
"P13645";"P13645";"P13645";"K1C10_HUMAN";"Keratin, type I cytoskeletal 10";"KRT10";23;86;0,00460391394518442;22;19;49;37;0,00713285864197542;0,00533186271357957
"P35908";"P35908";"P35908";"K22E_HUMAN";"Keratin, type II cytoskeletal 2 epidermal";"KRT2";21;67;0,00369429336900169;21;19;37;30;0,00553715751747947;0,00445193148215703
"O75533";"O75533";"O75533";"SF3B1_HUMAN";"Splicing factor 3B subunit 1";"SF3B1";20;39;0,000823093744307397;18;15;21;18;0,00121000231331112;0,00101676729446455
"P04075";"P04075";"P04075";"ALDOA_HUMAN";"Fructose-bisphosphate aldolase A";"ALDOA";20;189;0,0160758974942168;20;19;101;88;0,0235013866364215;0,0199882398631724
"P09874";"P09874";"P09874";"PARP1_HUMAN";"Poly [ADP-ribose] polymerase 1";"PARP1";20;37;0,00100421349758113;16;17;18;19;0,00133376417291437;0,00138020088141868
"P11021";"P11021";"P11021";"GRP78_HUMAN";"78 kDa glucose-regulated protein";"HSPA5";20;49;0,00219477488733762;16;18;23;26;0,00284778313761035;0,00308283601892465
"P17987";"P17987";"P17987";"TCPA_HUMAN";"T-complex protein 1 subunit alpha";"TCP1";20;44;0,0021779112098036;17;18;23;21;0,00310811830942337;0,00278208988725192
