"";"X";"protein.acs";"X.1";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5834.1.id.csv";"peptide.count.P5834.2.id.csv";"peptide.count.P5835.1.id.csv";"peptide.count.P5835.2.id.csv";"spectra.count.P5834.1.id.csv";"spectra.count.P5834.2.id.csv";"spectra.count.P5835.1.id.csv";"spectra.count.P5835.2.id.csv";"dNSAF.P5834.1.id.csv";"dNSAF.P5834.2.id.csv";"dNSAF.P5835.1.id.csv";"dNSAF.P5835.2.id.csv";"Go.Cc";"matched_mask"
"23";23;"O00400";"O00400";"O00400";"ACATN_HUMAN";"Acetyl-coenzyme A transporter 1";"SLC33A1";7;14;0,000244960173526889;3;4;4;3;3;4;4;3;0,000278319331597492;0,000367789465442481;0,000400818908934034;0,000296128182942763;"integral component of plasma membrane, Golgi membrane, endoplasmic reticulum membrane";FALSE
"55";55;"O14975";"O14975-1";"O14975-1";"S27A2_HUMAN";"Very long-chain acyl-CoA synthetase";"SLC27A2";17;48;0,000743685540642923;10;11;9;12;11;15;9;13;NA;NA;NA;NA;"endoplasmic reticulum lumen, extracellular vesicular exosome, mitochondrion, integral component of endoplasmic reticulum membrane, integral component of peroxisomal membrane";FALSE
"83";83;"O15427";"O15427";"O15427";"MOT4_HUMAN";"Monocarboxylate transporter 4";"SLC16A3";5;23;0,00047513242874409;5;4;5;5;6;5;6;6;0,000657192744288271;0,000542786065935274;0,000709837358079951;0,000699244612626138;"actin cytoskeleton, nuclear membrane, integral component of plasma membrane";FALSE
"116";116;"O43772";"O43772";"O43772";"MCAT_HUMAN";"Mitochondrial carnitine/acylcarnitine carrier protein";"SLC25A20";8;23;0,000734008569322265;7;7;5;4;7;7;5;4;0,00118447529493816;0,0011739326542321;0,000913827163641133;0,000720152258850839;"integral component of membrane, mitochondrial inner membrane";FALSE
"117";117;"O43808";"O43808";"O43808";"PM34_HUMAN";"Peroxisomal membrane protein PMP34";"SLC25A17";8;25;0,000782242527142054;5;4;6;7;6;5;6;8;0,000995422234834027;0,000822135246449193;0,00107516081924162;0,00141215524374008;"mitochondrion, integral component of peroxisomal membrane";FALSE
"120";120;"O43826";"O43826-1,O43826-2";"O43826-1,O43826-2";"G6PT1_HUMAN";"Glucose-6-phosphate translocase";"SLC37A4";2;9;0,000100761589859837;2;2;2;2;2;2;3;2;NA;NA;NA;NA;"integral component of endoplasmic reticulum membrane, integral component of membrane, endoplasmic reticulum membrane";FALSE
"155";155;"O75387";"O75387-1,O75387-2";"O75387-1,O75387-2";"LAT3_HUMAN";"Large neutral amino acids transporter small subunit 3";"SLC43A1";3;7;6,01445148775769e-05;1;2;2;2;1;2;2;2;NA;NA;NA;NA;"integral component of plasma membrane";FALSE
"167";167;"O75746";"O75746";"O75746";"CMC1_HUMAN";"Calcium-binding mitochondrial carrier protein Aralar1";"SLC25A12";10;23;0,000462518293467698;5;5;5;8;5;5;5;8;0,000600972716015823;0,000531806828191956;0,000550587605232157;0,000841351614322709;"integral component of membrane, mitochondrial inner membrane";FALSE
"284";284;"P05141";"P05141";"P05141";"ADT2_HUMAN";"ADP/ATP translocase 2";"SLC25A5";5;111;0,00707635992392602;5;5;4;3;31;30;25;25;0,0100888367437396;0,00928730809936775;0,00955813817105725;0,00979823721517296;"MMXD complex, mitochondrial nucleoid, integral component of plasma membrane, mitochondrial inner membrane";FALSE
"314";314;"P08195";"P08195-1,P08195-2,P08195-3,P08195-4";"P08195-1,P08195-2,P08195-3,P08195-4";"4F2_HUMAN";"4F2 cell-surface antigen heavy chain";"SLC3A2";26;131;0,000499356312921778;21;22;22;25;30;33;31;37;NA;NA;NA;NA;"apical plasma membrane, melanosome, extracellular vesicular exosome, integral component of membrane, plasma membrane";FALSE
