"";"X";"Protein.Acs";"Protein.G";"ID";"Description";"Gene";"Global.Peptide.Count";"Global.Spectra.Count";"Global.DNSAF";"Peptide.Count.P5134";"Peptide.Count.P5136";"Spectra.Count.P5134";"Spectra.Count.P5136";"DNSAF.P5134";"DNSAF.P5136";"Unspecific.Spectra.Count";"Go.Cc";"norm.sc"
"4";4;"A1X283";"A1X283";"SPD2B_HUMAN";"SH3 and PX domain-containing protein 2B";"SH3PXD2B";2;2;"4.03029311825241E-5";2;0;2;0;"8.10138790475768E-5";"0";0;"cytoplasm, cell projection, cell junction, podosome";9,87654320987654e-05
"5";5;"A2A3N6";"A2A3N6";"PIPSL_HUMAN";"Putative PIP5K1A and PSMD4-like protein";"PIPSL";3;3;"6.38908996066347E-5";3;0;3;0;"1.28428614522638E-4";"0";0;"cytoplasm";0,000148148148148148
"9";9;"A4UGR9";"A4UGR9-3";"XIRP2_HUMAN";"Xin actin-binding repeat-containing protein 2";"XIRP2";1;1;"9.2497257739145E-6";0;1;0;1;"0";"0";2;"cell junction";4,93827160493827e-05
"10";10;"A4UGR9";"A4UGR9-7";"XIRP2_HUMAN";"Xin actin-binding repeat-containing protein 2";"XIRP2";1;1;"8.16152274168926E-6";0;1;0;1;"0";"0";1;"cell junction";4,93827160493827e-05
"12";12;"A6H8Y1";"A6H8Y1-1";"BDP1_HUMAN";"Transcription factor TFIIIB component B'' homolog";"BDP1";2;2;"2.33206112215952E-5";0;2;0;2;"0";"0";2;"nucleoplasm";9,87654320987654e-05
"13";13;"A6H8Y1";"A6H8Y1-7";"BDP1_HUMAN";"Transcription factor TFIIIB component B'' homolog";"BDP1";1;1;"1.16603056107976E-5";0;1;0;1;"0";"0";2;"nucleoplasm";4,93827160493827e-05
"15";15;"A6NHL2";"A6NHL2-1,A6NHL2-2";"TBAL3_HUMAN";"Tubulin alpha chain-like 3";"TUBAL3";1;4;"1.77534530520545E-4";1;1;2;2;"0";"0";25;"cytoplasm, microtubule";0,000197530864197531
"16";16;"A6NHR9";"A6NHR9-2";"SMHD1_HUMAN";"Structural maintenance of chromosomes flexible hinge domain-containing protein 1";"SMCHD1";2;2;"1.83122046420346E-5";2;0;2;0;"0";"0";0;"Barr body";9,87654320987654e-05
"17";17;"A6NJ46";"A6NJ46-1";"NKX63_HUMAN";"Homeobox protein Nkx-6.3";"NKX6-3";1;1;"9.5666050216631E-5";1;0;1;0;"0";"0";5;"nucleus";4,93827160493827e-05
"18";18;"A6NJT0";"A6NJT0";"UNC4_HUMAN";"Homeobox protein unc-4 homolog";"UNCX";2;2;"6.91449534977014E-5";2;0;2;0;"1.38989913017594E-4";"0";0;"nucleus";9,87654320987654e-05
"19";19;"A6NK75";"A6NK75";"ZNF98_HUMAN";"Zinc finger protein 98";"ZNF98";3;3;"9.62831389176908E-5";3;0;3;0;"1.93541023983416E-4";"0";0;"nucleus";0,000148148148148148
"27";27;"O00139";"O00139-1";"KIF2A_HUMAN";"Kinesin-like protein KIF2A";"KIF2A";2;2;"5.20056236647017E-5";2;0;2;0;"0";"0";0;"centrosome, kinesin complex, cytosol, microtubule, spindle pole";9,87654320987654e-05
"28";28;"O00148";"O00148";"DX39A_HUMAN";"ATP-dependent RNA helicase DDX39A";"DDX39A";10;27;"0.00116080936568682";10;3;23;4;"0.00198768595747527";"7.19453305805344E-4";0;"nucleus, cytoplasm";0,00133333333333333
"31";31;"O00231";"O00231-1,O00231-2";"PSD11_HUMAN";"26S proteasome non-ATPase regulatory subunit 11";"PSMD11";8;21;"4.56774512116628E-4";6;4;11;10;"0";"0";0;"proteasome accessory complex, cytosol, nucleoplasm";0,00103703703703704
"34";34;"O00267";"O00267-2";"SPT5H_HUMAN";"Transcription elongation factor SPT5";"SUPT5H";2;2;"3.37773415890335E-5";2;0;2;0;"0";"0";0;"DSIF complex";9,87654320987654e-05
"35";35;"O00303";"O00303";"EIF3F_HUMAN";"Eukaryotic translation initiation factor 3 subunit F";"EIF3F";6;20;"0.00102845855202463";5;3;13;7;"0.0013437638229138";"0.00150591451754354";0;"eukaryotic 48S preinitiation complex, cytosol, eukaryotic 43S preinitiation complex, eukaryotic translation initiation factor 3 complex";0,000987654320987654
"37";37;"O00410";"O00410-3";"IPO5_HUMAN";"Importin-5";"IPO5";2;2;"1.08775664082642E-4";2;0;2;0;"0";"0";9;"cytoplasm, nuclear pore, nucleolus";9,87654320987654e-05
"38";38;"O00410";"O00410-2";"IPO5_HUMAN";"Importin-5";"IPO5";2;2;"1.08775664082642E-4";0;2;0;2;"0";"0";9;"cytoplasm, nuclear pore, nucleolus";9,87654320987654e-05
"39";39;"O00483";"O00483";"NDUA4_HUMAN";"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4";"NDUFA4";3;6;"0.00135985075212146";3;0;6;0;"0.00273346828934602";"0";0;"mitochondrial respiratory chain complex I, mitochondrial respiratory chain complex IV";0,000296296296296296
