"";"X";"Protein.Acs";"Protein.G";"ID";"Description";"Gene";"Global.Peptide.Count";"Global.Spectra.Count";"Global.DNSAF";"Peptide.Count.P5571";"Spectra.Count.P5571";"DNSAF.P5571";"Unspecific.Spectra.Count";"Go.Cc";"matched_mask";"norm.sc"
"1";1;"O00182";"O00182-1,O00182-2,Q3B8N2-1,Q3B8N2-2,Q6DKI2";"LEG9B_HUMAN, LEG9C_HUMAN, LEG9_HUMAN";"Galectin-9, Galectin-9B, Galectin-9C";"LGALS9, LGALS9B, LGALS9C";1;1;"9.28565430420166E-5";1;1;"5.75695736610797E-4";0;"extracellular region, cytoplasm";FALSE;0,00048780487804878
"2";2;"O00571";"O00571-1";"DDX3X_HUMAN";"ATP-dependent RNA helicase DDX3X";"DDX3X";6;10;"0.00249394159408921";6;10;"0";0;"mitochondrial outer membrane, cytoplasmic stress granule, extracellular vesicular exosome, nucleus, nuclear speck";FALSE;0,0048780487804878
"4";4;"O43175";"O43175";"SERA_HUMAN";"D-3-phosphoglycerate dehydrogenase";"PHGDH";2;2;"6.19508193353492E-4";2;2;"7.69034454909733E-4";0;"extracellular vesicular exosome, cytosol";FALSE;0,000975609756097561
"15";15;"P00558";"P00558";"PGK1_HUMAN";"Phosphoglycerate kinase 1";"PGK1";9;18;"0.00712657267030384";9;18;"0.00884666254245081";0;"extracellular vesicular exosome, cytosol";FALSE;0,00878048780487805
"16";16;"P01892";"P01892,P10316";"1A02_HUMAN, 1A69_HUMAN";"HLA class I histocompatibility antigen, A-2 alpha chain, HLA class I histocompatibility antigen, A-69 alpha chain";"HLA-A";2;2;"7.53876408806875E-4";2;2;"9.35834165449515E-4";2;"cell surface, early endosome membrane, integral component of lumenal side of endoplasmic reticulum membrane, ER to Golgi transport vesicle membrane, Golgi membrane, phagocytic vesicle membrane, MHC class I protein complex";FALSE;0,000975609756097561
"17";17;"P02533";"P02533";"K1C14_HUMAN";"Keratin, type I cytoskeletal 14";"KRT14";1;1;"4.76980740163826E-4";1;1;"5.9210616978075E-4";4;"keratin filament, cell periphery, cytosol, extracellular vesicular exosome, nucleus";FALSE;0,00048780487804878
"19";19;"P04075";"P04075";"ALDOA_HUMAN";"Fructose-bisphosphate aldolase A";"ALDOA";7;11;"0.00498925348575759";7;11;"0.00619347391364802";0;"extracellular space, extracellular vesicular exosome, I band, actin cytoskeleton, cytosol, platelet alpha granule lumen";FALSE;0,00536585365853659
"20";20;"P04259";"P04259";"K2C6B_HUMAN";"Keratin, type II cytoskeletal 6B";"KRT6B";0;0;"0";0;0;"0";3;"keratin filament, extracellular vesicular exosome";FALSE;0
"21";21;"P04264";"P04264";"K2C1_HUMAN";"Keratin, type II cytoskeletal 1";"KRT1";11;21;"0.00564002567955205";11;21;"0.00700131833716733";1;"extracellular vesicular exosome, keratin filament, plasma membrane, cytoskeleton, membrane, blood microparticle";FALSE;0,0102439024390244
"22";22;"P04406";"P04406";"G3P_HUMAN";"Glyceraldehyde-3-phosphate dehydrogenase";"GAPDH";5;8;"0.00394266109919297";5;8;"0.00489427300855985";0;"perinuclear region of cytoplasm, extracellular vesicular exosome, lipid particle, nucleus, GAIT complex, cytosol, ribonucleoprotein complex, microtubule cytoskeleton, plasma membrane";FALSE;0,00390243902439024
