"";"X";"protein.acs";"X.1";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5828.1.id.csv";"peptide.count.P5828.2.id.csv";"spectra.count.P5828.1.id.csv";"spectra.count.P5828.2.id.csv";"dNSAF.P5828.1.id.csv";"dNSAF.P5828.2.id.csv";"Go.Cc";"norm.sc"
"1";1;"A0FGR8";"A0FGR8-1,A0FGR8-2,A0FGR8-5,A0FGR8-6";"A0FGR8-1,A0FGR8-2,A0FGR8-5,A0FGR8-6";"ESYT2_HUMAN";"Extended synaptotagmin-2";"ESYT2";2;3;4,88876412900152e-05;NA;2;NA;3;NA;NA;"integral component of plasma membrane";0,000690131124913734
"3";3;"B0I1T2";"B0I1T2-1,B0I1T2-2,B0I1T2-3,B0I1T2-4,O94832";"B0I1T2-1,B0I1T2-2,B0I1T2-3,B0I1T2-4,O94832";"MYO1D_HUMAN, MYO1G_HUMAN";"Unconventional myosin-Id, Unconventional myosin-Ig";"MYO1D, MYO1G";1;1;1,18223756408308e-05;1;NA;1;NA;0,000177297167278908;NA;"plasma membrane, myosin complex, extracellular vesicular exosome";0,000230043708304578
"11";11;"O00560";"O00560-1,O00560-2,O00560-3";"O00560-1,O00560-2,O00560-3";"SDCB1_HUMAN";"Syntenin-1";"SDCBP";1;1;6,71521515706249e-05;NA;1;NA;1;NA;NA;"extracellular vesicular exosome, endoplasmic reticulum membrane, melanosome, plasma membrane, blood microparticle, membrane, cytoskeleton, cytoplasm, interleukin-5 receptor complex, cytosol, focal adhesion, adherens junction, nucleus";0,000230043708304578
"14";14;"O14672";"O14672";"O14672";"ADA10_HUMAN";"Disintegrin and metalloproteinase domain-containing protein 10";"ADAM10";9;18;0,00144466901480547;6;7;8;10;0,00190760374633777;0,00158762361606841;"cell surface, cytoplasm, Golgi-associated vesicle, nucleus, extracellular vesicular exosome, plasma membrane, Golgi apparatus, postsynaptic density, integral component of membrane";0,0041407867494824
"20";20;"O15031";"O15031";"O15031";"PLXB2_HUMAN";"Plexin-B2";"PLXNB2";1;1;3,26626896105216e-05;1;NA;1;NA;9,70407781733305e-05;NA;"extracellular vesicular exosome, intracellular, integral component of plasma membrane";0,000230043708304578
"27";27;"O15427";"O15427";"O15427";"MOT4_HUMAN";"Monocarboxylate transporter 4";"SLC16A3";3;6;0,000774632561343724;2;2;3;3;0,00115071580827472;0,000766156428915593;"plasma membrane, nuclear membrane, membrane, actin cytoskeleton, integral component of plasma membrane";0,00138026224982747
"39";39;"O75116";"O75116";"O75116";"ROCK2_HUMAN";"Rho-associated protein kinase 2";"ROCK2";1;2;9,31585379137598e-05;1;NA;2;NA;0,00028556027903071;NA;"nucleus, spindle pole centrosome, centrosome, cytosol, plasma membrane";0,000460087416609156
"40";40;"O75144";"O75144-1,O75144-2";"O75144-1,O75144-2";"ICOSL_HUMAN";"ICOS ligand";"ICOSLG";3;4;0,000397576314596945;2;2;2;2;NA;NA;"integral component of plasma membrane, plasma membrane, external side of plasma membrane, integral component of membrane";0,000920174833218311
"52";52;"O94804";"O94804";"O94804";"STK10_HUMAN";"Serine/threonine-protein kinase 10";"STK10";3;4;0,000248074477289829;3;NA;4;NA;0,000737028720175956;NA;"extracellular vesicular exosome, cytoplasm, plasma membrane";0,000920174833218311
"56";56;"O95297";"O95297-1,O95297-2,O95297-3,O95297-4";"O95297-1,O95297-2,O95297-3,O95297-4";"MPZL1_HUMAN";"Myelin protein zero-like protein 1";"MPZL1";1;2;0,000111587404282786;NA;1;NA;2;NA;NA;"integral component of plasma membrane";0,000460087416609156
