"protein.g"	"protein.acs"	"ID"	"Description"	"Gene"	"global.peptide.count"	"global.spectra.count"	"global.dNSAF"	"peptide.count.P5396"	"peptide.count.P5455"	"spectra.count.P5396"	"spectra.count.P5455"	"dNSAF.P5396"	"dNSAF.P5455"	"unspecific.spectra.count"	"go.bp"	"go.cc"	"go.f"
"P08575-1,P08575-2"	"P08575-[1,2]"	"PTPRC_HUMAN"	"Receptor-type tyrosine-protein phosphatase C"	"PTPRC"	51	242	0.0115493721808757	0	51	0	242	0	0	0	"positive regulation of protein kinase activity;release of sequestered calcium ion into cytosol;negative regulation of cytokine-mediated signaling pathway;axon guidance;bone marrow development;T cell receptor signaling pathway;negative regulation of T cell mediated cytotoxicity;positive regulation of stem cell proliferation;T cell differentiation;positive regulation of hematopoietic stem cell migration;stem cell development;regulation of S phase;positive regulation of antigen receptor-mediated signaling pathway;hematopoietic progenitor cell differentiation;positive regulation of B cell proliferation;defense response to virus;negative regulation of cell adhesion involved in substrate-bound cell migration;positive regulation of T cell proliferation;negative regulation of protein kinase activity;immunoglobulin biosynthetic process;B cell proliferation;B cell receptor signaling pathway"	"external side of plasma membrane;membrane raft;focal adhesion;integral to plasma membrane"	"transmembrane receptor protein tyrosine phosphatase activity"
"P11498"	"P11498"	"PYC_HUMAN"	"Pyruvate carboxylase, mitochondrial"	"PC"	35	67	0.00707913362541039	0	35	0	67	0	0.0126395211781894	0	"biotin metabolic process;pyruvate metabolic process;oxaloacetate metabolic process;gluconeogenesis;lipid metabolic process"	"mitochondrial matrix;cytosol;mitochondrial inner membrane"	"biotin carboxylase activity;DNA binding;biotin binding;ATP binding;pyruvate carboxylase activity;metal ion binding"
"Q96RQ3"	"Q96RQ3"	"MCCA_HUMAN"	"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial"	"MCCC1"	32	115	0.0197428766286021	8	31	19	96	0.0208661174524437	0.0294262104168622	0	"leucine catabolic process;biotin metabolic process"	"cytosol;mitochondrial inner membrane;mitochondrial matrix"	"ATP binding;biotin carboxylase activity;methylcrotonoyl-CoA carboxylase activity;biotin binding;metal ion binding"
"P08195-1,P08195-2,P08195-3,P08195-4"	"P08195-[1-4]"	"4F2_HUMAN"	"4F2 cell-surface antigen heavy chain"	"SLC3A2"	31	118	0.00582816803166634	1	31	1	117	0	0	0	"leucine import;cell growth;blood coagulation;leukocyte migration;tryptophan transport;carbohydrate metabolic process"	"integral to membrane;plasma membrane;cell surface;melanosome;apical plasma membrane"	"cation binding;neutral amino acid transmembrane transporter activity;catalytic activity;calcium:sodium antiporter activity"
"P04264"	"P04264"	"K2C1_HUMAN"	"Keratin, type II cytoskeletal 1"	"KRT1"	25	142	0.0345289187404925	18	23	90	52	0.146258629482291	0.0208975291591065	43	"response to oxidative stress;regulation of angiogenesis;complement activation;fibrinolysis"	"cytoskeleton;plasma membrane;membrane;keratin filament"	"receptor activity;structural molecule activity;carbohydrate binding"
"P18433-1,P18433-2,P18433-3,P18433-4"	"P18433-[1-4]"	"PTPRA_HUMAN"	"Receptor-type tyrosine-protein phosphatase alpha"	"PTPRA"	26	59	0.00228911836655224	0	26	0	59	0	0	0	"insulin receptor signaling pathway;protein phosphorylation;axon guidance"	"integral to plasma membrane"	"transmembrane receptor protein tyrosine phosphatase activity"
"P35527"	"P35527"	"K1C9_HUMAN"	"Keratin, type I cytoskeletal 9"	"KRT9"	23	100	0.0204452720005524	15	22	58	42	0.0773480565103753	0.0149817433653266	5	"intermediate filament organization;spermatogenesis;epidermis development"	"intermediate filament"	"structural constituent of cytoskeleton"
"P02786"	"P02786"	"TFR1_HUMAN"	"Transferrin receptor protein 1"	"TFRC"	22	44	0.00720592407840281	0	22	0	44	0	0.0128659006619779	0	"positive regulation of bone resorption;proteolysis;transferrin transport;cellular iron ion homeostasis;osteoclast differentiation;modulation by virus of host morphology or physiology;transmembrane transport"	"extracellular vesicular exosome;coated pit;extracellular region;integral to plasma membrane;perinuclear region of cytoplasm;external side of plasma membrane;endosome;cytoplasmic membrane-bounded vesicle;melanosome"	"peptidase activity;transferrin receptor activity"
"P20701-1,P20701-2,P20701-3"	"P20701-[1-3]"	"ITAL_HUMAN"	"Integrin alpha-L"	"ITGAL"	22	43	0.00152479667755895	0	22	0	43	0	0	0	"leukocyte migration;integrin-mediated signaling pathway;positive regulation of cell-cell adhesion;activated T cell proliferation;positive regulation of T cell proliferation;signal transduction;blood coagulation;inflammatory response;positive regulation of calcium-mediated signaling;regulation of immune response;leukocyte cell-cell adhesion;T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell;heterophilic cell-cell adhesion"	"integrin complex;immunological synapse;external side of plasma membrane"	"metal ion binding"
"O15031"	"O15031"	"PLXB2_HUMAN"	"Plexin-B2"	"PLXNB2"	21	34	0.00237114600017073	0	21	0	34	0	0.00423359010743346	2	"neuroblast proliferation;regulation of protein phosphorylation;neural tube closure;brain development;regulation of neuron migration;regulation of cell shape;positive regulation of axonogenesis;regulation of Rho GTPase activity;positive regulation of GTPase activity"	"intracellular;integral to plasma membrane"	"semaphorin receptor activity;GTPase activator activity"
