"";"Group";"AC";"ID";"Entrez_ID";"Gene_symbol";"Descr";"SP_GN";"Entrez_GN";"Non_spec_binder";"Group_size";"Specific_reporter";"Pc_P4569.1.merged";"Pc_P4569.2.merged";"Pc_grp0";"Pc_mean_grp0";"Pc_sd_grp0";"Pc_CV_grp0";"Sc_P4569.1.merged";"Sc_P4569.2.merged";"Sc_grp0";"Sc_mean_grp0";"Sc_sd_grp0";"Sc_CV_grp0";"Seqcov_P4569.1.merged";"Seqcov_P4569.2.merged";"Seqcov_grp0";"Seqcov_mean_grp0";"Seqcov_sd_grp0";"Seqcov_CV_grp0";"Glob_pc";"Glob_sc";"Glob_seqcov"
"1049";"O75746";"O75746";"CMC1_HUMAN";"8604";"SLC25A12";"Calcium-binding mitochondrial carrier protein Aralar1";"SLC25A12,ARALAR1";NA;0;1;1;28;24;29;"26";"2.83";"0.11";41;36;77;"38.5";"3.54";"0.09";"0.45";"0.38";"0.46";"0.42";"0.05";"0.12";29;77;"0.46"
"1054";"P08195-1";"P08195-1";"4F2_HUMAN";"6520";"SLC3A2";"4F2 cell-surface antigen heavy chain";"SLC3A2,MDU1";NA;0;4;1;28;26;28;"27";"1.41";"0.05";103;110;213;"106.5";"4.95";"0.05";"0.47";"0.41";"0.47";"0.44";"0.04";"0.1";28;213;"0.47"
"1287";"Q9UJS0-1";"Q9UJS0-1";"CMC2_HUMAN";"10165";"SLC25A13";"Calcium-binding mitochondrial carrier protein Aralar2";"SLC25A13,ARALAR2";NA;0;2;2;24;22;26;"23";"1.41";"0.06";42;37;79;"39.5";"3.54";"0.09";"0.44";"0.38";"0.47";"0.41";"0.04";"0.11";26;79;"0.47"
"1359";"Q6NUK1-1";"Q6NUK1-1";"SCMC1_HUMAN";"29957";"SLC25A24";"Calcium-binding mitochondrial carrier protein SCaMC-1";"SLC25A24,APC1,SCAMC1,MCSC1";NA;0;2;1;24;23;25;"23.5";"0.71";"0.03";39;42;81;"40.5";"2.12";"0.05";"0.51";"0.5";"0.53";"0.5";"0.01";"0.01";25;81;"0.53"
"1397";"Q6P1M0";"Q6P1M0";"S27A4_HUMAN";"10999";"SLC27A4";"Long-chain fatty acid transport protein 4";"SLC27A4,ACSVL4,FATP4";NA;0;1;1;22;23;25;"22.5";"0.71";"0.03";28;31;59;"29.5";"2.12";"0.07";"0.35";"0.38";"0.4";"0.36";"0.02";"0.05";25;59;"0.4"
"1479";"Q9BWU0";"Q9BWU0";"NADAP_HUMAN";"22950";"SLC4A1AP";"Kanadaptin";"SLC4A1AP";NA;0;1;1;22;21;24;"21.5";"0.71";"0.03";35;34;69;"34.5";"0.71";"0.02";"0.4";"0.41";"0.45";"0.4";"0.01";"0.02";24;69;"0.45"
"1508";"P12236";"P12236";"ADT3_HUMAN";"293";"SLC25A6";"ADP/ATP translocase 3";"SLC25A6,ANT3";NA;0;2;1;22;21;24;"21.5";"0.71";"0.03";337;310;647;"323.5";"19.09";"0.06";"0.68";"0.56";"0.68";"0.62";"0.09";"0.14";24;647;"0.68"
"1512";"Q9UHW9-2";"Q9UHW9-2";"S12A6_HUMAN";"9990";"SLC12A6";"Solute carrier family 12 member 6";"SLC12A6,KCC3";NA;0;6;1;21;21;24;"21";"0";"0";25;25;50;"25";"0";"0";"0.23";"0.2";"0.25";"0.22";"0.02";"0.09";24;50;"0.25"
"1558";"O14975-1";"O14975-1";"S27A2_HUMAN";"11001";"SLC27A2";"Very long-chain acyl-CoA synthetase";"SLC27A2,VLACS,FATP2,FACVL1,ACSVL1";NA;0;2;1;22;21;23;"21.5";"0.71";"0.03";34;35;69;"34.5";"0.71";"0.02";"0.35";"0.33";"0.36";"0.34";"0.01";"0.02";23;69;"0.36"
"1727";"O14745";"O14745";"NHRF1_HUMAN";"9368";"SLC9A3R1";"Na(+)/H(+) exchange regulatory cofactor NHE-RF1";"SLC9A3R1,NHERF1,NHERF";NA;0;1;1;20;20;22;"20";"0";"0";32;34;66;"33";"1.41";"0.04";"0.55";"0.59";"0.63";"0.57";"0.03";"0.05";22;66;"0.63"
"1740";"Q9UHW9-1";"Q9UHW9-1";"S12A6_HUMAN";"9990";"SLC12A6";"Solute carrier family 12 member 6";"SLC12A6,KCC3";NA;0;2;2;18;20;22;"19";"1.41";"0.07";21;23;44;"22";"1.41";"0.06";"0.17";"0.18";"0.2";"0.17";"0.01";"0.05";22;44;"0.2"
"1780";"P05141";"P05141";"ADT2_HUMAN";"292";"SLC25A5";"ADP/ATP translocase 2";"SLC25A5,ANT2";NA;0;1;1;22;21;22;"21.5";"0.71";"0.03";335;334;669;"334.5";"0.71";"0";"0.56";"0.56";"0.56";"0.56";"0";"0";22;669;"0.56"
"2083";"P12235";"P12235";"ADT1_HUMAN";"291";"SLC25A4";"ADP/ATP translocase 1";"SLC25A4,ANT1";NA;0;1;1;19;17;20;"18";"1.41";"0.08";242;224;466;"233";"12.73";"0.05";"0.6";"0.49";"0.61";"0.55";"0.08";"0.15";20;466;"0.61"
"2176";"P55011-1";"P55011-1";"S12A2_HUMAN";"6558";"SLC12A2";"Solute carrier family 12 member 2";"SLC12A2,NKCC1";NA;0;4;1;14;17;19;"15.5";"2.12";"0.14";18;20;38;"19";"1.41";"0.07";"0.13";"0.17";"0.19";"0.15";"0.03";"0.19";19;38;"0.19"
"2237";"Q9Y666-1";"Q9Y666-1";"S12A7_HUMAN";"10723";"SLC12A7";"Solute carrier family 12 member 7";"SLC12A7,KCC4";NA;0;2;1;17;16;19;"16.5";"0.71";"0.04";25;25;50;"25";"0";"0";"0.22";"0.19";"0.25";"0.2";"0.02";"0.12";19;50;"0.25"
"2532";"Q02978";"Q02978";"M2OM_HUMAN";"8402";"SLC25A11";"Mitochondrial 2-oxoglutarate/malate carrier protein";"SLC25A11,SLC20A4";NA;0;1;1;13;16;17;"14.5";"2.12";"0.15";22;38;60;"30";"11.31";"0.38";"0.46";"0.52";"0.54";"0.49";"0.04";"0.08";17;60;"0.54"
"2803";"Q00325-2";"Q00325-2";"MPCP_HUMAN";"5250";"SLC25A3";"Phosphate carrier protein, mitochondrial";"SLC25A3,PHC";NA;0;2;1;16;16;16;"16";"0";"0";92;101;193;"96.5";"6.36";"0.07";"0.42";"0.42";"0.42";"0.42";"0";"0";16;193;"0.42"
"3081";"Q9HBR0-1";"Q9HBR0-1";"S38AA_HUMAN";"124565";"SLC38A10";"Putative sodium-coupled neutral amino acid transporter 10";"SLC38A10";NA;0;3;1;13;13;15;"13";"0";"0";16;18;34;"17";"1.41";"0.08";"0.17";"0.18";"0.2";"0.17";"0";"0.02";15;34;"0.2"
"3341";"O43772";"O43772";"MCAT_HUMAN";"788";"SLC25A20";"Mitochondrial carnitine/acylcarnitine carrier protein";"SLC25A20,CACT,CAC";NA;0;1;1;12;13;14;"12.5";"0.71";"0.06";15;14;29;"14.5";"0.71";"0.05";"0.42";"0.44";"0.44";"0.43";"0.02";"0.04";14;29;"0.44"
"3386";"P52569-3";"P52569-3";"CTR2_HUMAN";"6542";"SLC7A2";"Low affinity cationic amino acid transporter 2";"SLC7A2,ATRC2,CAT2";NA;0;3;1;10;13;14;"11.5";"2.12";"0.18";15;19;34;"17";"2.83";"0.17";"0.16";"0.19";"0.21";"0.17";"0.02";"0.14";14;34;"0.21"
"3792";"Q15599-1";"Q15599-1";"NHRF2_HUMAN";"9351";"SLC9A3R2";"Na(+)/H(+) exchange regulatory cofactor NHE-RF2";"SLC9A3R2,NHERF2";NA;0;2;1;12;12;13;"12";"0";"0";21;19;40;"20";"1.41";"0.07";"0.43";"0.43";"0.45";"0.43";"0";"0";13;40;"0.45"
"3839";"Q9UBX3-1";"Q9UBX3-1";"DIC_HUMAN";"1468";"SLC25A10";"Mitochondrial dicarboxylate carrier";"SLC25A10,DIC";NA;0;2;2;10;10;12;"10";"0";"0";17;13;30;"15";"2.83";"0.19";"0.47";"0.32";"0.48";"0.4";"0.11";"0.27";12;30;"0.48"
"4140";"Q9Y619";"Q9Y619";"ORNT1_HUMAN";"10166";"SLC25A15";"Mitochondrial ornithine transporter 1";"SLC25A15,ORNT1";NA;0;1;1;11;11;12;"11";"0";"0";19;20;39;"19.5";"0.71";"0.04";"0.38";"0.35";"0.4";"0.36";"0.02";"0.06";12;39;"0.4"
"4160";"P04920-1";"P04920-1";"B3A2_HUMAN";"6522";"SLC4A2";"Anion exchange protein 2";"SLC4A2,HKB3,MPB3L,EPB3L1,AE2";NA;0;2;2;10;11;12;"10.5";"0.71";"0.07";12;12;24;"12";"0";"0";"0.09";"0.09";"0.1";"0.09";"0";"0.01";12;24;"0.1"
"4238";"Q15758-1";"Q15758-1";"AAAT_HUMAN";"6510";"SLC1A5";"Neutral amino acid transporter B(0)";"SLC1A5,RDR,M7V1,ASCT2,RDRC";NA;0;1;1;8;11;11;"9.5";"2.12";"0.22";22;31;53;"26.5";"6.36";"0.24";"0.21";"0.25";"0.25";"0.23";"0.03";"0.13";11;53;"0.25"
"4491";"P53007";"P53007";"TXTP_HUMAN";"6576";"SLC25A1";"Tricarboxylate transport protein, mitochondrial";"SLC25A1,SLC20A3";NA;0;1;1;10;10;11;"10";"0";"0";20;22;42;"21";"1.41";"0.07";"0.34";"0.3";"0.38";"0.32";"0.03";"0.08";11;42;"0.38"
"4572";"Q8WUM9";"Q8WUM9";"S20A1_HUMAN";"6574";"SLC20A1";"Sodium-dependent phosphate transporter 1";"SLC20A1,GLVR1,PIT1";NA;0;1;1;8;10;10;"9";"1.41";"0.16";10;13;23;"11.5";"2.12";"0.18";"0.13";"0.14";"0.14";"0.13";"0.01";"0.09";10;23;"0.14"
"4733";"O00400";"O00400";"ACATN_HUMAN";"9197";"SLC33A1";"Acetyl-coenzyme A transporter 1";"SLC33A1,ACATN,AT1";NA;0;1;1;8;10;10;"9";"1.41";"0.16";8;11;19;"9.5";"2.12";"0.22";"0.17";"0.21";"0.21";"0.19";"0.03";"0.18";10;19;"0.21"
"4742";"Q6PML9";"Q6PML9";"ZNT9_HUMAN";"10463";"SLC30A9";"Zinc transporter 9";"SLC30A9,C4orf1,HUEL";NA;0;1;1;9;8;10;"8.5";"0.71";"0.08";10;9;19;"9.5";"0.71";"0.07";"0.19";"0.15";"0.2";"0.17";"0.03";"0.18";10;19;"0.2"
"4793";"Q9Y6M5";"Q9Y6M5";"ZNT1_HUMAN";"7779";"SLC30A1";"Zinc transporter 1";"SLC30A1,ZNT1";NA;0;1;1;8;10;10;"9";"1.41";"0.16";8;11;19;"9.5";"2.12";"0.22";"0.21";"0.27";"0.27";"0.24";"0.04";"0.19";10;19;"0.27"
"4886";"Q9ULF5";"Q9ULF5";"S39AA_HUMAN";"57181";"SLC39A10";"Zinc transporter ZIP10";"SLC39A10,KIAA1265,ZIP10";NA;0;1;1;9;6;10;"7.5";"2.12";"0.28";9;8;17;"8.5";"0.71";"0.08";"0.1";"0.08";"0.12";"0.09";"0.02";"0.18";10;17;"0.12"
"4918";"Q8TB61-1";"Q8TB61-1";"S35B2_HUMAN";"347734";"SLC35B2";"Adenosine 3'-phospho 5'-phosphosulfate transporter 1";"SLC35B2,PAPST1";NA;0;3;3;9;10;10;"9.5";"0.71";"0.07";14;14;28;"14";"0";"0";"0.21";"0.24";"0.24";"0.23";"0.02";"0.11";10;28;"0.24"
"4966";"Q9H936";"Q9H936";"GHC1_HUMAN";"79751";"SLC25A22";"Mitochondrial glutamate carrier 1";"SLC25A22,GC1";NA;0;1;1;9;10;10;"9.5";"0.71";"0.07";11;12;23;"11.5";"0.71";"0.06";"0.27";"0.36";"0.36";"0.32";"0.06";"0.19";10;23;"0.36"
"5064";"Q01650";"Q01650";"LAT1_HUMAN";"8140";"SLC7A5";"Large neutral amino acids transporter small subunit 1";"SLC7A5,LAT1,CD98LC,MPE16";NA;0;1;1;8;9;9;"8.5";"0.71";"0.08";23;23;46;"23";"0";"0";"0.16";"0.16";"0.16";"0.16";"0";"0.01";9;46;"0.16"
"5067";"Q8N8R3";"Q8N8R3";"MCATL_HUMAN";"123096";"SLC25A29";"Mitochondrial carnitine/acylcarnitine carrier protein CACL";"SLC25A29,C14orf69";NA;0;1;1;9;9;9;"9";"0";"0";11;13;24;"12";"1.41";"0.12";"0.35";"0.35";"0.35";"0.35";"0";"0";9;24;"0.35"
"5264";"Q6PCB7";"Q6PCB7";"S27A1_HUMAN";"376497";"SLC27A1";"Long-chain fatty acid transport protein 1";"SLC27A1,ACSVL5,FATP1";NA;0;1;1;5;9;9;"7";"2.83";"0.4";7;12;19;"9.5";"3.54";"0.37";"0.09";"0.14";"0.14";"0.12";"0.04";"0.34";9;19;"0.14"
"5326";"Q6ZQN7";"Q6ZQN7";"SO4C1_HUMAN";"353189";"SLCO4C1";"Solute carrier organic anion transporter family member 4C1";"SLCO4C1,OATP4C1,OATPX,SLC21A20";NA;0;1;1;8;3;9;"5.5";"3.54";"0.64";9;3;12;"6";"4.24";"0.71";"0.19";"0.05";"0.2";"0.12";"0.1";"0.83";9;12;"0.2"
"5410";"Q9H2D1";"Q9H2D1";"MFTC_HUMAN";"81034";"SLC25A32";"Mitochondrial folate transporter/carrier";"SLC25A32,MFTC,MFT";NA;0;1;1;7;9;9;"8";"1.41";"0.18";11;13;24;"12";"1.41";"0.12";"0.29";"0.34";"0.34";"0.31";"0.04";"0.11";9;24;"0.34"
"5446";"Q8TBP6";"Q8TBP6";"S2540_HUMAN";"55972";"SLC25A40";"Solute carrier family 25 member 40";"SLC25A40,MCFP";NA;0;1;1;6;7;8;"6.5";"0.71";"0.11";9;9;18;"9";"0";"0";"0.23";"0.23";"0.28";"0.23";"0";"0";8;18;"0.28"
"5455";"Q9HC21";"Q9HC21";"TPC_HUMAN";"60386";"SLC25A19";"Mitochondrial thiamine pyrophosphate carrier";"SLC25A19,MUP1,DNC";NA;0;1;1;7;6;8;"6.5";"0.71";"0.11";10;9;19;"9.5";"0.71";"0.07";"0.24";"0.19";"0.27";"0.21";"0.04";"0.18";8;19;"0.27"
"5495";"P43007-1";"P43007-1";"SATT_HUMAN";"6509";"SLC1A4";"Neutral amino acid transporter A";"SLC1A4,SATT,ASCT1";NA;0;2;1;8;7;8;"7.5";"0.71";"0.09";10;7;17;"8.5";"2.12";"0.25";"0.25";"0.23";"0.25";"0.24";"0.01";"0.06";8;17;"0.25"
"5576";"Q8WUX1-1";"Q8WUX1-1";"S38A5_HUMAN";"92745";"SLC38A5";"Sodium-coupled neutral amino acid transporter 5";"SLC38A5,SN2,SNAT5,JM24";NA;0;2;1;8;7;8;"7.5";"0.71";"0.09";16;13;29;"14.5";"2.12";"0.15";"0.18";"0.15";"0.18";"0.17";"0.02";"0.12";8;29;"0.18"
"5640";"Q92581-2";"Q92581-2";"SL9A6_HUMAN";"10479";"SLC9A6";"Sodium/hydrogen exchanger 6";"SLC9A6,KIAA0267,NHE6";NA;0;2;1;7;5;8;"6";"1.41";"0.24";8;6;14;"7";"1.41";"0.2";"0.11";"0.08";"0.11";"0.09";"0.02";"0.19";8;14;"0.11"
"5666";"P11169";"P11169";"GTR3_HUMAN";"6515";"SLC2A3";"Solute carrier family 2, facilitated glucose transporter member 3";"SLC2A3,GLUT3";NA;0;4;1;8;8;8;"8";"0";"0";13;11;24;"12";"1.41";"0.12";"0.15";"0.15";"0.15";"0.15";"0";"0";8;24;"0.15"
"5809";"Q9BXP2-1";"Q9BXP2-1";"S12A9_HUMAN";"56996";"SLC12A9";"Solute carrier family 12 member 9";"SLC12A9,CIP1,CCC6";NA;0;3;1;8;8;8;"8";"0";"0";19;20;39;"19.5";"0.71";"0.04";"0.11";"0.11";"0.11";"0.11";"0";"0";8;39;"0.11"
"5864";"Q9UP95-1";"Q9UP95-1";"S12A4_HUMAN";"6560";"SLC12A4";"Solute carrier family 12 member 4";"SLC12A4,KCC1";NA;0;4;2;7;7;8;"7";"0";"0";9;10;19;"9.5";"0.71";"0.07";"0.09";"0.08";"0.11";"0.08";"0";"0.03";8;19;"0.11"
"5882";"Q99808";"Q99808";"S29A1_HUMAN";"2030";"SLC29A1";"Equilibrative nucleoside transporter 1";"SLC29A1,ENT1";NA;0;1;1;8;7;8;"7.5";"0.71";"0.09";19;21;40;"20";"1.41";"0.07";"0.18";"0.16";"0.18";"0.17";"0.01";"0.05";8;40;"0.18"
"5895";"P11166";"P11166";"GTR1_HUMAN";"6513";"SLC2A1";"Solute carrier family 2, facilitated glucose transporter member 1";"SLC2A1,GLUT1";NA;0;1;1;8;8;8;"8";"0";"0";12;14;26;"13";"1.41";"0.11";"0.13";"0.13";"0.13";"0.13";"0";"0";8;26;"0.13"
"5930";"Q8N697-1";"Q8N697-1";"S15A4_HUMAN";"121260";"SLC15A4";"Solute carrier family 15 member 4";"SLC15A4,PHT1,PTR4";NA;0;2;1;7;3;7;"5";"2.83";"0.57";7;4;11;"5.5";"2.12";"0.39";"0.14";"0.05";"0.14";"0.1";"0.06";"0.63";7;11;"0.14"
"5956";"O43808";"O43808";"PM34_HUMAN";"10478";"SLC25A17";"Peroxisomal membrane protein PMP34";"SLC25A17,PMP34";NA;0;1;1;7;6;7;"6.5";"0.71";"0.11";14;15;29;"14.5";"0.71";"0.05";"0.26";"0.22";"0.26";"0.24";"0.03";"0.11";7;29;"0.26"
"6043";"Q8WWI5-1";"Q8WWI5-1";"CTL1_HUMAN";"23446";"SLC44A1";"Choline transporter-like protein 1";"SLC44A1,CD92,CDW92,CTL1";NA;0;3;3;6;6;7;"6";"0";"0";8;7;15;"7.5";"0.71";"0.09";"0.13";"0.12";"0.14";"0.12";"0.01";"0.04";7;15;"0.14"
"6083";"Q96K37-1";"Q96K37-1";"S35E1_HUMAN";"79939";"SLC35E1";"Solute carrier family 35 member E1";"SLC35E1";NA;0;2;1;6;6;7;"6";"0";"0";7;9;16;"8";"1.41";"0.18";"0.17";"0.14";"0.2";"0.15";"0.02";"0.13";7;16;"0.2"
"6111";"Q5K4L6-1";"Q5K4L6-1";"S27A3_HUMAN";"11000";"SLC27A3";"Long-chain fatty acid transport protein 3";"SLC27A3,ACSVL3,FATP3";NA;0;3;2;6;5;7;"5.5";"0.71";"0.13";8;5;13;"6.5";"2.12";"0.33";"0.1";"0.08";"0.1";"0.09";"0.01";"0.11";7;13;"0.1"
"6150";"P16260";"P16260";"GDC_HUMAN";"8034";"SLC25A16";"Graves disease carrier protein";"SLC25A16,GDA";NA;0;1;1;4;5;7;"4.5";"0.71";"0.16";4;6;10;"5";"1.41";"0.28";"0.16";"0.15";"0.22";"0.15";"0.01";"0.06";7;10;"0.22"
