"";"X";"Protein.Acs";"Protein.G";"ID";"Description";"Gene";"Global.Peptide.Count";"Global.Spectra.Count";"Global.DNSAF";"Peptide.Count.P5134";"Peptide.Count.P5136";"Spectra.Count.P5134";"Spectra.Count.P5136";"DNSAF.P5134";"DNSAF.P5136";"Unspecific.Spectra.Count";"Go.Cc"
"1";1;"A0FGR8";"A0FGR8-4";"ESYT2_HUMAN";"Extended synaptotagmin-2";"ESYT2";1;1;"3.85364871122368E-5";1;0;1;0;"0";"0";4;"integral component of plasma membrane"
"2";2;"A0FGR8";"A0FGR8-2";"ESYT2_HUMAN";"Extended synaptotagmin-2";"ESYT2";1;2;"1.368709714676E-4";1;0;2;0;"0";"0";10;"integral component of plasma membrane"
"3";3;"A0FGR8";"A0FGR8-5";"ESYT2_HUMAN";"Extended synaptotagmin-2";"ESYT2";1;2;"1.23582527635794E-4";1;0;2;0;"0";"0";9;"integral component of plasma membrane"
"24";24;"B0I1T2";"B0I1T2-4";"MYO1G_HUMAN";"Unconventional myosin-Ig";"MYO1G";1;2;"4.80890246329789E-5";1;0;2;0;"0";"0";1;"myosin complex, plasma membrane, extracellular vesicular exosome"
"25";25;"B0I1T2";"B0I1T2-1";"MYO1G_HUMAN";"Unconventional myosin-Ig";"MYO1G";1;1;"2.40445123164895E-5";1;0;1;0;"0";"0";1;"myosin complex, plasma membrane, extracellular vesicular exosome"
"44";44;"O00592";"O00592-1,O00592-2";"PODXL_HUMAN";"Podocalyxin";"PODXL";3;5;"8.22490374267012E-5";3;0;5;0;"0";"0";0;"microvillus membrane, lamellipodium, filopodium, cell body, ruffle, integral component of plasma membrane, apical plasma membrane, slit diaphragm, membrane raft, cytoplasm, extracellular vesicular exosome"
"50";50;"O14578";"O14578-4";"CTRO_HUMAN";"Citron Rho-interacting kinase";"CIT";2;3;"2.71701802964574E-5";0;2;0;3;"0";"0";0;"actin cytoskeleton, ruffle, Golgi cisterna, plasma membrane, neuronal cell body, vacuole"
"55";55;"O14672";"O14672";"ADA10_HUMAN";"Disintegrin and metalloproteinase domain-containing protein 10";"ADAM10";16;42;"0.00103079595782469";16;0;42;0;"0.00207202743323421";"0";0;"postsynaptic density, extracellular vesicular exosome, cell surface, nucleus, plasma membrane, integral component of membrane, Golgi-associated vesicle"
"58";58;"O14763";"O14763-2";"TR10B_HUMAN";"Tumor necrosis factor receptor superfamily member 10B";"TNFRSF10B";2;2;"8.34453870619987E-5";2;0;2;0;"0";"0";0;"plasma membrane, integral component of membrane"
"60";60;"O14786";"O14786-1";"NRP1_HUMAN";"Neuropilin-1";"NRP1";2;5;"9.94473735300093E-5";2;0;5;0;"0";"0";0;"extracellular region, cytosol, cell surface, neuronal cell body, neurofilament, plasma membrane, axon, cytoplasmic vesicle, growth cone, semaphorin receptor complex, integral component of membrane"
"61";61;"O14795";"O14795";"UN13B_HUMAN";"Protein unc-13 homolog B";"UNC13B";2;2;"2.30772912050782E-5";2;0;2;0;"4.63882110699827E-5";"0";0;"cell junction, cytosol, plasma membrane, Golgi apparatus, neuromuscular junction"
"65";65;"O14924";"O14924-4";"RGS12_HUMAN";"Regulator of G-protein signaling 12";"RGS12";3;3;"3.80607847000132E-5";3;0;3;0;"0";"0";0;"nuclear matrix, cytoplasm, plasma membrane, condensed nuclear chromosome"
"77";77;"O15031";"O15031";"PLXB2_HUMAN";"Plexin-B2";"PLXNB2";23;49;"4.89413097131853E-4";23;0;49;0;"9.83780888684652E-4";"0";0;"integral component of plasma membrane, intracellular, extracellular vesicular exosome"
"85";85;"O15144";"O15144";"ARPC2_HUMAN";"Actin-related protein 2/3 complex subunit 2";"ARPC2";11;22;"0.00134625224460025";7;6;12;10;"0.00147607287624685";"0.00256005467982401";0;"focal adhesion, extracellular vesicular exosome, endosome, cell leading edge, cell projection, cytosol, Arp2/3 protein complex, plasma membrane, Golgi apparatus"
"95";95;"O15394";"O15394";"NCAM2_HUMAN";"Neural cell adhesion molecule 2";"NCAM2";5;6;"1.31598459882722E-4";5;0;6;0;"2.6452918929155E-4";"0";0;"plasma membrane, axon, integral component of membrane"
"97";97;"O15427";"O15427";"MOT4_HUMAN";"Monocarboxylate transporter 4";"SLC16A3";7;20;"7.89590759296332E-4";7;0;20;0;"0.0015871751357493";"0";0;"actin cytoskeleton, nuclear membrane, integral component of plasma membrane"
"103";103;"O43184";"O43184-1";"ADA12_HUMAN";"Disintegrin and metalloproteinase domain-containing protein 12";"ADAM12";2;2;"4.03916064986572E-5";2;0;2;0;"0";"0";0;"plasma membrane, mitochondrion, extracellular region, nucleus, integral component of membrane"
"117";117;"O43699";"O43699-1,O43699-3";"SIGL6_HUMAN";"Sialic acid-binding Ig-like lectin 6";"SIGLEC6";3;7;"1.41838737390152E-4";3;0;7;0;"0";"0";0;"extracellular region, integral component of plasma membrane"
"124";124;"O60241";"O60241-4";"BAI2_HUMAN";"Brain-specific angiogenesis inhibitor 2";"BAI2";2;2;"2.8955812545173E-5";0;2;0;2;"0";"0";1;"plasma membrane, integral component of membrane"
"128";128;"O60312";"O60312";"AT10A_HUMAN";"Probable phospholipid-transporting ATPase VA";"ATP10A";2;2;"2.44936426332751E-5";2;0;2;0;"4.9235252710035E-5";"0";0;"endoplasmic reticulum, plasma membrane, integral component of membrane, endoplasmic reticulum membrane"
"133";133;"O60437";"O60437";"PEPL_HUMAN";"Periplakin";"PPL";3;3;"3.13633003763776E-5";0;3;0;3;"0";"1.31210091790525E-4";0;"mitochondrion, desmosome, cytoskeleton, plasma membrane, extracellular vesicular exosome, nucleus"
"139";139;"O60669";"O60669";"MOT2_HUMAN";"Monocarboxylate transporter 2";"SLC16A7";1;1;"3.84058266812546E-5";1;0;1;0;"7.7200464238852E-5";"0";0;"integral component of plasma membrane"
"151";151;"O75038";"O75038-3";"PLCH2_HUMAN";"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2";"PLCH2";3;4;"5.1858715123276E-5";3;0;4;0;"0";"0";0;"plasma membrane, cytoplasm"
"152";152;"O75106";"O75106-2";"AOC2_HUMAN";"Retina-specific copper amine oxidase";"AOC2";2;2;"4.85660982900521E-5";2;0;2;0;"0";"0";0;"plasma membrane, cytoplasm"
"153";153;"O75144";"O75144-1,O75144-2";"ICOSL_HUMAN";"ICOS ligand";"ICOSLG";6;13;"3.95122197015424E-4";6;0;13;0;"0";"0";0;"plasma membrane, integral component of membrane, external side of plasma membrane, integral component of plasma membrane"
"154";154;"O75150";"O75150-1";"BRE1B_HUMAN";"E3 ubiquitin-protein ligase BRE1B";"RNF40";3;3;"5.50189365243947E-5";3;0;3;0;"0";"0";0;"neuron projection, HULC complex, cytoplasm, nucleus, plasma membrane"
"158";158;"O75197";"O75197";"LRP5_HUMAN";"Low-density lipoprotein receptor-related protein 5";"LRP5";3;5;"5.68358673487298E-5";0;3;0;5;"0";"2.37775976454243E-4";0;"endoplasmic reticulum, integral component of membrane, plasma membrane, receptor complex"
"159";159;"O75309";"O75309-1";"CAD16_HUMAN";"Cadherin-16";"CDH16";1;1;"2.95263130738073E-5";0;1;0;1;"0";"0";1;"plasma membrane, integral component of membrane"
"160";160;"O75323";"O75323-1";"NIPS2_HUMAN";"Protein NipSnap homolog 2";"GBAS";3;3;"1.92566277835382E-4";3;0;3;0;"0";"0";0;"integral component of plasma membrane, mitochondrion"
"161";161;"O75334";"O75334-1";"LIPA2_HUMAN";"Liprin-alpha-2";"PPFIA2";2;2;"2.92092046995063E-5";0;2;0;2;"0";"0";0;"cytoplasm, synapse, cell surface, extracellular vesicular exosome"
"164";164;"O75369";"O75369-8";"FLNB_HUMAN";"Filamin-B";"FLNB";1;1;"2.412369345507E-5";1;0;1;0;"0";"0";29;"extracellular vesicular exosome, cell cortex, cytosol, plasma membrane, focal adhesion, actin cytoskeleton, integral component of membrane, Z disc, stress fiber"
